"ap 02:00"|"two o’clock"|"EVERY Thursday afternoon without exception, throughout the long winter, Domenico would have Clemente drive him up the mountain to Gignese for his two o’clock visit with the Ungarettis to assure himself that things were well. At first these visits were awkward. They would sit stiffly in the beautifully furnished parlor, the three of them, over china cups of tea or coffee, and comment on the unusually fine weather, or the health-giving mountain air, or the lovely view from the windows. As for the subject on everyone’s mind, the subject of Emma’s pregnancy, Domenico would scrupulously avoid it. (Stefania wasn’t the only one “not entirely comfortable” with the situation.) And so it would hang between them like an immovable, impenetrable curtain around which they were forced to talk."|"Good Blood"|"Aaron Elkins"
"ap 03:00"|"three o’clock"|"Domenico would ask if there was anything they wanted. The answer was always no, although Franco would sometimes have some additional requirement concerning the promised Ferrari. At precisely three o’clock Domenico would rise, Emma would offer her cheek to be kissed, he would nod to Franco—for some time he had preferred not to shake hands with him—and he would leave, feeling guilty and unfulfilled, as if there was something he had come to do, and he hadn’t done it. Emma was so quiet now, so pale and resigned. With time his old affection for her had blossomed again, and his heart ached to see her as she was."|"Good Blood"|"Aaron Elkins"
17:15|"5:15 P.M."|"THROUGH the living room’s bay window they watched the gray, red, and white Coho Ferry in the distance, pulling stern-first away from the Port Angeles dock, slowly turning, lumbering into the sunshine, and starting on its stately 5:15 P.M. run around Ediz Hook and across the Strait of San Juan de Fuca to Vancouver Island, visible through the sea haze some seventeen miles away."|"Good Blood"|"Aaron Elkins"
06:50|"six-fifty in the morning"|"“We arrive in Milan at six-fifty in the morning, pick up the rental car, and drive up the lake. A day and a night on our own in Stresa to get over the jet lag, and the next morning we go on back down to Milan to meet our flock at the airport. And so the merry adventure begins.”"|"Good Blood"|"Aaron Elkins"
"ap 09:30"|nine-thirty|"They had strolled lazily around the town for half an hour and now they sat, loopy and jet-lagged, among families of Swiss and Italian tourists, at a sun-drenched outdoor café on the promenade, where Phil had promised to join them at nine-thirty for the visit to the de Grazias. From the boat terminal a block away, ferries carried tourists to, from, and around Stresa’s big attractions, the fabulous Borromean Islands a few hundred yards offshore, with their splendid seventeenth-century gardens and palaces. Gideon was reading aloud from a guidebook description of Isola Bella, the closest and most fantastic of the three islands."|"Good Blood"|"Aaron Elkins"
08:30|"eight-thirty in the morning"|"He laughed. “The thing is, I think I’m hungry, but I don’t know what to get. It’s eight-thirty in the morning here, but our internal clocks still think it’s eleven-thirty at night. I don’t know whether to get breakfast or a midnight snack.”"|"Good Blood"|"Aaron Elkins"
23:30|"eleven-thirty at night"|"He laughed. “The thing is, I think I’m hungry, but I don’t know what to get. It’s eight-thirty in the morning here, but our internal clocks still think it’s eleven-thirty at night. I don’t know whether to get breakfast or a midnight snack.”"|"Good Blood"|"Aaron Elkins"
00:00|midnight|"He laughed. “The thing is, I think I’m hungry, but I don’t know what to get. It’s eight-thirty in the morning here, but our internal clocks still think it’s eleven-thirty at night. I don’t know whether to get breakfast or a midnight snack.”"|"Good Blood"|"Aaron Elkins"
00:00|midnight|"“Bacon and eggs, probably. It’s on the menu, probably for the English tourists. And coffee.”
“And what would you get for a midnight snack?”
He thought it over. “Coffee. And bacon and eggs.”"|"Good Blood"|"Aaron Elkins"
"ap 10:00"|"ten o’clock"|"“Yes, Bacco, we’ll go now,” he said, taking the leash and smiling once again. “My dog,” he told Gideon, “is a de Grazia through and through, a follower of tradition. At ten o’clock I am required to accompany him on his morning constitutional—twice around the villa, out to the swan fountain, and back. This I must do rain or shine, crisis or no crisis, visitors or no visitors. No variation is permitted.”"|"Good Blood"|"Aaron Elkins"
"ap 11:00"|"eleven o’clock"|"“I don’t know yet. I didn’t speak with him personally. He’ll be here with it at eleven o’clock.” As custom required, Vincenzo had called a consiglio, and the de Grazias and their kin were now gathered and awaiting the colonel’s arrival."|"Good Blood"|"Aaron Elkins"
"ap 11:15"|"fifteen minutes past eleven"|"Basilio took a breath—a quick one, not long enough to give Bella and Francesca a chance to start taking whacks at each other again. “Look at the clock, it’s fifteen minutes past eleven,” he rattled on. “Wasn’t he supposed to be here at eleven? I understand that the man is a carabinieri colonel with a good many responsibilities and you can’t expect him to be prompt down to the minute, but aren’t our responsibilities to be taken into consideration too? Ah, well, I suppose I might as well sit down again. Standing’s not going to make Colonel Caravale get here any sooner, is it? Still, you would think that if he knew he was going to be as late as this, he would have had the common courtesy to have us telephoned. But common courtesy is hardly as common as it used to be, is it? It’s all push and shove and go and run nowadays. People have forgotten—”"|"Good Blood"|"Aaron Elkins"
