11:00|"11:00 A.M."|"The scientist, who was unconscious when rescuers reached him at 11:00 A.M., was wedged into a shallow 90-foot-long cleft in the ice. He was flown to Bartlett Memorial Hospital in Juneau, where his condition is listed as critical. According to a hospital spokesman, Tremaine's injuries include lacerations, frostbite, internal injuries, and fractures of the skull, leg, and both arms."|"Icy Clutches"|"Aaron Elkins"
"ap 06:00"|"six o'clock"|"Julie stirred and muttered into the pillow, “It can't be six o'clock already. It can't be."""|"Icy Clutches"|"Aaron Elkins"
"ap 06:10"|6:10|"At 6:10 he disengaged himself, got shivering into his robe, and turned up the room's thermostat. He put up some coffee in the automatic coffee maker on its own little shelf over the sink and stood waiting for the water to boil, staring numbly at his wild-haired, unshaven reflection in the mirror. Morning coffee was his responsibility; that was one of several mutually agreeable arrangements they had worked out by trial and error. Cooking chores were evenly split, but Julie did the dinner dishes, in exchange for which Gideon hauled himself out of bed to make coffee every morning."|"Icy Clutches"|"Aaron Elkins"
"ap 05:00"|5:00|"The resident manager of Glacier Bay Lodge had been doubtful about the wisdom of opening the Icebreaker Lounge from 5:00 to 6:00 P.M. each day with only two small groups staying at the hotel. Servicing a bar for a total of twenty hotel guests, Mr. Granle thought, was likely to be a losing proposition. As it turned out, he was wrong. The members of M. Audley Tremaine's group were on all-inclusive expense accounts and drank accordingly. The Park Service people were not on all-inclusive expense accounts, but they drank like it anyway. For the second evening in a row, there wasn't an empty table, and most people were on their second rounds, a few on their third."|"Icy Clutches"|"Aaron Elkins"
18:00|"6:00 P.M."|"The resident manager of Glacier Bay Lodge had been doubtful about the wisdom of opening the Icebreaker Lounge from 5:00 to 6:00 P.M. each day with only two small groups staying at the hotel. Servicing a bar for a total of twenty hotel guests, Mr. Granle thought, was likely to be a losing proposition. As it turned out, he was wrong. The members of M. Audley Tremaine's group were on all-inclusive expense accounts and drank accordingly. The Park Service people were not on all-inclusive expense accounts, but they drank like it anyway. For the second evening in a row, there wasn't an empty table, and most people were on their second rounds, a few on their third."|"Icy Clutches"|"Aaron Elkins"
"ap 10:00"|ten|"""Would tomorrow at ten be convenient? We meet in the upstairs lounge."""|"Icy Clutches"|"Aaron Elkins"
"ap ~ 01:00"|"about one"|"Bill looked out the window. “This is your drop-off point,” he said to Gideon. “Tirku Spit. We'll be back for you in about three hours.” He looked at his watch. “At about one. Have fun."""|"Icy Clutches"|"Aaron Elkins"
12:00|noon|"In the next hour, nobody found anything. By noon, when they stopped for a lunch of ham sandwiches and coffee, Gideon was discouraged. He was also cold. Julie, knowing she would be out on the glaciers, had brought her warmest coat to Alaska, a hooded, quilted parka that encased her like a sausage in a bun. But Gideon, expecting to spend his time around protected Bartlett Cove or in a warm tour boat, and believing the tales of fifty-degree weather in September, had only a thinly lined, waist-length windbreaker. It probably was fifty degrees back at Bartlett Cove, but here, on this desolate glacial shelf, it was fifteen degrees colder at least, and the frigid vapor that hung over the glacier made it seem colder yet. His nose was running, his fingers numb and red, his wrist cuffs sopping from poking in the ice, his trousers soaked at the knees from kneeling in the gravel."|"Icy Clutches"|"Aaron Elkins"
12:00|midday|"Rather too much in the way of repose, Tremaine thought with mounting annoyance as he turned over the manuscript page. Lunch had been heavy and long—they hadn't finished until two—and the wine had flowed freely. Did these stuffed and slumbrous people have any idea what he was ordinarily paid to read aloud? Did they know how many millions of Americans tuned in every week to hang on every word? Perhaps he should talk to the manager about lightening the midday meal."|"Icy Clutches"|"Aaron Elkins"
12:04|"12:04 P.M."|"CHAPTER THREE.
July 26, 1960, 12:04 P.M.
In the United States Geological Survey Monitoring Station near Palmer, the needle of the seismograph stopped its gentle bobbing, hesitated, and then jerked sharply, scratching a series of spiky black lines onto the paper-covered drum."|"Icy Clutches"|"Aaron Elkins"
"ap 05:30"|five-thirty|"The phenomenon, he now noted, was not limited to the classroom. By this, the third predinner cocktail hour since their arrival, the seating arrangement in the Icebreaker Lounge was fixed and apparently immutable. There were Tremaine and his admirers in possession of the bar. There were Anna Henckel, Walter Judd, and Gerald Pratt at their corner window table. There were the customary groupings of trainees. When Julie and Gideon had come in at five-thirty, half an hour into things, their table, directly before the fireplace with its newly laid log fire, was waiting for them as if it had been reserved."|"Icy Clutches"|"Aaron Elkins"
"ap 07:40"|"twenty to eight"|"""I'll pick you up at twenty to eight. I arranged for a charter flight to meet his plane in Juneau at seven-thirty. He'll be here about eight."""|"Icy Clutches"|"Aaron Elkins"
"ap 07:30"|seven-thirty|"""I'll pick you up at twenty to eight. I arranged for a charter flight to meet his plane in Juneau at seven-thirty. He'll be here about eight."""|"Icy Clutches"|"Aaron Elkins"
"ap ~ 08:00"|"about eight"|"""I'll pick you up at twenty to eight. I arranged for a charter flight to meet his plane in Juneau at seven-thirty. He'll be here about eight."""|"Icy Clutches"|"Aaron Elkins"
"ap 08:45"|8:45|"""Whatever you want,” Owen said over his shoulder. “We'll be there in ten minutes; 8:45 at the latest."""|"Icy Clutches"|"Aaron Elkins"
"ap 08:20"|"twenty minutes after eight"|"Shirley Yount banged her coffee cup into its saucer. “It's twenty minutes after eight. Maybe somebody ought to go knock on his door."""|"Icy Clutches"|"Aaron Elkins"
"ap 08:45"|8:45|"""Oh?” Fisk paused in his dissection of the bun. “Yes, well, I'll give him fifteen more minutes. Until 8:45."""|"Icy Clutches"|"Aaron Elkins"
