12:00|noon|"By noon he had come up with a plan. With luck, he might never need to bring in the police judiciare at all."|"Skeleton Dance"|"Aaron Elkins"
"ap 05:10"|5:10|"The next ferry would be leaving at 5:10 and they planned to be on it for a Friday night dinner with friends and then a Mariner game at the new ballpark. In the meantime Gideon browsed through the day's output on the book he was working on and Julie fine-tuned their upcoming travel schedule—-a four-week jaunt to Germany's Neander Valley, to Oxford and Sussex in England, and to the Dordogne in France, in that order, scheduled to begin the following week. The itinerary had been determined by Gideon's research needs. Julie, a supervisory park ranger at Olympic National Park's administrative headquarters in Port Angeles, would be visiting one or two parks while they were overseas, but was basically going along, as she freely put it, for the ride, and to provide much-needed ""logistical support"" for the notoriously absent-minded Gideon."|"Skeleton Dance"|"Aaron Elkins"
06:15|"6:15 this morning"|"They had begun the fourteen-hour, eight time-zone flight from Seattle early the day before, arriving jet-lagged and seedy at 6:15 this morning, showered and changed at the airport, taken the Air France bus to the city, had a disappointingly so-so breakfast in a glassed-in streetside brasserie, managed to get in a morning walk around the Tuileries and then caught a taxi to the train station, where a two-day old garbage men's strike had left the place looking as if it had been hit by a tornado. All in all, not a wildly successful Paris visit, and their moods reflected it."|"Skeleton Dance"|"Aaron Elkins"
04:00|"four o'clock in the morning"|"As usual on European trains the coffee came in a flimsy plastic double-cup with a packet of grounds in the upper part, over which the vendor poured hot water; a gimcrack affair, to put it mildly. But also as usual, it was delicious: deeply aromatic, hearty, and soul-satisfying, especially to a couple of coffee-lovers whose biological clocks were under the unhappy impression that it was four o'clock in the morning. For a minute they paused in the narrative and sipped, letting the rich stuff flow like heated wine through their systems."|"Skeleton Dance"|"Aaron Elkins"
"ap 06:00"|six|"Gideon got to his feet, knowing from the resistance of his knees to straightening that he'd been at it too long. ""Lucien, I'm bushed. I'm ready for some fresh air, and I think we've done about all we can here. How about getting this stuff bagged and sent over to the lab? We're supposed to be meeting Julie at six."""|"Skeleton Dance"|"Aaron Elkins"
14:00|"2 p.m."|"Inasmuch as the session wasn't scheduled until 2 p.m., however, they decided to take the morning off and relax. In the afternoon, while Julie attended the symposium, Gideon would finish up with the bones."|"Skeleton Dance"|"Aaron Elkins"
"ap 11:00"|eleven|"""Excellent, most kind, madame,"" said Beaupierre. ""Our meeting is at eleven, Gideon. Perhaps you could describe your purposes in coming in a little more detail. I've told them, of course, but it would be an opportunity for you to orient all of them yourself at a single sitting, and, mm… well."""|"Skeleton Dance"|"Aaron Elkins"
"ap 02:00"|two|"""In the afternoon, however, we are taken up. There is a symposium at two."" He turned to Julie. ""Madame, if you have some interest in the Middle Paleolithic era, perhaps you would care to honor us by attending? It will be in English, you know."""|"Skeleton Dance"|"Aaron Elkins"
"ap 11:00"|eleven|"Beaupierre seemed genuinely delighted. ""I look forward to seeing you and to introducing you to our fellows. And you, Gideon—we'll see you at eleven? You remember where we meet?"""|"Skeleton Dance"|"Aaron Elkins"
"ap < 11:00"|"a few minutes before eleven o'clock"|"So Gideon thought with a smile as he stood unnoticed in the doorway of the Café du Centre's small, plain back room. It was a few minutes before eleven o'clock and the institute's fellows had gathered early for their meeting. There they were at the same scarred round table, the only table in the room, coffee cups and frosted carafes of water at hand, going at it hammer and tongs, just as they'd been doing three years ago, two of them stalwartly standing up for the Neanderthals as brothers, or at least cousins (despite the recent DNA evidence to the contrary), and the other three just as vigorously (and more accurately, in Gideon's view) in favor of demoting them to distant in-laws, no closer to humans than they were to the great apes."|"Skeleton Dance"|"Aaron Elkins"
"ap 04:58"|"two to five"|"Gideon shook his head. ""No, nowhere near that. Right around three years, that's all."" Well, two to five, to be honest, but he'd clearly struck a chord of some kind with three, and if ever there was a time to do what Joly had asked him to, this was it. ""You know, I was talking to the inspector this morning, and he wanted me to check something with you. He seems to think he might know who those bones belonged to: a man by the name of Jean Bousquet. I understand he worked here."""|"Skeleton Dance"|"Aaron Elkins"
"< 12:00"|"almost noon"|"""Chronic pulmonary tubercular infection of the subjacent pleural tissue,"" said Beaupierre. ""My, my, the waters are growing deep for us mere archaeologists. Well, well, Gideon, it's been most interesting, but I think we ought to conclude now. It's almost noon, and I'm sure we all have some final preparations to make for the symposium."""|"Skeleton Dance"|"Aaron Elkins"
"ap 10:00"|"ten o'clock"|"""Yes, that seemed like the right protocol. He's on for ten o'clock, followed at ten-thirty by Pru, who's probably going to be the most informative, then Montfort and the rest of them."""|"Skeleton Dance"|"Aaron Elkins"
"ap 10:30"|ten-thirty|"""Yes, that seemed like the right protocol. He's on for ten o'clock, followed at ten-thirty by Pru, who's probably going to be the most informative, then Montfort and the rest of them."""|"Skeleton Dance"|"Aaron Elkins"
12:00|noon|"He laughed. ""I'm reasonably sated, yes. Anyway, I should be free at noon or a little after. How about joining me for lunch?"""|"Skeleton Dance"|"Aaron Elkins"
