"ap 07:30"|"half past seven"|"Miss Marple got back into bed, plumped her pillows up, glanced at her clock, half past seven, picked up the small devotional book that always accompanied her, and read as usual the page and a half allotted to the day. Then she picked up her knitting and began to knit, slowly at first, since her fingers were stiff and rheumatic when she first awoke, but very soon her pace grew faster, and her fingers lost their painful stiffness."|"At Bertram's Hotel"|"Agatha Christie"
"ap 08:30"|"eight thirty"|"Miss Marple glanced at her little clock. It was eight thirty. Time for her breakfast."|"At Bertram's Hotel"|"Agatha Christie"
"ap ~ 10:00"|"about ten o’clock"|"It was about ten o’clock when she emerged from her room fully equipped: hat, gloves, umbrella—just in case, though it looked fine—handbag—her smartest shopping bag—"|"At Bertram's Hotel"|"Agatha Christie"
12:00|noon|"“You really are lucky not to have a mother,” said Bridget, rather breathlessly as she took her friend into her bedroom and shut the door firmly. “I mean, Mummy’s quite a pet and all that, but the questions she asks! Morning, noon and night. Where are you going, and who have you met? And are they cousins of somebody else of the same name in Yorkshire? I mean, the futility of it all.”"|"At Bertram's Hotel"|"Agatha Christie"
"ap 01:30"|"half past one"|"“I can’t tell you all about it now. There’s no time. I’ve got to meet my guardian, Colonel Luscombe, at Prunier’s for lunch at half past one.”"|"At Bertram's Hotel"|"Agatha Christie"
"~ 12:00"|"about midday"|"“Oh yes, he wrote me a long letter signed Ginevra as though he was a girlfriend. But I do wish you’d stop talking so much, Bridget. We’ve got a lot to do and only about an hour and a half to do it in. Now first of all just listen. I’m coming up tomorrow for an appointment with the dentist. That’s easy, I can put it off by telephone—or you can from here. Then, about midday, you can ring up the Melfords pretending to be your mother and explain that the dentist wants to see me again the next day and so I’m staying over with you here.”"|"At Bertram's Hotel"|"Agatha Christie"
"ap 10:30"|"half past ten"|"“As I told you, I’m going to have a lot of money when I’m twenty-one. I shall be able to buy lots of jewels from them. They won’t make a scandal. Go on and get the money quick. Then go to Aer Lingus and book the ticket—I must take a taxi to Prunier’s. I’m already ten minutes late. I’ll be with you tomorrow morning by half past ten.”"|"At Bertram's Hotel"|"Agatha Christie"
"ap 09:40"|9:40|"“All set for Lucerne?”
“Yes. Plane leaves 9:40.”
That was all she had got the first time. On the way back it had lasted a little longer."|"At Bertram's Hotel"|"Agatha Christie"
"ap 09:00"|"9 o’clock"|"He stared in deep dismay across the counter; but there were many others travelling; the Canon and his perplexities were elbowed aside. He stood sadly, holding the useless ticket in his hand. His mind ranged over various possibilities. Perhaps his ticket could be changed? But that would be no use—no indeed—what time was it now? Going on for 9 o’clock? The conference had actually taken place; starting at 10 o’clock this morning. Of course, that was what Whittaker had meant at the Athenaeum. He thought Canon Pennyfather had already been to the Congress."|"At Bertram's Hotel"|"Agatha Christie"
"ap 10:00"|10|"He stared in deep dismay across the counter; but there were many others travelling; the Canon and his perplexities were elbowed aside. He stood sadly, holding the useless ticket in his hand. His mind ranged over various possibilities. Perhaps his ticket could be changed? But that would be no use—no indeed—what time was it now? Going on for 9 o’clock? The conference had actually taken place; starting at 10 o’clock this morning. Of course, that was what Whittaker had meant at the Athenaeum. He thought Canon Pennyfather had already been to the Congress."|"At Bertram's Hotel"|"Agatha Christie"
"ap > 09:00"|"after nine o’clock"|"“Now, I suppose,” he said to himself, “I suppose—let me see, it’s after nine o’clock, yes, I suppose I had better have something to eat.”"|"At Bertram's Hotel"|"Agatha Christie"
00:00|midnight|"It was a fine night and he walked home to Bertram’s Hotel after first getting into a bus which took him in the opposite direction. It was midnight when he got in and Bertram’s Hotel at midnight usually preserved a decorous appearance of everyone having gone to bed. The lift was on a higher floor so the Canon walked up the stairs. He came to his room, inserted the key in the lock, threw the door open and entered!"|"At Bertram's Hotel"|"Agatha Christie"
"ap 01:00"|one|"“Beastly things, teeth,” said Egerton. “Give us trouble from the cradle to the grave. But I am grateful for the teeth, if it gives me an opportunity of seeing you. Let me see now; you’ve been in Italy, haven’t you, finishing your education there at one of these places all girls go to nowadays?”"|"At Bertram's Hotel"|"Agatha Christie"
"ap 06:30"|6:30|"The Canon was scheduled to return on the train arriving at 6:30 from London."|"At Bertram's Hotel"|"Agatha Christie"
"ap 07:00"|"7 o’clock"|"At 7 o’clock he had not returned. No doubt the train was late. At 7:30 he still had not returned. Mrs. McCrae gave a sigh of vexation. She suspected that this was going to be another of these things. Eight o’clock came and no Canon. Mrs. McCrae gave a long, exasperated sigh. Soon, no doubt, she would get a telephone call, though it was quite within the bounds of possibility that there would not be even a telephone call. He might have written to her. No doubt he had written, but he had probably omitted to post the letter."|"At Bertram's Hotel"|"Agatha Christie"
"ap 07:30"|7:30|"At 7 o’clock he had not returned. No doubt the train was late. At 7:30 he still had not returned. Mrs. McCrae gave a sigh of vexation. She suspected that this was going to be another of these things. Eight o’clock came and no Canon. Mrs. McCrae gave a long, exasperated sigh. Soon, no doubt, she would get a telephone call, though it was quite within the bounds of possibility that there would not be even a telephone call. He might have written to her. No doubt he had written, but he had probably omitted to post the letter."|"At Bertram's Hotel"|"Agatha Christie"
