16:00|16|"15   Evening at the Vicarage
16   The Morning After
17   Mrs. Lancaster"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 11:10"|"Ten past eleven"|"“Always the same time,” said Mrs. Lancaster, in a low voice. “Always the same time of day.” She looked up at the clock on the mantelpiece. Tuppence looked up also. “Ten past eleven,” said the old lady. “Ten past eleven. Yes, it’s always the same time every morning.”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 08:00"|"Eight o’clock"|"“Would you like a call and a cup of tea in the morning? Eight o’clock too early for you?”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap < 08:35"|"nearly five and twenty to nine"|"“I should have thought so, too,” said Tommy, glancing at his wrist watch. “Good Lord, is it nearly five and twenty to nine?”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 10:00"|"ten o’clock"|"“Of course some people do eat dinner late,” said Albert. “I went to Spain once and believe me, you couldn’t get a meal before ten o’clock. Ten p.m. I ask you! Heathens!”"|"By the Pricking of My Thumbs"|"Agatha Christie"
22:00|"Ten p.m."|"“Of course some people do eat dinner late,” said Albert. “I went to Spain once and believe me, you couldn’t get a meal before ten o’clock. Ten p.m. I ask you! Heathens!”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 09:30"|"half past nine"|"“Take that away. You know I hate cabbage,” said Tommy. “Why should she have had an accident? It’s only half past nine now.”"|"By the Pricking of My Thumbs"|"Agatha Christie"
10:00|"ten a.m."|"“Right. I’ll give you my telephone number. I shall be at my surgery until ten a.m.”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 06:30"|six-thirty|"“She didn’t intend it to be her address,” said Tommy. “As far as I can make out she was probably coshed on the head in an out of the way spot somewhere. Someone took her along in a car and dumped her at the side of the road somewhere, to be picked up as an ordinary hit and run.” He added, “Call me at six-thirty tomorrow morning. I want to get an early start.”"|"By the Pricking of My Thumbs"|"Agatha Christie"
"ap 04:50"|4:50|"A Pocket Full of Rye
4:50 from Paddington
The Mirror Crack’d from Side to Side"|"By the Pricking of My Thumbs"|"Agatha Christie"
