"ap 02:35"|2:35|"At the Cavendish Secretarial and Typewriting Bureau, Principal, Miss K. Martindale, September 9th had been a dull day, a day of routine. The telephone rang, typewriters clicked, the pressure of business was average, neither above nor below its usual volume. None of it was particularly interesting. Up till 2:35, September 9th might have been a day like any other day."|"The Clocks"|"Agatha Christie"
"ap 02:35"|2:35|"At 2:35 Miss Martindale’s buzzer went, and Edna Brent in the outer office answered it in her usual breathy and slightly nasal voice, as she manoeuvred a toffee along the line of her jaw."|"The Clocks"|"Agatha Christie"
"ap 02:36"|2:36|"“Ah.” Miss Martindale’s eye consulted the clock on her desk. 2:36. Exactly six minutes late. Sheila Webb had been getting slack lately. “Send her in when she comes.”"|"The Clocks"|"Agatha Christie"
"ap 03:00"|"three o’clock"|"“There is always a terrific bus jam at this time of day. You should allow for it.” She referred to a note on her pad. “A Miss Pebmarsh rang up. She wants a stenographer at three o’clock. She asked for you particularly. Have you worked for her before?”"|"The Clocks"|"Agatha Christie"
"ap 03:00"|"Three o’clock"|"“Three o’clock. You can manage that easily. Have you any other appointments this afternoon? Ah, yes,” her eye ran down the appointment book at her elbow. “Professor Purdy at the Curlew Hotel. Five o’clock. You ought to be back before then. If not, I can send Janet.”"|"The Clocks"|"Agatha Christie"
"ap 05:00"|"Five o’clock"|"“Three o’clock. You can manage that easily. Have you any other appointments this afternoon? Ah, yes,” her eye ran down the appointment book at her elbow. “Professor Purdy at the Curlew Hotel. Five o’clock. You ought to be back before then. If not, I can send Janet.”"|"The Clocks"|"Agatha Christie"
"ap > 04:10"|"a little after ten minutes past four"|"Sheila Webb looked at the clock on the desk with some surprise. It showed the time to be a little after ten minutes past four. Her gaze shifted to the chimney piece. The clock there said the same."|"The Clocks"|"Agatha Christie"
14:59|"2:59 p.m."|"To use police terms: at 2:59 p.m. on September 9th, I was proceeding along Wilbraham Crescent in a westerly direction. It was my first introduction to Wilbraham Crescent, and frankly Wilbraham Crescent had me baffled."|"The Clocks"|"Agatha Christie"
19:00|19|"At 19, Wilbraham Crescent the machinery of the Law was in possession. There was a police surgeon, a police photographer, fingerprint men. They moved efficiently, each occupied with his own routine."|"The Clocks"|"Agatha Christie"
"ap 03:00"|"three o’clock"|"“Well, it was this way.” Sheila Webb was speaking now with more confidence. “This Miss Pebmarsh rang up the Bureau and asked for a stenographer to be here at three o’clock. So when I came back from lunch Miss Martindale told me to go.”"|"The Clocks"|"Agatha Christie"
"ap < 03:00"|"just before three o’clock"|"“It must have been just before three o’clock, because the cuckoo clock—” she stopped abruptly. Her eyes widened. “How queer. How very queer. I never really noticed at the time.”"|"The Clocks"|"Agatha Christie"
"ap 03:00"|three|"“The cuckoo clock struck three all right, but all the others were about an hour fast. How very odd!”"|"The Clocks"|"Agatha Christie"
"ap 01:30"|1:30|"“Miss Pebmarsh, this man according to the medical evidence died roughly between 1:30 and 2:45. Where were you yourself then?”"|"The Clocks"|"Agatha Christie"
"ap 02:45"|2:45|"“Miss Pebmarsh, this man according to the medical evidence died roughly between 1:30 and 2:45. Where were you yourself then?”"|"The Clocks"|"Agatha Christie"
"ap 01:30"|1:30|"“At 1:30 I must either have left or been preparing to leave the house. I had some shopping to do.”"|"The Clocks"|"Agatha Christie"
"ap 01:30"|"half past one"|"“It seems an ordinary travelling clock,” she said, “the leather folding kind. It is not mine, Inspector Hardcastle, and it was not in this room, I am fairly sure I can say, when I left the house at half past one.”"|"The Clocks"|"Agatha Christie"
"ap 04:13"|"thirteen minutes past four"|"“I’ve been over everything, sir. No dabs on the gilt clock, but there wouldn’t be. The surface wouldn’t take it. The same goes for the china one. But there are no dabs on the leather travelling clock or the silver one and that is a bit unlikely if things were normal—there ought to be dabs. By the way, none of them are wound up and they are all set to the same time—thirteen minutes past four.”"|"The Clocks"|"Agatha Christie"
"ap 03:00"|"three o’clock"|"“You did not need the services of a shorthand typist or stenographer and you did not ring up the Cavendish Bureau or request that one should be here at three o’clock.”"|"The Clocks"|"Agatha Christie"
"ap ~ 01:30"|"approximately 1:30"|"“When you left the house at approximately 1:30, there were in this room only two clocks, the cuckoo clock and the grandfather clock. No others.”"|"The Clocks"|"Agatha Christie"
"ap 10:00"|"ten o’clock"|"“Yes. I went at ten o’clock as usual to the Aaronberg Institute. I have classes there until twelve fifteen. I returned here at about quarter to one, made myself some scrambled eggs in the kitchen and a cup of tea and went out again, as I have said, at half past one. I ate my meal in the kitchen, by the way, and did not come into this room.”"|"The Clocks"|"Agatha Christie"
"ap 00:15"|"twelve fifteen"|"“Yes. I went at ten o’clock as usual to the Aaronberg Institute. I have classes there until twelve fifteen. I returned here at about quarter to one, made myself some scrambled eggs in the kitchen and a cup of tea and went out again, as I have said, at half past one. I ate my meal in the kitchen, by the way, and did not come into this room.”"|"The Clocks"|"Agatha Christie"
"ap ~ 00:45"|"about quarter to one"|"“Yes. I went at ten o’clock as usual to the Aaronberg Institute. I have classes there until twelve fifteen. I returned here at about quarter to one, made myself some scrambled eggs in the kitchen and a cup of tea and went out again, as I have said, at half past one. I ate my meal in the kitchen, by the way, and did not come into this room.”"|"The Clocks"|"Agatha Christie"
"ap 01:30"|"half past one"|"“Yes. I went at ten o’clock as usual to the Aaronberg Institute. I have classes there until twelve fifteen. I returned here at about quarter to one, made myself some scrambled eggs in the kitchen and a cup of tea and went out again, as I have said, at half past one. I ate my meal in the kitchen, by the way, and did not come into this room.”"|"The Clocks"|"Agatha Christie"
10:00|"ten o’clock this morning"|"“I see,” said Hardcastle. “So while you can say definitely that at ten o’clock this morning there were no superfluous clocks here, they could possibly have been introduced some time during the morning.”"|"The Clocks"|"Agatha Christie"
"ap ~ 10:00"|"about ten"|"“As to that you would have to ask my cleaning woman, Mrs. Curtin. She comes here about ten and usually leaves about twelve o’clock. She lives at 17, Dipper Street.”"|"The Clocks"|"Agatha Christie"
"ap ~ 00:00"|"about twelve o’clock"|"“As to that you would have to ask my cleaning woman, Mrs. Curtin. She comes here about ten and usually leaves about twelve o’clock. She lives at 17, Dipper Street.”"|"The Clocks"|"Agatha Christie"
17:00|17|"“As to that you would have to ask my cleaning woman, Mrs. Curtin. She comes here about ten and usually leaves about twelve o’clock. She lives at 17, Dipper Street.”"|"The Clocks"|"Agatha Christie"
"ap 04:13"|"thirteen minutes past four"|"“Thank you, Miss Pebmarsh. Now we are left with these following facts and this is where I want you to give me any ideas or suggestions that occur to you. At some time during today four clocks were brought here. The hands of these four clocks were set at thirteen minutes past four. Now does that time suggest anything to you?”"|"The Clocks"|"Agatha Christie"
"ap 04:13"|"Thirteen minutes past four"|"“Thirteen minutes past four.” Miss Pebmarsh shook her head. “Nothing at all.”"|"The Clocks"|"Agatha Christie"
"ap 01:30"|"one thirty"|"“Now we pass from the clocks to the dead man. It seems unlikely that he would have been let in by your cleaning woman and left in the house by her unless you had told her you were expecting him, but that we can learn from her. He came here presumably to see you for some reason, either a business one or a private one. Between one thirty and two forty-five he was stabbed and killed. If he came here by appointment, you say you know nothing of it. Presumably he was connected with insurance—but there again you cannot help us. The door was unlocked so he could have come in and sat down to wait for you—but why?”"|"The Clocks"|"Agatha Christie"
"ap 02:45"|"two forty-five"|"“Now we pass from the clocks to the dead man. It seems unlikely that he would have been let in by your cleaning woman and left in the house by her unless you had told her you were expecting him, but that we can learn from her. He came here presumably to see you for some reason, either a business one or a private one. Between one thirty and two forty-five he was stabbed and killed. If he came here by appointment, you say you know nothing of it. Presumably he was connected with insurance—but there again you cannot help us. The door was unlocked so he could have come in and sat down to wait for you—but why?”"|"The Clocks"|"Agatha Christie"
"ap 04:13"|4:13|"“There’s no sign of a container anywhere,” said Hardcastle. “He could hardly have brought four clocks in his pockets. Now Miss Pebmarsh, think very carefully. Is there any association in your mind, any suggestion you could possibly make about anything to do with clocks, or if not with clocks, say with time. 4:13. Thirteen minutes past four?”"|"The Clocks"|"Agatha Christie"
