"ap 08:00"|"eight o’clock"|"Mrs. Ferrars died on the night of the 16th–17th September—a Thursday. I was sent for at eight o’clock on the morning of Friday the 17th. There was nothing to be done. She had been dead some hours."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap > 09:00"|"a few minutes after nine"|"It was just a few minutes after nine when I reached home once more. I opened the front door with my latchkey, and purposely delayed a few moments in the hall, hanging up my hat and the light overcoat that I had deemed a wise precaution against the chill of an early autumn morning. To tell the truth, I was considerably upset and worried. I am not going to pretend that at that moment I foresaw the events of the next few weeks. I emphatically did not do so. But my instinct told me that there were stirring times ahead."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 07:30"|7:30|"“Then this afternoon—no, better still, dine tonight. At 7:30. Will that suit you?”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 07:30"|Seven-thirty|"“Ralph?” he said vaguely. “Oh! no, it’s not Ralph. Ralph’s in London—Damn! Here’s old Miss Gannett coming. I don’t want to have to talk to her about this ghastly business. See you tonight, Sheppard. Seven-thirty.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap < 07:27"|"a few minutes before half past seven"|"It was just a few minutes before half past seven when I rang the frontdoor bell of Fernly Park. The door was opened with admirable promptitude by Parker, the butler."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 07:30"|"gone half past seven"|"“Oh! I don’t think so. It’s gone half past seven, Dr. Sheppard.” She paused a minute before saying, “I—didn’t know you were expected to dinner tonight. Mr. Ackroyd didn’t mention it.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 08:40"|"twenty minutes to nine"|"The letter had been brought in at twenty minutes to nine. It was just on ten minutes to nine when I left him, the letter still unread. I hesitated with my hand on the door handle, looking back and wondering if there was anything I had left undone. I could think of nothing. With a shake of the head I passed out and closed the door behind me."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 08:50"|"ten minutes to nine"|"The letter had been brought in at twenty minutes to nine. It was just on ten minutes to nine when I left him, the letter still unread. I hesitated with my hand on the door handle, looking back and wondering if there was anything I had left undone. I could think of nothing. With a shake of the head I passed out and closed the door behind me."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:00"|"nine o’clock"|"The village church clock chimed nine o’clock as I passed through the lodge gates. I turned to the left towards the village, and almost cannoned into a man coming in the opposite direction."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:00"|"ten o’clock"|"At ten o’clock I rose, yawned, and suggested bed. Caroline acquiesced."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:15"|"quarter past ten"|"It was a quarter past ten as we went up the stairs. I had just reached the top when the telephone rang in the hall below."|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:00"|"nine o’clock"|"“Just nine o’clock. I heard it chime the hour as I was turning out of the gate.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 08:50"|"about ten minutes to nine"|"“Probably by me,” I said, “when I left at—let me see—about ten minutes to nine. He told me that he didn’t wish to be disturbed, and I repeated the order to Parker.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:30"|"half past nine"|"“Mr. Ackroyd was certainly alive at half past nine,” put in Raymond, “for I heard his voice in here talking.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:15"|"quarter past nine"|"“I was at home by a quarter past nine,” I said. “I didn’t go out again until I received the telephone call.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:30"|"half past nine"|"“Who could have been with him at half past nine?” queried the inspector. “It wasn’t you, Mr—er—”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
21:30|"nine-thirty this evening"|"“Just so, June it was. Now, as I was saying, it wasn’t you with Mr. Ackroyd at nine-thirty this evening?”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:30"|nine-thirty|"“One thing’s clear,” he said at length, rousing himself from his absorption. “Mr. Ackroyd was alive and well at nine-thirty. That is the last moment at which he is known to have been alive.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 09:45"|"About a quarter to ten"|"“Yes, sir. About a quarter to ten that would be. It was after that that she told me Mr. Ackroyd wasn’t to be disturbed again tonight.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 09:45"|"about a quarter to ten"|"“It’s just this, Miss Ackroyd. Parker here says you came out of your uncle’s study at about a quarter to ten. Is that right?”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:30"|"half past nine"|"“Mightn’t have had time to go on with the letter just then,” suggested the inspector. “We know someone was with him at half past nine. If that visitor turned up as soon as you left, and after he went, Miss Ackroyd came in to say goodnight—well, he wouldn’t be able to go on with the letter until close upon ten o’clock.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:00"|"ten o’clock"|"“Mightn’t have had time to go on with the letter just then,” suggested the inspector. “We know someone was with him at half past nine. If that visitor turned up as soon as you left, and after he went, Miss Ackroyd came in to say goodnight—well, he wouldn’t be able to go on with the letter until close upon ten o’clock.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 09:00"|"about nine o’clock"|"“No. I was astounded. I couldn’t understand it. I went there and asked for him. They told me, what I suppose they told you last night, that he went out at about nine o’clock yesterday evening—and—and never came back.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:00"|"nine o’clock"|"“Went out just on nine o’clock last night. Was seen in the neighbourhood of Fernly Park somewhere about nine-thirty. Not been seen since. Believed to be in serious money difficulties. I’ve got a pair of his shoes here—shoes with rubber studs in them. He had two pairs, almost exactly alike. I’m going up now to compare them with those footmarks. The constable is up there seeing that no one tampers with them.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap ~ 09:30"|"about nine-thirty"|"“Went out just on nine o’clock last night. Was seen in the neighbourhood of Fernly Park somewhere about nine-thirty. Not been seen since. Believed to be in serious money difficulties. I’ve got a pair of his shoes here—shoes with rubber studs in them. He had two pairs, almost exactly alike. I’m going up now to compare them with those footmarks. The constable is up there seeing that no one tampers with them.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 08:50"|"ten minutes to nine"|"“Oh! that was very simple. You leave Mr. Ackroyd at—ten minutes to nine, was it not?”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:15"|"quarter past ten"|"“The window is then closed and bolted and the door unlocked. At a quarter past ten when the body is discovered, the door is locked and the window is open. Who opened it? Clearly only Mr. Ackroyd himself could have done so, and for one of two reasons. Either because the room became unbearably hot, but since the fire was nearly out and there was a sharp drop in temperature last night, that cannot be the reason, or because he admitted someone that way. And if he admitted someone that way, it must have been someone well known to him, since he had previously shown himself uneasy on the subject of that same window.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 09:30"|nine-thirty|"“Everything is simple, if you arrange the facts methodically. We are concerned now with the personality of the person who was with him at nine-thirty last night. Everything goes to show that that was the individual admitted by the window, and though Mr. Ackroyd was seen alive later by Miss Flora, we cannot approach a solution of the mystery until we know who that visitor was. The window may have been left open after his departure and so afforded entrance to the murderer, or the same person may have returned a second time. Ah! here is the colonel who returns.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:15"|10:15|"“That telephone call has been traced at last,” he said. “It did not come from here. It was put through to Dr. Sheppard at 10:15 last night from a public call office at King’s Abbot station. And at 10:23 the night mail leaves for Liverpool.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
"ap 10:23"|10:23|"“That telephone call has been traced at last,” he said. “It did not come from here. It was put through to Dr. Sheppard at 10:15 last night from a public call office at King’s Abbot station. And at 10:23 the night mail leaves for Liverpool.”"|"The Murder of Roger Ackroyd"|"Agatha Christie"
