23:00|"eleven p.m."|"I pushed back my manuscript with loathing, got up and looked at my watch. The time was close on eleven p.m. I tried to remember if I had had dinner… From my inner sensations I thought not. Lunch, yes, at the Athenaeum. That was a long time ago."|"The Pale Horse"|"Agatha Christie"
"~ 19:00"|"about seven o’clock in the evening"|"“A boy called at Father Gorman’s about seven o’clock in the evening. Said a woman was dying and wanted the priest. Father Gorman went with him.”"|"The Pale Horse"|"Agatha Christie"
"ap 07:15"|"quarter past seven"|"“We know. It didn’t take long to check up. Twenty-three Benthall Street. House owned by a woman named Coppins. The sick woman was a Mrs. Davis. The priest got there at a quarter past seven and was with her for about half an hour. Mrs. Davis died just before the ambulance arrived to take her to hospital.”"|"The Pale Horse"|"Agatha Christie"
"ap 07:45"|"quarter to eight"|"“Could be. Tony didn’t notice when he went. Didn’t notice what he looked like, either. Described him as an inconspicuous type of man. Respectable. The kind of man that looks like everybody else. Medium height, he thinks, dark blue overcoat—or could be brown. Not very dark and not very fair. No reason he should have had anything to do with it. One just doesn’t know. He hasn’t come forward to say he saw the priest in Tony’s place—but it’s early days yet. We’re asking for anyone who saw Father Gorman between a quarter to eight and eight fifteen to communicate with us. Only two people so far have responded: a woman and a chemist who had a shop nearby. I’ll be going to see them presently. His body was found at eight fifteen by two small boys in West Street—you know it? Practically an alleyway, bounded by the railway on one side. The rest—you know.”"|"The Pale Horse"|"Agatha Christie"
"ap 08:15"|"eight fifteen"|"“Could be. Tony didn’t notice when he went. Didn’t notice what he looked like, either. Described him as an inconspicuous type of man. Respectable. The kind of man that looks like everybody else. Medium height, he thinks, dark blue overcoat—or could be brown. Not very dark and not very fair. No reason he should have had anything to do with it. One just doesn’t know. He hasn’t come forward to say he saw the priest in Tony’s place—but it’s early days yet. We’re asking for anyone who saw Father Gorman between a quarter to eight and eight fifteen to communicate with us. Only two people so far have responded: a woman and a chemist who had a shop nearby. I’ll be going to see them presently. His body was found at eight fifteen by two small boys in West Street—you know it? Practically an alleyway, bounded by the railway on one side. The rest—you know.”"|"The Pale Horse"|"Agatha Christie"
"ap ~ 07:50"|"about ten minutes to eight"|"The woman who had reported having seen Father Gorman in the street that evening had no useful information to give. She was a Catholic who attended St. Dominic’s and she knew Father Gorman by sight. She had seen him turn out of Benthall Street and go into Tony’s Place about ten minutes to eight. That was all."|"The Pale Horse"|"Agatha Christie"
"ap 05:11"|"five eleven"|"“Well—five eleven to six feet, at least, I’d say. Though he might have seemed taller than he was because he was very thin. Sloping shoulders he had, and a definite Adam’s apple. Grew his hair rather long under his Homburg. A great beak of a nose. Very noticeable. Naturally I couldn’t say as to the colour of his eyes. I saw him in profile as you’ll appreciate. Perhaps fifty as to age. I’m going by the walk. A youngish man moves quite differently.”"|"The Pale Horse"|"Agatha Christie"
"ap 00:10"|12:10|"“‘Is it your poor child who’s buried there behind the fireplace?’ And then she nodded her head and said ‘12:10 exactly. It’s always at the same time every day. Pretend you don’t notice the blood.’"|"The Pale Horse"|"Agatha Christie"
"ap > 04:00"|"after four o’clock"|"It was after four o’clock when we left Priors Court. After a particularly delicious lunch, Venables had taken us on a tour of the house. He had taken a real pleasure in showing us his various possessions—a veritable treasure-house the place was."|"The Pale Horse"|"Agatha Christie"
"ap ~ 06:50"|"about ten minutes to seven"|"The next morning I tried to get hold of Jim Corrigan—without success. I left a message, however, that I’d be in between six and seven, if he could come for a drink. He was a busy man, I knew, and I doubted if he would be able to come at such short notice, but he turned up all right at about ten minutes to seven. While I was getting him a whisky he wandered round looking at my pictures and books. He remarked finally that he wouldn’t have minded being a Mogul Emperor himself instead of a hard-pressed overworked police surgeon."|"The Pale Horse"|"Agatha Christie"
"ap 04:00"|"four o’clock"|"“Personally I’d be inclined to say of course she can’t! But odd things can happen. Especially with things like hypnotism. Telling someone to go and take a bite out of a candle the next afternoon at four o’clock, and they do it without having any idea why. That sort of thing. And electric boxes where you put in a drop of blood and it tells you if you’re going to have cancer in two years’ time. It all sounds rather bogus—but perhaps not entirely bogus. About Thyrza—I don’t think it’s true—but I’m terribly afraid it might be!”"|"The Pale Horse"|"Agatha Christie"
"ap 03:30"|"three thirty"|"I hadn’t bargained for tea—my appointment had been for three thirty, but I said that perhaps the house first."|"The Pale Horse"|"Agatha Christie"
"ap ~ 07:00"|"About seven o’clock"|"“Suppose you come and have a light meal with us first,” she said. “We never eat much before a séance. About seven o’clock? Good, we’ll be expecting you.”"|"The Pale Horse"|"Agatha Christie"
