"ap 04:55"|4:55|"When the 4:55 drew up at Abbots Cross station, there descended from it M. Hercule Poirot, very neatly and foppishly attired, his moustaches waxed to a stiff point. He gave up his ticket, passed through the barrier, and was accosted by a tall chauffeur."|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 11:00"|"eleven o’clock"|"“I had retired, sir, at eleven o’clock. Miss Margrave had gone to bed, and Lady Astwell was with Sir Reuben in the Tower room.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap ~ 11:30"|"about half past eleven"|"“The Tower room, sir, is directly over this. If people are talking in it one can hear the murmur of voices, but naturally not anything that is said. I must have fallen asleep about half past eleven. It was just twelve o’clock when I was awakened by the sound of the front door being slammed to and knew Mr. Leverson had returned. Presently I heard footsteps overhead, and a minute or two later Mr. Leverson’s voice talking to Sir Reuben."|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 00:00"|"twelve o’clock"|"“The Tower room, sir, is directly over this. If people are talking in it one can hear the murmur of voices, but naturally not anything that is said. I must have fallen asleep about half past eleven. It was just twelve o’clock when I was awakened by the sound of the front door being slammed to and knew Mr. Leverson had returned. Presently I heard footsteps overhead, and a minute or two later Mr. Leverson’s voice talking to Sir Reuben."|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 11:00"|"eleven o’clock"|"“I worked with Sir Reuben for about an hour and a half. At eleven o’clock Lady Astwell came in, and Sir Reuben told me I could go to bed.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 07:30"|"half past seven"|"“C’est bien! I have finished here.”
“Dinner is at half past seven,” murmured the secretary.
“I thank you, M. Trefusis, for your many amiabilities.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap ~ 11:00"|"about eleven o’clock"|"“It was about eleven o’clock, I fancy, when you went into the Tower room, and Sir Reuben dismissed Mr. Trefusis. Is that right?”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 23:45"|"quarter to twelve"|"“It was just a quarter to twelve when I got up to my room; I remember glancing at the clock.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 23:45"|"quarter to twelve"|"“You left Sir Reuben at a quarter to twelve. At five minutes to twelve Mr. Leverson came in. In that ten minutes you say the secretary came along from his bedroom and murdered him?”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 23:55"|"five minutes to twelve"|"“You left Sir Reuben at a quarter to twelve. At five minutes to twelve Mr. Leverson came in. In that ten minutes you say the secretary came along from his bedroom and murdered him?”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap ~ 23:55"|"about five minutes to twelve"|"“As I say, I waited up for Charles. I heard the front door slam, as I thought, about five minutes to twelve, but there was no sign of Charles for about ten minutes. When he did come up the stairs I saw that it was no good tackling him that night.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 23:45"|"quarter to twelve"|"“Lady Astwell says that she left her husband at a quarter to twelve, while the secretary had gone to bed at eleven o’clock. The only time he could have committed the crime was between a quarter to twelve and Charles Leverson’s return. Now, if, as you say, you sat with your door open, he could not have come out of his room without your seeing him.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 11:00"|"eleven o’clock"|"“Lady Astwell says that she left her husband at a quarter to twelve, while the secretary had gone to bed at eleven o’clock. The only time he could have committed the crime was between a quarter to twelve and Charles Leverson’s return. Now, if, as you say, you sat with your door open, he could not have come out of his room without your seeing him.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap ~ 00:30"|"about half past twelve"|"“There was one gentleman out late that night, came in about half past twelve, as far as I can remember. Quite a habit of his it was, to go out for a walk at that time of the evening. He had done it once or twice before. Let me see now, what was his name? Just for the moment I can’t remember it.”"|"The Under Dog and Other Stories"|"Agatha Christie"
"ap 00:00"|twelve|"“I was to go in first and see that the way was clear. I heard the church clock strike twelve as I went in by the side door. I was half-way up the stairs leading to the Tower room, when I heard a thud of something falling, and a voice cried out, ‘My God!’ A minute or two afterwards the door of the Tower room opened, and Charles Leverson came out. I could see his face quite clearly in the moonlight, but I was crouching some way below him on the stairs where it was dark, and he did not see me at all."|"The Under Dog and Other Stories"|"Agatha Christie"
"ap ~ 00:30"|"about half past twelve"|"“It is always possible,” admitted Poirot. “He certainly dined at the hotel, but how soon he went out afterwards is difficult to fix exactly. He returned about half past twelve.”"|"The Under Dog and Other Stories"|"Agatha Christie"
