00:00|midnight|"It was cold. The truck wouldn’t turn over until he set the hot teakettle on the battery for half an hour. He probably wouldn’t be able to start it again at midnight when the Comet dosed, but he didn’t care now and a kind of impatient joy sent him skidding around the gravelly curves, running the intersection stop sign. He didn’t see any lights coming. He rushed toward the Comet’s warmth."|Postcards|"Annie Proulx"
"~ 12:00"|"around noon"|"Late in the morning they could see thunderheads bunching up behind them in the southeast. Loyal pulled into a Texaco filling station in Little Falls around noon."|Postcards|"Annie Proulx"
"ap 02:10"|"ten past two"|"‘Christ,’ said Loyal, holding the jerking arm and seeing ten past two. Which two? Two in the morning after the cave-in or twenty-four hours later, the next afternoon?"|Postcards|"Annie Proulx"
02:00|"Two in the morning"|"‘Christ,’ said Loyal, holding the jerking arm and seeing ten past two. Which two? Two in the morning after the cave-in or twenty-four hours later, the next afternoon?"|Postcards|"Annie Proulx"
02:00|"2 A.M."|"‘Cucumber, you think it’s afternoon or 2 A.M.?’ And looked at Cucumber spraddled, arms pressed against the rock to take the weight off his feet, head down. Cucumber turned his head toward the light and Loyal saw the blood tracking from black nostrils, the wet shirt shining with blood, the water around Cucumber’s knees washed with blood. Cucumber opened his mouth and his pale tongue crept from between his bloody teeth."|Postcards|"Annie Proulx"
"ap 02:10"|"ten past two"|"Then he would rouse Berg for the time, but the headlamps were dim and it always seemed to be ten past two."|Postcards|"Annie Proulx"
00:00|midnight|"He lined up his black rubbers so the toes touched the office wall, hung his poplin raincoat on the coat rack. He rummaged then, not in Mr. Plute’s office which was locked with two keys, but in Mrs. Cutter’s desk, taking the file cabinet keys and two of her Smith Brothers’ cough drops to suck on while he read the letters and studied the office accounts ledger, then into Perce’s cubicle to go through the folder of outstanding claims and put red mental asterisks in the corners of two cases. The Hakey business where old man Hakey told his daughter’s boyfriend to take a powder and then, lo and behold, at midnight Hakey’s Farm Feeds & Seeds burst into flame. The volunteer fire department couldn’t get the fire truck started. That one stank of arson. And what about this. Cattle auctioneer, Ruben Quilliam. House burned. Nothing really obvious, but Quilliam’s wife had just divorced him, and maybe he’d been drunk and set the house on fire to show her. He’d look around, talk to Quilliam’s neighbors. Perce was too soft; he had these claims ticketed for payment."|Postcards|"Annie Proulx"
"ap 05:00"|"five o’clock"|"‘Ride over with Mrs. Nipple. Ronnie’s takin’ her. Loyal could pick us up, save Ronnie a second trip. He’s got cows, too, you know. At five o’clock. It’s from one to five. I’m goin’ to start the supper in the mornin’, a good chicken stew or something, so it’ll be quick to get up when I come back.’"|Postcards|"Annie Proulx"
"ap 04:59"|"one to five"|"‘Ride over with Mrs. Nipple. Ronnie’s takin’ her. Loyal could pick us up, save Ronnie a second trip. He’s got cows, too, you know. At five o’clock. It’s from one to five. I’m goin’ to start the supper in the mornin’, a good chicken stew or something, so it’ll be quick to get up when I come back.’"|Postcards|"Annie Proulx"
"ap 09:00"|"nine o’clock"|"At nine o’clock on Saturday morning Mernelle was drying the cereal bowls and thinking what to say to Jewell. The sink gave off its odor. She might say ‘I am getting away from the sink.’ Or, ‘What am I supposed to do, rot here in this place?’ Her clothes were ready. The blue skirt, a deep violet blue that had hardly faded from hanging on the line, and the white blouse with the buttons shaped like tiny pearl hearts. She had a lemon put aside; when she washed her hair, lemon juice in the rinse water would give it a red tone. ‘“Little spitfire,”’ she whispered to herself, thinking of some movie. She could say ‘You and Da lived like pigs. I want a nice place like Mrs. Weedmeyer’s that fixed up the Batchelder dump. A shower with a glass door. Carpets. Silverware with roses on the handles and matching plates with blue rims and a golden stripe.’"|Postcards|"Annie Proulx"
"ap 08:00"|eight|"On Friday mornings in Boston Witkin got up before light, thinking of the drive north, the feeling of climbing up some great slope as though the north was higher in altitude. It was higher, he knew it. He loaded the station wagon before Matitia was awake and was at his office at eight. The last patient came at noon and then he was on his way. But once at the camp he felt uncertain. It was as if the road between his two lives was the realest thing of all, as if the journey counted more than arriving at the end."|Postcards|"Annie Proulx"
12:00|noon|"On Friday mornings in Boston Witkin got up before light, thinking of the drive north, the feeling of climbing up some great slope as though the north was higher in altitude. It was higher, he knew it. He loaded the station wagon before Matitia was awake and was at his office at eight. The last patient came at noon and then he was on his way. But once at the camp he felt uncertain. It was as if the road between his two lives was the realest thing of all, as if the journey counted more than arriving at the end."|Postcards|"Annie Proulx"
