"ap 10:30"|"half-past ten"|"While he was doing so another member entered the club. This was a middle-aged baronet, Sir Eustace Pennefather, who had rooms just round the corner, in Berkeley Street, but spent most of his time at the Rainbow. The porter glanced up at the clock, as he did every morning when Sir Eustace came in, and, as always, it was exactly half-past ten. The time was thus definitely fixed by the porter beyond any doubt."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap ~ 00:30"|"about half-past twelve"|"Bendix himself proceeded to study The Daily Telegraph. He was rather at a loose end that morning. There were no board meetings for him, and none of the businesses in which he was interested called him out into the rain of a typical November day. He spent the rest of the morning in an aimless way, read the daily papers, glanced through the weeklies, and played a hundred up at billiards with another member equally idle. At about half-past twelve he went back to lunch to his house in Eaton Square, taking the chocolates with him."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 02:30"|"half-past two"|"The conversation in the drawing-room had taken place approximately between a quarter-past and half-past two. Bendix kept his appointment in the City at three, where he stayed for about half-an-hour, and then took a taxi back to his club for tea."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 03:00"|three|"The conversation in the drawing-room had taken place approximately between a quarter-past and half-past two. Bendix kept his appointment in the City at three, where he stayed for about half-an-hour, and then took a taxi back to his club for tea."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 03:15"|"quarter past three"|"At a quarter past three there was a violent ring from the bell in Mrs. Bendix’s room."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"~ 20:00"|"about eight o’clock that night"|"“Not that the doctor knew then what the poison was. He treated him chiefly for prussic acid poisoning, thinking from the symptoms and the smell that Mr. Bendix must have taken oil of bitter almonds, but he wasn’t sure and threw in one or two other things as well. Anyhow, it turned out in the end that he couldn’t have had a fatal dose, and he was conscious again by about eight o’clock that night. They’d put him into one of the club bedrooms, and by the next day he was convalescent.”"|"The Poisoned Chocolates Case"|"Anthony Berkeley"
21:30|"nine-thirty p.m."|"As regards the wrapper, Mr. Mason had been unable to help at all. This consisted simply of a piece of ordinary, thin brown paper, such as could be bought anywhere, with Sir Eustace’s name and address hand-printed on it in neat capitals. Apparently there was nothing to be learnt from it at all. The postmark showed that it had been despatched by the nine-thirty p.m. post from the post office in Southampton Street, Strand."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 09:30"|"half-past nine"|"“Naturally, we’ve made inquiries as to any one seen posting a packet in Southampton Street between half-past eight and half-past nine,” Moresby continued, “but without result. We’ve also carefully interrogated Sir Eustace Pennefather to discover whether he could throw any light on the question why any one should wish to take his life, or who. Sir Eustace can’t give us the faintest idea. Of course we followed up the usual line of inquiry as to who would benefit by his death, but without any helpful results. Most of his possessions go to his wife, who has a divorce suit pending against him; and she’s out of the country. We’ve checked her movements and she’s out of the question. Besides,” added Moresby unprofessionally, “she’s a very nice lady."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 08:30"|eight-thirty|"“Then there is the matter of the post-mark. I agree with Sir Charles that we may take it for granted that the murderer, cunning though he is, and anxious though he might be to establish an alibi, would not entrust the posting of the fatal parcel to any one else. Apart from a confederate, which I am sure we may rule out of the question, it would be far too dangerous; the name of Sir Eustace Pennefather could hardly escape being seen, and the connection later established. The murderer, secure in his conviction that suspicion will never fall on himself of all people (just like all murderers that have ever been), gambles a possible alibi against a certain risk and posts the thing himself. It is therefore advisable, just to clinch the case against him, to connect the man with the neighbourhood of the Strand between the hours of eight-thirty and nine-thirty on that particular evening."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap 09:30"|nine-thirty|"“Then there is the matter of the post-mark. I agree with Sir Charles that we may take it for granted that the murderer, cunning though he is, and anxious though he might be to establish an alibi, would not entrust the posting of the fatal parcel to any one else. Apart from a confederate, which I am sure we may rule out of the question, it would be far too dangerous; the name of Sir Eustace Pennefather could hardly escape being seen, and the connection later established. The murderer, secure in his conviction that suspicion will never fall on himself of all people (just like all murderers that have ever been), gambles a possible alibi against a certain risk and posts the thing himself. It is therefore advisable, just to clinch the case against him, to connect the man with the neighbourhood of the Strand between the hours of eight-thirty and nine-thirty on that particular evening."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap > 10:00"|"after ten o’clock"|"“I admit all this, but none of it is evidence that would have very much weight in a court of law. If you want me to prove that I did not actually send those chocolates, what am I to say? I could bring my two neighbours at the dinner, who would swear that I never left my seat till—well, it must have been after ten o’clock. I can prove by means of other witnesses that my daughter finally consented, on my representations, to give up the idea of marriage with Sir Eustace and has gone voluntarily to stay with relations of ours in Devonshire for a considerable time. But there again I have to admit that this has happened since the date of posting the chocolates."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
"ap < 08:45"|"just about a quarter to nine"|"“And talking of posting that parcel, I must just make a diversion to tell you something really interesting. For all I know to the contrary, I might have seen the murderer with my own eyes, in the very act of posting it! As it happened, I was passing through Southampton Street that evening at just about a quarter to nine. Little did I guess, as Mr. Edgar Wallace would say, that the first act of this tragic drama was possibly being unfolded at that very minute under my unsuspecting nose. Not even a premonition of disaster caused me to falter in my stride. Providence was evidently being somewhat close with premonitions that night. But if only my sluggish instincts had warned me, how much trouble I might have saved us all. Alas,” said Mr. Bradley sadly, “such is life."|"The Poisoned Chocolates Case"|"Anthony Berkeley"
