05:30|"5.30 a.m."|"Ever since Edmund Wilson’s essay on Dickens in The Wound and the Bow (1941), critics have made much of Dickens’s passionate resentment of the months he spent in the blacking-factory as a child. One sometimes wonders, though, whether Trollope did not suffer more in absolute terms from his prolonged experience of lost caste, but since he wrote no Bildungsroman like David Copperfield or Great Expectations the influence of the experience can be sensed only indirectly in his fiction, as for example in the remarkable description of the sufferings of ‘poor gentry’ in Chapter 9 of The Last Chronicle of Barset (1867). Certainly he responded to it very differently. If the blacking-factory and the debtors’ prison made Dickens a rebel and a social reformer, the humiliations of Harrow and Winchester made Trollope, in part of himself, a passionate conformist, hungry for social acceptance. The man who could write of his ‘exceeding longing’ to join in cricket and rackets, of the ‘Elysium’ of being able to make friends with his contemporaries on a basis of equality, was no disdainful aesthete, and the story of his life is – from one point of view – the story of someone who had lost caste in his youth making his way slowly back into the Elysium of gentlemen. Nothing illustrates this ambition better than the efforts that this ‘incorrigible dunce’ made to teach himself Latin in adult life, thereby redeeming the schoolboy’s failure to acquire the classical learning that was the hallmark of the gentleman. (There is something of the same impulse at work in the touchingly modest claim at the end of the Autobiography not ‘to any literary excellence’ but ‘to whatever merit should be accorded to me for persevering diligence in my profession’ in writing forty-seven novels.) Hence the gregarious, fox-hunting figure who emerges from contemporary recollections of Trollope: the conscientious civil servant and part-time author, frequenter of clubs and rider to hounds, with his high colour, loud laugh, boisterous spirits and gesticulating manner – almost as if he were trying to live up to his idea of the hearty English squire. Hence, too, the no-nonsense portrait of the artist in the Autobiography, where aspiring writers are advised to stick to their desks ‘as though they were lawyer’s clerks’ and the legendary Trollope routine was posthumously revealed: at the desk by 5.30 a.m., three hours writing at 250 words every quarter of an hour by the clock, ten pages a day – a rate, he reckoned, which would have enabled him to complete three three-volume novels a year, if the market could have stood it – then off to the Post Office for a day’s work."|"The Warden"|"Anthony Trollope"
"ap 02:50"|250|"Ever since Edmund Wilson’s essay on Dickens in The Wound and the Bow (1941), critics have made much of Dickens’s passionate resentment of the months he spent in the blacking-factory as a child. One sometimes wonders, though, whether Trollope did not suffer more in absolute terms from his prolonged experience of lost caste, but since he wrote no Bildungsroman like David Copperfield or Great Expectations the influence of the experience can be sensed only indirectly in his fiction, as for example in the remarkable description of the sufferings of ‘poor gentry’ in Chapter 9 of The Last Chronicle of Barset (1867). Certainly he responded to it very differently. If the blacking-factory and the debtors’ prison made Dickens a rebel and a social reformer, the humiliations of Harrow and Winchester made Trollope, in part of himself, a passionate conformist, hungry for social acceptance. The man who could write of his ‘exceeding longing’ to join in cricket and rackets, of the ‘Elysium’ of being able to make friends with his contemporaries on a basis of equality, was no disdainful aesthete, and the story of his life is – from one point of view – the story of someone who had lost caste in his youth making his way slowly back into the Elysium of gentlemen. Nothing illustrates this ambition better than the efforts that this ‘incorrigible dunce’ made to teach himself Latin in adult life, thereby redeeming the schoolboy’s failure to acquire the classical learning that was the hallmark of the gentleman. (There is something of the same impulse at work in the touchingly modest claim at the end of the Autobiography not ‘to any literary excellence’ but ‘to whatever merit should be accorded to me for persevering diligence in my profession’ in writing forty-seven novels.) Hence the gregarious, fox-hunting figure who emerges from contemporary recollections of Trollope: the conscientious civil servant and part-time author, frequenter of clubs and rider to hounds, with his high colour, loud laugh, boisterous spirits and gesticulating manner – almost as if he were trying to live up to his idea of the hearty English squire. Hence, too, the no-nonsense portrait of the artist in the Autobiography, where aspiring writers are advised to stick to their desks ‘as though they were lawyer’s clerks’ and the legendary Trollope routine was posthumously revealed: at the desk by 5.30 a.m., three hours writing at 250 words every quarter of an hour by the clock, ten pages a day – a rate, he reckoned, which would have enabled him to complete three three-volume novels a year, if the market could have stood it – then off to the Post Office for a day’s work."|"The Warden"|"Anthony Trollope"
06:00|"six a.m."|"Hiram’s Hospital, as the retreat is called, is a picturesque building enough, and shows the correct taste with which the ecclesiastical architects of those days were imbued. It stands on the banks of the little river which flows nearly round the cathedral close, being on the side furthest from the town. The London road crosses the river by a pretty one-arched bridge, and, looking from this bridge, the stranger will see the windows of the old men’s rooms, each pair of windows separated by a small buttress. A broad gravel walk runs between the building and the river, which is always trim and cared for; and at the end of the walk, under the parapet of the approach to the bridge, is a large and well-worn seat, on which, in mild weather, three or four of Hiram’s bedesmen are sure to be seen seated. Beyond this row of buttresses, and further from the bridge, and also further from the water which here suddenly bends, are the pretty oriel windows of Mr Harding’s house, and his well-mown lawn. The entrance to the hospital is from the London road, and is made through a ponderous gateway under a heavy stone arch, unnecessary, one would suppose, at any time, for the protection of twelve old men, but greatly conducive to the good appearance of Hiram’s charity. On passing through this portal, never closed to anyone from six a.m. till ten p.m., and never open afterwards, except on application to a huge, intricately hung, medieval bell, the handle of which no uninitiated intruder can possibly find, the six doors of the old men’s abodes are seen, and beyond them is a slight iron screen, through which the more happy portion of the Barchester élite pass into the Elysium of Mr Harding’s dwelling.8"|"The Warden"|"Anthony Trollope"
22:00|"ten p.m."|"Hiram’s Hospital, as the retreat is called, is a picturesque building enough, and shows the correct taste with which the ecclesiastical architects of those days were imbued. It stands on the banks of the little river which flows nearly round the cathedral close, being on the side furthest from the town. The London road crosses the river by a pretty one-arched bridge, and, looking from this bridge, the stranger will see the windows of the old men’s rooms, each pair of windows separated by a small buttress. A broad gravel walk runs between the building and the river, which is always trim and cared for; and at the end of the walk, under the parapet of the approach to the bridge, is a large and well-worn seat, on which, in mild weather, three or four of Hiram’s bedesmen are sure to be seen seated. Beyond this row of buttresses, and further from the bridge, and also further from the water which here suddenly bends, are the pretty oriel windows of Mr Harding’s house, and his well-mown lawn. The entrance to the hospital is from the London road, and is made through a ponderous gateway under a heavy stone arch, unnecessary, one would suppose, at any time, for the protection of twelve old men, but greatly conducive to the good appearance of Hiram’s charity. On passing through this portal, never closed to anyone from six a.m. till ten p.m., and never open afterwards, except on application to a huge, intricately hung, medieval bell, the handle of which no uninitiated intruder can possibly find, the six doors of the old men’s abodes are seen, and beyond them is a slight iron screen, through which the more happy portion of the Barchester élite pass into the Elysium of Mr Harding’s dwelling.8"|"The Warden"|"Anthony Trollope"
"ap 04:00"|four|"CHAPTER 3
The Bishop of Barchester
BOLD at once repaired to the hospital. The day was now far advanced, but he knew that Mr Harding dined in the summer at four, that Eleanor was accustomed to drive in the evening, and that he might therefore probably find Mr Harding alone. It was between seven and eight when he reached the slight iron gate leading into the precentor’s garden, and though, as Mr Chadwick observed, the day had been cold for June, the evening was mild, and soft, and sweet. The little gate was open. As he raised the latch he heard the notes of Mr Harding’s violoncello from the far end of the garden, and, advancing before the house and across the lawn, he found him playing: and not without an audience. The musician was seated in a garden chair just within the summer-house, so as to allow the violoncello which he held between his knees to rest upon the dry stone flooring; before him stood a rough music desk, on which was open a page of that dear sacred book, that much-laboured and much-loved volume of church music, which had cost so many guineas; and around sat, and lay, and stood, and leaned, ten of the twelve old men who dwelt with him beneath old John Hiram’s roof. The two reformers were not there. I will not say that in their hearts they were conscious of any wrong done or to be done to their mild warden, but latterly they had kept aloof from him, and his music was no longer to their taste."|"The Warden"|"Anthony Trollope"
10:00|"ten in the morning"|"‘One evening call,’ said he, ‘is worth ten in the morning. It’s all formality in the morning; real social talk never begins till after dinner. That’s why I dine early, so as to get as much as I can of it.’"|"The Warden"|"Anthony Trollope"
12:00|midday|"‘Well,’ said he, as soon as he found himself within the cool retreat of the warden’s garden; ‘I think I spoke to them plainly.’ And he wiped the perspiration from his brow; for making a speech under a broiling midday sun in summer, in a full suit of thick black cloth, is warm work."|"The Warden"|"Anthony Trollope"
"ap 05:00"|five|"For a couple of hours the warden remained thus in the garden, now walking, now standing motionless on the turf, and then, as his legs got weary, sitting unconsciously on the garden seats, and then walking again. And Eleanor, hidden behind the muslin curtains of the window, watched him through the trees as he now came in sight, and then again was concealed by the turnings of the walk; and thus the time passed away till five, when the warden crept back to the house and prepared for dinner."|"The Warden"|"Anthony Trollope"
12:00|noonday|"Velvet and gilding do not make a throne, nor gold and jewels a sceptre. It is a throne because the most exalted one sits there – and a sceptre because the most mighty one wields it. So it is with Mount Olympus. Should a stranger make his way thither at dull noonday, or during the sleepy hours of the silent afternoon, he would find no acknowledged temple of power and beauty, no fitting fane for the great Thunderer, no proud façades and pillared roofs to support the dignity of this greatest of earthly potentates. To the outward and uninitiated eye, Mount Olympus is a somewhat humble spot – undistinguished, unadorned – nay, almost mean. It stands alone, as it were, in a mighty city, close to the densest throng of men, but partaking neither of the noise nor the crowd; a small, secluded, dreary spot, tenanted, one would say, by quite unambitious people at the easiest rents. ‘Is this Mount Olympus?’ asks the unbelieving stranger. ‘Is it from these small, dark, dingy buildings that those infallible laws proceed which cabinets are called upon to obey; by which bishops are to be guided, lords and commons controlled – judges instructed in law, generals in strategy, admirals in naval tactics, and orange-women in the management of their barrows?’ ‘Yes, my friend – from these walls. From here issue the only known infallible bulls4 for the guidance of British souls and bodies. This little court is the Vatican of England. Here reigns a pope, self-nominated, self-consecrated – ay, and much stranger too – self-believing! – a pope whom, if you cannot believe him, I would advise you to disobey as silently as possible; a pope hitherto afraid of no Luther; a pope who manages his own inquisition, who punishes unbelievers as no most skilful inquisitor of Spain ever dreamt of doing – one who can excommunicate thoroughly, fearfully, radically; put you beyond the pale of men’s charity; make you odious to your dearest friends, and turn you into a monster to be pointed at by the finger!’"|"The Warden"|"Anthony Trollope"
22:00|"10 p.m."|"When Mr Harding had listened to this and much more of the same kind for about three hours, he returned to the door of the House, and received back from the messenger his own note, with the following words scrawled in pencil on the back of it: ‘Tomorrow, 10 p.m. – my chambers. A.H.’"|"The Warden"|"Anthony Trollope"
22:00|"10 p.m."|"He was so far successful – but 10 p.m.: what an hour Sir Abraham had named for a legal interview! Mr Harding felt perfectly sure that long before that Dr Grantly would be in London. Dr Grantly could not, however, know that this interview had been arranged, nor could he learn it unless he managed to get hold of Sir Abraham before that hour; and as this was very improbable, Mr Harding determined to start from his hotel early, merely leaving word that he should dine out, and unless luck were much against him, he might still escape the archdeacon till his return from the attorney-general’s chambers."|"The Warden"|"Anthony Trollope"
"ap 09:00"|nine|"He was at breakfast at nine, and for the twentieth time consulted his Bradshaw2 to see at what earliest hour Dr Grantly could arrive from Barchester. As he examined the columns, he was nearly petrified by the reflection that perhaps the archdeacon might come up by the night mail-train! His heart sank within him at the horrid idea, and for a moment he felt himself dragged back to Barchester without accomplishing any portion of his object. Then he remembered that had Dr Grantly done so, he would have been in the hotel, looking for him long since."|"The Warden"|"Anthony Trollope"
"ap ~ 11:00"|"about eleven o’clock"|"‘Waiter,’ said he again, and the waiter again creaked up; ‘if anyone calls for me, I am going to dine out, and shall return about eleven o’clock.’"|"The Warden"|"Anthony Trollope"
14:00|"2 p.m."|"Bradshaw had told him twenty times that Dr Grantly could not be at Paddington station till 2 p.m., and our poor friend might therefore have trusted to the shelter of the hotel for some hours longer with perfect safety; but he was nervous. There was no knowing what steps the archdeacon might take for his apprehension: a message by electric telegraph might desire the landlord of the hotel to set a watch upon him; some letter might come which he might find himself unable to disobey; at any rate, he could not feel himself secure in any place at which the archdeacon could expect to find him; and at 10 a.m. he started forth to spend twelve hours in London."|"The Warden"|"Anthony Trollope"
