"ap ~ 07:40"|"about twenty minutes to eight"|"""Hum!  Hum!  That will be about -- about -- that will be this evening about twenty minutes to eight.  And you will see how well I am obeyed."""|"The Little Prince"|"Antoine de Saint-Exupery"
16:00|"four o'clock in the afternoon"|"""It would have been better to come back at the same hour,"" said the fox.  ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy.  I shall feel happier and happier as the hour advances.  At four o'clock, I shall already be worrying and jumping about.  I shall show you how happy I am!  But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
"ap 03:00"|"three o'clock"|"""It would have been better to come back at the same hour,"" said the fox.  ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy.  I shall feel happier and happier as the hour advances.  At four o'clock, I shall already be worrying and jumping about.  I shall show you how happy I am!  But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
"ap 04:00"|"four o'clock"|"""It would have been better to come back at the same hour,"" said the fox.  ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy.  I shall feel happier and happier as the hour advances.  At four o'clock, I shall already be worrying and jumping about.  I shall show you how happy I am!  But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
00:00|Midnight|"I raised the bucket to his lips.  He drank, his eyes closed.  It was as sweet as some special festival treat.  This water was indeed a different thing from ordinary nourishment.  Its sweetness was born of the walk under the stars, the song of the pulley, the effort of my arms.  It was good for the heart, like a present.  When I was a little boy, the lights of the Christmas tree, the music of the Midnight Mass, the tenderness of smiling faces, used to make up, so, the radiance of the gifts I received."|"The Little Prince"|"Antoine de Saint-Exupery"
12:00|noon|"Just so.  Everybody knows that when it is noon in the United States the sun is setting over France."|"The Little Prince"|"Antoine de Saint-Exupery"
12:00|noon|"If you could fly to France in one minute, you could go straight into the sunset, right from noon.  Unfortunately, France is too far away for that.  But on your tiny planet, my little prince, all you need do is move your chair a few steps.  You can see the day end and the twilight falling whenever you like..."|"The Little Prince"|"Antoine de Saint-Exupery"
12:00|noon|"Just so. Everybody knows that when it is noon in the United States the sun is setting over France."|"The Little Prince"|"Antoine de Saint-Exupery"
12:00|noon|"If you could fly to France in one minute, you could go straight into the sunset, right from noon. Unfortunately, France is too far away for that. But on your tiny planet, my little prince, all you need do is move your chair a few steps. You can see the day end and the twilight falling whenever you like..."|"The Little Prince"|"Antoine de Saint-Exupery"
"ap ~ 07:40"|"about twenty minutes to eight"|"""Hum! Hum! That will be about -- about -- that will be this evening about twenty minutes to eight. And you will see how well I am obeyed."""|"The Little Prince"|"Antoine de Saint-Exupery"
16:00|"four o'clock in the afternoon"|"""It would have been better to come back at the same hour,"" said the fox. ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy. I shall feel happier and happier as the hour advances. At four o'clock, I shall already be worrying and jumping about. I shall show you how happy I am! But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
"ap 03:00"|"three o'clock"|"""It would have been better to come back at the same hour,"" said the fox. ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy. I shall feel happier and happier as the hour advances. At four o'clock, I shall already be worrying and jumping about. I shall show you how happy I am! But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
"ap 04:00"|"four o'clock"|"""It would have been better to come back at the same hour,"" said the fox. ""If, for example, you come at four o'clock in the afternoon, then at three o'clock I shall begin to be happy. I shall feel happier and happier as the hour advances. At four o'clock, I shall already be worrying and jumping about. I shall show you how happy I am! But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you... One must observe the proper rites..."""|"The Little Prince"|"Antoine de Saint-Exupery"
00:00|Midnight|"I raised the bucket to his lips. He drank, his eyes closed. It was as sweet as some special festival treat. This water was indeed a different thing from ordinary nourishment. Its sweetness was born of the walk under the stars, the song of the pulley, the effort of my arms. It was good for the heart, like a present. When I was a little boy, the lights of the Christmas tree, the music of the Midnight Mass, the tenderness of smiling faces, used to make up, so, the radiance of the gifts I received."|"The Little Prince"|"Antoine de Saint-Exupery"
