23:32|"11:32 p.m."|"My ex-employer the late Mr. Ashok’s ex-wife, Pinky Madam, taught me one of these things; and at 11:32 p.m. today, which was about ten minutes ago, when the lady on All India Radio announced, “Premier Jiabao is coming to Bangalore next week,” I said that thing at once."|"The White Tiger"|"Aravind Adiga"
23:37|"11:37 p.m."|"That’s when I had to say that thing in English, sir. Out loud.
That was at 11:37 p.m. Five minutes ago.
I don’t just swear and curse. I’m a man of action and change. I decided right there and then to start dictating a letter to you."|"The White Tiger"|"Aravind Adiga"
"< 00:00"|"a little before midnight"|"It is a little before midnight now, Mr. Jiabao. A good time for me to talk."|"The White Tiger"|"Aravind Adiga"
23:52|"11:52 p.m."|"My eyes are open again.
11:52 p.m.—and it really is time to start.
A statutory warning—as they say on cigarette packs—before we begin."|"The White Tiger"|"Aravind Adiga"
12:00|noon|"In the afternoons, I went from my school to the tea shop to see him. This tea shop was the central point of our village; the bus from Gaya stopped there at noon every day (never late by more than an hour or two) and the policemen would park their jeep here when they came to bugger someone in the village. A little before sunset, a man circled around the tea shop three times, ringing his bell loudly. A stiff cardboard-backed poster for a pornographic film was tied to the back of his cycle—what traditional Indian village is complete without its blue-movie theater, sir? A cinema across the river showed such films every night; two-and-a-half-hour fantasias with names like He Was a True Man, or We Opened Her Diary, or The Uncle Did It, featuring golden-haired women from America or lonely ladies from Hong Kong—or so I’m guessing, Mr. Premier, since it’s not like I ever joined the other young men and went to see one of these films!"|"The White Tiger"|"Aravind Adiga"
12:00|noon|"The next day my father came with me to my school, for the first and last time. It was dawn; the place was empty. We pushed the door open. A dim blue light filled the classroom. Now, our schoolteacher was a big paan-and-spit man—and his expectorate made a sort of low, red wallpaper on three walls around us. When he went to sleep, which he usually did by noon, we stole paan from his pockets; distributed it amongst ourselves and chewed on it; and then, imitating his spitting style—hands on hips, back arched slightly—took turns spitting at the three dirty walls."|"The White Tiger"|"Aravind Adiga"
02:00|"Two a.m."|"Two a.m. already, Mr. Premier. I’ll have to stop for tonight fairly soon. Let me put my finger on the laptop screen, and see if there is any other useful information here."|"The White Tiger"|"Aravind Adiga"
00:00|midnight|"Tomorrow, Mr. Jiabao, starting again at midnight I’ll tell you how I gave myself a better education at the tea shop than I could have got at any school. Right now, though, it’s time for me to stop staring at this chandelier and get to work. It is almost three in the morning. This is when Bangalore comes to life. The American workday is coming to an end, and mine is beginning in earnest. I have to be alert as all the call-center girls and boys are leaving their offices for their homes. This is when I must be near the phone."|"The White Tiger"|"Aravind Adiga"
"< 03:00"|"almost three in the morning"|"Tomorrow, Mr. Jiabao, starting again at midnight I’ll tell you how I gave myself a better education at the tea shop than I could have got at any school. Right now, though, it’s time for me to stop staring at this chandelier and get to work. It is almost three in the morning. This is when Bangalore comes to life. The American workday is coming to an end, and mine is beginning in earnest. I have to be alert as all the call-center girls and boys are leaving their offices for their homes. This is when I must be near the phone."|"The White Tiger"|"Aravind Adiga"
00:00|Midnight|"His Midnight EducatorOn matters entrepreneurial:“The White Tiger”Mr. Premier."|"The White Tiger"|"Aravind Adiga"
"~ 06:00"|"Around six o’clock that day"|"He did not. Around six o’clock that day, as the government ledger no doubt accurately reported, my father was permanently cured of his tuberculosis. The ward boys made us clean up after Father before we could remove the body. A goat came in and sniffed as we were mopping the blood off the floor. The ward boys petted her and fed her a plump carrot as we mopped our father’s infected blood off the floor."|"The White Tiger"|"Aravind Adiga"
"ap ~ 06:00"|"around six o’clock"|"There was only one activity that servant number one and servant number two had to do together. At least once a week, around six o’clock, Ram Persad and I left the house and went down the main road, until we got to a store with a sign that said:"|"The White Tiger"|"Aravind Adiga"
"ap > 08:00"|"after eight o’clock"|"They were not going to be drinking this liquor; I could tell from their torn and dirty shirts that they were only servants, like Ram Persad and me, come to buy English liquor for their masters. If we came after eight o’clock on a weekend night to Jackpot, it was like a civil war in front of the counter; I had to keep the men at bay, while Ram Persad shoved his way to the counter and yelled:"|"The White Tiger"|"Aravind Adiga"
02:44|"2:44 a.m."|"Now, to explain to you what was going on with all this shouting from the trucks, I will have to tell you all about democracy—something that you Chinese, I am aware, are not very familiar with. But that will have to wait for tomorrow, Your Excellency.
It’s 2:44 a.m.
The hour of degenerates, drug addicts—and Bangalore-based entrepreneurs."|"The White Tiger"|"Aravind Adiga"
02:00|"two a.m"|"It’ll be a short session today, Mr. Premier—I was listening to a program on the radio about this man called Castro who threw the rich out of his country and freed his people. I love listening to programs about Great Men—and before I knew it, it had turned to two a.m.! I wanted to hear more about this Castro, but for your sake, I’ve turned the radio off. I’ll resume the story exactly where we left off."|"The White Tiger"|"Aravind Adiga"
"~ 12:00"|"Around noon"|"But I’m sure they saw the words in my eyes.
Around noon, Mr. Ashok tapped me on the shoulder.
From the start, sir, there was a way in which I could understand what he wanted to say, the way dogs understand their masters. I stopped the car, and then moved to my left, and he moved to his right, and our bodies passed each other (so close that the stubble on his face scraped my cheeks like the shaving brush that I use every morning, and the cologne from his skin—a lovely, rich, fruity cologne—rushed into my nostrils for a heady instant, while the smell of my servant’s sweat rubbed off onto his face), and then he became driver and I became passenger."|"The White Tiger"|"Aravind Adiga"
00:00|midnight|"When we meet again, at midnight, remind me to turn the chandelier up a bit. The story gets much darker from here."|"The White Tiger"|"Aravind Adiga"
