"ap 03:00"|"three o’clock"|"By three o’clock, she was back in bed, drinking Mai Tais and watching the little “belly telly” that DeDe and Beauchamp had given her after Edgar’s death. The afternoon movie was Summertime with Katharine Hepburn, one of Frannie’s favorites."|"Further Tales of the City"|"Armistead Maupin"
"ap 05:00"|"five o’clock"|"It was five o’clock. She could still catch the news director before he mobilized for the evening newscast."|"Further Tales of the City"|"Armistead Maupin"
"ap 06:00"|"six o’clock"|"“The honest-to-God truth is you’re a daytime face and the public doesn’t wanna see a daytime face on the six o’clock news. Period, end of sentence. I mean, hey, what can I say, lady? It ain’t pretty, but it’s the honest-to-God truth.” He tore his gaze from Bo Derek long enough to flash her his “that’s the breaks, kid” grin."|"Further Tales of the City"|"Armistead Maupin"
"< 21:00"|"ALMOST NINE P.M."|"IT WAS ALMOST NINE P.M. WHEN EMMA TOOK STOCK OF HER mistress and realized that something was wrong."|"Further Tales of the City"|"Armistead Maupin"
"ap > 10:00"|"shortly after ten o’clock"|"WHEN JON AND MICHAEL RETURNED TO MICHAEL’S apartment shortly after ten o’clock, Michael was considerably more relaxed."|"Further Tales of the City"|"Armistead Maupin"
07:57|"7:57 A.M."|"Mary Ann checked her watch. 7:57 A.M. “It might not be too late,” she smiled."|"Further Tales of the City"|"Armistead Maupin"
"< 12:00"|"almost noon"|"It was almost noon when Mary Ann dragged herself up the stairway at 28 Barbary Lane. As she slipped her key into the lock, she heard Mrs. Madrigal’s distinctive footsteps behind her."|"Further Tales of the City"|"Armistead Maupin"
09:00|"9:00 A.M."|"AFTER SLEEPING FOR ALMOST FIFTEEN HOURS, MARY Ann awoke at 9:00 A.M. and hurried downstairs to Mrs. Madrigal’s apartment. The landlady was in her kitchen, baking a cake."|"Further Tales of the City"|"Armistead Maupin"
"ap 11:00"|"eleven o’clock"|"“Yum-hum,” said Mary Ann. “Carrots!”
DeDe phoned at eleven o’clock.
“I just saw the papers,” she said breathlessly. “I’m so sorry about Brian!”"|"Further Tales of the City"|"Armistead Maupin"
"< 12:00"|"shortly before noon"|"“Of course they can. We’re liberals, you and I. It isn’t that we aren’t in favor of … well, human rights and that sort of thing. We are. We feel. We care. We reach out and touch those in need of our caring. But a chorus of admitted homosexuals singing in a church? Well, please … I haven’t lived this long not to know tacky when I see it!” Prue’s driver dropped her off at the conservatory in Golden Gate Park shortly before noon."|"Further Tales of the City"|"Armistead Maupin"
12:00|NOON|"IT WAS NOON WHEN EMMA BROUGHT IN THE MAI TAIS WITH the morning mail. Frannie Halcyon was still propped up in bed, her peach satin sleep mask askew across her forehead, like the goggles on an aviator who had died in a dogfight."|"Further Tales of the City"|"Armistead Maupin"
"ap 02:38"|Two-thirty-eight|"She checked her Casio. Two-thirty-eight. God, she was pushing it these days. Time was when she would show up two hours early for the three o’clock broadcast. Time was she had actually found this crap exciting."|"Further Tales of the City"|"Armistead Maupin"
"ap 03:00"|"three o’clock"|"She checked her Casio. Two-thirty-eight. God, she was pushing it these days. Time was when she would show up two hours early for the three o’clock broadcast. Time was she had actually found this crap exciting."|"Further Tales of the City"|"Armistead Maupin"
"ap 10:20"|Ten-twenty|"NED LOCKWOOD CHECKED THE CLOCK ON THE DASHBOARD as his pickup rattled through the corridor of palms flanking Hollywood High.
“Ten-twenty. We did O.K. Hail to thee, Alma Mater.”
“You went to Hollywood High?” asked Michael."|"Further Tales of the City"|"Armistead Maupin"
"< 12:00"|"just before noon"|"MEMORIAL DAY DAWNED BRIGHT AND CLEAR. MARY Ann left for Hillsborough just before noon, only to get caught in a traffic snarl at the intersection of DuBoce and Market. She puzzled over this turn of events until she saw the throng gathered on the pavement at the 76 station."|"Further Tales of the City"|"Armistead Maupin"
"ap 02:00"|two|"Guido’s pupils ascended. “______called a little while ago, still in P.S. Won’t get here till two. Meanwhile, God help us, one of his buddies from West Hollywood decides to throw a little spur-of-the-moment Welcome Home. Here, thank you very much.”"|"Further Tales of the City"|"Armistead Maupin"
"> 00:00"|"Shortly after midnight"|"When DeDe and the children had retired, Frannie repaired to her bed with a Barbara Cartland novel.
Shortly after midnight, she heard a moan from DeDe’s room.
The matriarch clambered out of bed, made her way down the hall, and listened outside her daughter’s door."|"Further Tales of the City"|"Armistead Maupin"
17:00|"5 P.M."|"P.S. I have it on the best authority that the chorus will be returning to the city in the vicinity of 18th and Castro at 5 P.M. on Father’s Day. If you can make it, I’d love to see your shining faces in the crowd. Make Brian wear something tight."|"Further Tales of the City"|"Armistead Maupin"
"ap 03:00"|"three o’clock"|"THE WEATHER HAD BEEN RELENTLESSLY SUNNY FOR ALMOST a week, so Michael and Ned had their hands full at God’s Green Earth. Business was so brisk at the nursery that it was three o’clock before they sat down amidst the other living things requiring partial shade and contemplated their Yoplait."|"Further Tales of the City"|"Armistead Maupin"
"ap 01:23"|1:23|"“Mary Ann … it’s DeDe.” Her voice sounded small and terrified. Mary Ann glanced at the digital clock on the dresser. It said 1:23."|"Further Tales of the City"|"Armistead Maupin"
"ap 03:00"|"three o’clock"|"“Well, don’t be. It’s a piece of cake.” The priest removed a packet from his breast pocket. “Now, here are the tickets, my child. You’ll board between three o’clock and four-thirty on Sunday. Luke’s stateroom is two doors down from yours on the same deck. You can board half-an-hour apart, if you like, so nobody’ll be the wiser. Now … is he spending the night here on Saturday, I hope?”"|"Further Tales of the City"|"Armistead Maupin"
"ap 04:30"|four-thirty|"“Well, don’t be. It’s a piece of cake.” The priest removed a packet from his breast pocket. “Now, here are the tickets, my child. You’ll board between three o’clock and four-thirty on Sunday. Luke’s stateroom is two doors down from yours on the same deck. You can board half-an-hour apart, if you like, so nobody’ll be the wiser. Now … is he spending the night here on Saturday, I hope?”"|"Further Tales of the City"|"Armistead Maupin"
"< 00:00"|"just before midnight"|"Mary Ann didn’t hide her surprise when Michael showed up on her doorstep just before midnight. “I thought you were seeing your Boy in Blue tonight.”"|"Further Tales of the City"|"Armistead Maupin"
"ap 05:09"|FIVE-NINE|"AT FIVE-NINE, MICHAEL WAS DWARFED BY THE MAN who had asked him to dance."|"Further Tales of the City"|"Armistead Maupin"
"ap 03:47"|3:47|"But what would he put in its place?
The clock said 3:47 when the phone woke him.
He stumbled out of bed and lunged for the receiver. “This better be good,” he told the caller."|"Further Tales of the City"|"Armistead Maupin"
"ap 05:00"|"five o’clock"|"“I know. Sorry.”
“I was picturing some French Canadian with five o’clock shadow.”
“That’s funny,” said Michael. “So was I. God, Brian … this is so damn wonderful.”"|"Further Tales of the City"|"Armistead Maupin"
"ap 02:15"|2:15|"The movie for today’s show was Move Over, Darling and the irony wasn’t lost on Mary Ann. Doris Day has been marooned on a desert island for seven years and comes home unexpectedly to find her husband, James Garner, on the verge of marrying Polly Bergen. Meanwhile, DeDe Day shows up at intermission. It was too delicious for words.
Mary Ann’s phone rang at 2:15.
“Mary Ann Singleton.”"|"Further Tales of the City"|"Armistead Maupin"
"ap 03:00"|"three o’clock"|"“Is that today?”
“Tomorrow morning. At three o’clock our time.”
“I think I’ll miss that,” said Ned."|"Further Tales of the City"|"Armistead Maupin"
"ap ~ 03:00"|"about three"|"THE AIR ALASKA FLIGHT TO SEATTLE TOOK ALMOST TWO hours—the one to Sitka, about three, with a brief stopover in Ketchikan, just inside the Alaskan border. By the time they reached Sitka, Mary Ann was drained."|"Further Tales of the City"|"Armistead Maupin"
"ap 09:13"|9:13|"The cab crossed a streamlined white bridge, while the driver drew their attention to an extinct volcano that presided majestically over an archipelago of tiny islands. The town lay ahead of them, clean and compact as Disneyland. As a setting for indescribable menace, it was not very convincing.
Mary Ann checked her watch. It was 9:13. Twilight.
DeDe peered out at Sitka harbor. “It’s kind of pretty, isn’t it?”"|"Further Tales of the City"|"Armistead Maupin"
"ap 07:30"|7:30|"MARY ANN SLEPT FITFULLY AT THE POTLATCH House. Twice during the night she awoke to DeDe’s screams, only to fall victim to her own nightmares when she plunged into sleep again. Morning came as a reprieve at 7:30."|"Further Tales of the City"|"Armistead Maupin"
"ap 03:00"|"three o’clock"|"“My plane gets in tomorrow afternoon,” said Mary Ann. “I could meet you at my apartment at … say, three o’clock. This would help you, actually. I could clarify the things you’re not clear on before you present it to Larry.”"|"Further Tales of the City"|"Armistead Maupin"
