19:00|"seven in the evening"|"It was seven in the evening of a lovely summer's day, but Dr. Watson was sufficiently familiar with the irregularity of his old friend's hours to feel no surprise at the idea."|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 07:30"|Seven-thirty|"""Yes, sir, he is very hard at it just now. I'm frightened for his health. He gets paler and thinner, and he eats nothing. 'When will you be pleased to dine, Mr. Holmes?' Mrs. Hudson asked. 'Seven-thirty, the day after to-morrow,' said he. You know his way when he is keen on a case."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 06:00"|six|"""That was the burden of his song for an hour or more. He had, it seems, no suspicion of an intrigue. They lived alone save for a woman who comes in by the day and leaves every evening at six. On that particular evening old Amberley, wishing to give his wife a treat, had taken two upper circle seats at the Haymarket Theatre. At the last moment she had complained of a headache and had refused to go. He had gone alone. There seemed to be no doubt about the fact, for he produced the unused ticket which he had taken for his wife."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"~ 00:00"|"about midnight"|"""He said that he had given the police a list and that he hoped they would be unsaleable. He had got back from the theatre about midnight and found the place plundered, the door and window open, and the fugitives gone. There was no letter or message, nor has he heard a word since. He at once gave the alarm to the police."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap ~ 03:00"|"about three o'clock"|"done so we can dismiss the case — or not. I would only ask
you to be on hand about three o'clock, as I conceive it
possible that I may want you."|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 02:10"|2:10|"""Dispatched at 2:10 from Little Purlington,"" said Holmes. ""Little Purlington is in Essex, I believe, not far from Frinton. Well, of course you will start at once. This is evidently from a responsible person, the vicar of the place. Where is my Crockford? Yes, here we have him: 'J. C. Elman, M. A., Living of Moosmoor cum Little Purlington.' Look up the trains, Watson."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 02:10"|2:10|"""Dispatched at 2:10 from Little Purlington,"" said Holmes. ""Little Purlington is in Essex, I believe, not far from Frinton. Well, of course you will start at once. This is evidently from a responsible person, the vicar of the place. Where is my Crockford? Yes, here we have him: 'J. C. Elman, M. A., Living of Moosmoor cum Little Purlington.' Look up the trains, Watson.""
""There is one at 5:20 from Liverpool Street.""
""Excellent. You had best go with him, Watson. He may need help or advice. Clearly we have come to a crisis in this affair."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 05:00"|5|"""Dispatched at 2:10 from Little Purlington,"" said Holmes. ""Little Purlington is in Essex, I believe, not far from Frinton. Well, of course you will start at once. This is evidently from a responsible person, the vicar of the place. Where is my Crockford? Yes, here we have him: 'J. C. Elman, M. A., Living of Moosmoor cum Little Purlington.' Look up the trains, Watson.""
""There is one at 5:20 from Liverpool Street.""
""Excellent. You had best go with him, Watson. He may need help or advice. Clearly we have come to a crisis in this affair."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap ~ 03:00"|"About three o'clock"|"""And it will, too,"" remarked Holmes. ""Very good, Mrs. Merrilow. I should like to have a little chat with Dr. Watson. That will carry us till lunch-time. About three o'clock you may expect to see us at your house in Brixton."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"< 00:00"|"near midnight"|"""It seems that the whole camp was roused near midnight by the roars of the animal and the screams of the woman. The different grooms and employees rushed from their tents, carrying lanterns, and by their light an awful sight was revealed. Ronder lay, with the back of his head crushed in and deep claw-marks across his scalp, some ten yards from the cage, which was open. Close to the door of the cage lay Mrs. Ronder upon her back, with the creature squatting and snarling above her. It had torn her face in such a fashion that it was never thought that she could live. Several of thc circus men, headed by Leonardo, the strong man, and Griggs, the clown, drove the creature off with poles, upon which it sprang back into the cage and was at once locked in. How it had got loose was a mystery. It was conjectured that the pair intended to enter the cage, but that when the door was loosed the creature bounded out upon them. There was no other point of interest in the evidence save that the woman in a delirium of agony kept screaming, 'Coward! Coward!' as she was carried back to the van in which they lived. It was six months before she was fit to give evidence, but the inquest was duly held, with the obvious verdict of death from misadventure."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
00:00|"Twelve o'clock at night"|"""It was the butler who saw him go. Twelve o'clock at night and raining hard. So next night I was up at the house and, sure enough, master was off again. Stephens and I went after him, but it was jumpy work, for it would have been a bad job if he had seen us. He's a terrible man with his fists if he gets started, and no respecter of persons. So we were shy of getting too near, but we marked him down all light. It was the haunted crypt that he was making for, and there was a man waiting for him there."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap ~ 11:00"|"About eleven o'clock"|"In the morning Holmes discovered that we had come without our spoon-bait for jack, which absolved us from fishing for the day. About eleven o'clock we started for a walk, and he obtained leave to take the black spaniel with us."|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"~ 12:00"|"About midday"|"""This is the place,"" said he as we came to two high park gates with heraldic griffins towering above them. ""About midday, Mr Barnes informs me, the old lady takes a drive, and the carriage must slow down while the gates are opened. When it comes through, and before it gathers speed, I want you, Watson, to stop the coachman with some question. Never mind me. I shall stand behind this holly-bush and see what I can see."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"< 00:00"|"nearly midnight"|"""Well, Sir Robert,"" said Holmes, rising, ""this matter must, of course, be referred to the police. It was my duty to bring the facts to light, and there I must leave it. As to the morality or decency of your conduct, it is not for me to express an opinion. It is nearly midnight, Watson, and I think we may make our way back to our humble abode."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 11:00"|eleven|"I can't see the best woman God ever made go to her death without doing all that is possible to save her. I can't explain things — I can't even try to explain them, but I know beyond all doubt that Miss Dunbar is innocent. You know the facts — who doesn't? It has been the gossip of the country. And never a voice raised for her! It's the damned injustice of it all that makes me crazy. That woman has a heart that wouldn't let her kill a fly. Well, I'll come at eleven to-morrow and see if you can get some ray of light in the dark. Maybe I have a clue and don't know it. Anyhow, all I know and all I have and all I am are for your use if only you can save her. If ever in your life you showed your powers, put them now into this case."|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap ~ 11:00"|"about eleven o'clock"|"""There you have it,"" said Sherlock Holmes, knocking out the ashes of his after-breakfast pipe and slowly refilling it. ""That is the gentleman I await. As to the story, you have hardly time to master all these papers, so I must give it to you in a nutshell if you are to take an intelligent interest in the proceedings. This man is the greatest financial power in the world, and a man, as I understand, of most violent and formidable character. He married a wife, the victim of this tragedy, of whom I know nothing save that she was past her prime, which was the more unfortunate as a very attractive governess superintended the education of two young children. These are the three people concerned, and the scene is a grand old manor house, the centre of a historical English state. Then as to the tragedy. The wife was found in the grounds nearly half a mile from the house, late at night, clad in her dinner dress, with a shawl over her shoulders and a revolver bullet through her brain. No weapon was found near her and there was no local clue as to the murder. No weapon near her, Watson — mark that! The crime seems to have been committed late in the evening, and the body was found by a gamekeeper about eleven o'clock, when it was examined by the police and by a doctor before being carried up to the house. Is this too condensed, or can you follow it clearly?"""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 09:00"|"nine o'clock"|"""That is of great importance. It excludes the idea that anyone could have placed the note there after death in order to furnish a false clue. Dear me! The note, as I remember, was quite short:
""I will be at Thor Bridge at nine o'clock.""
""G. DUNBAR."|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
"ap 08:30"|8:30|"""Our millionaire does not seem to shine in private life,"" remarked Holmes as we made our way to the station. ""Well, Watson, we have come on a good many facts, some of them new ones, and yet I seem some way from my conclusion. In spite of the very evident dislike which Mr. Bates has to his employer, I gather from him that when the alarm came he was undoubtedly in his library. Dinner was over at 8:30 and all was normal up to then. It is true that the alarm was somewhat late in the evening, but the tragedy certainly occurred about the hour named in the note. There is no evidence at all that Mr. Gibson had been out of doors since his return from town at five o'clock. On the other hand, Miss Dunbar, as I understand it, admits that she had made an appointment to meet Mrs. Gibson at the bridge. Beyond this she would say nothing, as her lawyer had advised her to reserve her defence. We have several very vital questions to ask that young lady, and my mind will not be easy until we have seen her. I must confess that the case would seem to me to be very black against her if it were not for one thing."""|"The Case-Book of Sherlock Holmes"|"Arthur Conan Doyle"
