12:00|midday|"They came in to their midday dinner, leaving the two new specimens of skull and crossbones spread on the lawn, with stones to keep them from blowing away, while they dried in the hot August sunshine. They were talking of the boat which Professor Callum had asked their uncle to order for Dick and Dorothea, and were hoping it was ready so that its crew could get the hang of it before the Swallows turned up, who were coming in a fortnight’s time to stay at Holly Howe on the other side of the lake."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 06:30"|"six thirty"|"I have just learnt with surprise that your mother has chosen this time to go abroad with your Uncle James. Neither of them has thought fit to let me know of their intentions. I am horrified at the idea that you and Margaret are alone in the house. I cannot consider Cook sufficient guardian in your mother’s absence. It may have been from a wish to spare me anxiety that your mother did not tell me she was to be away from home when you returned from school for your vacation. A little more thought would have shown her that I should have preferred to hear from her than to receive such disturbing news at second hand. However that may be, my duty is plain. Inconvenient as it is for me to disarrange my plans, I cannot permit you two children to be thus abandoned to your own devices. You tell me your mother returns on the thirteenth. On that day I am expecting a friend whose visit I cannot defer. I have, however, cancelled all my engagements until that date, and am coming to Beckfoot tomorrow to take charge of the house till the eve of your mother’s return, when I shall have to leave you to prepare for my visitor at Harrogate. I shall be glad if you will ask Cook to air the spare-room bed for me. I have made, by telephone, my own arrangements for a conveyance to meet me at the station, and expect to be at Beckfoot between six thirty and seven o’clock."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 07:00"|"seven o’clock"|"I have just learnt with surprise that your mother has chosen this time to go abroad with your Uncle James. Neither of them has thought fit to let me know of their intentions. I am horrified at the idea that you and Margaret are alone in the house. I cannot consider Cook sufficient guardian in your mother’s absence. It may have been from a wish to spare me anxiety that your mother did not tell me she was to be away from home when you returned from school for your vacation. A little more thought would have shown her that I should have preferred to hear from her than to receive such disturbing news at second hand. However that may be, my duty is plain. Inconvenient as it is for me to disarrange my plans, I cannot permit you two children to be thus abandoned to your own devices. You tell me your mother returns on the thirteenth. On that day I am expecting a friend whose visit I cannot defer. I have, however, cancelled all my engagements until that date, and am coming to Beckfoot tomorrow to take charge of the house till the eve of your mother’s return, when I shall have to leave you to prepare for my visitor at Harrogate. I shall be glad if you will ask Cook to air the spare-room bed for me. I have made, by telephone, my own arrangements for a conveyance to meet me at the station, and expect to be at Beckfoot between six thirty and seven o’clock."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 06:30"|"half past six"|"“She’ll be here at half past six,” said Cook suddenly. “And you’ve got the spare room looking like a nightmare.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap < 00:30"|"nearly half of one"|"It was an enormous fireplace, taking up nearly half of one wall, a huge cavern of a fireplace, of the old kind, built for burning wood, with no grate, but an iron bar, very rusty, stretching from one side to the other with a great hook hanging on it."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 00:30"|"Half-past twelve"|"“Half-past twelve,” said Dick. “Twenty-seven and a half minutes to one.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 00:33"|"Twenty-seven and a half minutes to one"|"“Half-past twelve,” said Dick. “Twenty-seven and a half minutes to one.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 05:38"|"Twenty-two minutes to six"|"“What’s the time?” said Nancy.
Dick pulled out his watch. “Twenty-two minutes to six.”
“Goodbye, Picts,” said Nancy. “She’ll be here before we’re ready if we don’t go.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 01:29"|"Twenty-nine minutes past one"|"“What’s the time?” she asked.
“Twenty-nine minutes past one.”
“Dinner,” said Dorothea."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 04:03"|"Three minutes past four"|"“Soft bottom for her and roots to land on,” said Nancy. “I had a look first. And jolly well hidden. She won’t be seen here even if anybody was looking for her. And the harbour’s going to be useful even when the G.A. goes back to her horrid Harrogate. We can use it as a lurking place when the Swallows come and we start a new war. Roger’ll remember the octopuses and they’ll never think of our being able to hide a brig here. What’s the time, Dick?”
“Three minutes past four.”
“Giminy. Hop out, you two. We’ve got to get home. I’ve got to get cool somehow. How’s your hair, Peg?”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 04:30"|"half-past four"|"Dick looked at his watch. “Half a minute to half-past four,” he whispered. “They’ve done it.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 02:00"|"two o’clock"|"There was nothing written on the envelope. Inside it was a small bit of writing paper with a hurriedly scrawled skull and crossbones in one corner, not one of Nancy’s best. Underneath it was written, “Bit of a row last night. She told Cook she was being extravagant with milk. Cook held her peace though nearly busting. Yours is to come separately. Give him yesterday’s bottle. Now listen. Orders for the day. Be where I said at two o’clock sharp.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 06:00"|"Six o’clock"|"“Six o’clock,” said Jacky scornfully. “We’ve had cows in and milked since then. What are you doing for your food? Catch trout in t’beck?”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 02:00"|"TWO o’clock"|"
TWO o’clock sharp.
Dick and Dorothea, after a Pictish morning exploring the wood, had had an early dinner, had skirted round above Beckfoot while they knew the Great Aunt must be safely lunching, and, complete with telescope and the book on how to sail, were lurking in the rock and heather at the top of the ridge of the Beckfoot promontory."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 02:00"|"two o’clock"|"“It’s only just two o’clock,” said Dorothea. “We were here before she said. Look here, Dick, I’d better have another look at the sailing book. You must know it by heart.”"|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 02:00"|"Two o’clock"|"Dick took off and cleaned his spectacles. It was no good getting in a dither, but he could not help it. Two o’clock sharp, Nancy had said in her note. If they were starting now they would only just have time to get across to Rio, take Scarab from her builders, hoist sail and have the shortest of short trials before Nancy and Peggy would have to leave them and be bolting home to drawing-room tea. And they were not starting now. Minute after minute was passing. Minute after minute was being simply wasted. Dorothea had the sailing book which would perhaps have helped him not to worry, but it was a good thing that she was trying to read it. Nancy and Peggy would be watching while they tried the new boat and he knew very well that Dot was not as clear about the theory of sailing as she might be. Dick took a last desperate glance at the deserted lawn, and then, wriggling backwards down the ridge, so that he could stand up and still be out of sight from the house, plunged into natural history. One of the things he had set himself to find these holidays was a Fox Moth caterpillar. Heather, he knew, was where to find it. Heather was all about him, and he worked slowly to and fro searching clump after clump, trying hard to think of caterpillars and to forget how the minutes were slipping by. He could not forget and he had no luck in his search. He decided that Fox Moth caterpillars were probably only to be found on higher ground. He was sitting, looking out over the lake, watching yachts that were hardly moving, and a steamer that left a trail of smoke hanging above the water like a whitish slug, when he heard a very slight noise somewhere above him. He looked round and saw Dorothea beckoning to him."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
"ap 02:00"|"two o’clock"|"“It’s going to be all right today, I know it is,” said Dorothea at last.
“Two and a half more minutes to two o’clock,” said Dick.
Suddenly their hearts fell, as two prim figures came out of the house."|"The Picts and the Martyrs Or, Not Welcome at All"|"Arthur Ransome"
