"ap 00:00"|twelve|"BENJAMIN FRANKLIN was born in Milk Street, Boston, on January
6, 1706.  His father, Josiah Franklin, was a tallow chandler who
married twice, and of his seventeen children Benjamin was the youngest
son.  His schooling ended at ten, and at twelve he was bound apprentice
to his brother James, a printer, who published the ""New England
Courant."" To this journal he became a contributor, and later was for
a time its nominal editor. But the brothers quarreled, and Benjamin
ran away, going first to New York, and thence to Philadelphia, where
he arrived in October, 1723.  He soon obtained work as a printer,
but after a few months he was induced by Governor Keith to go to
London, where, finding Keith's promises empty, he again worked as a
compositor till he was brought back to Philadelphia by a merchant
named  Denman, who gave him a position in his business. On Denman's
death he returned to his former trade, and shortly set up a printing
house of his own from which he published ""The Pennsylvania Gazette,""
to which he contributed many essays, and which he made a medium for
agitating a variety of local reforms. In 1732 he began to issue his
famous ""Poor Richard's Almanac"" for the enrichment of which he borrowed
or composed those pithy utterances of worldly wisdom which are the
basis of a large part of his popular reputation.  In 1758, the year
in which he ceases writing for the Almanac, he printed in it ""Father
Abraham's Sermon,"" now regarded as the most famous piece of literature
produced in Colonial America."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
12:00|noon|"It rained very hard all the day; I was thoroughly soak'd, and by noon
a good deal tired; so I stopt at a poor inn, where I staid all night,
beginning now to wish that I had never left home.  I cut so miserable
a figure, too, that I found, by the questions ask'd me, I was
suspected to be some runaway servant, and in danger of being taken
up on that suspicion.  However, I proceeded the next day, and got
in the evening to an inn, within eight or ten miles of Burlington,
kept by one Dr. Brown.  He entered into conversation with me while I
took some refreshment, and, finding I had read a little, became very
sociable and friendly.  Our acquaintance continu'd as long as he
liv'd. He had been, I imagine, an itinerant doctor, for there was no
town in England, or country in Europe, of which he could not give
a very particular account.  He had some letters, and was ingenious,
but much of an unbeliever, and wickedly undertook, some years after,
to travestie the Bible in doggrel verse, as Cotton had done Virgil.
By this means he set many of the facts in a very ridiculous light,
and might have hurt weak minds if his work had been published;
but it never was."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
"~ 00:00"|"about midnight"|"At his house I lay that night, and the next morning reach'd Burlington,
but had the mortification to find that the regular boats were gone
a little before my coming, and no other expected to go before Tuesday,
this being Saturday; wherefore I returned to an old woman in the town,
of whom I had bought gingerbread to eat on the water, and ask'd
her advice.  She invited me to lodge at her house till a passage
by water should offer; and being tired with my foot travelling,
I accepted the invitation.  She understanding I was a printer,
would have had me stay at that town and follow my business,
being ignorant of the stock necessary to begin with.  She was
very hospitable, gave me a dinner of ox-cheek with great good will,
accepting only a pot of ale in return; and I thought myself
fixed till Tuesday should come.  However, walking in the evening
by the side of the river, a boat came by, which I found was going
towards Philadelphia, with several people in her.  They took me in,
and, as there was no wind, we row'd all the way; and about midnight,
not having yet seen the city, some of the company were confident
we must have passed it, and would row no farther; the others knew
not where we were; so we put toward the shore, got into a creek,
landed near an old fence, with the rails of which we made a fire,
the night being cold, in October, and there we remained till daylight.
Then one of the company knew the place to be Cooper's Creek, a little
above Philadelphia, which we saw as soon as we got out of the creek,
and arriv'd there about eight or nine o'clock on the Sunday morning,
and landed at the Market-street wharf."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
"ap ~ 08:00"|"about eight"|"At his house I lay that night, and the next morning reach'd Burlington,
but had the mortification to find that the regular boats were gone
a little before my coming, and no other expected to go before Tuesday,
this being Saturday; wherefore I returned to an old woman in the town,
of whom I had bought gingerbread to eat on the water, and ask'd
her advice.  She invited me to lodge at her house till a passage
by water should offer; and being tired with my foot travelling,
I accepted the invitation.  She understanding I was a printer,
would have had me stay at that town and follow my business,
being ignorant of the stock necessary to begin with.  She was
very hospitable, gave me a dinner of ox-cheek with great good will,
accepting only a pot of ale in return; and I thought myself
fixed till Tuesday should come.  However, walking in the evening
by the side of the river, a boat came by, which I found was going
towards Philadelphia, with several people in her.  They took me in,
and, as there was no wind, we row'd all the way; and about midnight,
not having yet seen the city, some of the company were confident
we must have passed it, and would row no farther; the others knew
not where we were; so we put toward the shore, got into a creek,
landed near an old fence, with the rails of which we made a fire,
the night being cold, in October, and there we remained till daylight.
Then one of the company knew the place to be Cooper's Creek, a little
above Philadelphia, which we saw as soon as we got out of the creek,
and arriv'd there about eight or nine o'clock on the Sunday morning,
and landed at the Market-street wharf."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
"ap 09:00"|"nine o'clock"|"At his house I lay that night, and the next morning reach'd Burlington,
but had the mortification to find that the regular boats were gone
a little before my coming, and no other expected to go before Tuesday,
this being Saturday; wherefore I returned to an old woman in the town,
of whom I had bought gingerbread to eat on the water, and ask'd
her advice.  She invited me to lodge at her house till a passage
by water should offer; and being tired with my foot travelling,
I accepted the invitation.  She understanding I was a printer,
would have had me stay at that town and follow my business,
being ignorant of the stock necessary to begin with.  She was
very hospitable, gave me a dinner of ox-cheek with great good will,
accepting only a pot of ale in return; and I thought myself
fixed till Tuesday should come.  However, walking in the evening
by the side of the river, a boat came by, which I found was going
towards Philadelphia, with several people in her.  They took me in,
and, as there was no wind, we row'd all the way; and about midnight,
not having yet seen the city, some of the company were confident
we must have passed it, and would row no farther; the others knew
not where we were; so we put toward the shore, got into a creek,
landed near an old fence, with the rails of which we made a fire,
the night being cold, in October, and there we remained till daylight.
Then one of the company knew the place to be Cooper's Creek, a little
above Philadelphia, which we saw as soon as we got out of the creek,
and arriv'd there about eight or nine o'clock on the Sunday morning,
and landed at the Market-street wharf."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
18:00|"six in the evening"|"After dinner, my sleepiness return'd, and being shown to a bed,
I lay down without undressing, and slept till six in the evening,
was call'd to supper, went to bed again very early, and slept
soundly till next morning.  Then I made myself as tidy as I could,
and went to Andrew Bradford the printer's. I found in the shop
the old man his father, whom I had seen at New York, and who,
travelling on horseback, had got to Philadelphia before me.
He introduc'd me to his son, who receiv'd me civilly, gave me
a breakfast, but told me he did not at present want a hand,
being lately suppli'd with one; but there was another printer
in town, lately set up, one Keimer, who, perhaps, might employ me;
if not, I should be welcome to lodge at his house, and he would
give me a little work to do now and then till fuller business
should offer."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
"ap ~ 06:00"|"about six o'clock"|"At my first admission into this printing-house I took to working
at press, imagining I felt a want of the bodily exercise I had been
us'd to in America, where presswork is mix'd with composing.
I drank only water; the other workmen, near fifty in number,
were great guzzlers of beer.  On occasion, I carried up and down
stairs a large form of types in each hand, when others carried
but one in both hands.  They wondered to see, from this and
several instances, that the Water-American, as they called me,
was stronger than themselves, who drank strong beer!  We had an
alehouse boy who attended always in the house to supply the workmen.
My companion at the press drank every day a pint before breakfast,
a pint at breakfast with his bread and cheese, a pint between
breakfast and dinner, a pint at dinner, a pint in the afternoon
about six o'clock, and another when he had done his day's work.
I thought it a detestable custom; but it was necessary, he suppos'd,
to drink strong beer, that he might be strong to labor.  I endeavored
to convince him that the bodily strength afforded by beer could
only be in proportion to the grain or flour of the barley dissolved
in the water of which it was made; that there was more flour in a
pennyworth of bread; and therefore, if he would eat that with a pint
of water, it would give him more strength than a quart of beer.
He drank on, however, and had four or five shillings to pay
out of his wages every Saturday night for that muddling liquor;
an expense I was free from.  And thus these poor devils keep
themselves always under."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
23:00|"eleven at night"|"But my giving this account of it here is to show something of the interest
I had, every one of these exerting themselves in recommending business
to us.  Breintnal particularly procur'd us from the Quakers the printing
forty sheets of their history, the rest being to be done by Keimer;
and upon this we work'd exceedingly hard, for the price was low.
It was a folio, pro patria size, in pica, with long primer notes.
I compos'd of it a sheet a day, and Meredith worked it off at press;
it was often eleven at night, and sometimes later, before I had
finished my distribution for the next day's work, for the little
jobbs sent in by our other friends now and then put us back.
But so determin'd I was to continue doing a sheet a day of the folio,
that one night, when, having impos'd my forms, I thought my day's
work over, one of them by accident was broken, and two pages
reduced to pi, I immediately distributed and compos'd it over again
before I went to bed; and this industry, visible to our neighbors,
began to give us character and credit; particularly, I was told,
that mention being made of the new printing-office at the merchants'
Every-night club, the general opinion was that it must fail,
there being already two printers in the place, Keimer and Bradford;
but Dr. Baird (whom you and I saw many years after at his native place,
St. Andrew's in Scotland) gave a contrary opinion:  ""For the industry
of that Franklin,"" says he, ""is superior to any thing I ever saw
of the kind; I see him still at work when I go home from club,
and he is at work again before his neighbors are out of bed.""
This struck the rest, and we soon after had offers from one of them
to supply us with stationery; but as yet we did not chuse to engage in
shop business."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
"ap 05:00"|five|"This library afforded me the means of improvement by constant study,
for which I set apart an hour or two each day, and thus repair'd
in some degree the loss of the learned education my father once
intended for me.  Reading was the only amusement I allow'd myself.
I spent no time in taverns, games, or frolicks of any kind;
and my industry in my business continu'd as indefatigable
as it was necessary.  I was indebted for my printing-house;
I had a young family coming on to be educated, and I had to contend
with for business two printers, who were established in the place
before me.  My circumstances, however, grew daily easier.
My original habits of frugality continuing, and my father having,
among his instructions to me when a boy, frequently repeated a proverb
of Solomon, ""Seest thou a man diligent in his calling, he shall stand
before kings, he shall not stand before mean men,"" I from thence
considered industry as a means of obtaining wealth and distinction,
which encourag'd me, tho' I did not think that I should ever
literally stand before kings, which, however, has since happened;
for I have stood before five, and even had the honor of sitting
down with one, the King of Denmark, to dinner."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
12:00|NOON|"8—12. Work.
NOON."|"The Autobiography of Benjamin Franklin"|"Benjamin Franklin"
