18:00|"six in the evening"|"“Six?” It seemed a curious time to give up any belief; his father might as welt have said “six in the evening.”"|Cryptozoic!|"Brian W. Aldiss"
00:00|midnight|"But his father was covering the exit. Painstakingly, he explained a standard textbook diagram to Judy, a diagram in which it was supposed that the Earth was created at midnight. Then followed long hours of darkness with no life, the time of fire and an alien atmosphere and long rains, the Pre-Cambrian times or Cryptozoic Era, of which little was known or could be known. The Cambrian Period marked the beginning of the fossil record and did not arrive till ten o’clock on the clock face. The reptiles and amphibians put in an appearance with the Carboniferous Period at about eleven o’clock, and were gone by quarter to twelve. Mankind’s appearance was made at twelve seconds to noon, and the time since the Stone Age was a fraction of a second."|Cryptozoic!|"Brian W. Aldiss"
"ap 10:00"|"ten o’clock"|"But his father was covering the exit. Painstakingly, he explained a standard textbook diagram to Judy, a diagram in which it was supposed that the Earth was created at midnight. Then followed long hours of darkness with no life, the time of fire and an alien atmosphere and long rains, the Pre-Cambrian times or Cryptozoic Era, of which little was known or could be known. The Cambrian Period marked the beginning of the fossil record and did not arrive till ten o’clock on the clock face. The reptiles and amphibians put in an appearance with the Carboniferous Period at about eleven o’clock, and were gone by quarter to twelve. Mankind’s appearance was made at twelve seconds to noon, and the time since the Stone Age was a fraction of a second."|Cryptozoic!|"Brian W. Aldiss"
"ap ~ 11:00"|"about eleven o’clock"|"But his father was covering the exit. Painstakingly, he explained a standard textbook diagram to Judy, a diagram in which it was supposed that the Earth was created at midnight. Then followed long hours of darkness with no life, the time of fire and an alien atmosphere and long rains, the Pre-Cambrian times or Cryptozoic Era, of which little was known or could be known. The Cambrian Period marked the beginning of the fossil record and did not arrive till ten o’clock on the clock face. The reptiles and amphibians put in an appearance with the Carboniferous Period at about eleven o’clock, and were gone by quarter to twelve. Mankind’s appearance was made at twelve seconds to noon, and the time since the Stone Age was a fraction of a second."|Cryptozoic!|"Brian W. Aldiss"
"ap 23:45"|"quarter to twelve"|"But his father was covering the exit. Painstakingly, he explained a standard textbook diagram to Judy, a diagram in which it was supposed that the Earth was created at midnight. Then followed long hours of darkness with no life, the time of fire and an alien atmosphere and long rains, the Pre-Cambrian times or Cryptozoic Era, of which little was known or could be known. The Cambrian Period marked the beginning of the fossil record and did not arrive till ten o’clock on the clock face. The reptiles and amphibians put in an appearance with the Carboniferous Period at about eleven o’clock, and were gone by quarter to twelve. Mankind’s appearance was made at twelve seconds to noon, and the time since the Stone Age was a fraction of a second."|Cryptozoic!|"Brian W. Aldiss"
12:00|noon|"But his father was covering the exit. Painstakingly, he explained a standard textbook diagram to Judy, a diagram in which it was supposed that the Earth was created at midnight. Then followed long hours of darkness with no life, the time of fire and an alien atmosphere and long rains, the Pre-Cambrian times or Cryptozoic Era, of which little was known or could be known. The Cambrian Period marked the beginning of the fossil record and did not arrive till ten o’clock on the clock face. The reptiles and amphibians put in an appearance with the Carboniferous Period at about eleven o’clock, and were gone by quarter to twelve. Mankind’s appearance was made at twelve seconds to noon, and the time since the Stone Age was a fraction of a second."|Cryptozoic!|"Brian W. Aldiss"
10:30|"ten-thirty in the morning"|"The truck delivered Bush at the training center at ten-thirty in the morning. By midday, his civilian clothes had been taken from him, to be replaced by a coarse khaki uniform; his head had been shaved; he had plunged through a cold disinfectant bath; been inoculated against typhoid, cholera, and tetanus and vaccinated against smallpox; been examined to see that he was not suffering from a venereal disease; had his voice- and retina-patterns taken and his finger-prints recorded; and paraded at the cookhouse for an ill-cooked meal."|Cryptozoic!|"Brian W. Aldiss"
12:00|midday|"The truck delivered Bush at the training center at ten-thirty in the morning. By midday, his civilian clothes had been taken from him, to be replaced by a coarse khaki uniform; his head had been shaved; he had plunged through a cold disinfectant bath; been inoculated against typhoid, cholera, and tetanus and vaccinated against smallpox; been examined to see that he was not suffering from a venereal disease; had his voice- and retina-patterns taken and his finger-prints recorded; and paraded at the cookhouse for an ill-cooked meal."|Cryptozoic!|"Brian W. Aldiss"
13:00|"1300 hours"|"The course proper began at 1300 hours sharp, and from then until the end of the month was almost unremitting."|Cryptozoic!|"Brian W. Aldiss"
"ap 09:30"|nine-thirty|"Howes laughed unconvincingly. He was a big man, not ill-looking, who seemed more in control than Stanhope. “Come, you’ve had enough for today! Relax, Bush! The course is over. Captain Stanhope and I will see you back here tomorrow morning at nine-thirty, to give you full briefing. Till then, you can go away and celebrate.”"|Cryptozoic!|"Brian W. Aldiss"
14:00|"two in the afternoon"|"Forgetting his own woes, he hurried out to the street. Nobody was about. The hour was two in the afternoon, when everyone sat in their parlors pretending they had lunched adequately or in the pub forgetting they had lunched inadequately. The Bush children had disappeared; nor was there any sign of Herbert. Nor – he realized it almost as soon as the emptiness stopped him – could he attract anyone’s attention if he did see them."|Cryptozoic!|"Brian W. Aldiss"
"ap 08:00"|"eight o’clock"|"Before he left the mining community, a surprise presented itself. The new manager of the little grocer’s, who had been there no more than ten days, rolled down the blind over the door at eight o’clock one evening, bolted the door, and turned to propose marriage to Joan. So Bush interpreted it by her modest looks, her smiles, her moment of fear, his way of clasping her hand formally and tenderly. Next day, the fellow cycled to work as usual and presented Joan with a ring from his neat waistcoat pocket; as he slipped it on her finger, she smiled with misty eyes and suddenly put an arm about his neck, resting a cheek against his head."|Cryptozoic!|"Brian W. Aldiss"
"ap 10:30"|ten-thirty|"There were doors at the far end of the corridor. He went through them and found himself in a wider and grander corridor. The hour was still sufficiently early for the floor to be deserted except for servants. He recalled that the grand Victorian habit was to breakfast on until ten-thirty and after."|Cryptozoic!|"Brian W. Aldiss"
