14:53|14:53|"number appears regularly R.A. Hill and Robin I.M. Dunbar (2003), “Social Network Size in Humans,” Human Nature, 14:53–72."|"Liars and Outliers"|"Bruce Schneier"
"ap 01:19"|1:19|"ritualized battles Mark Briffa (2010), “Territoriality and Aggression,” Nature Education Knowledge, 1:19. Craig Packer and Anne E. Pusey (1985), “Asymmetric Contests in Social Mammals Respect, Manipulation and Age-Specific Aspects,” in Paul J. Greenwood, Paul H. Harvey, and Montgomery Slatkin, eds., Evolution: Essays in Honour of John Maynard Smith, Cambridge University Press, 173–86. Tabitha M. Innocent and Stuart A. West (2006), “Social Evolution: Cooperation by Conflict,” Current Biology, 16:365–67. Hanna Kokko, Andrés López-Sepulcre, and Lesley J. Morrell (2006), “From Hawks and Doves to Self-Consistent Games of Territorial Behavior,” The American Naturalist, 167:901–12."|"Liars and Outliers"|"Bruce Schneier"
"ap 02:11"|2:11|"found that oxytocin Paul J. Zak, Robert Kurzban, and William T. Matzner (2003), “Oxytocin Is Associated with Interpersonal Trust in Humans,” PLoS ONE, 2:11, e1128. Zoe R. Donaldson and Larry J. Young (2008), “Oxytocin, Vasopressin, and the Neurogenetics of Sociality,” Science, 322:900–4."|"Liars and Outliers"|"Bruce Schneier"
22:58|22:58|"increase in solidarity Randall Collins (2004), “Rituals of Solidarity and Security in the Wake of Terrorist Attack,” Sociological Theory, 22:58–87."|"Liars and Outliers"|"Bruce Schneier"
"ap 05:11"|5:11|"taking advantage Jelena Gruji, Constanza Fosco, Lourdes Araujo, José A. Cuesta, and Angel Sánchez (2010), “Social Experiments in the Mesoscale: Humans Playing a Spatial Prisoner's Dilemma,” PLoS ONE, 5:11, e13749."|"Liars and Outliers"|"Bruce Schneier"
"ap 10:45"|10:45|"more likely to litter Robert B. Cialdini, Carl A. Kallgren, and Raymond R. Reno (1991), “A Focus Theory of Normative Conduct: A Theoretical Refinement and Reevaluation of the Role of Norms in Human Behavior,” Advances in Experimental Social Psychology, 21:201–34. Susan M. Reiter and William Samuel (1980), “Littering as a Function of Prior Litter and the Presence or Absence of Prohibitive Signs,” Journal of Applied Social Psychology, 10:45–55. E. Scott Geller, Jill F. Witmer, and Margaret A. Tuso (1977), “Environmental Interventions for Litter Control,” Journal of Applied Psychology, 62:344–51."|"Liars and Outliers"|"Bruce Schneier"
16:51|16:51|"Nazis instituted this Robert Loeffel (2007), “Sippenhaft, Terror and Fear in Nazi Germany: Examining One Facet of Terror in the Aftermath of the Plot of 20 July 1944,” Contemporary European History, 16:51–69."|"Liars and Outliers"|"Bruce Schneier"
"ap 08:26"|8:26|"fines reduce speeding Robert Beattie Crawford (1989), “Toward a Theory on Speeding and Penalties: Have the Increased Fines Reduced Speeding in Massachusetts?” Master's thesis, Massachusetts Institute of Technology. D.C. Webster and P.A. Wells (2000), “The Characteristics of Speeders,” Road Safety Division, Department of the Environment, Transport and the Regions, TRL Report. Saranath Lawpoolsri, Jingyi Li, and Elisa R. Braver (2007), “Do Speeding Tickets Reduce the Likelihood of Receiving Subsequent Speeding Tickets? A Longitudinal Study of Speeding Violators in Maryland,” Traffic Injury Prevention, 8:26–34."|"Liars and Outliers"|"Bruce Schneier"
"ap 11:43"|11:43|"towns are experimenting Ben Hamilton-Baillie (2004), “Urban Design: Why Don't We Do It In The Road? Modifying Traffic Behavior Through Legible Urban Design,” Journal of Urban Technology, 11:43–6. Peter Peters (2005), “Exchanging Travel Speed: Time Politics in Mobility Practices,” Configurations, 13:395–419,436. Tom Vanderbilt (Summer 2008), “The Traffic Guru,” The Wilson Quarterly, 26–32."|"Liars and Outliers"|"Bruce Schneier"
"ap 05:37"|5:37|"gave different weights Don A. More, Lloyd Tantu, and Max H. Bazerman (2010), “Conflict of Interest and the Intrusion of Bias,” Judgment & Decision Making, 5:37–53."|"Liars and Outliers"|"Bruce Schneier"
22:24|22:24|"probability of punishment Gary S. Becker (1968), “Crime and Punishment: An Economic Approach,” Journal of Political Economy, 76:169–217. Jeffrey Grogger (1991), “Certainty vs. Severity of Punishment,” Economic Inquiry, 29:297–309. Lixuan Zhang, Wayne W. Smith, and William C. McDowell (2009), “Examining Digital Piracy: Self-Control, Punishment, and Self-Efficacy,” Information Resources Management Journal, 22:24–44."|"Liars and Outliers"|"Bruce Schneier"
