09:00|"9 A.M."|"Sitting there, you might be wondering what kind of nincompoops would casually turn over six miles of interstate to a motion-picture company between the hours of 9 A.M. and 3 P.M. for 10 days. Likewise the Florida Turnpike or even A1A."|"Dance of the Reptiles"|"Carl Hiaasen"
15:00|"3 P.M."|"Sitting there, you might be wondering what kind of nincompoops would casually turn over six miles of interstate to a motion-picture company between the hours of 9 A.M. and 3 P.M. for 10 days. Likewise the Florida Turnpike or even A1A."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 04:59"|"one of five"|"In 1999, a 3-year-old Illinois boy was choked to death by his parents’ pet African rock python. Two years later, an 8-year-old Pennsylvania girl was critically injured by a 10-foot Burmese—one of five big snakes kept at her home—that wound around her neck and wouldn’t let go."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap < 00:57"|"nearly three to one"|"More and more folks are figuring out what serious urban planners have known for a long time: Run-amok growth doesn’t pay for itself. Taxpayers always get stuck with the bill for sprawl and also with the hometown ills it brings. By an overwhelming margin of nearly three to one, Floridians polled in the Leadership Florida survey oppose higher population densities in their neighborhoods—a view that resonates fairly evenly among registered Democrats, Republicans, and independents."|"Dance of the Reptiles"|"Carl Hiaasen"
08:00|"8 A.M."|"Concerned that Bush is perceived as indifferent to environmental concerns, the White House carefully has crafted a Florida itinerary that will show the president as a caring, sensitive friend of the earth:
8 A.M. Air Force One arrives at Miami International Airport.
Photo opportunity: President cradles a small burrowing owl that has been digging a nest near runway Nine-Right."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 09:05"|9:05|"Prepared comment: “Imagine such a tiny thing living among these huge noisy jumbo jets—what better example of nature and mankind coexisting in harmony!”
9:05. Motorcade enters Everglades National Park.
Photo op: President pauses to admire a mangrove."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 10:15"|10:15|"“That’s why it is vital to continue clear-cutting our vast federal forests in Montana and Idaho, so that these precious mangroves will never be needed to meet our nation’s burgeoning timber needs.”
10:15. Motorcade stops at a wetland.
Photo op: President poses with the wetland."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 10:30"|10:30|"“That’s why it is imperative to move ahead with drilling in the Gulf of Mexico and the Arctic Preserve, thus ensuring there will always be plenty of gasoline for Americans who wish to drive to Florida and see the Everglades.”
10:30. Motorcade stops at a slough.
Photo op: President poses with a garfish."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 10:45"|10:45|"Photo op: President poses with a garfish.
10:45. Motorcade stops by a canal.
Photo op: President poses with a turtle."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 10:55"|10:55|"Photo op: President poses with a turtle.
10:55. Motorcade stops at a cypress hammock.
Photo op: President poses with a palmetto bug."|"Dance of the Reptiles"|"Carl Hiaasen"
12:00|Noon|"Photo op: President poses with a palmetto bug.
Noon: Box lunch, followed by airboat ride.
Photo op: President pauses to admire sawgrass."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 01:15"|1:15|"“That’s why our mining companies must not be crippled by unnecessary regulations and pollution controls. A little extra arsenic in the water is a small price to pay for the pleasure of airboating among garfish and turtles on a spring day.”
1:15. Motorcade stops at gator pond.
Photo op: President points out several alligators swimming nearby."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 02:30"|2:30|"“Now, that’s how the Endangered Species Act is supposed to work.”
2:30. Kayaking excursion on Whitewater Bay.
Photo op: President swims with a manatee."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 04:05"|4:05|"“That’s one reason why I’m committed to leasing millions of public acres dirt-cheap to America’s cattle ranchers, so that these precious manatees will never be needed to meet our nation’s burgeoning demand for protein.”
4:05. Motorcade arrives at a Seminole Indian village.
Photo op: More endangered species."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 04:30"|4:30|"In the event that no endangered animals are available, the president has consented to be photographed with a raccoon.
4:30. Tribute to Marjory Stoneman Douglas.
Photo op: The president and Interior Secretary Gale Norton will perform a dramatic reading from Douglas’s classic Everglades essays."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 05:15"|5:15|"This will be followed by a small riot.
5:15. Presidential tour ends at park headquarters.
Photo op: President is greeted by his brother, Florida Gov. Jeb Bush, who will be wearing a grocery bag over his head."|"Dance of the Reptiles"|"Carl Hiaasen"
04:00|"4 A.M."|"In any case, one can’t help but wonder if Scott’s concern for shielding the privacy of dope dealers will extend to other criminals. Perhaps next he’ll suggest abolishing the Department of Highway Safety and Motor Vehicles, which maintains a fiendishly thorough computer list of every automobile, truck, and motorcycle registered in the state. Heck, does a police officer really need to know if the car he’s pulling over at 4 A.M. on I-95 is stolen?"|"Dance of the Reptiles"|"Carl Hiaasen"
03:00|"3 A.M."|"At 3 A.M. Thursday, Wilton Dedge and his father took a walk. It was warm outside, but the air smelled glorious, and Dedge couldn’t stop staring up at the crystal Florida sky. “It was just unreal,” he said, “just to go out at night and see the stars.”"|"Dance of the Reptiles"|"Carl Hiaasen"
01:00|"1 A.M."|"Holmes finally agreed to drop all charges. A judge signed the paper, and at 1 A.M. Thursday Wilton Dedge stepped out of the Brevard County Jail into the summer night and freedom. The first thing he did was hug his mother and father. “I’m just trying to soak it all in right now,” he said."|"Dance of the Reptiles"|"Carl Hiaasen"
"~ 17:45"|"about 5:45 P.M."|"The Piper Cherokee that stalled at MIA had been rented from Huffman that day by the two future hijackers. They weren’t supposed to fly it all the way to Miami, so the general manager of Huffman was surprised to get a phone call from the men, asking how to restart the plane. Not long afterward, a flight official at MIA dialed Huffman to say the Piper had been abandoned, forcing other aircrafts to taxi around it. It was about 5:45 P.M., one of the busiest periods for commercial takeoffs and landings. “Any time the tower calls, they are not in the best of moods,” the manager of the aviation firm told Jim Yardley of The New York Times."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 06:00"|"six o’clock"|"Now the circus shifts to Nassau, where visiting journalists face a dicey new challenge: how to conceal their windsurfing lessons and casino losses on their expense accounts. It’s money that could be spent in pursuit of serious news in Darfur or Pakistan, or even back home, where there is likely some crime and corruption waiting to be exposed. But this is a new dawn for modern journalism. The smelly stuff that was once left to the capable vultures at the Star and the Enquirer is now front-page fodder in your hometown paper and the lead story on the six o’clock news."|"Dance of the Reptiles"|"Carl Hiaasen"
"ap 00:50"|"10 to one"|"Nobody except a handful of GOP honchos thought the punitive new voting law was a good idea. The League of Women Voters, labor unions, and other citizen groups lobbied against it, to no avail. Scott’s office reported receiving more than 15,300 calls and e-mails, with opposition running 10 to one. It’s significant that the governor’s own overseer of elections, Secretary of State Kurt Browning, never once spoke in favor of the legislation. Only after Scott signed the bill did Browning offer a lukewarm endorsement."|"Dance of the Reptiles"|"Carl Hiaasen"
"> 23:00"|"shortly after 11 P.M."|"The 2012 presidential race was basically over last Tuesday night when precincts in Cleveland and other key areas began reporting. President Obama’s victory was announced shortly after 11 P.M., while many Miami voters were still waiting in long lines. To their honor, lots of them stayed and voted anyway."|"Dance of the Reptiles"|"Carl Hiaasen"
00:00|midnight|"By midnight Tuesday, every other state on the electoral map was blue or red. We were the only blank one on the board and stayed that way late into the week. This time all of America wasn’t anxiously waiting. It was chuckling and shaking its head."|"Dance of the Reptiles"|"Carl Hiaasen"
