"ap 03:00"|300|"They had driven out to the flower farm, an hour from Bogotá, on the morning after. It had been a sumptuous wedding, elegant, tasteful. The poise and charm of the old man’s granddaughter had more than compensated for the awkward groom. A lucky man, said the guests. She is not the most beautiful woman in Bogotá, but of course, money has a beauty of its own. The bride’s brother, the one with the haunting black eyes, had performed the ceremony from the main altar of the cathedral. He had even trimmed his beard; wasn’t that the least he could have done with the metropolitan bishop there on the altar with him? Three hundred waiters in white coats had dispensed a hundred cases of French champagne, fifty pounds of Iranian caviar and five hundred pounds of Caribbean lobsters to 1,200 guests guarded by 300 policemen, 423 private bodyguards and a company of infantry commanded by one of the guests but deployed out of sight of the colonial finca Bolivar once owned. A catty social page reporter from The New York Times had assembled the box score. Bogotá’s El Tiempo called it “the wedding of the century” but left out the part about the policemen, the bodyguards and the soldiers. The bride’s mother wore a beige Givenchy of Chinese silk. The bride’s father wore a Savile Row morning suit with a perfect white carnation at his lapel. Everyone deferred to the old man from Bogotá. He was the patriarch, and it was his money that had paid for the champagne, the caviar, the soldiers and the bishop."|"Powder Burn"|"Carl Hiaasen"
"ap < 09:00"|"nearly nine o’clock"|"“It’s nearly nine o’clock, Mr. Meadows. We breakfast early here at the Buckingham.” She carried a metal tray with steaming tea in a chipped mug, two gnarled pieces of toast and a jelly glass holding an amber fluid that fizzed. He later discovered it was celery soda. Sadie firmly believed there was nothing celery soda and borscht would not cure."|"Powder Burn"|"Carl Hiaasen"
00:00|midnight|"“Don’t get snooty. I am coming tonight, by midnight. I expect you to be there.”"|"Powder Burn"|"Carl Hiaasen"
"ap ~ 11:00"|"about eleven o’clock"|"“We gave back the body this afternoon. They’ll bury him tomorrow. Tonight is the velorio. The family will stay all night—it’s an old Cuban custom. Everybody who knew him will be here between now and about eleven o’clock. It would be an unforgivable insult not to come. Honor is foremost with these people. Remember that.”"|"Powder Burn"|"Carl Hiaasen"
"ap 05:00"|5:00|"THE TWENTY-STORY OFFICE BUILDING near the Miami River was like all its big brothers around the country. Promptly at 5:00 each afternoon it emptied as though someone had pulled a plug. The drones rushed from the air-conditioned lobby, braved brief assault by the sweltering afternoon sun and plunged into the air-conditioned boxes that would take them home. Machines reinforced the routine. At exactly 5:15 computers shut down the escalators and turned off the air-conditioning."|"Powder Burn"|"Carl Hiaasen"
"ap 05:15"|5:15|"THE TWENTY-STORY OFFICE BUILDING near the Miami River was like all its big brothers around the country. Promptly at 5:00 each afternoon it emptied as though someone had pulled a plug. The drones rushed from the air-conditioned lobby, braved brief assault by the sweltering afternoon sun and plunged into the air-conditioned boxes that would take them home. Machines reinforced the routine. At exactly 5:15 computers shut down the escalators and turned off the air-conditioning."|"Powder Burn"|"Carl Hiaasen"
"ap 05:09"|5:09|"Lane Redbirt lingered behind the rest. He stopped at the lobby newsstand to buy cigarettes and breath freshener. By the time he reached his Porsche it was 5:09 and the parking lot was nearly deserted."|"Powder Burn"|"Carl Hiaasen"
"ap 05:40"|five-forty|"“In your office, after everyone has left. I will come precisely at five-forty, and I will leave at three minutes to six. Wait in your office, and leave the front door unlocked. Is that clear?”"|"Powder Burn"|"Carl Hiaasen"
"ap 05:57"|"three minutes to six"|"“In your office, after everyone has left. I will come precisely at five-forty, and I will leave at three minutes to six. Wait in your office, and leave the front door unlocked. Is that clear?”"|"Powder Burn"|"Carl Hiaasen"
"ap 05:20"|5:20|"Lane Redbirt was impatient. He swiveled in his black leather chair to stare at the wall clock. It was 5:20. So he was being granted a seventeen-minute audience with the disembodied voice whose sporadic calls over the past two years had changed his whole life. Morgan Jones coming to announce peace in our time, was he? Well, Lane Redbirt would be ready for him. No more messenger boy-distributor. No more dealing by dead of night with spics who smelled of garlic. No more pussying around. No, sir, Your Honor. Whether Morgan Jones realized it or not, he was about to surrender his trump card: his identity. If he wanted Lane Redbirt selling his shit, from now on it would be on Redbirt’s terms."|"Powder Burn"|"Carl Hiaasen"
"ap 05:22"|5:22|"At 5:22 Redbirt could contain himself no longer. He had popped an upper about three o’clock. It was wearing off. From the bowels of a filing cabinet he withdrew a small plastic bag. One line, Redbirt thought. Just one line now to fire all the cylinders for the good Mr. Jones. Later, with hungry Virginia, he would really quench the thirst."|"Powder Burn"|"Carl Hiaasen"
"ap ~ 03:00"|"about three o’clock"|"At 5:22 Redbirt could contain himself no longer. He had popped an upper about three o’clock. It was wearing off. From the bowels of a filing cabinet he withdrew a small plastic bag. One line, Redbirt thought. Just one line now to fire all the cylinders for the good Mr. Jones. Later, with hungry Virginia, he would really quench the thirst."|"Powder Burn"|"Carl Hiaasen"
"ap 05:23"|5:23|"The voice came from the reception area, shattering Redbirt’s musings. He looked again at the clock: 5:23. It could not be Jones. If a man announces he is coming for seventeen minutes, he comes on time. Redbirt hurried from his office."|"Powder Burn"|"Carl Hiaasen"
"ap 05:00"|"five o’clock"|"“Thank God somebody’s here. I’ve been wandering all over the building, looking for a lawyer who doesn’t run home at five o’clock.”"|"Powder Burn"|"Carl Hiaasen"
"ap 05:24"|5:24|"“Please, it will only take a minute. Look, three hundred dollars for three minutes’ work. I’ll pay cash.”
Redbirt looked at his watch. It was 5:24.
“It will have to be literally three minutes, I’m afraid. Come in, please.” It was a gamble, but a good gamble, Redbirt decided. The executive offices of José Bermúdez’s banking empire occupied the whole twentieth floor. Some people thought the man would be Miami’s next mayor. Lane Redbirt suddenly decided that he himself would make a fine city attorney."|"Powder Burn"|"Carl Hiaasen"
"ap 05:26"|5:26|"“Then this should be child’s play for you. Here, Clause Thirty-three. Does it mean we are protected in all cases?”
The clock said 5:26.
Plenty of time. Redbirt focused on the fine print of what seemed to be a fairly standard loan agreement. Bermúdez sat expectantly before him, hands crossed demurely athwart the attaché case."|"Powder Burn"|"Carl Hiaasen"
"ap 05:40"|five-forty|"“I’m sorry, I don’t understand.”
“I said I would come at five-forty. I came early.”
“You?”"|"Powder Burn"|"Carl Hiaasen"
"ap 05:40"|5:40|"“Gringo de mierda,” said José Bermúdez, mayor-to-be.
The wall clock said 5:40.
LATER THAT NIGHT Bermúdez let himself into the darkened cigar factory in el barrio. Once more he had two calls to make."|"Powder Burn"|"Carl Hiaasen"
"ap 06:00"|"six o’clock"|"“¿Cuando?”
“Tonight; six o’clock. You got anything else for me?”
“Nada.”"|"Powder Burn"|"Carl Hiaasen"
04:00|"four A.M."|"“Know what he did? He and three buddies went out one night on a big Bertram sportfisher docked up at Hillsborough. The Margie Doll or Maggie Doll, something like that. The guy at the fuel dock asks where they’re going, and Larry, the dumb shit, says they’re going out all night swordfishing. This dockmaster is no idiot, so he mentions to this friend of his in the Marine Patrol that a bunch of young hotshots are taking out a big Bertram for a night of long-lining. And the Marine Patrol officer thinks this is hysterical because there isn’t a fisherman in his right mind who goes swordfishing in January off Hillsborough. It isn’t even swordfish season. So the Marine Patrol mentions this to a buddy of his in Customs, and to make a long story short, when the Maggie Doll comes back into the inlet at four A.M., eight jillion drug agents are waiting for her. And there’s my Larry, bless his dumb heart, snoring away on top of five thousand pounds of Colombian weed. He’s up at Lowell now, doing two years. He’s very mad at me because I won’t visit him, but I made up my mind. I’m through with him. There’s a good chance he’ll be disbarred because of this.”"|"Powder Burn"|"Carl Hiaasen"
04:00|"four in the morning"|"“It’s four in the morning, Joey Dent is in Parkway General and in walk two DEA jerkoffs. ‘Your wife, your kids, your house, your mistress, all down the toilet, Joey. Help us out, and you fly like an eagle. We’ll send you off to Montana with a new name and a little ranch in the valley. It’s so nice out there, Joey. If you don’t help, however, we send you to Atlanta for seven years. By the time you get out your wife will be gone with the TV repairman and the kids won’t recognize you.’ Dammit, can you get this open? My hands are wet.” Manny tossed the cold bottle of Miller’s across the room, and Meadows snatched it before it hit the tile. He wrapped a corner of the terry-cloth robe he was wearing around the cap and twisted it off. He handed it back to Manny, and the smuggler drank half in four huge gulps."|"Powder Burn"|"Carl Hiaasen"
00:00|midnight|"“Don’t bring a gun, that’s one rule. And don’t get loaded before you come, that’s another. The third rule is the Joey Dent Rule. You know that one already.” Manny held Meadows’s gaze for a moment, then rose. “We’ll pick you up here at midnight.”"|"Powder Burn"|"Carl Hiaasen"
01:07|"1:07  A.M."|"Two days later a twin-engine Beechcraft landed at 1:07  A.M. at North Perry Airport. Several men waited by their cars as the cherry-striped aircraft taxied to a stop. The pilot got out, carrying an Ingram submachine gun and nothing else."|"Powder Burn"|"Carl Hiaasen"
