"ap 11:30"|"half-past eleven"|"At half-past eleven he heard the phone chirping out on the couch, where he’d left it. He knew Rosa wasn’t calling, because she was still at work in the E.R."|"Razor Girl"|"Carl Hiaasen"
"< 00:00"|"almost midnight"|"Yancy did understand. “Tell me what we’re dealing with, Tommy. It’s almost midnight, for Christ’s sake.”"|"Razor Girl"|"Carl Hiaasen"
12:00|noon|"“Sir, a speed-dial compadre of yours is in major trouble,” Merry went on. “Mr. Lane Coolman, okay? The talent agent. There’s bodily harm in his future unless somebody comes up with, I don’t know—half a million dollars by noon tomorrow? I see…well, yes…allrighty then. Sorry to trouble you, sir. By the way, you were amazing in Boogie Nights. That last scene at the mirror? Fucking awesome!”"|"Razor Girl"|"Carl Hiaasen"
02:00|"two in the morning"|"By the time Yancy drove back to Big Pine it was two in the morning. He placed the bags of vandal hair in his refrigerator and drifted off to sleep. At some point Rosa called to tell him about her night in the E.R., another rough one. For months he’d been trying to persuade her to relocate to the Keys, where assault-rifle wounds and spousal eviscerations were rare."|"Razor Girl"|"Carl Hiaasen"
12:00|midday|"Meanwhile, the show’s prime-time advertisers were under attack in the blogosphere, and by midday the ACLU had called for a boycott of all fishing flies tied with rooster feathers from the Nance farm. Word of the backlash sent the network vice president in charge of Bayou Brethren lunging for a pre-lunch Xanax. He couldn’t fathom why neither Buck nor his manager, Lane Coolman, would answer their cell phones."|"Razor Girl"|"Carl Hiaasen"
17:00|"five p.m."|"“You heard that, right? The ostrich Balenciaga,” Coolman relayed to Amp. “They said to leave it on the third to the last car of the five p.m. Conch Train. Some corny tourist trolley—”"|"Razor Girl"|"Carl Hiaasen"
08:00|"eight a.m."|"Her watch said eight a.m. It was three hours earlier in Los Angeles, a bad time for engaging Amp."|"Razor Girl"|"Carl Hiaasen"
12:00|noon|"“Trebeaux’s staying at the Reach. I sent a chick to his room. She’s gonna make sure he’s outbound on Roosevelt at noon sharp.”"|"Razor Girl"|"Carl Hiaasen"
"ap 06:02"|"Six two"|"“Her new ski instructor, for example. Six two, long blond hair and a schlong like a cobra.”"|"Razor Girl"|"Carl Hiaasen"
"ap 05:00"|five|"“Soon as we pulled up to the house, Andrew spotted somebody inside. He told me to drop him off, wait ten minutes and dial 911. I only waited five.”"|"Razor Girl"|"Carl Hiaasen"
"ap 06:30"|"half-past six"|"At half-past six she put on blue-jean overalls and clogs. Her hair was still wet so she opted for pigtails. A yellow cab dropped her at the News Café, where the man with the ivory toothpick was already waiting. When Merry sat down at the table, he passed her an envelope containing eleven one-hundred-dollar bills, more than she expected."|"Razor Girl"|"Carl Hiaasen"
"ap 10:00"|ten|"At ten on the button the Miami lawyer showed up in crocodile loafers, a thousand-dollar suit and no tie. He smelled like an apple orchard. Big Noogie motioned for him to sit down in the sand."|"Razor Girl"|"Carl Hiaasen"
03:00|"three a.m."|"The motel Blister chose hadn’t been renovated since the Nixon presidency. Coolman rented four rooms, including one for the driver, who was swayed by a thousand-dollar tip to stay for the night. At three a.m. Buck knocked on Coolman’s door complaining that Blister was howling like a bobcat in a stump grinder."|"Razor Girl"|"Carl Hiaasen"
"ap 09:11"|911|"They heard a siren in the distance; somebody who’d seen the accident had called 911. Yancy kicked Merry’s razor underneath the Chrysler."|"Razor Girl"|"Carl Hiaasen"
00:00|midnight|"Mona had quit Stoney’s and was tending bar on Big Coppitt. Every so often Yancy saw her riding that droopy little bicycle along the highway. He drove down to the island at midnight and caught her at the end of her shift."|"Razor Girl"|"Carl Hiaasen"
