10:00|"10 a.m."|"Dickens probably scheduled the 10 a.m. from Euston Station of the London and Birmingham Railway. That train reached Birmingham by 2:45 p.m., and then promptly arrived in Manchester at 6:25 p.m. just in time for dinner. The trip was 197.5 miles according to the schedule of the day."|"Inventing Scrooge"|"Carlo Devito"
14:45|"2:45 p.m."|"Dickens probably scheduled the 10 a.m. from Euston Station of the London and Birmingham Railway. That train reached Birmingham by 2:45 p.m., and then promptly arrived in Manchester at 6:25 p.m. just in time for dinner. The trip was 197.5 miles according to the schedule of the day."|"Inventing Scrooge"|"Carlo Devito"
18:25|"6:25 p.m."|"Dickens probably scheduled the 10 a.m. from Euston Station of the London and Birmingham Railway. That train reached Birmingham by 2:45 p.m., and then promptly arrived in Manchester at 6:25 p.m. just in time for dinner. The trip was 197.5 miles according to the schedule of the day."|"Inventing Scrooge"|"Carlo Devito"
"ap 01:12"|112|"Dickens had a profound concern for the working class, and especially the countless exploited children who had been forced to work in factories at a young age. Charles’ father, John Dickens, was forced by his creditors into the Marshalsea debtors’ prison in Southwark, London, in 1824. Charles had taken a job just two weeks before his father was sent to Marshalsea. He worked and pawned his mother’s jewelry and family furniture in a local shop on Hampstead Road, not far from the Euston train shed, where he became well known until they had run out of things to sell. His mother and the youngest children then joined John Dickens at Marshalsea (a common occurrence in those days). Charles, then twelve years old, boarded with Elizabeth Roylance, a family friend, at 112 College Place, Camden Town. According to Dickens, she was “a reduced [impoverished] old lady, long known to our family.” Dickens was forced to work in a boot black factory labeling pots of boot black six days a week, from 8 a.m. to 8 p.m., for six shillings a week, and was allowed to visit with his family at Marshalsea on Sundays. Child laborers, as he had once been forced to experience firsthand, suffered immensely from ignorance and want."|"Inventing Scrooge"|"Carlo Devito"
08:00|"8 a.m."|"Dickens had a profound concern for the working class, and especially the countless exploited children who had been forced to work in factories at a young age. Charles’ father, John Dickens, was forced by his creditors into the Marshalsea debtors’ prison in Southwark, London, in 1824. Charles had taken a job just two weeks before his father was sent to Marshalsea. He worked and pawned his mother’s jewelry and family furniture in a local shop on Hampstead Road, not far from the Euston train shed, where he became well known until they had run out of things to sell. His mother and the youngest children then joined John Dickens at Marshalsea (a common occurrence in those days). Charles, then twelve years old, boarded with Elizabeth Roylance, a family friend, at 112 College Place, Camden Town. According to Dickens, she was “a reduced [impoverished] old lady, long known to our family.” Dickens was forced to work in a boot black factory labeling pots of boot black six days a week, from 8 a.m. to 8 p.m., for six shillings a week, and was allowed to visit with his family at Marshalsea on Sundays. Child laborers, as he had once been forced to experience firsthand, suffered immensely from ignorance and want."|"Inventing Scrooge"|"Carlo Devito"
20:00|"8 p.m."|"Dickens had a profound concern for the working class, and especially the countless exploited children who had been forced to work in factories at a young age. Charles’ father, John Dickens, was forced by his creditors into the Marshalsea debtors’ prison in Southwark, London, in 1824. Charles had taken a job just two weeks before his father was sent to Marshalsea. He worked and pawned his mother’s jewelry and family furniture in a local shop on Hampstead Road, not far from the Euston train shed, where he became well known until they had run out of things to sell. His mother and the youngest children then joined John Dickens at Marshalsea (a common occurrence in those days). Charles, then twelve years old, boarded with Elizabeth Roylance, a family friend, at 112 College Place, Camden Town. According to Dickens, she was “a reduced [impoverished] old lady, long known to our family.” Dickens was forced to work in a boot black factory labeling pots of boot black six days a week, from 8 a.m. to 8 p.m., for six shillings a week, and was allowed to visit with his family at Marshalsea on Sundays. Child laborers, as he had once been forced to experience firsthand, suffered immensely from ignorance and want."|"Inventing Scrooge"|"Carlo Devito"
18:44|1844|"The train lurched forward. Until 1844 trains were pulled up the incline to Camden Town by cables because the London and Birmingham Railway’s Act of Parliament prohibited the use of locomotives in the Euston area, a long-lasting gift to the contentious farmers who’d lost their battle with the railroad."|"Inventing Scrooge"|"Carlo Devito"
09:00|"9 a.m."|"It was Fanny whom he would visit by 9 a.m. on Sunday morning at the school, and then the two of them would go to Marshalsea. In 1823 Fanny had been accepted at the Royal Academy of Music in Hanover Square. She studied with a former pupil of Ludwig van Beethoven, Ignaz Moscheles. This was not an inexpensive education, at thirty-eight guineas a year, especially for a family reeling from debt. And it may be supposed that Dickens’ own education had been scuttled as a consequence of Fanny’s gift for music."|"Inventing Scrooge"|"Carlo Devito"
"ap 00:10"|"fifty to one"|"“The restlessness of a great city, and the way in which it tumbles and tosses before it can get to sleep, formed one of the first entertainments offered to the contemplation of us houseless people. It lasted about two hours. We lost a great deal of companionship when the late public-houses turned their lamps out, and when the potmen thrust the last brawling drunkards into the street; but stray vehicles and stray people were left us, after that. If we were very lucky, a policeman’s rattle sprang and a fray turned up; but, in general, surprisingly little of this diversion was provided. Except in the Haymarket, which is the worst kept part of London, and about Kent-street in the Borough, and along a portion of the line of the Old Kent-road, the peace was seldom violently broken,” Dickens remarked. “After all seemed quiet, if one cab rattled by, half-a-dozen would surely follow; and Houselessness even observed that intoxicated people appeared to be magnetically attracted towards each other; so that we knew when we saw one drunken object staggering against the shutters of a shop, that another drunken object would stagger up before five minutes were out, to fraternise or fight with it. When we made a divergence from the regular species of drunkard, the thin-armed, puff-faced, leaden-lipped gin-drinker, and encountered a rarer specimen of a more decent appearance, fifty to one but that specimen was dressed in soiled mourning. As the street experience in the night, so the street experience in the day; the common folk who come unexpectedly into a little property, come unexpectedly into a deal of liquor.”"|"Inventing Scrooge"|"Carlo Devito"
12:00|midday|"For instance, a breakfast of bread and gruel was followed by a midday dinner that might consist of cooked meats, pickled pork or bacon with vegetables, potatoes, yeast dumplings, soup, suet, and rice pudding. Supper was normally bread, cheese, and broth, and sometimes butter or potatoes. The larger workhouses had separate dining rooms for males and females; workhouses without separate dining rooms would stagger the meal times to avoid any contact between the sexes."|"Inventing Scrooge"|"Carlo Devito"
"ap 03:20"|3:20|"The lines “Behold, I stand at the door and knock. If anyone hears my voice and opens the door, then I will come in to him . . .” come from Revelations (3:20). And the message that Marley bears also comes from Revelation ( 3:17), where John writes to the Laodiceans, one of the seven major churches of Asia and a major center of wealth in those days, “Because thou say, ‘I am rich, and increased with goods, and have need of nothing;’ and knowest not that thou are the wretched, and miserable, and poor, and blind, and naked; I counsel thee to buy from me gold tried in the fire, that thou mayest be rich; and white raiment, that thou mayest be clothed, and that the shame of thy nakedness do not appear; and anoint thine eyes with eye salve, that thou mayest see. . . .”"|"Inventing Scrooge"|"Carlo Devito"
"ap 03:17"|3:17|"The lines “Behold, I stand at the door and knock. If anyone hears my voice and opens the door, then I will come in to him . . .” come from Revelations (3:20). And the message that Marley bears also comes from Revelation ( 3:17), where John writes to the Laodiceans, one of the seven major churches of Asia and a major center of wealth in those days, “Because thou say, ‘I am rich, and increased with goods, and have need of nothing;’ and knowest not that thou are the wretched, and miserable, and poor, and blind, and naked; I counsel thee to buy from me gold tried in the fire, that thou mayest be rich; and white raiment, that thou mayest be clothed, and that the shame of thy nakedness do not appear; and anoint thine eyes with eye salve, that thou mayest see. . . .”"|"Inventing Scrooge"|"Carlo Devito"
07:00|"7 a.m."|"Dickens was a worker. He was out of bed by 7 a.m. most mornings, and was at breakfast an hour later. He arrived at his study by 9 a.m. He needed peace and quiet in his study while he tried to write, going so far as having a second door to his study installed in one house so he could get it with a multitude of children, his wife, and her sister milling about. At 2 p.m. Dickens would emerge from his study and lunch with his family. Some days he chatted, others he chomped on his food, spoke barely a word, and raced back to his desk."|"Inventing Scrooge"|"Carlo Devito"
09:00|"9 a.m."|"Dickens was a worker. He was out of bed by 7 a.m. most mornings, and was at breakfast an hour later. He arrived at his study by 9 a.m. He needed peace and quiet in his study while he tried to write, going so far as having a second door to his study installed in one house so he could get it with a multitude of children, his wife, and her sister milling about. At 2 p.m. Dickens would emerge from his study and lunch with his family. Some days he chatted, others he chomped on his food, spoke barely a word, and raced back to his desk."|"Inventing Scrooge"|"Carlo Devito"
14:00|"2 p.m."|"Dickens was a worker. He was out of bed by 7 a.m. most mornings, and was at breakfast an hour later. He arrived at his study by 9 a.m. He needed peace and quiet in his study while he tried to write, going so far as having a second door to his study installed in one house so he could get it with a multitude of children, his wife, and her sister milling about. At 2 p.m. Dickens would emerge from his study and lunch with his family. Some days he chatted, others he chomped on his food, spoke barely a word, and raced back to his desk."|"Inventing Scrooge"|"Carlo Devito"
00:00|midnight|"Students at Mr. Giles’ school were required to wear white beaver hats during their time there, and Dickens wore one until he left Chatham. Mary Weller, another student of the day, remembered that “they were not always learning, they had the merriest games that they ever played. They rowed up the river in the summer, and skated upon the ice in the winter. They had holidays too, and Twelfth cakes, and parties, when they danced till midnight. As to friends, they had such dear friends, and so many of them, that I want time to reckon them up. They were all young, like the handsome boy.”"|"Inventing Scrooge"|"Carlo Devito"
"> 00:00"|"after midnight"|"The most interesting comments on the book came from Henry Wadsworth Longfellow’s wife, Frances, who was enthusiastic about Carol. She and Longfellow read it together after midnight on January 27, 1844, and she presumably spoke for both when she called it “an admirable performance with a true Christmas glow about it, yet very pathetic and poetical besides.” A few days later, in a separate letter, she wrote, “Have you seen Dickens’ ‘Christmas Carol’? He sent it to Felton in its English garb, with capital woodcuts, and a nice clear type! It is a most admirable production I think, and has had great success in England, comforting people for the tediousness of Chuzzlewit. It is evidently written at heart and from the heart, and has a Christmas crackle and glow about it, besides much pathos and poetry of conception, which form a rich combination. The sketch of the poor clerk’s dinner is in his best manner, and almost consoles one for the poverty it reveals.”"|"Inventing Scrooge"|"Carlo Devito"
20:00|"8 p.m."|"“Promptly at 8 p.m., unannounced, and without waiting for any stamping or clapping of hands to call him out, a tall, ‘spry,’ (if I may say it,) thin-legged old gentleman, gotten up regardless of expense, especially as to shirt-front and diamonds, with a bright red flower in his button-hole, gray beard and moustache, bald head, and with side hair brushed fiercely and tempestuously forward, as if its owner were sweeping down before a gale of wind, the very Dickens came! He did not emerge upon the stage—that is rather too deliberate a word—he strode. He strode—in the most English way and exhibiting the most English general style and appearance—straight across the broad stage, heedless of everything, unconscious of everybody, turning neither to the right nor the left—but striding eagerly straight ahead, as if he had seen a girl he knew turn the next corner."|"Inventing Scrooge"|"Carlo Devito"
