03:00|"Three in the morning"|"“George?” She struggled to sit up. “What time is it?” An icon blinked into view, hovering in front of the wardrobe. “Oh shit.” Three in the morning. What does George want with me at three o’clock? she wondered. “Nothing good … pass the call?”"|"Iron Sunrise"|"Charles Stross"
"ap 03:00"|"three o’clock"|"“George?” She struggled to sit up. “What time is it?” An icon blinked into view, hovering in front of the wardrobe. “Oh shit.” Three in the morning. What does George want with me at three o’clock? she wondered. “Nothing good … pass the call?”"|"Iron Sunrise"|"Charles Stross"
04:00|"Four in the morning"|"At the end of the gently curving corridor Frank pushed through a loose curtain that secured access onto a landing that curved around the diamond-walled helix of a grand staircase, spacecraft-style. The staircase itself was organic, grown painstakingly from a single modified mahogany tree that had been coaxed into a spiral inside its protective tube, warped into a half-moon cross-section, then brutally slain and partially dissected by a team of expert carpenters. It led up through the eleven passenger decks of the ship, all the way to the stellarium with its diamond-phase optically clean dome — covered, now, because the aberration of starlight from the ship’s pilot wave had dimmed everything except gamma-ray bursters to invisibility. He glanced around, puzzled by the lack of passengers or white-suited human stewards, then did a double take as he checked his watch. “Four in the morning?” he grunted at nobody in particular. “Huh.” Not that the hour meant much to him, but most people lived by the ship’s clocks, trying to keep a grip on the empire time standard that bound the interstellar trading circuits together, which meant they’d be asleep, and most of the public areas would be shut for maintenance."|"Iron Sunrise"|"Charles Stross"
04:00|"four in the morning"|"Frank glanced round. “Good for some,” he said, biting back his first impulsive comment. You never could tell who you’d run across in a bar at four in the morning, as at least one senior government bureaucrat had discovered after being mugged by the Times and left for dead in the Appointments pages. Frank had no intention of giving anything away, even to an obvious weirdo. Which this guerrilla conversationalist clearly was, from the tips of his ankle boots — one of which was red, and the other green — to the top of his pointy plush skull cap (which was electric blue with a dusting of holographic stars). Soulfully deep brown eyes and crimson moustache notwithstanding, he looked like an escapee from a reeducation camp for fashion criminals. “You’ll pardon me for saying this, but I didn’t come down here for a co-therapy session,” Frank rumbled. The bartender punctuated his observation with a clink of crystal on teak; Frank picked up his shot glass and sniffed the colorless liquid."|"Iron Sunrise"|"Charles Stross"
00:00|midnight|"He tweaked the stream over onto one of Alice’s repeater screens. There was a background of martial music (which hereabouts sounded like classical heavy metal) and a pompous guy in midnight blue, lots of technicolor salad on his pest, sitting uneasily behind a desk. “In view of the state of emergency, the Peace Commission has instructed all loyal citizens to stay indoors wherever possible. In the affected cities of Samara and Redstone, a curfew came into effect as of 2600 hours yesterday. Anyone outdoors in the region of Greater Samara and Metropolitan Redstone must seek shelter immediately. Assembly in groups of more than four individuals is forbidden and, in accordance with the Suppression of Terrorism Regulations, Peace Enforcement units will use lethal force if they consider themselves to be under threat—”"|"Iron Sunrise"|"Charles Stross"
"ap 02:04"|"two hours and four minutes"|"The terminal mumbled to itself for a while. “Acknowledged. Annealing to determine how we can accommodate your wishes — confirmed. Departure from bay sixteen in two hours and four minutes, local shuttle to Centris Noctis orbital for transfer to luxury liner WSL Romanov for cycle to Minima Four. Your connection will be in twenty-eight hours. Which option would you like and how would you like to pay?”"|"Iron Sunrise"|"Charles Stross"
16:41|"sixteen hours and forty-one minutes"|"“Total transit time to Centris Noctis, currently six point one million kilometers distant, is sixteen hours and forty-one minutes. We hope you enjoy your flight and choose TransVirtual TravelWays again!”"|"Iron Sunrise"|"Charles Stross"
"> 00:00"|"past midnight"|"The loop path branched, and her lightbug darted off to one side. Wednesday followed it tiredly. It was past midnight by her local time, and she badly needed something to keep her going. Here, the concourse took a turn for the more conventional. The vegetation thinned out, replaced by tiled blood diamond panes the size of her feet. Large structures bumped up from the floor and walls, freight lifts and baggage handlers and stairwells leading down into the docking tunnels that led out to the berthed starships. Some ships maintained their own gravity, didn’t they? Wednesday wasn’t sure what to expect of this one — wasn’t it from Old Earth? She vaguely remembered lectures about the place, docutours and ecodramas. It had all sounded confusingly complicated and backward, and she’d been trying to keep Priz the Axe from cracking her tablet instead of listening to the professora. Was Earth a high-level kind of place, or backward like home had been?"|"Iron Sunrise"|"Charles Stross"
03:00|"0300 hours"|"It was 0300 hours, day-shift cycle, shortly before the starship made its first jump from point A to point A’ across a couple of parsecs of flat space-time."|"Iron Sunrise"|"Charles Stross"
"> 00:00"|"after midnight"|"“No. Yes.” She peered at him, wondering why she trusted him. Alone with a gorilla after midnight and he wonders if I’m crazy? “I don’t know. Should I?”"|"Iron Sunrise"|"Charles Stross"
