"~ 03:00"|"ABOUT THREE IN THE MORNING"|"IT’S ABOUT THREE IN THE MORNING AND WE’RE BOTH DEEPLY asleep when the red telephone rings."|"The Rhesus Chart"|"Charles Stross"
"ap 06:00"|"six o’clock"|"“I think so,” she says, and I flick the switch on the filter machine. “They’ve booked me onto a six o’clock flight out of London City, but there’s plenty of time. Hand luggage only.” It’s dark in the kitchen, and she’s as pale as a ghost in the twilight glow of the LEDs on the microwave oven. “Speaking of which.”"|"The Rhesus Chart"|"Charles Stross"
"ap ~ 10:00"|"around ten o’clock"|"Pete, bless his cotton socks, is either running late or has wangled a day off for pastoral duties. Consequently, I’m on my own in the office when Andy knocks on my door around ten o’clock. Obviously he’s gotten the memo I sent out at oh dark o’clock. I let him in. “So, what do you think?” I ask expectantly."|"The Rhesus Chart"|"Charles Stross"
15:30|"3:30 p.m."|"I’m lost in a twisty maze of whitewashed corridors, surrounded by glass-fronted cabinets stuffed full of photocopied notices on every side (not to mention a scattering of conference-surplus posters with excessively enlarged cross-sections of gruesomely diseased brains, just for variety). I’ve been wandering in circles for ten minutes now and I’m just beginning to despair of finding my destination. Trish booked me a slot with the doctor for 3:30 p.m., but I’m running a quarter of an hour late. I find myself flagging down an irritated-looking researcher who clearly thinks she has better things to do than give directions to visiting admin people."|"The Rhesus Chart"|"Charles Stross"
"ap 05:45"|"quarter to six"|"“Me, too.” She lets go of his arm, intrigued by his carefully controlled non-reaction. “It’s a quarter to six. How about we go for a drink after we shut up shop?”"|"The Rhesus Chart"|"Charles Stross"
06:00|"six in the morning"|"“Piss off home, Evan,” Mhari says wearily. She’s been working since six in the morning and it’s nearly seven at night. They’ve just moved into the Scrum’s new office on the third subsurface floor of the Bank, and the rough edges still show: the ceiling isn’t finished and a couple of missing floor tiles are surrounded by cones and yellow hazard tape to show where the trolls are still working on the wiring runs by day. There are fresh scars on the walls, and a cloying stench of fresh emulsion paint. But it’s theirs, and it’s safe. There are no windows, the doors lock on the inside, and there are other extras that make it a suitable bolt-hole for a nest of vampires. The specially installed fire escape opens directly into the garage, and there’s a shiny black Mercedes van with mirrored windows parked next to the crash door."|"The Rhesus Chart"|"Charles Stross"
"< 19:00"|"nearly seven at night"|"“Piss off home, Evan,” Mhari says wearily. She’s been working since six in the morning and it’s nearly seven at night. They’ve just moved into the Scrum’s new office on the third subsurface floor of the Bank, and the rough edges still show: the ceiling isn’t finished and a couple of missing floor tiles are surrounded by cones and yellow hazard tape to show where the trolls are still working on the wiring runs by day. There are fresh scars on the walls, and a cloying stench of fresh emulsion paint. But it’s theirs, and it’s safe. There are no windows, the doors lock on the inside, and there are other extras that make it a suitable bolt-hole for a nest of vampires. The specially installed fire escape opens directly into the garage, and there’s a shiny black Mercedes van with mirrored windows parked next to the crash door."|"The Rhesus Chart"|"Charles Stross"
01:00|"one in the morning"|"The ambulance crew arrive to take her away at one in the morning. The cleaning services duty manager arrives to give the upset supervisor a talking-to half an hour after that, but he reluctantly concedes that there’s more to this business than meets the eye. The cleaning services company has no alternative but to recognize that three employees have died on the job this month, in this particular client’s office, working nights. And while once is happenstance, and twice might be coincidence, three times is sick building syndrome."|"The Rhesus Chart"|"Charles Stross"
"ap 10:04"|Ten-four|"“Ten-four, good buddy.” And on that ironic note, we leave the hornets’ nest I’ve just kicked over."|"The Rhesus Chart"|"Charles Stross"
"ap 01:46"|"ONE HOUR AND FORTY-SIX MINUTES"|"• • •
ELAPSED TIME: ONE HOUR AND FORTY-SIX MINUTES.
(I am keeping a written note of this in a little black book app on my current work smartphone, a bulky Android device from a dubious South Korean chaebol that oozes more raw processing power than the Laundry’s entire supercomputing dinosaur pen at the time I was recruited. The phablet lives in a pocket of my ScotteVest fleece, a garment consisting almost entirely of pockets held together with cable ducts that is marketed at geeks who have mistaken utility for elegance. In my case, I wear it because the other pockets are full of useful stuff, ranging from a couple of Hands of Glory (reprocessed from pigeon feet) to a battered digital camera (featuring some very dangerous firmware) and enough USB cables and rechargeable batteries to improvise a suicide belt if I’m feeling desperate. What the well-dressed agent is wearing about London today: a bulging fleece, faded Google tee shirt, combat pants, and Dutch army-surplus paratroop boots, with added occult firepower.)"|"The Rhesus Chart"|"Charles Stross"
