"ap < 01:00"|"nearly one o’clock"|"“Up the hill.”
“Andy, it’s nearly one o’clock.”
“You can give me twenty minutes. I’ve got things to say.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
12:00|noon|"Dee herself would have been glad to pound a typewriter with somebody else’s words, but she, uprooted from her own old habits, could only flutter from library to kitchen, pretending to supervise, denying the doom of that miserable day. At noon, Clive called from the hospital."|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap > 01:00"|"a little after one"|"She whirled around. By the tall clock, it was a little after one. Things for Dee to do. See about the ailing housekeeper. Talk to the doctor. And somehow do something about Pearl Dean."|Catch-As-Catch-Can|"Charlotte Armstrong"
12:00|noon|"“Yesterday, I believe, sir. Mrs. Vaughn must have made it yesterday noon.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap ~ 11:30"|"about eleven thirty"|"Lorraine said, quavering, “I don’t know, sir. Miss Dean came and took her away about eleven thirty, it was.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap 01:35"|"one thirty-five"|"She sat on the stairs. The hall clock said one thirty-five. The sun was blazing on the sand, somewhere."|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap ~ 11:00"|"about eleven o’clock"|"“Yeah. I went through the kitchen about eleven o’clock on my way to take the car down and she was standing by the sink and she had a plate of it and bread and butter.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap ~ 11:00"|"about eleven o’clock"|"“This morning about eleven o’clock. I don’t know how much. Sidney saw her. I suppose Lorraine was with Mrs. Vaughn and she was hungry.…”"|Catch-As-Catch-Can|"Charlotte Armstrong"
00:00|Midnight|"“Yes. Yes.”
“Midnight, to be safe,” he said. “Midnight. I’ll find her.”
Dee herself began to glow. It was an illusion caused by determination. “We’ll go, right now, and find her,” Dee said."|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap 01:30"|"One thirty"|"He thought he could get two or three hundred from Laila all right if he ever got up there on this damn pokey bus. One thirty already. He prided himself on having been darned nice to Laila. Clive fancied that the ladies fancied him. He was thirty. He thought of himself as tall and handsome. He thought of himself as smooth and shrewd, although a little unlucky. He had not the slightest suspicion that the inside of his sleek head was filled with the confused and childish stuff of which bad luck is made."|Catch-As-Catch-Can|"Charlotte Armstrong"
00:00|midnight|"“Now, then,” he said, “I’ve told you the facts. I’m a reputable citizen. Check with the county health office. If you can go after a criminal you can certainly pass the word and pick that girl up. I’m telling you in no uncertain terms that she has got to be in this hospital by midnight tonight. And I don’t care if you bring her in a Black Maria. Now, what are you going to do about it?”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"< 00:00"|"before midnight"|"“They want her at the Greenleaf Hospital before midnight. That’s all I know.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"< 00:00"|"before midnight"|"“They want her at the Greenleaf Hospital before midnight. That’s all I know.”
“Before midnight, eh? Is there a reward or something?”
“Didn’t say.”"|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap 02:00"|"two o’clock"|"“We’ll go,” said Clive kindly. “I guess we can cross that bridge when we come to it.” He looked at his watch. It was two o’clock."|Catch-As-Catch-Can|"Charlotte Armstrong"
14:00|"two P.M."|"At two P.M. the blue convertible was sliding south. Dee and Andy had found out no more on that corner. Now they were doing the most sensible thing they could think to do. They were going to the Fleming house in the hope that Laila was also going there."|Catch-As-Catch-Can|"Charlotte Armstrong"
"> 15:00"|"a little after three P.M."|"And what you don’t know ain’t going to hurt you, either, he thought truculently. Hell with that pickup. It was a little after three P.M. He had ideas. He’d listened with pricked-up ears to every word he could catch between his late passengers. He hadn’t heard anything about illness or treatment. Could be it wasn’t the right girl. Could be it was, too. If so, there was a plot going on. Vince loved plots. And he knew where they had gone."|Catch-As-Catch-Can|"Charlotte Armstrong"
"ap 03:35"|"three thirty-five"|"As he let himself out of the lady’s front door, he was thinking of time. How many hours had gone by already? It was three thirty-five now. Midafternoon. If Pearl got away, and kept Laila away for the entire day tomorrow, it would probably do. He thought, if the stuff does get her, Pearl Dean will have some fun proving she didn’t know a thing about it."|Catch-As-Catch-Can|"Charlotte Armstrong"
12:00|noon|"“It couldn’t have been long ago,” said Dee. “Pearl left our house at noon.…”"|Catch-As-Catch-Can|"Charlotte Armstrong"
16:00|"four P.M."|"Andy glanced at her face. The time was four P.M. He said, grimly, “All right. We’ll take a crack at chasing her. It’s possible we can catch Pearl, at least. Which way?”"|Catch-As-Catch-Can|"Charlotte Armstrong"
