12:00|noon|"All John Reed’s violent tyrannies, all his sisters’ proud indifference, all his mother’s aversion, all the servants’ partiality, turned up in my disturbed mind like a dark deposit in a turbid well. Why was I always suffering, always brow-beaten, always accused, forever condemned? Why could I never please? Why was it useless to try to win any one’s favor? Eliza, who was headstrong and selfish, was respected. Georgiana, who had a spoiled temper, a very acrid spite, a captious and insolent carriage,k was universally indulged. Her beauty—her pink cheeks, and golden curls—seemed to give delight to all who looked at her, and to purchase indemnity for every fault. John, no one thwarted, much less punished, though he twisted the necks of the pigeons, killed the little pea-chicks,l set the dogs at the sheep, stripped the hothouse vines of their fruit, and broke the buds off the choicest plants in the conservatory; he called his mother “old girl,” too; sometimes reviled her for her dark skin, similar to his own; bluntly disregardedher wishes; not unfrequently tore and spoiled her silk attire; and he was still “her own darling.” I dared commit no fault; I strove to fulfil every duty; and I was termed naughty and tiresome, sullen and sneaking, from morning to noon, and from noon to night."|"Jane Eyre"|"Charlotte Bronte"
"ap > 04:00"|"past four o‘clock"|"Daylight began to forsake the red-room. It was past four o‘clock, and the beclouded afternoon was tending to drear twilight. I heard the rain still beating continuously on the stair-case window, and the wind howling in the grove behind the hall. I grew by degrees cold as a stone, and then my courage sunk. My habitual mood of humiliation, self-doubt, forlorn depression, fell damp on the embers of my decaying ire. All said I was wicked, and perhaps I might be so—what thought had I been but just conceiving, of starving myself to death! That certainly was a crime; and was I fit to die? or was the vault under the chancel of Gateshead church an inviting bourne?m In such vault, I had been told, did Mr. Reed lie buried; and led by this thought to recall his idea, I dwelt on it with gathering dread. I could not remember him, but I knew that he was my own uncle—my mother’s brother; that he had taken me when a parentless infant to his house; and that, in his last moments, he had required a promise of Mrs. Reed that she would rear and maintain me as one of her own children. Mrs. Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race,n and unconnected with her, after her husband’s death, by any tie? It must have been most irksome to find herself bound by a hard-wrung pledge to stand in the stead of a parent to a strange child she could not love, and to see an uncongenial alien permanently intruded on her own family group."|"Jane Eyre"|"Charlotte Bronte"
"ap > 00:00"|"past twelve o‘clock"|"“Then I think I shall go to bed, for it is past twelve o‘clock; but you may call me if you want anything in the night.”"|"Jane Eyre"|"Charlotte Bronte"
12:00|noon|"Next day, by noon, I was up and dressed, and sat wrapped in a shawl by the nursery hearth. I felt physically weak and broken down; but my worst ailment was an unutterable wretchedness of mind: a wretchedness which kept drawing from me silent tears; no sooner had I wiped one salt drop from my cheek than another followed. Yet, I thought, I ought to have been happy, for none of the Reeds were there; they were all gone out in the carriage with their mamma. Abbot, too, was sewing in another room, and Bessie, as she moved hither and thither, putting away toys and arranging drawers, addressed to me every now and then a word of unwonted kindness. This state of things should have been to me a paradise of peace, accustomed as I was to a life of ceaseless reprimand and thankless fagging;o but, in fact, my racked nerves were now in such a state that no calm could soothe, and no pleasure excite them agreeably."|"Jane Eyre"|"Charlotte Bronte"
"~ 09:00"|"about nine o‘clock in the morning"|"It was the fifteenth of January, about nine o‘clock in the morning: Bessie was gone down to breakfast; my cousins had not yet been summoned to their mamma; Eliza was putting on her bonnet and warm garden-coat to go and feed her poultry, an occupation of which she was fond; and not less so of selling the eggs to the housekeeper and hoarding up the money she thus obtained. She had a turn for traffic,v and a marked propensity for saving, shown not only in the vending of eggs and chickens, but also in driving hard bargains with the gardener about flower-roots, seeds, and slips of plants; that functionary having orders from Mrs. Reed to buy of his young lady all the products of her parterrew she wished to sell; and Eliza would have sold the hair off her head if she could have made a handsome profit thereby. As to her money, she first secreted it in odd corners, wrapped in a rag or an old curl-paper; but, some of these hoards having been discovered by the housemaid, Eliza, fearful of one day losing her valued treasure, consented to intrust it to her mother, at a usurious rate of interest—fifty or sixty per cent—which interest she exacted every quarter, keeping her accounts in a little book with anxious accuracy."|"Jane Eyre"|"Charlotte Bronte"
"ap 05:00"|"Five o‘clock"|"Five o‘clock had hardly struck on the morning of the 19th January, when Bessie brought a candle into my closet and found me already up and nearly dressed. I had risen half an hour before her entrance, and had washed my face and put on my clothes by the light of a half-moon just setting, whose ray streamed through the narrow window of my little crib. I was to leave Gateshead that day by a coach which passed the lodge gates at six A.M. Bessie was the only person yet risen; she had lighted a fire in the nursery, where she now proceeded to make my breakfast. Few children can eat when excited with the thoughts of a journey; nor could I. Bessie, having pressed me in vain to take a few spoonfuls of the boiled milk and bread she had prepared for me, wrapped up some biscuits in a paper and put them into my bag; then she helped me on with my pelisseab and bonnet, and, wrapping herself in a shawl, she and I left the nursery. As we passed Mrs. Reed’s bedroom, she said, “Will you go in and bid missis good-by?”"|"Jane Eyre"|"Charlotte Bronte"
06:00|"six A.M."|"Five o‘clock had hardly struck on the morning of the 19th January, when Bessie brought a candle into my closet and found me already up and nearly dressed. I had risen half an hour before her entrance, and had washed my face and put on my clothes by the light of a half-moon just setting, whose ray streamed through the narrow window of my little crib. I was to leave Gateshead that day by a coach which passed the lodge gates at six A.M. Bessie was the only person yet risen; she had lighted a fire in the nursery, where she now proceeded to make my breakfast. Few children can eat when excited with the thoughts of a journey; nor could I. Bessie, having pressed me in vain to take a few spoonfuls of the boiled milk and bread she had prepared for me, wrapped up some biscuits in a paper and put them into my bag; then she helped me on with my pelisseab and bonnet, and, wrapping herself in a shawl, she and I left the nursery. As we passed Mrs. Reed’s bedroom, she said, “Will you go in and bid missis good-by?”"|"Jane Eyre"|"Charlotte Bronte"
"ap < 06:00"|"a few minutes of six"|"The moon was set, and it was very dark; Bessie carried a lantern, whose light glanced on wet steps and gravel road sodden by a recent thaw. Raw and chill was the winter morning; my teeth chattered as I hastened down the drive. There was a light in the porter’s lodge; when we reached it we found the porter’s wife just kindling her fire: my trunk, which had been carried down the evening before, stood corded at the door. It wanted but a few minutes of six, and shortly after that hour had struck, the distant roll of wheels announced the coming coach; I went to the door and watched its lamps approach rapidly through the gloom."|"Jane Eyre"|"Charlotte Bronte"
"ap < 04:00"|"before four"|"A great tumult succeeded for some minutes, during which Miss Miller repeatedly exclaimed, “Silence!” and “Order!” When it subsided, I saw them all drawn up in four semicircles, before four chairs, placed at the four tables; all held books in their hands, and a great book, like the Bible, lay on each table, before the vacant seat. A pause of some seconds succeeded, filled up by the low, vague hum of numbers; Miss Miller walked from class to class, hushing this indefinite sound."|"Jane Eyre"|"Charlotte Bronte"
"ap 05:00"|"five o‘clock"|"After dinner we immediately adjourned to the schoolroom: lessons recommenced, and were continued till five o‘clock."|"Jane Eyre"|"Charlotte Bronte"
"> 17:00"|"after five P.M."|"Soon after five P.M., we had another meal, consisting of a small mug of coffee and half a slice of brown bread. I devoured my bread and drank my coffee with relish; but I should have been glad of as much more—I was still hungry. Half an hour’s recreation succeeded, then study; then the glass of water and the piece of oat-cake, prayers, and bed. Such was my first day at Lowood."|"Jane Eyre"|"Charlotte Bronte"
