00:00|Midnight|"The Fall of Hyperion
Entropy’s Bed at Midnight
Summer of Night"|"Rise of Endymion"|"Dan Simmons"
06:30|"0630 hours"|"“Good morning, Pablo, my most faithful altar boy,” said Father de Soya. Actually, the priest silently corrected himself, Pablo was his only altar boy. A simple child—simple in the ancient sense of the word as mentally slow as well as in the sense of being honest, sincere, loyal, and friendly—Pablo was there to help de Soya serve Mass every weekday morning at 0630 hours and twice on Sunday—although only the same four people came to the early morning Sunday Mass and half a dozen of the boxite miners to the later Mass."|"Rise of Endymion"|"Dan Simmons"
07:30|"0730 hours"|"The Jesuit slowly shook his head. It was only 0730 hours on this twenty-three-hour world, but already he felt tired. “Just Father de Soya,” he said."|"Rise of Endymion"|"Dan Simmons"
"< 12:00"|"before noon"|"“No, no, no,” rumbled Lourdusamy, “I mean the shroud. The stains will never come out. We have to weave a new one after every resurrection.” He turned and started toward the secret panel, his robes rustling. “Come, Albedo. We need to talk and I still have a Mass of Thanksgiving to say before noon.”"|"Rise of Endymion"|"Dan Simmons"
12:00|midday|"The light through the canvas ceilings and walls was warm at sunrise, buttery at midday, and orange in the evening. In addition, Aenea had deliberately placed the shelter in careful relation to saguaros, prickly pear bushes, and staghorn cactus so that different shadows would fall on different planes of canvas at different times of day. It was a comfortable, pleasant place. And empty beyond description when my young friend was absent."|"Rise of Endymion"|"Dan Simmons"
"> 02:00"|"after two A.M."|"The military was especially good at beginning major voyages in the middle of the night. During my time in the Hyperion Home Guard, it seemed that all important troop movements began in the wee hours. I began to associate that odd blend of fear and excitement, dread and anticipation, with predawn darkness and the smell of lateness. Aenea had said that I would be leaving that night of her announcement to the Fellowship, but it took time to load the kayak, for me to pack my gear and decide what to leave behind forever, and to close up my tent and work area in the compound, so we weren’t airborne in the dropship until after two A.M. and it was almost sunrise before we reached our destination."|"Rise of Endymion"|"Dan Simmons"
"< 04:30"|"almost four-thirty in the morning"|"We came in over a high hill covered with bare trees, crossed an empty highway that spanned the Mississippi on a narrow bridge, and landed in an open, paved area about fifty meters from the river. The town ran back from the river here in a valley between wooded hills and on the viewscreen I could make out small, wooden buildings, larger brick warehouses, and a few taller structures near the river that might have been grain silos. Those kind of structures had been common in the nineteenth, twentieth, and twenty-first centuries in this part of Old Earth: I had no idea why this city had been spared the earthquakes and fires of the Tribulations, or why the Lions and Tigers and Bears had rebuilt it, if they had. There had been no sign of people in the narrow streets, nor of heat signatures on the infrared bands—neither living creatures nor groundcars with their overheated, internal combustion drive systems—but then again, it was almost four-thirty in the morning on a cold, rainy night. No one with an ounce of sense would be out in that lousy, stinking weather."|"Rise of Endymion"|"Dan Simmons"
08:00|"0800 hours"|"he Grand Inquisitor had been ordered to appear with his aide for a papal audience at 0800 hours Vatican time. At 0752 hours, his black EMV arrived at the Via del Belvedere checkpoint entrance to the papal apartments. The Inquisitor and his aide, Father Farrell, were passed through detector portals and handheld sensors—first at the Swiss Guard checkpoint, then at the Palatine Guard station, and finally at the new Noble Guard post."|"Rise of Endymion"|"Dan Simmons"
07:52|"0752 hours"|"he Grand Inquisitor had been ordered to appear with his aide for a papal audience at 0800 hours Vatican time. At 0752 hours, his black EMV arrived at the Via del Belvedere checkpoint entrance to the papal apartments. The Inquisitor and his aide, Father Farrell, were passed through detector portals and handheld sensors—first at the Swiss Guard checkpoint, then at the Palatine Guard station, and finally at the new Noble Guard post."|"Rise of Endymion"|"Dan Simmons"
12:00|noon|"THE PARTY DEPARTING FOR THE DALAI LAMA’S EVENING reception for the Pax at Potala leaves just after the noon meal in the common dining hall. I see Aenea there, but except for a meaningful exchange of glances and a smile from her that makes my knees weak, we have no private communication."|"Rise of Endymion"|"Dan Simmons"
"< 00:00"|"before midnight"|"I DANCE WITH AENEA IN THE GREAT, ECHOING RECEPTION hall, to the music of a seventy-two-piece orchestra, with the lords and ladies, priests and plenipotentiaries of T’ien Shan, the Mountains of Heaven, all watching from the edges of the dance floor or wheeling around us in shared motion to the music. I remember dancing with Aenea, dining again before midnight at the long tables constantly restocked with food, and then dancing again. I remember holding her tight as we moved together around the dance floor. I do not remember ever having danced before—at least when I was sober—but I dance this night, holding Aenea close to me as the torchlight from the crackling braziers dims and the Oracle casts skylight shadows across the parquet floors."|"Rise of Endymion"|"Dan Simmons"
"< 00:00"|"before midnight"|"Private audiences had ended many hours ago and word had spread that the Dalai Lama had gone to bed before midnight, but we last celebrants parried on—Lhomo Dondrub, our flyer friend, laughing and pouring champagne and rice beer for everyone, Labsang Samten, the Dalai Lama’s little brother, leaping over the ember-filled braziers at some point, the serious Tromo Trochi of Dhomu suddenly metamorphosing into a magician in one corner, doing tricks with fire and hoops and levitations, and then the Dorje Phamo singing one clear, slow a cappella solo in a voice so sweet that it haunts my dreams to this day, and finally the scores of others joining in the Oracle Song as the orchestra prepares to wrap up the evening’s celebration before the predawn begins to fade the night sky."|"Rise of Endymion"|"Dan Simmons"
12:00|noon|"Rachel says, “Don’t forget, the last stone will be set in place in the walkway tomorrow at noon. There’ll be a party on the upper meditation platform! Bring your own refreshments.”"|"Rise of Endymion"|"Dan Simmons"
