"ap 04:30"|"half past four"|"Because of them I can enjoy my afternoon, and return, smiling and refreshed, to face the little ritual of our tea. The order never varies. Two slices of bread and butter each, and China tea. What a hidebound couple we must seem, clinging to custom because we did so in England. Here, on this clean balcony, white and impersonal with centuries of sun, I think of half past four at Manderley, and the table drawn before the library fire. The door flung open, punctual to the minute, and the performance, never varying, of the laying of the tea, the silver tray, the kettle, the snowy cloth. While Jasper, his spaniel ears a-droop, feigns indifference to the arrival of the cakes. That feast was laid before us always, and yet we ate so little."|Rebecca|"Daphne Du Maurier"
"ap 01:00"|"one o’clock"|"The nurse would give her injections, and a light massage, and she would have a diet. I left her quite happy after the arrival of the nurse, propped up on pillows with a falling temperature, her best bed-jacket round her shoulders and be-ribboned boudoir cap upon her head. Rather ashamed of my light heart, I telephoned her friends, putting off the small party she had arranged for the evening, and went down to the restaurant for lunch, a good half hour before our usual time. I expected the room to be empty—nobody lunched generally before one o’clock. It was empty, except for the table next to ours. This was a contingency for which I was unprepared. I thought he had gone to Sospel. No doubt he was lunching early because he hoped to avoid us at one o’clock. I was already halfway across the room and could not go back. I had not seen him since we disappeared in the lift the day before, for wisely he had avoided dinner in the restaurant, possibly for the same reason that he lunched early now."|Rebecca|"Daphne Du Maurier"
"ap 02:00"|"two o’clock"|"My shyness fell away from me, loosening as it did so my reluctant tongue, and out they all came, the little secrets of childhood, the pleasures and the pains. It seemed to me as though he understood, from my poor description, something of the vibrant personality that had been my father’s, and something too of the love my mother had for him, making it a vital, living force, with a spark of divinity about it, so much that when he died that desperate winter, struck down by pneumonia, she lingered behind him for five short weeks and stayed no more. I remember pausing, a little breathless, a little dazed. The restaurant was filled now with people who chatted and laughed to an orchestral background and a clatter of plates, and glancing at the clock above the door I saw that it was two o’clock. We had been sitting there an hour and a half, and the conversation had been mine alone."|Rebecca|"Daphne Du Maurier"
"ap 03:00"|"three o’clock"|"I thought of the cobbled square in Monaco and the house with the narrow window. I could be off there by three o’clock with my sketchbook and pencil, and I told him as much, a little shyly perhaps, like all untalented persons with a pet hobby."|Rebecca|"Daphne Du Maurier"
"ap ~ 00:00"|"about twelve o’clock"|"He never would have them in the house, he said. Thrust into vases they became dank and listless, and to see them at their best you must walk in the woods in the morning, about twelve o’clock, when the sun was overhead. They had a smoky, rather bitter smell, as though a wild sap ran in their stalks, pungent and juicy. People who plucked bluebells from the woods were vandals; he had forbidden it at Manderley. Sometimes, driving in the country, he had seen bicyclists with huge bunches strapped before them on the handles, the bloom already fading from the dying heads, the ravaged stalks straggling naked and unclean."|Rebecca|"Daphne Du Maurier"
"ap > 05:33"|"a few minutes after half past five"|"The waiter appeared bored; seeing me alone there was no need for him to press, and anyway it was that dragging time of day, a few minutes after half past five, when the normal tea is finished and the hour for drinks remote."|Rebecca|"Daphne Du Maurier"
"ap 01:00"|"one o’clock"|"Not for me the languor and the subtlety I had read about in books. The challenge and the chase. The swordplay, the swift glance, the stimulating smile. The art of provocation was unknown to me, and I would sit with his map upon my lap, the wind blowing my dull, lanky hair, happy in his silence yet eager for his words. Whether he talked or not made little difference to my mood. My only enemy was the clock on the dashboard, whose hands would move relentlessly to one o’clock. We drove east, we drove west, amid the myriad villages that cling like limpets to the Mediterranean shore, and today I remember none of them."|Rebecca|"Daphne Du Maurier"
"ap 11:20"|"twenty past eleven"|"All I remember is the feel of the leather seats, the texture of the map upon my knee, its frayed edges, its worn seams, and how one day, looking at the clock, I thought to myself, “This moment now, at twenty past eleven, this must never be lost,” and I shut my eyes to make the experience more lasting. When I opened my eyes we were by a bend in the road, and a peasant girl in a black shawl waved to us; I can see her now, her dusty skirt, her gleaming, friendly smile, and in a second we had passed the bend and could see her no more. Already she belonged to the past, she was only a memory."|Rebecca|"Daphne Du Maurier"
"ap ~ 09:30"|"about half past nine"|"The day was spent in packing, and in the evening people came to say good-bye. We dined in the sitting room, and she went to bed directly afterwards. Still I had not seen him. I went down to the lounge about half past nine on the pretext of getting luggage labels and he was not there. The odious reception clerk smiled when he saw me. “If you are looking for Mr. de Winter we had a message from Cannes to say he would not be back before midnight.”"|Rebecca|"Daphne Du Maurier"
"< 00:00"|"before midnight"|"The day was spent in packing, and in the evening people came to say good-bye. We dined in the sitting room, and she went to bed directly afterwards. Still I had not seen him. I went down to the lounge about half past nine on the pretext of getting luggage labels and he was not there. The odious reception clerk smiled when he saw me. “If you are looking for Mr. de Winter we had a message from Cannes to say he would not be back before midnight.”"|Rebecca|"Daphne Du Maurier"
"ap ~ 05:00"|"about five o’clock"|"We came to Manderley in early May, arriving, so Maxim said, with the first swallows and the bluebells. It would be the best moment, before the full flush of summer, and in the valley the azaleas would be prodigal of scent, and the bloodred rhododendrons in bloom. We motored, I remember, leaving London in the morning in a heavy shower of rain, coming to Manderley about five o’clock, in time for tea. I can see myself now, unsuitably dressed as usual, although a bride of seven weeks, in a tan-colored stockinette frock, a small fur known as a stone marten round my neck, and over all a shapeless mackintosh, far too big for me and dragging to my ankles. It was, I thought, a gesture to the weather, and the length added inches to my height. I clutched a pair of gauntlet gloves in my hands, and carried a large leather handbag."|Rebecca|"Daphne Du Maurier"
12:00|midday|"This drive twisted and turned as a serpent, scarce wider in places than a path, and above our heads was a great colonnade of trees, whose branches nodded and intermingled with one another, making an archway for us, like the roof of a church. Even the midday sun would not penetrate the interlacing of those green leaves, they were too thickly entwined, one with another, and only little flickering patches of warm light would come in intermittent waves to dapple the drive with gold. It was very silent, very still. On the high road there had been a gay west wind blowing in my face, making the grass on the hedges dance in unison, but here there was no wind. Even the engine of the car had taken a new note, throbbing low, quieter than before. As the drive descended to the valley so the trees came in upon us, great beeches with lovely smooth white stems, lifting their myriad branches to one another, and other trees, trees I could not name, coming close, so close that I could touch them with my hands. On we went, over a little bridge that spanned a narrow stream, and still this drive that was no drive twisted and turned like an enchanted ribbon through the dark and silent woods, penetrating even deeper to the very heart surely of the forest itself, and still there was no clearing, no space to hold a house."|Rebecca|"Daphne Du Maurier"
"ap > 09:00"|"after nine o’clock"|"I had never realized, of course, that life at Manderley would be so orderly and planned. I remember now, looking back, how on that first morning Maxim was up and dressed and writing letters, even before breakfast, and when I got downstairs, rather after nine o’clock, a little flurried by the booming summons of the gong, I found he had nearly finished, he was already peeling his fruit."|Rebecca|"Daphne Du Maurier"
"ap > 10:00"|"after ten o’clock"|"I lingered long over my first breakfast, spinning out the time, and it was not until I saw Frith come in and look at me, from behind the service screen, that I realized it was after ten o’clock. I sprang to my feet at once, feeling guilty, and apologized for sitting there so late, and he bowed, saying nothing, very polite, very correct, and I caught a flicker of surprise in his eyes. I wondered if I had said the wrong thing. Perhaps it did not do to apologize. Perhaps it lowered me in his estimation. I wished I knew what to say, what to do. I wondered if he suspected, as Mrs. Danvers had done, that poise, and grace, and assurance were not qualities inbred in me, but were things to be acquired, painfully perhaps, and slowly, costing me many bitter moments."|Rebecca|"Daphne Du Maurier"
12:00|midday|"“The post leaves at midday, and Robert will come for your letters, and stamp them himself,” she said; “all you have to do is ring through to him, on the telephone, if you have anything urgent to be sent, and he will give orders for them to be taken in to the post office immediately.”"|Rebecca|"Daphne Du Maurier"
"ap 03:00"|"three o’clock"|"I drummed with my fingers on the desk. The pigeonholes were empty now. There were no “letters unanswered” waiting to be dealt with, no bills to pay that I knew anything about. If I had anything urgent, Mrs. Danvers said, I must telephone through to Robert and he would give orders for it to be taken to the post. I wondered how many urgent letters Rebecca used to write, and who they were written to. Dressmakers perhaps—“I must have the white satin on Tuesday, without fail,” or to her hairdresser—“I shall be coming up next Friday, and want an appointment at three o’clock with Monsieur Antoine himself. Shampoo, massage, set, and manicure.” No, letters of that type would be a waste of time. She would have a call put through to London. Frith would do it. Frith would say “I am speaking for Mrs. de Winter.” I went on drumming with my fingers on the desk. I could think of nobody to write to. Only Mrs. Van Hopper. And there was something foolish, rather ironical, in the realization that here I was sitting at my own desk in my own home with nothing better to do than to write a letter to Mrs. Van Hopper, a woman I disliked, whom I should never see again. I pulled a sheet of notepaper towards me. I took up the narrow, slender pen, with the bright pointed nib. “Dear Mrs. Van Hopper,” I began. And as I wrote, in halting, labored fashion, saying I hoped the voyage had been good, that she had found her daughter better, that the weather in New York was fine and warm, I noticed for the first time how cramped and unformed was my own handwriting; without individuality, without style, uneducated even, the writing of an indifferent pupil taught in a second-rate school."|Rebecca|"Daphne Du Maurier"
