"ap 03:30"|"half-past three"|"“I’ve been ringing you for hours,” he said. “Had you forgotten you promised to put through a call at half-past three?”"|"The House on the Strand"|"Daphne Du Maurier"
"ap 03:00"|three|"I went on sitting for about five minutes, too apprehensive about the possible effects of the drug to mind the rain. Then I heard the church clock strike three, and glanced down at my watch to check the time. It was a few minutes slow, so I altered it, and almost immediately I heard shouting from the village, or cheering, perhaps—a curious mélange of the two—and a creaking sound like wheels. Oh God, what now, I thought, a traveling circus about to descend the village street? I shall have to move the car. I got up and started to walk along the path to the churchyard gate. I never arrived, because the gate had gone, and I was looking through a rounded window set in a stone wall, the window facing a cobbled quadrangle bounded by shingle paths."|"The House on the Strand"|"Daphne Du Maurier"
"~ 16:30"|vespers|"The reception appeared over, but the visit was not yet through, for a bell summoned one and all to vespers and the company divided, the more favored to the Priory chapel, the lesser ranks to the church, which was at the same time part of the chapel, an arched doorway, with a grille, dividing the one from the other."|"The House on the Strand"|"Daphne Du Maurier"
"~ 16:30"|vespers|"I thought I might dispense with vespers, though by standing close to the grille I could have watched Isolda; but my inevitable guide, craning his neck with the same thought in mind, decided that he had been idle long enough, and, signaling to his companion with a quick jerk of the head, made his way out of the Priory building and across the quadrangle to the entrance gate. Someone had flung it open once again and a cluster of people, lay brothers and servants, were standing there, laughing, as they watched the Bishop’s attendants struggle to turn the clumsy vehicle towards the Priory yard. The wheels were stuck between muddied road and village green, but this was by no means the only fun to be observed, for the green itself was crowded with men, women and children. Some sort of market seemed to be in progress, for there were little booths and stalls set up, some fellow was beating a drum and another squeaked on a fiddle, while a third nearly split my ears with two horns as long as himself, which he managed by sleight of hand to play simultaneously."|"The House on the Strand"|"Daphne Du Maurier"
"~ 16:30"|Vespers|"Vespers was over, and the faithful who had attended were emerging from the church, to mingle with the crowd upon the green. Roger made his way into the quadrangle, and so to the Priory building itself, where the Prior’s guests were gathering before departure. Sir John Carminowe was in the forefront, and beside him Sir Henry’s lady, Joanna de Champernoune. As we approached he murmured in her ear, “Will you be alone if I ride to you tomorrow?”"|"The House on the Strand"|"Daphne Du Maurier"
"ap 03:30"|"half-past three"|"He put his hand on a switch and turned on all the lights. I glanced down at my watch, without nausea, without vertigo. It was exactly half-past three."|"The House on the Strand"|"Daphne Du Maurier"
"~ 02:00"|"about 2 a.m."|"“Glad you had fun,” was the reaction, but with a biting edge that implied the reverse of pleasure. She told me once, after a somewhat longer session than usual, when I had come home rather high about 2 a.m., that Magnus sapped me, and that when I returned to her I looked like a pricked balloon."|"The House on the Strand"|"Daphne Du Maurier"
"~ 22:00"|"around ten o’clock this evening"|"Today was Wednesday. She was due in at London airport around ten o’clock this evening, and she would not find a letter in the flat because I had not expected her until the weekend."|"The House on the Strand"|"Daphne Du Maurier"
"ap > 00:00"|"past twelve"|"I glanced at my watch. It was past twelve, and Mrs. Collins would be waiting to put away the groceries and cook my lunch. Also I had to write to Vita."|"The House on the Strand"|"Daphne Du Maurier"
00:00|midnight|"“Overcast,” I said without glancing at the window. “A trough of low pressure crossing the Atlantic will reach Cornwall by midnight.”"|"The House on the Strand"|"Daphne Du Maurier"
"ap 07:30"|"half-past seven"|"It was not the weather. It was my own inability to settle, a sort of restlessness that drove me to physical action, however futile. I strolled down across the fields to the sea, but it looked exactly the same as it had from the summer-house, flat and gray, and then I had all the effort of walking up again. The day dragged on. I wrote a letter to my mother, describing the house in boring detail just to fill the pages, reminding me of the duty letters I used to write from school: “I’m in another dormitory this term. It holds fifteen.” Finally, physically and mentally exhausted, I went upstairs at half-past seven, threw myself fully clothed upon the bed, and was asleep within minutes."|"The House on the Strand"|"Daphne Du Maurier"
"ap 04:30"|four-thirty|"The rain awoke me. Nothing much, just a pattering sound on the open window, with the curtain blowing about. It was quite dark. I switched on the light; it was four-thirty. I had slept a solid nine hours. My exhaustion had vanished and I felt ravenous, having had no supper."|"The House on the Strand"|"Daphne Du Maurier"
"ap 05:00"|"five o’clock"|"Here was the pay-off for living alone: I could eat and sleep entirely as and when I pleased. I went downstairs to the kitchen, cooked myself sausages, eggs and bacon, and brewed a pot of tea. I felt fighting fit to begin a new day, but what could I possibly do at five o’clock in this gray, cheerless dawn? One thing, and one thing only. Then take the weekend to recover, if recovery was needed…"|"The House on the Strand"|"Daphne Du Maurier"
"ap 07:05"|"five past seven"|"He disappeared down the drive and I climbed into his van. I looked at my watch. He was right, it was five past seven. Mrs. Collins was not due for at least another hour and a half, and I should have plenty of time for a bath and a change."|"The House on the Strand"|"Daphne Du Maurier"
00:00|midnight|"He came back and climbed into the van. “Not much of a morning for your walk. It’s been raining hard since midnight.”"|"The House on the Strand"|"Daphne Du Maurier"
"ap < 08:30"|"nearly half-past eight"|"The tour of the first floor finished, the sweat of unloading all the luggage began, and it was nearly half-past eight when the job was done, and Mrs. Collins arrived on her bicycle to take charge of the situation, greeting Vita and the boys with genuine delight. Everyone disappeared into the kitchen. I went upstairs and ran the bath, wishing I could lie in it and drown."|"The House on the Strand"|"Daphne Du Maurier"
