09:00|"9 a.m."|"A LITTLE PIECE OF HEAVEN. That was one way to look at the sheet of glass propped up in front of her. It measured about the same dimensions as a picture frame, eight inches by ten, and no thicker than a windowpane. It was coated on one side with a fine layer of photographic emulsion, which now held several thousand stars fixed in place, like tiny insects trapped in amber. One of the men had stood outside all night, guiding the telescope to capture this image, along with another dozen in the pile of glass plates that awaited her when she reached the observatory at 9 a.m. Warm and dry indoors in her long woolen dress, she threaded her way among the stars. She ascertained their positions on the dome of the sky, gauged their relative brightness, studied their light for changes over time, extracted clues to their chemical content, and occasionally made a discovery that got touted in the press. Seated all around her, another twenty women did the same."|"The Glass Universe"|"Dava Sobel"
12:00|midday|"Thomas Edison himself sat among them. He had met the Drapers years ago, on a camping trip in the Wyoming Territory to witness the total solar eclipse of July 29, 1878. During that memorable interlude of midday darkness, as Mr. Edison and Dr. Draper executed their planned observations, Mrs. Draper had dutifully called out the seconds of totality (165 in all) for the benefit of the entire expedition party, from inside a tent, where she remained secluded, blind to the spectacle, lest the sight of it unnerve her and cause her to lose count."|"The Glass Universe"|"Dava Sobel"
"ap ~ 04:00"|"about four o’clock"|"As arranged, she reached Summerhouse Hill above Harvard Yard on Friday morning, February 9, accompanied by her husband’s close friend and colleague George F. Barker of the University of Pennsylvania. Barker, who was preparing a biographical memoir of Henry, had been the Drapers’ houseguest at the time of the Academy dinner. Late that night, when Henry was seized with a violent chill while bathing, it was Barker who helped lift him from the tub and carry him to the bedroom. Then he bid the Drapers’ neighbor and physician Dr. Metcalfe, another dinner guest, to return to the house immediately. Dr. Metcalfe diagnosed double pleurisy. Although Henry of course received the most tender nursing—and showed some brief promise of improvement—the infection spread to his heart. On Sunday the doctor noted the signs of pericarditis, which precipitated Henry’s death at about four o’clock Monday morning, the twentieth of November."|"The Glass Universe"|"Dava Sobel"
01:20|"120 hours"|"When the thirty-year-old Pickering took over as director on February 1, 1877, his primary responsibility had been to raise enough money to keep the observatory solvent. It received no support from the college to pay salaries, purchase supplies, or publish the results of its labors. Aside from interest on its endowment and income from its exact-time service, the observatory depended entirely on private bequests and contributions. A decade had passed since the last solicitation for funds. Pickering soon convinced some seventy astronomy enthusiasts to pledge $50 to $200 per year for five years, and while those subscriptions trickled in, he sold the grass cuttings from the six-acre observatory grounds at a small profit. (They brought in about $30 a year, or enough to cover some 120 hours’ worth of computing time.)"|"The Glass Universe"|"Dava Sobel"
19:00|"7 o’clock in the evening"|"The objects of Pickering’s photometry studies included some two hundred stars known to vary their light output over time. These variable stars, or “variables,” required the closest surveillance. In his 1882 report to Harvard president Charles Eliot, Pickering noted that thousands of observations were needed to establish the light cycle of any given variable. In one instance, “900 measures were made in a single night, extending without intermission from 7 o’clock in the evening until the variable had attained its full brightness, at half past 2 in the morning.”"|"The Glass Universe"|"Dava Sobel"
02:30|"half past 2 in the morning"|"The objects of Pickering’s photometry studies included some two hundred stars known to vary their light output over time. These variable stars, or “variables,” required the closest surveillance. In his 1882 report to Harvard president Charles Eliot, Pickering noted that thousands of observations were needed to establish the light cycle of any given variable. In one instance, “900 measures were made in a single night, extending without intermission from 7 o’clock in the evening until the variable had attained its full brightness, at half past 2 in the morning.”"|"The Glass Universe"|"Dava Sobel"
"~ 00:00"|"around midnight"|"The 28-inch reflector had enabled them to take their landmark first picture of the spectrum of Vega in 1872, as well as their unrivaled photograph of the so-called Great Nebula in Orion ten years later, and also their final series of stellar spectra images during the summer before Henry’s death. On one of those humid July nights, undone by overcast skies, the two of them had quit the observatory around midnight to retire. But as they neared their country house two miles away on Wickers Creek in Dobbs Ferry, they saw the clouds dissipating, so they turned the horses around and drove back to Hastings to resume their work. She remembered returning that way on numerous other occasions just to seize a few more hours—even long ago, when they thought they had all the time in the world."|"The Glass Universe"|"Dava Sobel"
14:00|"2 pm"|"“I sail tomorrow at 2 pm—at least I believe so though I am not sure whether or not I am dreaming, so confused is everything in my mind. I hope that although my work at the observatory is at an end I may still keep your friendly regard and confidence which I value very greatly.”"|"The Glass Universe"|"Dava Sobel"
10:05|"10:05 A.M."|"“Yesterday we had the strongest earthquake which I have ever experienced,” Bailey wrote to Pickering on June 15, 1896. “It came at 10:05 A.M. I could distinctly see the ground move, something which I never saw before. I was in the laboratory. I rushed into the Bruce building which was near to see the effect. The whole mass of the castings etc swayed visibly and the tube shook violently.” Bailey was pleased to report, however, that all the station’s telescopes emerged from the shaking unscathed."|"The Glass Universe"|"Dava Sobel"
23:15|"11:15 p.m."|"“Soon it will be ’97. And three years have passed,” Miss Cannon noted at 11:15 p.m. on December 31, 1896, picking up her diary again after a long hiatus. “Two busy years at Wellesley and this one at the Harvard Observatory. The busy life I so longed for has been opened up to me. Friends have come to me from the great world and my heart, my life are now the study of astronomy. They little know what it means to me, how it was the only thread holding my reason, almost my life. . . . I no longer look forward with dread. The days have no terror. I long for my mother just the same, but I feel that I have the patience to run my race, to do the work set before me, and am able to find contentment in my surroundings. I could not help it, thrown as I am with such kind people.”"|"The Glass Universe"|"Dava Sobel"
