12:00|Midday|"8 Into the Atom
9 Quiet in the Midday Snow
PART 4"|E=mc2|"David Bodanis"
08:16|"8:16 A.M."|"12 America's Turn
13 8:16 A.M.—Over Japan
PART 5"|E=mc2|"David Bodanis"
02:00|"two in the morning"|"He did that, head down, working long hours, six days a week on average for the next twenty years. Only in his spare time—an hour or two in the morning, and then one full day each week—did he focus on his science. But he called that single day his ""jour de bonheur""—his ""day of happiness."""|E=mc2|"David Bodanis"
17:27|"5:27 P.M."|"Roemer didn't go along with that. In August, at the esteemed public forum of a journal all serious astronomers read, he proclaimed a challenge. Astronomy is an exact science, and even seventeenth-century tools were good enough to determine that the satellite Io was scheduled to appear from behind Jupiter on the coming November 9, sometime in the late afternoon. By Cassini's reasoning, it would be detected at 5:27 P.M. on that day. That was what he extrapolated from when it had last been clearly sighted, in August."|E=mc2|"David Bodanis"
"ap 05:27"|5:27|"Roemer declared that Cassini was going to be wrong. In August, he explained, the earth had been close to Jupiter. In November it would be farther away. There would be nothing visible at 5:27—the light, though fast, would still be on its way, since it had to travel that extra distance. Even at 5:30 or 5:35 it wouldn't have made it across the solar system. Only at 5:37 precisely would anyone be able to get their first sighting on November 9."|E=mc2|"David Bodanis"
"ap 05:30"|5:30|"Roemer declared that Cassini was going to be wrong. In August, he explained, the earth had been close to Jupiter. In November it would be farther away. There would be nothing visible at 5:27—the light, though fast, would still be on its way, since it had to travel that extra distance. Even at 5:30 or 5:35 it wouldn't have made it across the solar system. Only at 5:37 precisely would anyone be able to get their first sighting on November 9."|E=mc2|"David Bodanis"
"ap 05:35"|5:35|"Roemer declared that Cassini was going to be wrong. In August, he explained, the earth had been close to Jupiter. In November it would be farther away. There would be nothing visible at 5:27—the light, though fast, would still be on its way, since it had to travel that extra distance. Even at 5:30 or 5:35 it wouldn't have made it across the solar system. Only at 5:37 precisely would anyone be able to get their first sighting on November 9."|E=mc2|"David Bodanis"
"ap 05:37"|5:37|"Roemer declared that Cassini was going to be wrong. In August, he explained, the earth had been close to Jupiter. In November it would be farther away. There would be nothing visible at 5:27—the light, though fast, would still be on its way, since it had to travel that extra distance. Even at 5:30 or 5:35 it wouldn't have made it across the solar system. Only at 5:37 precisely would anyone be able to get their first sighting on November 9."|E=mc2|"David Bodanis"
17:27|"5:27 P.M."|"The prediction was announced in August. On November 9, observatories in France and across Europe had their telescopes ready. 5:27 P.M. arrived. No 10."|E=mc2|"David Bodanis"
17:27|"5:27 P.M."|"The prediction was announced in August. On November 9, observatories in France and across Europe had their telescopes ready. 5:27 P.M. arrived. No 10.
5:30 arrived. Still no 10.
5:35 P.M."|E=mc2|"David Bodanis"
"ap 05:30"|5:30|"The prediction was announced in August. On November 9, observatories in France and across Europe had their telescopes ready. 5:27 P.M. arrived. No 10.
5:30 arrived. Still no 10.
5:35 P.M."|E=mc2|"David Bodanis"
17:35|"5:35 P.M."|"The prediction was announced in August. On November 9, observatories in France and across Europe had their telescopes ready. 5:27 P.M. arrived. No 10.
5:30 arrived. Still no 10.
5:35 P.M."|E=mc2|"David Bodanis"
"ap 05:30"|5:30|"5:30 arrived. Still no 10.
5:35 P.M.
And then it appeared, at 5:37 and 49 seconds exactly."|E=mc2|"David Bodanis"
