20:05|twenty-five|"Journalistically speaking, there is no hot news to offer you about Roger Federer. He is, at twenty-five, the best tennis player currently alive. Maybe the best ever. Bios and profiles abound. 60 Minutes did a feature on him just last year. Anything you want to know about Mr. Roger N.M.I. Federer—his background, his hometown of Basel, his parents’ sane and unexploitative support of his talent, his junior tennis career, his early problems with fragility and temper, his beloved junior coach, how that coach’s accidental death in 2002 both shattered and annealed Federer and helped make him what he now is, Federer’s thirty-nine career singles titles, his eight Grand Slams, his unusually steady and mature commitment to the girlfriend who travels with him (which on the men’s tour is rare) and handles his affairs (which on the men’s tour is unheard-of), his old-school stoicism and mental toughness and good sportsmanship and evident overall decency and thoughtfulness and charitable largesse—it’s all just a Google search away. Knock yourself out."|"Both Flesh and Not"|"David Foster Wallace"
"ap 02:00"|2|"It’s 2-1 Nadal in the final’s second set, and he’s serving. Federer won the first set at love but then flagged a bit, as he sometimes does, and is quickly down a break. Now, on Nadal’s ad, there’s a sixteen-stroke point. Nadal is serving twenty m.p.h. faster than he did in Paris, and this one’s down the center. Federer floats a soft forehand high over the net, which he can get away with because Nadal never comes in behind his serve. The Spaniard now hits a characteristically heavy topspin forehand deep to Federer’s backhand; Federer comes back with an even heavier topspin backhand, almost a clay-court shot. It’s unexpected and backs Nadal up, slightly, and his response is a low hard short ball that lands just past the service line’s T on Federer’s forehand side. Against most other opponents, Federer could simply end the point on a ball like this, but one reason Nadal gives him trouble is that he’s faster than the others, can get to stuff they can’t; and so Federer here just hits a flat, medium-hard cross-court forehand, going not for a winner but for a low, shallowly angled ball that forces Nadal up and out to the deuce side, his backhand. Nadal, on the run, backhands it hard down the line to Federer’s backhand; Federer slices it right back down the same line, slow and floaty with backspin, making Nadal return to the same spot. Nadal slices the ball right back—three shots now all down the same line—and Federer slices the ball to the same spot yet again, this one even slower and floatier, and Nadal gets planted and hits a big two-hander down the same line—it’s like Nadal’s camped out now on his deuce side; he’s no longer moving all the way back to the baseline’s center between shots; Federer’s hypnotized him a little. Federer now hits a very hard, deep topspin backhand, the kind that hisses, to a point just slightly on the ad side of Nadal’s baseline, which Nadal gets to and forehands cross-court; and Federer responds with an even harder, heavier cross-court backhand, baseline-deep and moving so fast that Nadal has to hit the forehand off his back foot and then scramble to get to center as the shot lands maybe two feet short on Federer’s backhand side again. Roger Federer steps to this ball and now hits a totally different cross-court backhand, this one much shorter and sharper-angled, an angle no one would anticipate, and so heavy and blurred with topspin that it lands shallow and just inside the sideline and takes off hard after the bounce, and Nadal can’t move in to cut it off and can’t get to it laterally along the baseline, because of all the angle and topspin—end of point. It’s a spectacular winner, a Federer Moment; but, watching it live, you can see that it’s also a winner that Federer started setting up four or even five shots earlier. Everything after that first down-the-line slice was designed by the Swiss to maneuver Nadal and lull him and disrupt his rhythm and balance and open up that last, unimaginable angle—an angle that would have been impossible without extreme topspin."|"Both Flesh and Not"|"David Foster Wallace"
05:00|lauds|"But it’s weird: all we C.Y. writers get consistently lumped together. Both lauds and pans invariably invoke a Generation that is both New and, in some odd way, One. Unfamiliar with the critical fashions of past decades, I don’t know whether this perception has precedent, but I do think in certain ways it’s not inappropriate. As of now, C.Y. writers, the good and the lousy, are in my opinion A Generation, conjoined less by chronology (Benedict is twenty-three, Janowitz over thirty) than by the new and singular environment in and about which we try to write fiction. This, that we are agnate, also goes a long way toward explaining the violent and conflicting critical reactions New Voices are provoking."|"Both Flesh and Not"|"David Foster Wallace"
15:30|1530H|"RIGHT NOW IT’S 1530H. on 3 September, the Sunday of Labor Day Weekend, the holiday that’s come to represent the American summer’s right bracket. But L.D.W. always falls in the middle of the U.S. Open; it’s the time of the third and fourth rounds, the tournament’s meat, the time of trench warfare and polysyllabic names. Right now, in the National Tennis Center’s special Stadium—a towering hexagon whose N, S, E, and W sides have exterior banners saying “WELCOME TO THE 1995 U.S. OPEN—A U.S.T.A. EVENT”—right now a whole inland sea of sunglasses and hats in the Stadium is rising to applaud as Pete Sampras and the Australian Mark Philippoussis are coming out on court, as scheduled, to labor. The two come out with their big bright athletic bags and their grim-looking Security escorts. The applause-acoustics are deafening. From down here near the court, looking up, the Stadium looks to be shaped like a huge wedding cake, and once past the gentler foothills of the box seats the aluminum stands seem to rise away on all sides almost vertically, so vertiginously steep that a misstep on any of the upper stairs looks like it would be certain and hideous death. The umpire sits in what looks like a lifeguard chair with little metal stirrups out front for his shoes, wearing a headset-mike and Ray-Bans and holding what’s either a clipboard or or a laptop. The DecoTurf court is a rectangle of off-green marked out by the well-known configuration of very white lines inside a bigger rectangle of off-green; and as the players cross the whole thing E-W to their canvas chairs, photographers and cameramen converge and cluster on them like flies clustering on what flies like—the players ignore them in the way that only people who are very used to cameras can ignore cameras. The crowd is still up and applauding, a pastel mass of 20,000+. A woman in a floppy straw hat three seats over from me is talking on a cellular phone; the man next to her is trying to applaud while holding a box of popcorn and is losing a lot of popcorn over the box’s starboard side. The scoreboards up over the Stadium’s N and S rims are flashing pointillist-neon ads for EVIAN. Sampras, poor-postured and chestless, smiling shyly at the ground, his powder-blue shorts swimming down around his knees, looks a little like a kid wearing his father’s clothes. Philippoussis, who chronologically really is a kid, looks hulking and steroidic walking next to Sampras. Philippoussis is 6'4"" and 200+ and is crossing the court with the pigeon-toed gait of a large man who’s trying not to lumber, wearing the red-and-white candy-stripe Fila shirt so many of the younger Australians favor. The PM sun is overhead to the W-SW in a sky with air so clear you can almost hear the sun combusting, and the tiny heads of the spectators way up at the top of the W bleachers are close enough to the sun’s round bottom to look to be just about on fire. The players dump their long bags and begin to root through them. Their rackets are in plastic they have to unwrap. They sit in their little chairs hitting racket-faces together and cocking their heads to listen for pitch. The cameramen around them disperse at the umpire’s command, some trailing snakes of cord. Ballboys take crumpled bits of racket plastic from under the players’ chairs."|"Both Flesh and Not"|"David Foster Wallace"
15:35|1535h|"The players’ umbrellas and chairs and big EVIAN-labeled barrels of drinks are on either side of the umpire’s chair at the base of the Stadium’s western cliff face, in a long thin patch of shade that ripples when the heads of the people way overhead move, and it’s cool in that shade—it’s cool for me, as well, in the shade of the very large man next to me, who’s wearing a gorgeous blue cord three-piecer and what seems to be a kind of huge sombrero—but the sunlight is summery, the sun (as mentioned) explosive, seeming to swell as it lowers, at 1535h. positioned about 40° above the Stadium’s W battlements; and the Grandstand Court, attached to the Stadium’s E flank, is knife-sliced by the well-known PM Grandstand shadow that Jim Courier is even now using to vivisect Kenneth Carlsen in full view of diners at Racquets (the impossible-to-get-into glass restaurant built into the wall that separates the Grandstand’s W flank from the Stadium’s E) and the 6,000+ crowd in there, a lot of whose nationalistic whistles and applause intrude into the Stadium’s sonic fold and lend a kind of surreally incongruous soundtrack to Sampras and Philippoussis’s exchanges as they warm up. Sampras is hitting with the casual economy that all the really top pros seem to warm up with, the serene nonchalance of a creature at the very top of the food chain. The Wimbledon champion’s presence aside, this third-rounder has particular romance about it because it features two Greeks neither of whom are in fact from Greece, a kind of postmodern Peloponnesian War. Philippoussis, just eighteen, Patrick Rafter’s doubles partner, ranked in the top 100 in this his first year on tour, potential superstar and actual heartthrob, resembles Sampras, somewhat—same one-handed backhand and slight loop on the forehand’s backswing, same café-au-lait coloring and Groucho eyebrows and very black hair that get glossy with sweat—but the Australian is slower afoot, and in contrast to Sampras’s weird boneless grace he looks almost awkward, perilously large, his shoulders square the way heavy guys with bad backs’ shoulders are square. Plus he seems to have aggression-issues that need resolving: he’s hitting the ball as hard as he can even in warm-up. He seems brutish, Philippoussis does, Spartan, a big slow mechanical power-baseliner  with chilly malice in his eyes; and against him, Sampras, who is not exactly a moonballer, seems almost frail, cerebral, a poet, both wise and sad, tired the way only democracies get tired, his expression freighted with the same odd post-Wimbledon melancholy that’s dogged him all summer through Montreal, Cincinnati, etc. Thomas Enqvist’s epic 2-6 6-2 4-6 6-3 7-6 (7-5) first-rounder against Marcelo Rios and Agassi’s second-round squeaker against Corretja notwithstanding, it’s tempting to see this upcoming match as the climax of the Open so far: two ethnically agnate and archetypally distinct foes, an opposition not just of styles of play but of fundamental orientations toward life, imagination, the uses of power… plus of course economic interests."|"Both Flesh and Not"|"David Foster Wallace"
16:15|1615h|"you can see them, Them, coming, an enormous serpentine mass, the crowd, still at 1615h. coming, what looks from this distance like everybody in New York City who hasn’t retreated to the Hamptons for the long summer weekend. The U.S. Open is a big deal for NYC. Mayor Dinkins is gone—the Dinkins who used to reroute landing patterns at LaGuardia just for the Open—but even under Rudy Giuliani, for a fortnight a city that ordinarily couldn’t give two chomps of its gum for a sport as patricianly non-contact as tennis is into the game in a very big way. Thirty-year-old arbitrageurs in non-rented tuxes at the Bowery Bar dissect various men’s matches and speculate on how Seles’s hiatus from the game will affect her endorsement contracts now that she’s back. Croatian doormen bemoan Ivanisevic’s early departure. On the subway, a set of tough chicks in leather and fluorescent hair concur that even though Graf and Seles and that Spanish what’s-her-face with the hymen in her name might rule, let’s don’t for a m.-fucking second count out the U.S.’s Zina G. ’cause this is her swan-song before the like bow-out. Or e.g. Friday, 1 September, the day after Agassi’s five-set comeback against Corretja, a Lebanese driver on the Grey Line bus in from LaGuardia and a cigar-chewing old passenger he doesn’t know from Adam bond over their shared assessments of Agassi’s rehabilitation as a man:"|"Both Flesh and Not"|"David Foster Wallace"
"~ 11:00"|"around 1100h"|"The N.T.C.’s Main Gate is on the grounds’ NE side, connected to the #7 train’s subway stop and parking lots by a broad blacktop promenade that leads from the commuter stations south past Park Rangers’ offices and a couple of big open communitarian circles—the kind of open urban venues that look like they ought to have spurting fountains in the center, though these don’t—with green benches and complex skateboarding and vigorous sinister underground commerce. At some point the promenade curves sharply west so that the Open’s moving crowds pass within sight of rampant picnicking and soccer in F.M.C. Park (the “Meadow” part, apparently); then the walkway’s final blacktop straightaway’s enclosed by high fences topped with flags of all nations as you head for the parallel lines for actual entry at the tournament’s Main Gate, the Gate’s own tall fencing black iron and almost medievally secure-looking and itself topped only by good old U.S. flags, with the Open’s/U.S.T.A.’s familiar greeting and self-assertion in bright brave 160-point caps on a banner hanging over the turnstiles, of which turnstiles there are six total but never more than three in actual operation. The turnstiles are only for those who already have tickets—the East-Bloc-length line for AM tickets at the Box Office evaporates every day by around 1100h., when stern megaphones announce the day’s sellout."|"Both Flesh and Not"|"David Foster Wallace"
16:40|1640h|"Besides the Stadium/Grandstand, there are three other N.T.C. “Show Courts,” i.e., courts with serious bleachers. At 1640h., Court 16 is running men’s doubles with Eltingh-Haarhuis, the world’s #1 team, and its little wedge of aluminum stands isn’t even full. American tennis crowds seem decisively singles-oriented. Court 17 has Korda and Kulti against the Mad Bahamian Mark Knowles and his 1995 partner Daniel Nestor, the Canadian who’s fun to watch because he looks so much like an anorectic Mick Jagger. Court 18 has women’s doubles with four players whose names I don’t recognize and exactly thirty-one people in the stands. (All four of the females on 18 have bigger forearms than I do.) Natasha Zvereva, looking incomplete without Gigi, is warming up against Amy Frazier in the Grandstand. In the Stadium, Philippoussis and Sampras have split the first two sets, 6 and 5. What a big match sounds like outside the Stadium is brief strut-rattling explosions of applause and whistles and then the odd flat amplification of the umpire speaking into the abrupt silence his speaking has created. Daniel Nestor’s last name, while also Hellenistic, is Homerian, thus allusive to a wartime way before Athens v. Sparta. The fact that Sampras has won so many Grand Slam titles may have a lot to do with the fact that Slams’ males’ matches are the best of five sets. Best-of-fives require not just physical endurance but a special kind of emotional flexibility: in best-of-fives you can’t play with full-bore intensity the whole time; you have to know when to kind of turn it on and when to lay back and conserve your psychic resources. Philippoussis won the tie-break of a first set in which you got the impression that Sampras was sort of adjusting the idle on his game, trying to find the exact level he needed to reach to win. The suspense of the match isn’t so much whether Sampras will win but how hard he’ll have to play and how long it’ll take him to find this out. Philippoussis hits very hard but has no imagination and even less flexibility. He’s like a machine with just one gear: unless forced out of his rhythm by a wide-angle shot, he moves exclusively in forward-backward vectors. Sampras, on the other hand, seems to float like dander all over the court. Philippoussis is like a great and terrible land army; Sampras is more naval, more of the drift-and-encircle school. Philippoussis is oligarchic: he has a will and seeks to impose it. Sampras is more democratic, i.e., more chaotic but also more human: his real job seems to be figuring out what his will exactly is. Not a lot of people remember that Athens actually lost the Peloponnesian War—it took thirty years, but Sparta finally ground them down. Nor do most people know that Athens actually started the whole bloody thing in the first place by picking on maritime allies of Sparta who were cutting into Athens’s sea trade. Athens’s clean-cut nice-guy image is a bit overdone—the whole exhausting affair was about commerce right from the beginning."|"Both Flesh and Not"|"David Foster Wallace"
17:38|1738h|"What’s fun about having a U.S. Open ’95 Media Pass is that you can go in and out of the Main Gate as often as you want. For paying customers there’s no such luck: a sign by the turnstiles says ALL EXITS FINAL with multiple exclamation points. And the lines for entry at the three active turnstiles resemble those grim photos of trampling crowds at Third World soccer matches. Wizened little old men are paid by the tournament to stand by the turnstiles and take people’s tickets—the same sort of wizened little old men you see at sporting-event turnstiles everywhere, the kind who always look like they should be wearing Shriners hats. Going through one turnstile right now at 1738h. is a very handsome bald black man in an extremely snazzy Dries Van Noten camelhair suit. Pushing hip-first through the next turnstile is a woman in an electric-blue pantsuit of either silk or really good rayon. At the third active turnstile, a young foreignish-looking guy in an expensive flannel shirt w/Ray-Bans and a cellular phone is having an argument with the turnstile’s ticket-taker. The guy is claiming that he bought tickets for 3 Sept. but has mistakenly left—takenly them at home in Rye and will be dam-ned if he is going to be forced by a minimum-wage little wizened ticket-taker into going all the way back to Rye to get them and then coming all the way back down here. He has his cellular phone in his hand, leaning over the ticket-taker: surely, he insists, there’s some way to verify his ticket-holding status without his going and coming all the way back to produce the actual stupid cardboard rectangles themselves. The ticket-taker, in a blue suit that makes him look a bit like a train’s conductor, is shaking his gnarled little head and has his arms raised in that simultaneously helpless but firm gesture of Can’t Help You, Mac. The young man in flannel from Rye keeps flipping his cellular open and starting to dial it in a menacing way, as if threatening to get the ticket-taker in Dutch with shadowy figures from the Open’s Olympian management heights the young man’s got connections with; but the stolid little attendant’s resolve stays firm, his face stony and his arms raised, until crowd pressure from customers at the flannel man’s rear and flank force him to withdraw the field."|"Both Flesh and Not"|"David Foster Wallace"
"~ 19:00"|"about 1900h"|"The grounds don’t exactly empty out between the end of the afternoon’s slate of matches and the start of the evening’s, but the crowds do thin a little. Flushing Meadow gets chilly and pretty as the twilight starts. It’s about 1900h., that time when the sun hasn’t gone down yet but everything seems to be in something else’s shadow. The ticket-takers at the Main Gate’s turnstiles change shifts, and the consumers coming down the promenade are now dressed more in jeans and sweaters than shorts and thongs. Lights over all the N.T.C. courts go on together with an enormous thunk. The courtlight gives the underbelly of the hanging Fuji Blimp a weird ghostly glow. There’s more serious, 5-Food-Group, dinnerish eating now going on at the International Food Village and in the Corporate Hospitality Areas. Sampras and Philippoussis have quit the field in the Stadium, Sampras bearing his shield and the Australian carried out upon his own (as it were). Arantxa Sanchez Vicario and Mary Joe Fernandez are now warming up on the Stadium Court while people in the bleachers try to stagger very carefully down the steps to get out, lugging their coolers and cushions, looking simultaneously sunburned and cold. Coming up on the Grandstand Court is a mixed-doubles match I’m looking forward to because one of the teams on the program has the marvelous name “Boogert-Oosting.” Various tangential singles matches are under way on Courts 16–18, and something that’s fun is to go over to these Show Courts and not to go all the way in and sit in the little sets of stands but to stand on the path outside the heavy green windscreens around the Show Courts and watch the little stripe of bare fence near the bottom for the movement of feet and to try to extrapolate from the feet’s movement what’s going on in each point. One unbelievably huge pair of sneakers under the screen on Court 16 turns out—sure enough—to belong to Richard Krajicek, the 6'6"" Dutchman who plays like a mad crane. These shoes have to be 16EEEs at least; you wouldn’t believe it. I am holding a $4.00 kraut-dog and sodapop I would very much like to find someplace isolated and quiet to consume."|"Both Flesh and Not"|"David Foster Wallace"
