16:30|"4:30 P.M."|"There are all sorts of interlinguistic teasers like this. The ones that aren’t solvable become actual paradoxes, some of which are profound. It should be unsurprising, since ∞ is both the ultimate abstraction and inveterately fuzzy, that it figures in many such paradoxes. Like take the ideas that there is no last or largest integer and that time extends infinitely forward. Then imagine a perfectly constructed and durable desk lamp with a big red On/Off button, and imagine that this morning the lamp is off but at 4:30 P.M. CST it will be turned on, then at 4:30 P.M. tomorrow it will be turned back off, but then back on again at 4:30 the following day, and so on, every day, for the rest of time; and now contemplate whether, after an infinite number of days, the lamp will be on or off. You might recall from college math21 that this is actually a Word Problem involving something called a divergent infinite series, more specifically the Grandi Series, 1 − 1 + 1 − 1 + 1 − 1 + 1 …, which series sums to 0 if we compute it as (1 − 1) + (1 − 1) + (1 − 1) + … but sums to 1 if we compute it as 1 + (−1 + 1) + (−1 + 1) + (−1 + 1) …, with the kicker being that, since both computations are mathematically licit, the series’ ‘real’ sum appears to be both 1 and not-1, which by LEM is impossible. You may or may not further recall, however,22 that the Grandi Series happens to be a particular subtype of divergent infinite series known as an oscillating series, and that as such it’s an object lesson in stipulation for partial sums (symbolized sn), with the relevant symbolism being ‘1 +Σ(−1) where sn = 0 for even n and sn = −1 for odd n’—which symbolism appears so legalistically arcane and clunky precisely because it has to be designed to avoid crevasses like the Lamp Paradox."|"Everything and More"|"David Foster Wallace"
"ap 04:30"|4:30|"There are all sorts of interlinguistic teasers like this. The ones that aren’t solvable become actual paradoxes, some of which are profound. It should be unsurprising, since ∞ is both the ultimate abstraction and inveterately fuzzy, that it figures in many such paradoxes. Like take the ideas that there is no last or largest integer and that time extends infinitely forward. Then imagine a perfectly constructed and durable desk lamp with a big red On/Off button, and imagine that this morning the lamp is off but at 4:30 P.M. CST it will be turned on, then at 4:30 P.M. tomorrow it will be turned back off, but then back on again at 4:30 the following day, and so on, every day, for the rest of time; and now contemplate whether, after an infinite number of days, the lamp will be on or off. You might recall from college math21 that this is actually a Word Problem involving something called a divergent infinite series, more specifically the Grandi Series, 1 − 1 + 1 − 1 + 1 − 1 + 1 …, which series sums to 0 if we compute it as (1 − 1) + (1 − 1) + (1 − 1) + … but sums to 1 if we compute it as 1 + (−1 + 1) + (−1 + 1) + (−1 + 1) …, with the kicker being that, since both computations are mathematically licit, the series’ ‘real’ sum appears to be both 1 and not-1, which by LEM is impossible. You may or may not further recall, however,22 that the Grandi Series happens to be a particular subtype of divergent infinite series known as an oscillating series, and that as such it’s an object lesson in stipulation for partial sums (symbolized sn), with the relevant symbolism being ‘1 +Σ(−1) where sn = 0 for even n and sn = −1 for odd n’—which symbolism appears so legalistically arcane and clunky precisely because it has to be designed to avoid crevasses like the Lamp Paradox."|"Everything and More"|"David Foster Wallace"
"ap 03:58"|"2 of 4"|"These are real problems, not just irksome or counterintuitive but mathematically profound. G. F. L. P. Cantor solved them all, more or less. But of course the natural-language ‘solve’ can mean different things. As mentioned, one way in math to take care of destabilizing problems is to legislate them out of existence—by banishing certain kinds of math entities and/or by loading theorems with stipulations and exclusions designed to head off crazy results. Prior to the invention of transfinite math, this was the way most paradoxes of ∞ were handled. You ‘solved’ them by first fudging the distinction between a paradox and a contradiction, and then by applying a kind of metaphysical reductio: if allowing infinite quantities like the number of points on a line or the set of all integers led to paradoxical conclusions, there must be something inherently wrong or nonsensical about infinite quantities, and thus ∞-related entities couldn’t really ‘exist’ in a mathematical sense. This was essentially the argument deployed against, e.g., the famous Paradox of Galileo in the 1600s. Here’s the Paradox of Galileo. Euclid’s 5th Axiom dictates that “the whole is always greater than the part,” which seems pretty unassailable. It’s also obvious that while every perfect square (viz. 1, 4, 9, 16, 25, …) is an integer, not every integer is a perfect square. In other words the set of all perfect squares is but a part of, and so by Euclid’s 5th smaller than, the set of all integers. The trouble is that the same sort of equality-via-correspondence we saw with PQ/QR and the two circles can be set up here. Because while not every integer is a perfect square, every integer does happen to be the square root of a perfect square—2 of 4, 3 of 9, 4 of 16, 912 of 831,744, and so on. Pictorially, you can line up the two sets and demonstrate a perfect and inexhaustible one-to-one correspondence between their members25:"|"Everything and More"|"David Foster Wallace"
"ap 08:57"|"3 of 9"|"These are real problems, not just irksome or counterintuitive but mathematically profound. G. F. L. P. Cantor solved them all, more or less. But of course the natural-language ‘solve’ can mean different things. As mentioned, one way in math to take care of destabilizing problems is to legislate them out of existence—by banishing certain kinds of math entities and/or by loading theorems with stipulations and exclusions designed to head off crazy results. Prior to the invention of transfinite math, this was the way most paradoxes of ∞ were handled. You ‘solved’ them by first fudging the distinction between a paradox and a contradiction, and then by applying a kind of metaphysical reductio: if allowing infinite quantities like the number of points on a line or the set of all integers led to paradoxical conclusions, there must be something inherently wrong or nonsensical about infinite quantities, and thus ∞-related entities couldn’t really ‘exist’ in a mathematical sense. This was essentially the argument deployed against, e.g., the famous Paradox of Galileo in the 1600s. Here’s the Paradox of Galileo. Euclid’s 5th Axiom dictates that “the whole is always greater than the part,” which seems pretty unassailable. It’s also obvious that while every perfect square (viz. 1, 4, 9, 16, 25, …) is an integer, not every integer is a perfect square. In other words the set of all perfect squares is but a part of, and so by Euclid’s 5th smaller than, the set of all integers. The trouble is that the same sort of equality-via-correspondence we saw with PQ/QR and the two circles can be set up here. Because while not every integer is a perfect square, every integer does happen to be the square root of a perfect square—2 of 4, 3 of 9, 4 of 16, 912 of 831,744, and so on. Pictorially, you can line up the two sets and demonstrate a perfect and inexhaustible one-to-one correspondence between their members25:"|"Everything and More"|"David Foster Wallace"
15:56|"4 of 16"|"These are real problems, not just irksome or counterintuitive but mathematically profound. G. F. L. P. Cantor solved them all, more or less. But of course the natural-language ‘solve’ can mean different things. As mentioned, one way in math to take care of destabilizing problems is to legislate them out of existence—by banishing certain kinds of math entities and/or by loading theorems with stipulations and exclusions designed to head off crazy results. Prior to the invention of transfinite math, this was the way most paradoxes of ∞ were handled. You ‘solved’ them by first fudging the distinction between a paradox and a contradiction, and then by applying a kind of metaphysical reductio: if allowing infinite quantities like the number of points on a line or the set of all integers led to paradoxical conclusions, there must be something inherently wrong or nonsensical about infinite quantities, and thus ∞-related entities couldn’t really ‘exist’ in a mathematical sense. This was essentially the argument deployed against, e.g., the famous Paradox of Galileo in the 1600s. Here’s the Paradox of Galileo. Euclid’s 5th Axiom dictates that “the whole is always greater than the part,” which seems pretty unassailable. It’s also obvious that while every perfect square (viz. 1, 4, 9, 16, 25, …) is an integer, not every integer is a perfect square. In other words the set of all perfect squares is but a part of, and so by Euclid’s 5th smaller than, the set of all integers. The trouble is that the same sort of equality-via-correspondence we saw with PQ/QR and the two circles can be set up here. Because while not every integer is a perfect square, every integer does happen to be the square root of a perfect square—2 of 4, 3 of 9, 4 of 16, 912 of 831,744, and so on. Pictorially, you can line up the two sets and demonstrate a perfect and inexhaustible one-to-one correspondence between their members25:"|"Everything and More"|"David Foster Wallace"
06:54|"6:54 A.M."|"—are not exactly marvels of perspicuity. What he means by ‘potential’ is emphatically not the sort of potentiality by which a girl is potentially a woman or an acorn an oak. It’s rather more like the strange and abstract sort of potentiality by which a perfect copy of Michelangelo’s Pieta21 potentially exists in a block of untouched marble. Or, ∞-wise, the way anything that occurs cyclically (or, in A.’s term, “successively”)—like say its being 6:54 A.M., which happens every day like clockwork—is for Aristotle potentially infinite in the sense that an endless periodic recurrence of its being 6:54 A.M. is possible, whereas the set of all 6:54 A.M.s cannot be actually infinite because the 6:54s are never all going to coexist; the periodic cycle is never going to be “complete[d].”22"|"Everything and More"|"David Foster Wallace"
"ap 06:54"|6:54|"You can probably see how all this is going to play out w/r/t the Dichotomy. Again, though, it’s a little tricky. The statue and 6:54 analogies won’t quite work here. Yes, the interval AB and/or the set of all subintervals or points between A and B is not ‘actually infinite’ but only ‘potentially infinite’; but here the sense in which Aristotle means ‘AB is potentially infinite’ is closer to the idea of, say, infinite precision in measurement. Which can be illustrated thusly. My eldest niece’s current height, which is 38.5″, can be fixed more precisely at 38.53″; and with a more controlled environment and sophisticated equipment it could obviously be ascertained more and more exactly, to the 3rd, 11th, nth decimal place, with n being, potentially, ∞—but only potentially ∞, because in the real world there’s obviously never going to be any way to achieve true infinite precision, even though ‘in principle’ it’s possible. In pretty much just this way, for Aristotle AB is ‘in principle’ infinitely divisible, though this infinite division can never actually be performed in the real world."|"Everything and More"|"David Foster Wallace"
06:54|"6:54 A.M."|"(IYI Final bit of complication: For the most part, what Aristotle calls “Number” (meaning mathematical quantities in general) apparently is potentially infinite not in the way measurement is potentially infinite but in the way the set of all 6:54 A.M.s is potentially infinite. For instance, the set of all integers is potentially infinite in the sense that there is no largest integer (“In the direction of largeness it is always possible to think of a larger number”); but it is not actually infinite because the set doesn’t exist as one completed entity. In other words, numbers for Aristotle compose a successive continuum: there are infinitely many but they never coexist (“One thing can be taken after another endlessly”).)"|"Everything and More"|"David Foster Wallace"
06:54|"6:54 A.M."|"22 IYI Like so much of Aristotle, this is not immediately clear. The thing here is that ‘coexist’ basically means ‘all exist at the same time,’ which the 23-hour-and-59-minute gap between each recurrence of 6:54 A.M. (these gaps being packed into the very definition of ‘6:54 A.M.’) renders impossible. In essence, this Succession → Noncompletion thing is also Aristotle’s argument for why capital-T Time is potentially but not actually infinite, which in turn preempts certain Lamp-type paradoxes about eternity and first and last moments."|"Everything and More"|"David Foster Wallace"
05:00|lauds|"The reason Russell lauds him w/r/t the problem of infinitesimals is the same reason Weierstrass gets top billing in the Arithmetization of Analysis. He is the first to give a wholly rigorous and metaphysically untainted theory of limits. Because it’s important, and underlies the way most of us are now taught calc in school, let’s at least quickly observe that Weierstrass’s definition of limits replaces Abel/Bolzano/Cauchy’s natural-language terms like ‘approaches a limit’ and ‘becomes less than any given quantity’ with the little epsilon and delta and the ‘| |’ brackets of absolute value. A great fringe benefit of Weierstrass’s theory is that it characterizes limits and continuity in such a way that either can be defined in terms of the other. See for example his definition of continuous function, which is still the industry standard 150 years later65: f(x) is continuous at some point xn if and only if, for any positive number ε, there exists a positive δ such that for any x in the interval |x − xn| < δ, |f(x) − f(xn)| < ε.*"|"Everything and More"|"David Foster Wallace"
