12:00|midday|"The first to reach the New World was James Bulloch of Glasgow, a scholar versed in Latin and Greek, who landed at Charleston, South Carolina, about 1729, which, as the Roosevelts measured such things, was rather late in the game, their own Claes Martenszen van Rosenvelt having arrived in New Amsterdam in 1649. (All that is known of Claes Martenszen is that he was a farmer with a wife named Jannetje, and that he was called Kleytjen, which in the idiom of the day meant Shorty.) James Bulloch became a planter, married, and attained some standing in South Carolina politics before removing to coastal Georgia, where he received a grant of several thousand acres in the Sea Island district. His wife was Jean Stobo, also of Glasgow, who, with her mother and her father, Archibald Stobo, a noted Presbyterian divine, had set forth in 1699 as part of the ill-fated effort to found a Utopian Scottish colony in the jungles of Darién, on the Isthmus of Panama. The situation at Darién being hopeless, the expedition, a flotilla of three ships, turned back, and on the voyage home to Scotland the Stobos’ ship, Rising Sun, stopped at Charleston to take on water and supplies. The ship anchored outside the harbor, passengers remaining aboard, but the people of Charleston, hearing Stobo was so close at hand, requested that he come preach. So consequently, he, his wife, and daughter, Jean, were safely ashore the following day when a hurricane struck, sinking the ship and taking the lives of nearly all aboard. Stobo was at once offered a pulpit—the congregation being “obedient to the finger of Providence”—and in time he became a Charleston institution, his customary sermon running to such length that it was possible to leave in the middle, go home for a large midday meal, and return to find him still going strong."|"Mornings on Horseback"|"David McCullough"
00:00|midnight|"Guns, violence, savage death, episodes that seemed more like the stuff of fable or fantasy, were all part of the world Mittie spun. Ellie spoke for all her offspring when he called her his “sweet little Dresden china” mother; she seemed so delicate, like an exquisite work of art, as Conie said. Yet she could portray in marvelous detail how a pack of bloodhounds pulled a cougar to pieces or describe the midnight death struggle between a cougar and a half-naked black man, one of great-grandfather Daniel Stewarts slaves, a story the impressionable little Teedie would remember all his life. The black man, “a man of colossal strength,” had been cutting through a Florida swamp in the dark of night, taking a shortcut to “see his sweetheart.” His torn body was found the next day with that of the cougar lying beside him."|"Mornings on Horseback"|"David McCullough"
"> 00:00"|"past midnight"|"At a big family gathering in September she danced past midnight, as she told him. Another evening she and Anna put on a “grand supper party.” When one of her accounts of still another such occasion brought a piqued response from New York, she responded: “My dear Thee, I kiss a great many different people and always expect to. I cannot allow you a monopoly there. Why just think of what the world would be without kisses. I could not think of depriving my friends of that pleasure.”"|"Mornings on Horseback"|"David McCullough"
"ap ~ 03:30"|"about half past three"|"The second baby arrived October 27, 1858, a Wednesday. Mittie had been feeling fine. After a mornings shopping she had returned for lunch, then went to her room to rest, which is where her mother found her in great pain at about half past three. The house was at once in turmoil, servants flying off to find the family doctor, who, it turned out, was himself too sick to respond. Until another man was found, Mrs. Bulloch was “almost the whole time alone with Mittie,” as she told Susan. “Anna had taken Bamie over to Lizzie Ellis’—I sent over for her, but she was too unwell to come—I could not bear the idea of having no female friend with me, so sent for Mrs. Roosevelt and she came over.”"|"Mornings on Horseback"|"David McCullough"
19:45|"quarter to eight that evening"|"Mittie got “worse and worse” until quarter to eight that evening when “at last” the birth took place. As labor went, hers was, in her mothers experienced eye, “a safe but severe time.”"|"Mornings on Horseback"|"David McCullough"
"> 19:00"|"after seven o’clock at night"|"The delays were so great that I stood out with one of these companies after seven o’clock at night with one soldier holding a candle while I took down the names of those who desired to send home money. The men looked as hard as I have often seen before in our Mission neighborhood, but after a little talk explaining my object and reminding them of those they had left behind them, one after another put down his name, and from this company alone they allotted, while I was there, $600. . . . I stood out there in the dark night surrounded by the men with one candle showing glimpses of their faces, the tents all around us in the woods. One man putting down $5.00 a month said, “My old woman has always been good to me and if you please change it to $10.00.” In a minute half a dozen others followed his example and doubled theirs."|"Mornings on Horseback"|"David McCullough"
"ap 03:00"|three|"The first several days with her brothers were filled with breathless talk and laughter. It had been eight years since she had seen Captain James Bulloch, and her one brief meeting with Irvine in that time had been under such strained circumstances that it seemed more like something they had imagined. A year or so after the war he had returned to New York illegally under an assumed name, working his way across on a sailing ship in order to see Mittie and Anna for all of an hour. They had been told nothing of the plan. An unsigned note in the morning mail said merely that at three on Thursday a young man “of interest” would be in the mall at Central Park, standing beneath the third tree on the left, a red handkerchief about his neck. They did as directed and when the hour was up he left for his ship and the return voyage to Liverpool."|"Mornings on Horseback"|"David McCullough"
"~ 12:00"|"about noon"|"The plan was for the ship to leave Liverpool as an innocent-looking merchantman, to be armed later in the Azores. He picked the island of Terceira as the rendezvous, secretly arranged for the purchase of armaments and stores, and had these sent by another ship, again devising detailed instructions for every necessary step. All in all it was a brilliant performance and things were falling together nicely, until Charles Francis Adams, supplied by his own agent in Liverpool, presented the British government with proof of what was afoot. The situation could have gone either way, but the Queen’s Advocate went insane at this juncture; the documents supplied by Adams sat untouched for five crucial days, and Bulloch, determined to get the ship out of British waters, took her to sea himself, “very unexpectedly.” Only by the narrowest margin did he bring it off. He arranged for a British crew, and on the morning of July 29, 1862, the still incomplete No. 290 started down the Mersey draped in bright bunting and carrying a large party of fashionable ladies and gentlemen who had been invited for a short trial run and a picnic lunch. Several customs officials were also aboard to see that “no international wrong” was perpetrated. But about noon, a tug came alongside, the guests were put off, and No. 290 sailed away—north through the Irish Sea—never to return. Bulloch had himself put ashore on the north coast of Ireland and made his way back to Liverpool. Three weeks later he was in the Azores seeing to final preparations before turning the ship over to Captain Raphael Semmes of the Confederate Navy, his superiors at home having decided his services on land were invaluable."|"Mornings on Horseback"|"David McCullough"
00:00|midnight|"In the chancel, immediately in front of the high altar base, they stood before the stone effigy of a crusader, thought to be William de Lancaster, eighth Baron of Kendal, who died in 1246. By the way the moss had grown, the figures stone limbs and sword were perfectly delineated. From the cracked stone helmet of another effigy Mittie picked a dandelion. Thrilled by the whole romantic spell of the place she found herself “gazing at the wide open windows and thinking how the glorious light must have streamed through . . . over the high altar [and] down upon the monks as they sang their solemn chants or the moonbeams when at their midnight devotions.”"|"Mornings on Horseback"|"David McCullough"
17:00|"5 PM"|"We leave here at 5 PM for Windermere, where Noel and our baggage await us. . . . Thee and I wish for you incessantly. How you would appreciate it all. . . . I hurry to the close of this letter because I see Thee’s coattails flitting around the ruined Abbey and he shall not know more than I do about it."|"Mornings on Horseback"|"David McCullough"
