12:00|midday|"In lots of ways it was a country town still. Roosters crowed at dawn. Dinner remained a midday meal in many households. The standard Sunday dinner after church was fried chicken, buttered peas, mashed potatoes, cream gravy, and beaten biscuits, which, being made of Queen of the Pantry Flour, a “soft wheat” flour, were understood to be the world’s best. Mud-spattered buggies and farm wagons clogged the Square on Saturday nights when the farmers came to town for haircuts and supplies. Town boys grew up with farmer’s chores as part of the daily routine. Harry and Vivian had cows to milk, horses to curry, water, and feed, wood to split for the kitchen stove."|Truman|"David McCullough"
"ap 06:30"|6:30|"Clinton’s drugstore stood at the northeast corner of the Square. Proprietor Clinton lived upstairs. Harry’s job was to come in each weekday morning at 6:30 to open up the place, sweep the sidewalk, mop the floor, wipe the counters, and do as much overall dusting and cleaning as possible before seven o’clock when Mr. Clinton came down and it was time for Harry to leave for school. More than half a century later, he could remember it all in detail:"|Truman|"David McCullough"
"ap 07:00"|"seven o’clock"|"Clinton’s drugstore stood at the northeast corner of the Square. Proprietor Clinton lived upstairs. Harry’s job was to come in each weekday morning at 6:30 to open up the place, sweep the sidewalk, mop the floor, wipe the counters, and do as much overall dusting and cleaning as possible before seven o’clock when Mr. Clinton came down and it was time for Harry to leave for school. More than half a century later, he could remember it all in detail:"|Truman|"David McCullough"
16:00|"four in the afternoon"|"Two large glass vases in the front windows had to be cleaned and dusted, as well as a surrounding display of patent medicines. The windows were to be washed once a week, the prescription cases dusted “very, very carefully.” Saturdays and Sundays the boy worked from four in the afternoon until ten at night by the courthouse clock, when Mr. Clinton would lock up and Harry would head off in the dark, the lights in other shop windows along the Square going out one by one. Hurrying, he could make it home in twelve minutes."|Truman|"David McCullough"
22:00|"ten at night"|"Two large glass vases in the front windows had to be cleaned and dusted, as well as a surrounding display of patent medicines. The windows were to be washed once a week, the prescription cases dusted “very, very carefully.” Saturdays and Sundays the boy worked from four in the afternoon until ten at night by the courthouse clock, when Mr. Clinton would lock up and Harry would head off in the dark, the lights in other shop windows along the Square going out one by one. Hurrying, he could make it home in twelve minutes."|Truman|"David McCullough"
"ap 05:00"|"five o’clock"|"Measured by the time and effort expended, the most important activity in his life was the piano. Having progressed beyond the abilities of Miss Burrus, who taught by a numbers system, he began going twice weekly to Kansas City for lessons with Mrs. E. C. White, a gifted teacher who had studied under Fannie Bloomfield Zeisler, one of the leading American pianists of the era, and with Theodore Leschetizky, who had been a teacher of Paderewski. Harry grew extremely fond of Grace White. (He was fond of most older people, as his cousin Ethel observed. “He was brought up to be fond of them.”) She opened a new world for him and his response was to work with exceptional determination, practicing two hours a day without fail, beginning at five o’clock every morning. As a grown man he would often speak lightly of “tickling the ivories,” as if it were only something he had happened to pick up along the way. But the slender, straight-backed youth with the round eyeglasses who sat at the keyboard in the half-light of dawn every morning was in dead earnest. He thought he had the makings of a concert pianist. And apparently so did Mrs. White."|Truman|"David McCullough"
12:00|noon|"Where Harry and his father found common ground was in the sociability and excitement of politics. Among the happiest of all Harry’s boyhood memories would be the big Democratic picnics every August at Lone Jack. John Truman would have everyone up early. He and the boys would hitch two of the best mules to a spring wagon, and with everything ready, the whole family would set out for the five-mile drive, the wagon filled with fried chicken, cakes, and pies. By noon at Lone Jack there would be thousands of people spreading food on tablecloths on the grass, and visiting back and forth. Then, about two, the speaking would begin. Harry liked particularly a candidate known as Colonel Crisp, “a colonel by agreement,” who ran for Congress time after time but never won and was famous for his annual picnic oration on the Battle of Lone Jack during the Civil War. Challenged once on his accuracy by a veteran who had been in the battle, Crisp responded, “Goddamn an eyewitness anyway. He always spoils a good story.” Another speaker, Congressman William S. Cowherd from Lee’s Summit, told a story that Harry would take pleasure in retelling the rest of his life. Speaking of certain provisions in a pending tariff bill that he found unpalatable, the congressman was reminded of a farmer on a visit to New York, having his first experience in a fancy hotel dining room. First he was served celery, which he ate, then a bowl of consommé, which he drank. But when the waiter placed a lobster before him, the farmer looked up indignantly and said, “I ate your bouquet. I drank your dishwater. But I’ll be darned if I’ll eat your bug.”"|Truman|"David McCullough"
"ap ~ 02:00"|"about two"|"Where Harry and his father found common ground was in the sociability and excitement of politics. Among the happiest of all Harry’s boyhood memories would be the big Democratic picnics every August at Lone Jack. John Truman would have everyone up early. He and the boys would hitch two of the best mules to a spring wagon, and with everything ready, the whole family would set out for the five-mile drive, the wagon filled with fried chicken, cakes, and pies. By noon at Lone Jack there would be thousands of people spreading food on tablecloths on the grass, and visiting back and forth. Then, about two, the speaking would begin. Harry liked particularly a candidate known as Colonel Crisp, “a colonel by agreement,” who ran for Congress time after time but never won and was famous for his annual picnic oration on the Battle of Lone Jack during the Civil War. Challenged once on his accuracy by a veteran who had been in the battle, Crisp responded, “Goddamn an eyewitness anyway. He always spoils a good story.” Another speaker, Congressman William S. Cowherd from Lee’s Summit, told a story that Harry would take pleasure in retelling the rest of his life. Speaking of certain provisions in a pending tariff bill that he found unpalatable, the congressman was reminded of a farmer on a visit to New York, having his first experience in a fancy hotel dining room. First he was served celery, which he ate, then a bowl of consommé, which he drank. But when the waiter placed a lobster before him, the farmer looked up indignantly and said, “I ate your bouquet. I drank your dishwater. But I’ll be darned if I’ll eat your bug.”"|Truman|"David McCullough"
"ap 00:35"|"25 to 1"|"Harry had tried a little gambling himself the summer after graduation, while traveling east by train to visit his favorite Aunt Ada, Matt’s younger sister, in southern Illinois. It was his first time away from home alone, and on the return trip, stopping in St. Louis to see still more of Matt’s people, a great-aunt named Hettie Powell and her family, he was taken to a horse race and urged by a cousin and three other young men to put in one of the five dollars they bet on a long shot called Claude. As Harry learned afterward, Claude was a well-known “mud horse”—the worse the track, the better he ran. Just as the race was to start, rain came in torrents. Not only did Claude finish first, he paid 25 to 1. Harry had never felt so rich in his life, but he was not to bet on a horse again for another forty years."|Truman|"David McCullough"
05:00|"five in the morning"|"The day began for Harry with his father’s call from the bottom of the stairs at five in the morning when it was still dark and cold outside. (That spring of 1906, Harry’s first on the farm, happened to be one of abnormal cold in Jackson County, of mud and heavy rains.) And it was his father who kept at him through the day, showing him what to do, working as hard as two men, and warning Harry time after time not to hurt himself, not to try to lift anything too heavy. A building up of both the farm and the owlish-looking bank clerk was apparently much on John Truman’s mind."|Truman|"David McCullough"
"> 05:00"|"past 5:00 A.M."|"With its nearly 600 acres, the farm was among the largest in the county, more than four times the size of the average Missouri farm, and required the full-time efforts of John, Harry, Vivian, and several hired men. For John Truman, Harry observed, everything about the life seemed second nature. The small, weatherbeaten man could not understand why anybody would wish to sleep past 5:00 A.M. Nothing about the work daunted him. Harry disliked milking cows, particularly when they flipped their manure-soaked tails in his face. Raking hay was a “cussin’ job.” He hated the whole business of putting rings in hogs’ noses and thought husking corn, with the dirt and dust flying about, was work devised by Satan. Yet John Truman was happier than his children had seen him in years. He would never have left the farm in the first place, he told them, had it not been for their education. Mary Jane would remember knowing where he was almost any time of day because she could hear him singing at his work."|Truman|"David McCullough"
12:00|midday|"At threshing time, when neighboring farmers came to help the Trumans, as part of the season’s usual exchange of labor, Harry would work through the morning, but then, just before the big midday meal, while the other men were relaxing, he would clean up quickly and go to the kitchen to help his mother and sister. Stephen Slaughter, youngest of the Slaughter children, would remark that he never saw Harry wearing bib overalls like every other farmer, which seemed to distinguish him. “He always looked neat—not dressed up, but he looked neat. No, no, no, he never wore bib overalls.” Stephen’s first glimpse of Harry was on the morning of a threshing day at the Slaughter farm when Stephen was a small boy. Harry had come swinging into the yard driving one of the wagons, only Harry drove standing up and wore a Panama hat."|Truman|"David McCullough"
12:00|midday|"They exchanged photographs and Harry had a standing invitation to Sunday dinner at the Gates house. Week after week, with no success, he tried to get her to come to Grandview. In August, he announced he was building a grass tennis court for her on a level place near the house. She could bring her friends, make a day of it. At Montgomery Ward in Kansas City he bought a heavy roller. Since neither he nor anyone else on the farm, or anyone in Grandview, played tennis or knew the requirements for a court, he had her send directions. He hoped to have everything ready by Labor Day. Mamma would cook a chicken dinner, he promised. “Not town dinner but midday meal, see? So be sure and come…. Now be sure and come out on Labor Day.”"|Truman|"David McCullough"
