"ap 00:00"|twelve|"At twelve standards Judith was married to a man over four times her age. Ephraim Templeton had captained the Masadan privateer that had taken the Grayson vessel, and he claimed the girl child as part of his prize. If this was somewhat irregular, there was no one left alive to protest when Judith was not repatriated to her own people."|"The Service of the Sword"|"David Weber"
12:00|noon|"""I suppose so,"" Faldo agreed. ""However, it means I want to move up the time for our meeting tomorrow. We're to join the Chief Elder at precisely noon, and I want time to prepare for such an important event. The Chief Elder has honored us by putting at our disposal a meeting room at the Hall of the Just."""|"The Service of the Sword"|"David Weber"
"ap 07:00"|seven|"""And how much longer before this elusive bar is reached?"" Dominick pressed, starting to sound angry. ""First you said it would take five trials against merchies. Next it was seven. Now we've done eight, and you're still not satisfied."""|"The Service of the Sword"|"David Weber"
"ap 07:15"|"Seven hours and fifteen minutes"|"Seven hours and fifteen minutes later, they were back aboard theLorelei ."|"The Service of the Sword"|"David Weber"
"ap 04:05"|four-two-three|"""One-three-eight by four-two-three,"" Koln said. ""About three light-minutes away."""|"The Service of the Sword"|"David Weber"
"ap 02:13"|"two hours thirteen minutes"|"""For a zero-zero intercept, two hours thirteen minutes,"" DuMorne said. ""We'll be in missile range twelve minutes before that."""|"The Service of the Sword"|"David Weber"
"< 00:00"|"nearly 2400 hours"|"""Sick Berth Attendant Third Class Sean Tyler reporting for duty!"" Sean said, snapping to attention and throwing a parade ground salute. He was mildly surprised to find the warrant still on duty; it was nearly 2400 hours, ship time."|"The Service of the Sword"|"David Weber"
"~ 03:00"|"about three A.M."|"""I see you're bloody up,"" Gonzalvez said, staggering in the door. ""I think your girlfriend slipped us a mickey. According to my sensor logs she slipped out the window about three A.M. local time. Of course, I was sleeping the sleep of the dead."""|"The Service of the Sword"|"David Weber"
"ap 00:54"|"Six of one"|"""Six of one, half a dozen of the other, at the moment, Ma'am,"" he replied after a moment. ""We know they must have picked upsomething , or they wouldn't have come back. But there's no way to knowwhat they picked up. For that matter, they could've come back around and missed us the second time, in which case they may decide that this is a clear area. In that case, it would be the safest spot we could find. And there's always the fact that people moving around are easier to spot than people bellied down in a good hide. I'd stay here, unless—"""|"The Service of the Sword"|"David Weber"
12:00|midday|"The pulse rifle's built-in telescopic, light-gathering sight made the valley midday bright, and she quickly found the trio of pirates who were engaging the sergeant. She took a moment to be certain of their exact locations, then swept the lower valley behind them from her higher vantage point, and her blood ran cold. There were at least thirty more of them, pressing up behind their point men, with still more behind them."|"The Service of the Sword"|"David Weber"
