"ap 08:45"|8.45|"‘What! the 8.45?’ said Wimsey, incredulously. From what he had seen of Waters the previous night he had hardly expected such energy."|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 08:00"|"8 o’clock"|"‘Ay,’ said the landlady, placidly. ‘He had his breakfast at 8 o’clock and was away with Miss Selby and Miss Cochran.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 10:10"|"ten minutes past ten"|"‘Well,’ said Dalziel, when Wimsey’s proffered hospitality had been accepted, with suitable signs of appreciation. ‘I’ve been makin’ inquiries along the line in accordance wi’ the theory, but I’m no sae verra weel satisfied t’ane way or t’ither. But first of a’, I’d have ye ken I’ve interviewed the folk at Borgan, and they tell me young Jock saw Campbell pentin’ there at ten minutes past ten when he gaed oot tae tak’ a message to a wumman at Clauchaneasy, and he was still sittin’ there when Jock returned at five minutes past eleven. Sae ye see, he couldna ha’ left the place till a few minutes past eleven at the airliest.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 11:05"|"five minutes past eleven"|"‘Well,’ said Dalziel, when Wimsey’s proffered hospitality had been accepted, with suitable signs of appreciation. ‘I’ve been makin’ inquiries along the line in accordance wi’ the theory, but I’m no sae verra weel satisfied t’ane way or t’ither. But first of a’, I’d have ye ken I’ve interviewed the folk at Borgan, and they tell me young Jock saw Campbell pentin’ there at ten minutes past ten when he gaed oot tae tak’ a message to a wumman at Clauchaneasy, and he was still sittin’ there when Jock returned at five minutes past eleven. Sae ye see, he couldna ha’ left the place till a few minutes past eleven at the airliest.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap > 11:00"|"a few minutes past eleven"|"‘Well,’ said Dalziel, when Wimsey’s proffered hospitality had been accepted, with suitable signs of appreciation. ‘I’ve been makin’ inquiries along the line in accordance wi’ the theory, but I’m no sae verra weel satisfied t’ane way or t’ither. But first of a’, I’d have ye ken I’ve interviewed the folk at Borgan, and they tell me young Jock saw Campbell pentin’ there at ten minutes past ten when he gaed oot tae tak’ a message to a wumman at Clauchaneasy, and he was still sittin’ there when Jock returned at five minutes past eleven. Sae ye see, he couldna ha’ left the place till a few minutes past eleven at the airliest.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap > 11:00"|"past eleven"|"‘Ay, so it may, but it’s the time o’ day I wad dra’ your attention to. Ye’ll admit that, murderer or no murderer, he couldna ha’ left yon place till past eleven?’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 02:50"|2.50|"‘He couldn’t catch the first train – not on a bicycle, at any rate. Barrhill is his nearest point, and, if you give him only five minutes to pack his traps and get started, that leaves a bare eight minutes for ten miles or so. It’s just conceivable that he might do it by car if he blinded like hell and the train happened to be late, but how could he have got the spare car along? Of course he could have hung about somewhere in the hills and taken the 2.50, or he could have ridden farther and picked the same train up at another station, but that would give him a very poor alibi.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 07:00"|"7 o’clock"|"‘I was aboot to tell ye,’ said the Sergeant, ‘the gentleman inquired maist anxiously aboot the connection and seemed sair disappointit to learn that there was no boat before 7 o’clock.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 07:00"|7|"‘Well, that’s perfectly possible,’ said Wimsey. ‘You see there are three lines at the bottom of the page showing the steamer connections from Stranraer Pier to Larne and Belfast, and just above them, three lines showing the train-connection between Stranraer, Colfin and Port Patrick. It’s easy to mistake the one for the other. But look here, Dalziel, if there was no boat for him before 7, you must have been in time to catch him.’"|"Five Red Herrings"|"Dorothy L. Sayers"
16:33|"4.33
 p.m."|"a.m.p.m.p.m.
Stranraer dep.11.3512.30 (from Stranraer Pier)4.5
Castle Kennedy11.42…4.12
Dunragit11.5212.424.20
New Luce12.7…4.33
 p.m.  
Glenwhilly12.19…4.45
Barrhill12.35…5.0
Pinwherry12.43…5.8
Pinmore12.56…5.18
Girvan arr.1.61.375.28
dep1.111.425.36

‘There are opportunities there, too,’ said Wimsey. ‘How about the 12.35? He could catch that easily and go on to Glasgow, and from there he could get anywhere.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 01:11"|1.11|"‘Ay. But there’s anither thing. I didna rest satisfied wi’ that. I pursued my inquiries at the ither stations along the line an’ I found there was a gentleman wi’ a bicycle tuk the 1.11 train at Girvan.’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 11:10"|11.10|"‘It could be done, Dalziel, it could be done! Barrhill is nine miles from the scene of the crime and Girvan is, say, twelve miles further on – call it twenty-one miles altogether. If he started at 11.10 that would give him two hours, which means just over ten miles an hour – easy enough for a good cyclist. Was the train punctual, by the way?’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 11:00"|"11 o’clock"|"‘Yes; we mustn’t pin all our faith to the cyclist at Girvan, or even to the mysterious passenger at Pinwherry; they may both be perfectly genuine travellers. Strachan might quite well have been painting up the Minnoch at 11 o’clock and ridden back to Gatehouse by lunch-time. It’s only twenty-seven miles. It would be dangerous, because he might be recognised, but people who commit murders must take a few risks. Besides, he might have hidden his car somewhere on the road the day before, and picked it up on his way back, bringing the bicycle with him. Did I mention to you, by the way, that there’s a bicycle disappeared from the Anwoth Hotel at Gatehouse?’"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 09:00"|9.00|"After the Sergeant and his companion had gone, Wimsey remained smoking thoughtfully for some time. He was worried about Waters. He had left him the night before in a dangerous mood. The last train from Glasgow got in to Kirkcudbright at 9.00. If Waters had really gone to see the Exhibition, it was not reasonable to expect him back that night. He would only have got into Glasgow at 2.16, and would have had to leave again at 5.30. Nobody would go all that way in order to spend a bare three hours in the town. Except, possibly, to establish an alibi. Could one establish an alibi that way?"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 02:16"|2.16|"After the Sergeant and his companion had gone, Wimsey remained smoking thoughtfully for some time. He was worried about Waters. He had left him the night before in a dangerous mood. The last train from Glasgow got in to Kirkcudbright at 9.00. If Waters had really gone to see the Exhibition, it was not reasonable to expect him back that night. He would only have got into Glasgow at 2.16, and would have had to leave again at 5.30. Nobody would go all that way in order to spend a bare three hours in the town. Except, possibly, to establish an alibi. Could one establish an alibi that way?"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 05:30"|5.30|"After the Sergeant and his companion had gone, Wimsey remained smoking thoughtfully for some time. He was worried about Waters. He had left him the night before in a dangerous mood. The last train from Glasgow got in to Kirkcudbright at 9.00. If Waters had really gone to see the Exhibition, it was not reasonable to expect him back that night. He would only have got into Glasgow at 2.16, and would have had to leave again at 5.30. Nobody would go all that way in order to spend a bare three hours in the town. Except, possibly, to establish an alibi. Could one establish an alibi that way?"|"Five Red Herrings"|"Dorothy L. Sayers"
"ap 08:45"|8.45|"Wimsey turned to the time-table again. Kirkcudbright depart 8.45. That was capable of proof by witnesses. Tarif 8.53. Brig-of-Dee, 9.2 – nothing to be done from there, except by car. Castle-Douglas 9.7. That was different. Castle-Douglas was a junction. From there one might turn back in the direction of Newton-Stewart. Yes. There was a train. This was ridiculous, of course, because Waters had travelled with the two women, but there was no harm in working it out. Castle-Douglas 9.14, Newton-Stewart 10.22. Wimsey breathed a sigh of relief. If the murderer had been seen painting at 10 o’clock, that let out Waters. He could not have got even so far as Newton-Stewart by that time."|"Five Red Herrings"|"Dorothy L. Sayers"
