"ap ~ 06:00"|"About six"|"About six dances later, the smile reappeared beside her, and Antoine, guiding her steps through a waltz, informed her that if, at 11.30, when the dancing was over, she would be good enough to seek out a small restaurant a few streets away, he, with Doris and Charis, would be there to meet her. It was only a small restaurant, but very good, and the proprietor knew them very well; moreover, Antoine himself lodged in the little hotel, attached to the restaurant and would give himself the pleasure of offering mademoiselle a glass of wine. They would be private there, and could speak quite freely. Harriet assented, with the proviso that she should pay for the supper, and accordingly, shortly before midnight, found herself seated on a red-plush settee beneath a row of gilded mirrors, over a pleasant little supper of the Continental sort."|"Have His Carcase"|"Dorothy L. Sayers"
"ap 11:30"|11.30|"About six dances later, the smile reappeared beside her, and Antoine, guiding her steps through a waltz, informed her that if, at 11.30, when the dancing was over, she would be good enough to seek out a small restaurant a few streets away, he, with Doris and Charis, would be there to meet her. It was only a small restaurant, but very good, and the proprietor knew them very well; moreover, Antoine himself lodged in the little hotel, attached to the restaurant and would give himself the pleasure of offering mademoiselle a glass of wine. They would be private there, and could speak quite freely. Harriet assented, with the proviso that she should pay for the supper, and accordingly, shortly before midnight, found herself seated on a red-plush settee beneath a row of gilded mirrors, over a pleasant little supper of the Continental sort."|"Have His Carcase"|"Dorothy L. Sayers"
"< 00:00"|"shortly before midnight"|"About six dances later, the smile reappeared beside her, and Antoine, guiding her steps through a waltz, informed her that if, at 11.30, when the dancing was over, she would be good enough to seek out a small restaurant a few streets away, he, with Doris and Charis, would be there to meet her. It was only a small restaurant, but very good, and the proprietor knew them very well; moreover, Antoine himself lodged in the little hotel, attached to the restaurant and would give himself the pleasure of offering mademoiselle a glass of wine. They would be private there, and could speak quite freely. Harriet assented, with the proviso that she should pay for the supper, and accordingly, shortly before midnight, found herself seated on a red-plush settee beneath a row of gilded mirrors, over a pleasant little supper of the Continental sort."|"Have His Carcase"|"Dorothy L. Sayers"
"ap 11:00"|"eleven o’clock"|"WIMSEY, SLEEK WITH BREAKFAST, sunshine and sentiment, strolled peacefully upon the close-clipped lawn of the George at Stamford, pausing now and again to inhale the scent of a crimson rose, or to marvel at the age and extent of the wisteria, trailing its lacy tendrils along the grey stone wall. He had covenanted with himself to interview Colonel Belfridge at eleven o’clock. By that time, both of them would have digested their breakfasts and be ready for a small, companionable spot of something. He had a pleasurable interior certainty that he was on the track of a nice, difficult, meaty problem, investigated under agreeable conditions. He lit up a well-seasoned pipe. Life felt good to him."|"Have His Carcase"|"Dorothy L. Sayers"
"ap 11:10"|"ten minutes past eleven"|"At ten minutes past eleven, life felt slightly less good. Colonel Belfridge, who looked as though he had been designed by H. M. Bateman in a moment of more than ordinary inspiration, was extremely indignant. It seemed to him that it was an ungentlemanly action to go and interrogate a man’s barber, hr’rm, about a man’s personal belongings, and he resented the insinuation that a man could possibly be mixed up, hr’rm, in the decease of a damned dago, hr’rm, in an adjectival four-by-three watering-places like Wilvercombe. Wimsey ought to be ashamed, hr’rm, woof! of interfering in what was properly the business of the police, dammit, sir! If the police didn’t know their own damned business, what did we pay rates and taxes for, tell me that, sir!"|"Have His Carcase"|"Dorothy L. Sayers"
"~ 15:00"|"about three o’clock in the afternoon"|"HARRIET VANE AND LORD PETER Wimsey sat side by side on the beach, looking out towards the Devil’s Flat-Iron. The fresh salt wind blew strongly in from the sea, ruffling Harriet’s dark hair. The weather was fine, but the sunshine came only in brilliant bursts, as the driven clouds rolled tumultuously across the bellowing vault of the sky. Over the Grinders, the sea broke in furious patches of white. It was about three o’clock in the afternoon, and the tide was at its lowest, but even so, the Flat-Iron was hardly uncovered, and the Atlantic waves, roaring in, made a heavy breach against its foot. A basket of food lay between the pair, not yet unpacked. Wimsey was drawing plans in the damp sand."|"Have His Carcase"|"Dorothy L. Sayers"
"ap 10:15"|10.15|"‘The thing we want to get,’ he said, ‘is the time of the death. The police are quite clear about how Alexis came here, and there doesn’t seem to be any doubt in the matter, which is a blessing. There’s a train from Wilvercombe that stops at Darley Halt on Thursdays at 10.15, to take people in to Heathbury market. Alexis travelled by that train and got out at the Halt. I think it must have been Alexis all right. He was pretty conspicuous with his black beard and his natty gent’s outfitting. I think we can take that bit as proved. The guard on the train remembered him, and so did three or four of his fellow-travellers. What’s more, his landlady says he left his rooms in time to catch the train, and the booking-clerk remembers him at Wilvercombe. And, dear Harriet, there is a first return-ticket from Wilvercombe to that Halt that was never given up and never accounted for.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 11:45"|11.45|"‘I thought my friend Chief Inspector Parker was the most cautious beggar on the face of the earth, but you beat him. You can knock out habit. I refuse to believe that our dainty Alexis made a habit of travelling to the Halt in order to walk four and a half miles to weep by the sad sea waves. However, we’ll just note the return half of the ticket as something that needs explainin’. Very good. Well, now, there was nobody else got off at the Halt, though quite a bunch of people got in, so we don’t know what happened to Alexis; but if we allow that he could walk at the moderate rate of three miles an hour, he can’t have got to the Flat-Iron later than, say, 11.45.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 01:15"|1.15|"‘At 1.15. I’ve been into all that. At 11.45 there would be about five feet of water at the foot of the Flat-Iron, but the rock is ten feet high, and rises gradually from the landward side. At 11.45, or very shortly after, our friend could have walked out dry-shod to the rock and sat upon it.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 11:45"|11.45|"‘At 1.15. I’ve been into all that. At 11.45 there would be about five feet of water at the foot of the Flat-Iron, but the rock is ten feet high, and rises gradually from the landward side. At 11.45, or very shortly after, our friend could have walked out dry-shod to the rock and sat upon it.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 02:00"|"Two o’clock"|"‘Two o’clock. I looked at my watch. And I shouldn’t think it took me more than ten minutes to reach the rock. But—I say!’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 02:00"|"two o’clock"|"‘How about your murder-theory? That’s done it in absolutely. If Alexis was murdered at two o’clock, and I was there ten minutes after—what became of the murderer?’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 10:15"|10.15|"‘He hired a car in the village and got himself driven to Wilvercombe railway station. He is thought to have taken a train to somewhere, but the place was full of hikers and trampers and trippers that day, and so far they haven’t traced him further. They’ll have to try again. This thing is getting to look almost too neat. Let’s see how it goes. First of all, Alexis arrives by the 10.15 at the Halt and proceeds on foot or otherwise, to the Flat-Iron. Why, by the way?’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 02:00"|"two o’clock"|"‘True, O Queen. Live for ever. He went to keep an appointment with Perkins at two o’clock.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 02:00"|"two o’clock"|"‘True, O Queen. Live for ever. He went to keep an appointment with Perkins at two o’clock.’
‘Earlier, surely; or why arrive by the 10.15?’
‘That’s easy. The 10.15 is the only train that stops there during the morning.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 10:15"|10.15|"‘True, O Queen. Live for ever. He went to keep an appointment with Perkins at two o’clock.’
‘Earlier, surely; or why arrive by the 10.15?’
‘That’s easy. The 10.15 is the only train that stops there during the morning.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 10:15"|10.15|"‘That’s easy. The 10.15 is the only train that stops there during the morning.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 02:00"|"two o’clock"|"‘True; but apparently he didn’t do it. He commits the murder, anyhow, and the time of that is fixed at two o’clock. So he must have reached the Flat-Iron between 1.30 and 2—or possibly between one o’clock and two o’clock—because, if you were lunching and reading in your cosy corner, you probably wouldn’t have seen or heard him come. It couldn’t be earlier than 1 p.m., because you looked along the shore then and were positive that there wasn’t a living soul visible from the cliffs.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 01:30"|1.30|"‘True; but apparently he didn’t do it. He commits the murder, anyhow, and the time of that is fixed at two o’clock. So he must have reached the Flat-Iron between 1.30 and 2—or possibly between one o’clock and two o’clock—because, if you were lunching and reading in your cosy corner, you probably wouldn’t have seen or heard him come. It couldn’t be earlier than 1 p.m., because you looked along the shore then and were positive that there wasn’t a living soul visible from the cliffs.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 01:00"|"one o’clock"|"‘True; but apparently he didn’t do it. He commits the murder, anyhow, and the time of that is fixed at two o’clock. So he must have reached the Flat-Iron between 1.30 and 2—or possibly between one o’clock and two o’clock—because, if you were lunching and reading in your cosy corner, you probably wouldn’t have seen or heard him come. It couldn’t be earlier than 1 p.m., because you looked along the shore then and were positive that there wasn’t a living soul visible from the cliffs.’"|"Have His Carcase"|"Dorothy L. Sayers"
13:00|"1 p.m."|"‘True; but apparently he didn’t do it. He commits the murder, anyhow, and the time of that is fixed at two o’clock. So he must have reached the Flat-Iron between 1.30 and 2—or possibly between one o’clock and two o’clock—because, if you were lunching and reading in your cosy corner, you probably wouldn’t have seen or heard him come. It couldn’t be earlier than 1 p.m., because you looked along the shore then and were positive that there wasn’t a living soul visible from the cliffs.’"|"Have His Carcase"|"Dorothy L. Sayers"
"ap 04:00"|"Four o’clock"|"‘That would be a good way of disguising any one-sidedness in his appearance. You’re always apt to hunch up a bit on the lame side. Bright-Perkins is our man. We ought to get the police on to this right away, only I do so want my lunch. What time is it? Four o’clock. I’ll slip along in the car and telephone to Glaisher, and then come back. Why should we give up our picnic for any number of murderers?’"|"Have His Carcase"|"Dorothy L. Sayers"
