12:00|"high noon"|"like trying to look at the sun at high noon on Midsummer Day. For the whole of the sandpit was full,"|"Five Children and It "|"E. Nesbit"
12:00|midday|"sides and edges of these countless coins the midday sun shone and sparkled, and glowed and gleamed till"|"Five Children and It "|"E. Nesbit"
"ap 05:00"|"five o’clock"|"Have you ever been up at five o’clock on a fine summer morning? It is very beautiful. The sunlight is"|"Five Children and It "|"E. Nesbit"
"ap 05:00"|five|"Anthea awoke at five. She had made herself wake, and I must tell you how it is done, even if it keeps"|"Five Children and It "|"E. Nesbit"
"ap 05:00"|five|"your sides. Then you say ‘I must wake up at five’ (or six, or seven, or eight, or nine, or whatever the time"|"Five Children and It "|"E. Nesbit"
"ap 04:57"|"three minutes to five"|"dining-room strike eleven. So she knew it was three minutes to five. The black-and-gold clock always"|"Five Children and It "|"E. Nesbit"
"ap 05:00"|five|"‘I will always get up at five,’ she said to herself. ‘It was quite too awfully pretty for anything.’"|"Five Children and It "|"E. Nesbit"
"ap < 04:00"|"nearly four o’clock"|"to do anything but scream; and at last when it was nearly four o’clock, and their wings were getting"|"Five Children and It "|"E. Nesbit"
"ap 10:00"|"ten o’clock"|"Now, Eliza, come, get on with them beds. Here’s ten o’clock nearly, and no rabbits caught!’"|"Five Children and It "|"E. Nesbit"
"ap 05:00"|Five|"of things they wished for, and how their wishes turned out you can read it all in a book called Five"|"Five Children and It "|"E. Nesbit"
18:00|18|"Sunday at 18, Camden Terrace, Camden Town, was always a very pretty day. Father always brought"|"Five Children and It "|"E. Nesbit"
"> 18:00"|"after six at night"|"parting, that they would not be out after six at night, except on Saturday, when they were to go to the"|"Five Children and It "|"E. Nesbit"
"ap 00:55"|"five to one"|"It was five to one, counting the Phoenix; but the policeman, who was one, was of unusually fine size, and"|"Five Children and It "|"E. Nesbit"
"ap 01:00"|one|"‘All night?’ said Cyril. ‘Why-it’s tomorrow morning if it’s one. We can have another wish!’"|"Five Children and It "|"E. Nesbit"
"ap 10:00"|"ten o’clock"|"burglar, all the children slept till it was ten o’clock; and then it was only Cyril who woke; but he attended"|"Five Children and It "|"E. Nesbit"
"ap 10:30"|"half past ten"|"to the others, so that by half past ten every one was ready to help to get breakfast. It was shivery cold,"|"Five Children and It "|"E. Nesbit"
"ap 02:00"|two|"window-you know. There was a crowd, and of course we went to have a squint. And it was two"|"Five Children and It "|"E. Nesbit"
"> 00:00"|"past midnight"|"
It was now past midnight-though it was tea-time on the island.
"|"Five Children and It "|"E. Nesbit"
"ap 06:30"|6.30|"‘Box for kiddies at Garrick. Stalls for us, Haymarket. Meet Charing Cross, 6.30.’"|"Five Children and It "|"E. Nesbit"
"ap 04:00"|"four o’clock"|"kept looking anxiously. By four o’clock Jane was almost sure that several hairs were beginning to grow."|"Five Children and It "|"E. Nesbit"
12:00|noon-day|"them was massed by the vast door of the palace itself, where it stood glittering like an impossibly radiant
peacock in the noon-day sun.
"|"Five Children and It "|"E. Nesbit"
"ap 00:50"|"ten to one"|"‘Not he,’ said Robert sleepily. ‘The learned Ji-jimmy will think it’s a dream, and it’s ten to one he never"|"Five Children and It "|"E. Nesbit"
12:00|mid-day|"‘Let us strike for more bread and onions and beer, and a longer mid-day rest,’ the speaker went on."|"Five Children and It "|"E. Nesbit"
12:00|mid-day|"voice of the free people who are shouting for bread and onions and beer and a long mid-day rest. If the"|"Five Children and It "|"E. Nesbit"
"ap < 04:00"|"nearly four"|"‘Look here,’ said the child, jumping up, ‘it’s nearly four. The expelledness only lasts till then. Come home"|"Five Children and It "|"E. Nesbit"
"ap 10:00"|"ten o’clock"|"‘Get along with you,’ said old Nurse, but she laughed jollily. ‘Nice help YOU’D be. I know you. And it’s
ten o’clock now.’
"|"Five Children and It "|"E. Nesbit"
