"ap 00:30"|"half-past twelve"|"It was half-past twelve when I returned to the Albany as a last
desperate resort.  The scene of my disaster was much as I had
left it.  The baccarat-counters still strewed the table, with the
empty glasses and the loaded ash-trays.  A window had been opened
to let the smoke out, and was letting in the fog instead.
Raffles himself had merely discarded his dining jacket for one of
his innumerable blazers.  Yet he arched his eyebrows as though I
had dragged him from his bed."|Raffles|"E. W. Hornung"
"ap > 10:00"|"after ten o'clock"|"""The sooner the better.  Every hour after ten o'clock to-morrow
morning is an hour of risk.  Let one of those checks get round to
your own bank, and you and it are dishonored together.  No, we
must raise the wind to-night and re-open your account first thing
to-morrow.  And I rather think I know where the wind can be
raised."""|Raffles|"E. W. Hornung"
"ap > 10:00"|"after ten o'clock"|"""The sooner the better.  Every hour after ten o'clock to-morrow
morning is an hour of risk.  Let one of those checks get round to
your own bank, and you and it are dishonored together.  No, we
must raise the wind to-night and re-open your account first thing
to-morrow.  And I rather think I know where the wind can be
raised.""
""At two o'clock in the morning?""
""Yes."""|Raffles|"E. W. Hornung"
02:00|"two o'clock in the morning"|"""The sooner the better.  Every hour after ten o'clock to-morrow
morning is an hour of risk.  Let one of those checks get round to
your own bank, and you and it are dishonored together.  No, we
must raise the wind to-night and re-open your account first thing
to-morrow.  And I rather think I know where the wind can be
raised.""
""At two o'clock in the morning?""
""Yes."""|Raffles|"E. W. Hornung"
"~ 12:00"|"about mid-day"|"""All right, my boy!  You are quite right and I'm worse than
wrong.  I'll never ask it again. Go, if you want to, and come
again about mid-day for the cash.  There was no bargain; but, of
course, I'll get you out of your scrape—especially after the way
you've stood by me to-night."""|Raffles|"E. W. Hornung"
00:00|midnight|"I began to be sorry myself, for Raffles was anything but an
excitable person, and never had I seen him so excited before.
Had he been following Rosenthall's example?  His coming to my
rooms at midnight, merely to tell me about his dinner, was in
itself enough to excuse a suspicion which was certainly at
variance with my knowledge of A. J. Raffles."|Raffles|"E. W. Hornung"
02:30|vigils|"One day he told me he was getting on well, but slowly; it was a
more ticklish game than he had thought; but when I began to ask
questions he would say no more.  Then and there, in my annoyance,
I took my own decision.  Since he would tell me nothing of the
result of his vigils, I determined to keep one on my own account,
and that very evening found my way to the millionaire's front
gates."|Raffles|"E. W. Hornung"
00:00|midnight|"""You were right.  I have.  Mind you, I don't say this will be the
tougher job all round; we shall probably get in without any
difficulty at all; it's the getting out again that may flummox
us.  That's the worst of an irregular household!"" cried Raffles,
with quite a burst of virtuous indignation.  ""I assure you,
Bunny, I spent the whole of Monday night in the shrubbery of the
garden next door, looking over the wall, and, if you'll believe
me, somebody was about all night long!  I don't mean the Kaffirs.
I don't believe they ever get to bed at all—poor devils!  No, I
mean Rosenthall himself, and that pasty-faced beast Purvis.  They
were up and drinking from midnight, when they came in, to broad
daylight, when I cleared out.  Even then I left them sober enough
to slang each other.  By the way, they very nearly came to blows
in the garden, within a few yards of me, and I heard something
that might come in useful and make Rosenthall shoot crooked at a
critical moment.  You know what an I. D. B. is?"""|Raffles|"E. W. Hornung"
"ap 00:50"|"ten to one"|"""Exactly.  Well, it seems that Rosenthall was one.  He must have
let it out to Purvis in his cups. Anyhow, I heard Purvis taunting
him with it, and threatening him with the breakwater at Capetown;
and I begin to think our friends are friend and foe. But about
to-morrow night: there's nothing subtle in my plan.  It's simply
to get in while these fellows are out on the loose, and to lie
low till they come back, and longer.  If possible, we must doctor
the whiskey.  That would simplify the whole thing, though it's
not a very sporting game to play; still, we must remember
Rosenthall's revolver; we don't want him to sign his name on US.
With all those Kaffirs about, however, it's ten to one on the
whiskey, and a hundred to one against us if we go looking for it."|Raffles|"E. W. Hornung"
"ap 08:00"|eight|"It was between eight and nine o'clock in the evening when we took
up our position in the garden adjoining that of Reuben
Rosenthall; the house itself was shut up, thanks to the
outrageous libertine next door, who, by driving away the
neighbors, had gone far towards delivering himself into our
hands.  Practically secure from surprise on that side, we could
watch our house under cover of a wall just high enough to see
over, while a fair margin of shrubs in either garden afforded us
additional protection.  Thus entrenched, we had stood an hour,
watching a pair of lighted bow-windows with vague shadows
flitting continually across the blinds, and listening to the
drawing of corks, the clink of glasses, and a gradual crescendo
of coarse voices within.  Our luck seemed to have deserted us:
the owner of the purple diamonds was dining at home and dining at
undue length.  I thought it was a dinner-party.  Raffles
differed; in the end he proved right.  Wheels grated in the
drive, a carriage and pair stood at the steps; there was a
stampede from the dining-room, and the loud voices died away, to
burst forth presently from the porch."|Raffles|"E. W. Hornung"
21:00|"nine o'clock in the evening"|"It was between eight and nine o'clock in the evening when we took
up our position in the garden adjoining that of Reuben
Rosenthall; the house itself was shut up, thanks to the
outrageous libertine next door, who, by driving away the
neighbors, had gone far towards delivering himself into our
hands.  Practically secure from surprise on that side, we could
watch our house under cover of a wall just high enough to see
over, while a fair margin of shrubs in either garden afforded us
additional protection.  Thus entrenched, we had stood an hour,
watching a pair of lighted bow-windows with vague shadows
flitting continually across the blinds, and listening to the
drawing of corks, the clink of glasses, and a gradual crescendo
of coarse voices within.  Our luck seemed to have deserted us:
the owner of the purple diamonds was dining at home and dining at
undue length.  I thought it was a dinner-party.  Raffles
differed; in the end he proved right.  Wheels grated in the
drive, a carriage and pair stood at the steps; there was a
stampede from the dining-room, and the loud voices died away, to
burst forth presently from the porch."|Raffles|"E. W. Hornung"
00:00|midnight|"In silence we traversed perhaps a hundred yards. It must have
been midnight.  We did not meet a soul.  At last I whispered:"|Raffles|"E. W. Hornung"
"ap > 06:30"|"after half-past six"|"""Not you,"" he whispered back.  ""You needn't play, but come you
must.  If you wait for me after half-past six I'll tell you why."""|Raffles|"E. W. Hornung"
00:00|midnight|"Let me tell of the thing as I saw and heard it.  My room opened
upon the central gallery, and was not even on the same floor as
that on which Raffles—and I think all the other men—were
quartered.  I had been put, in fact, into the dressing-room of
one of the grand suites, and my too near neighbors were old Lady
Melrose and my host and hostess.  Now, by the Friday evening the
actual festivities were at an end, and, for the first time that
week, I must have been sound asleep since midnight, when all at
once I found myself sitting up breathless.  A heavy thud had come
against my door, and now I heard hard breathing and the dull
stamp of muffled feet."|Raffles|"E. W. Hornung"
"ap 11:21"|11.21|"I have a poignant recollection of the hour it took us to reach
the house.  We walked across St. James's Park (I can see the
lights now, bright on the bridge and blurred in the water), and
we had some minutes to wait for the last train to Willesden.  It
left at 11.21, I remember, and Raffles was put out to find it did
not go on to Kensal Rise. We had to get out at Willesden Junction
and walk on through the streets into fairly open country that
happened to be quite new to me.  I could never find the house
again.  I remember, however, that we were on a dark footpath
between woods and fields when the clocks began striking twelve."|Raffles|"E. W. Hornung"
"ap 00:00"|twelve|"I have a poignant recollection of the hour it took us to reach
the house.  We walked across St. James's Park (I can see the
lights now, bright on the bridge and blurred in the water), and
we had some minutes to wait for the last train to Willesden.  It
left at 11.21, I remember, and Raffles was put out to find it did
not go on to Kensal Rise. We had to get out at Willesden Junction
and walk on through the streets into fairly open country that
happened to be quite new to me.  I could never find the house
again.  I remember, however, that we were on a dark footpath
between woods and fields when the clocks began striking twelve."|Raffles|"E. W. Hornung"
"ap ~ 10:00"|"about ten
o'clock"|"""Shall I tell you how it happened?"" he went passionately on.
""He's made my life a hell these weeks and months past.  You may
know that.  A perfect hell!  Well, to-night I met him in Bond
Street.  Do you remember when I met you fellows?  He wasn't
twenty yards behind you; he was on your tracks, Raffles; he saw
me nod to you, and stopped me and asked me who you were.  He
seemed as keen as knives to know, I couldn't think why, and
didn't care either, for I saw my chance.  I said I'd tell him all
about you if he'd give me a private interview.  He said he
wouldn't.  I said he should, and held him by the coat; by the
time I let him go you were out of sight, and I waited where I was
till he came back in despair.  I had the whip-hand of him then.
I could dictate where the interview should be, and I made him
take me home with him, still swearing to tell him all about you
when we'd had our talk.  Well, when we got here I made him give
me something to eat, putting him off and off; and about ten
o'clock I heard the gate shut.  I waited a bit, and then asked
him if he lived alone."|Raffles|"E. W. Hornung"
01:00|"one o'clock in the
morning"|"""Look here, you fool!  If the three of us were caught here now,
do you know what those consequences would be?  We should swing in
a row at Newgate in six weeks' time!  You talk as though we were
sitting in a club; don't you know it's one o'clock in the
morning, and the lights on, and a dead man down below?  For God's
sake pull yourself together, and do what I tell you, or you're a
dead man yourself."""|Raffles|"E. W. Hornung"
12:00|noon|"""Be in your rooms to-morrow from noon and keep rest of day
clear, Raffles."""|Raffles|"E. W. Hornung"
12:00|noon|"""Be in your rooms to-morrow from noon and keep rest of day
clear, Raffles.""
It had been sent off from Waterloo at 6.42.
So Raffles was back in town; at an earlier stage of our relations
I should have hunted him up then and there, but now I knew
better.  His telegram meant that he had no desire for my society
that night or the following forenoon; that when he wanted me I
should see him soon enough."|Raffles|"E. W. Hornung"
