12:00|noon|"her twenty-four dollars.
At noon the sixty-two-year-old delivery boy began his rounds.
He had sixteen letters to deliver from E. J. Plum, Attorney-at-"|"The Westing Game"|"Ellen Raskin"
16:00|"4 P.M."|"library of the Westing house
tomorrow at 4 P.M. for the reading
of the will."|"The Westing Game"|"Ellen Raskin"
10:00|"10 A.M."|"sharing their clues
come to the cof ee shop tomorrow 10 A.M.
WHOEVER STOLE MY MICKEY MOUSE CLOCK BETTER GIVE"|"The Westing Game"|"Ellen Raskin"
"ap 08:00"|"eight o’clock"|"I am having an informal party this evening from
eight o’clock on. You are all invited. Please
come."|"The Westing Game"|"Ellen Raskin"
"ap 07:30"|seven-thirty|"Turtle, wherever you are—
Be home at seven-thirty SHARP!!!
Your loving mother"|"The Westing Game"|"Ellen Raskin"
"ap 06:30"|six-thirty|"similar cans on a shelf. The color-striped candle would burn
down to the fuse at six-thirty; whoever was working there
would be at the other end of the room. No one would be hurt."|"The Westing Game"|"Ellen Raskin"
"ap ~ 05:00"|"about five o’clock"|"Sandy scratched harder. “Only ones I recall are Otis
Amber and Crow. They left together about five o’clock.”
“Thanks.” Theo hurried into the building to check his"|"The Westing Game"|"Ellen Raskin"
23:59|"one
minute to midnight"|"happy to be alive that he laughed and laughed. Then, at one
minute to midnight, he suddenly died. He died laughing.”
“He died laughing,” Turtle repeated thoughtfully. “That’s"|"The Westing Game"|"Ellen Raskin"
"> 00:00"|"past midnight"|"“No, thank you.” The judge was eating.
It was past midnight when Theo finished his homework in the
dim light of the study lamp. The wind was still howling, and"|"The Westing Game"|"Ellen Raskin"
"ap 02:00"|"two o’clock"|"chair, chewed what remained of her fingernails, and uttered an
“Oh my!” each time WPP went by. At two o’clock Westing
Paper Products sold at fifty-two dollars a share, its highest"|"The Westing Game"|"Ellen Raskin"
"ap 05:00"|"five o’clock"|"all people. But those paper innersoles really worked.
At five o’clock Otis Amber skipped out of the rooming
house, hopped on his bicycle, and returned to Sunset Towers"|"The Westing Game"|"Ellen Raskin"
