12:00|noon|"Maggie talked and Francis listened, made notes, and watched her face, a pure oval, its irregularities hardly discoverable here in the flesh. Photographs always exaggerate any disproportion in the features; but her photographs were almost caricatures, so far were they from doing her justice. It was largely a matter of colouring. Those dark, dark eyes of hers you would have expected to be softly purple-black like a pansy, but instead they were the startling, piercing blue of high-altitude gentians, as vivid as noon in their midnight darkness. And now he came to think of it, that was exactly the colouring of her dark, dark voice, too. And her hair, refined English mouse-brown in pictures, who could have guessed it would be this unbelievable tint between dark gold and orange-russet, even subtly greenish in the shadows, the colour of the budding foliage of an oak tree in spring? She was much thinner than in any photograph he had ever seen of her; but then, she was probably much thinner now than she’d been a few weeks ago, after extensive surgery, and with this obsession eating her alive."|"The House of Green Turf"|"Ellis Peters"
00:00|midnight|"Maggie talked and Francis listened, made notes, and watched her face, a pure oval, its irregularities hardly discoverable here in the flesh. Photographs always exaggerate any disproportion in the features; but her photographs were almost caricatures, so far were they from doing her justice. It was largely a matter of colouring. Those dark, dark eyes of hers you would have expected to be softly purple-black like a pansy, but instead they were the startling, piercing blue of high-altitude gentians, as vivid as noon in their midnight darkness. And now he came to think of it, that was exactly the colouring of her dark, dark voice, too. And her hair, refined English mouse-brown in pictures, who could have guessed it would be this unbelievable tint between dark gold and orange-russet, even subtly greenish in the shadows, the colour of the budding foliage of an oak tree in spring? She was much thinner than in any photograph he had ever seen of her; but then, she was probably much thinner now than she’d been a few weeks ago, after extensive surgery, and with this obsession eating her alive."|"The House of Green Turf"|"Ellis Peters"
"ap 02:00"|"two o’clock"|"‘We were right,’ said Bunty over the telephone to George. ‘Zurich! Laura booked him in on the two o’clock Trident flight from Heathrow tomorrow. Open return. Took him a day and a half to make up his mind.’"|"The House of Green Turf"|"Ellis Peters"
16:10|16.10|"‘Bunty? Something rather intriguing – if you’re still interested in your party? He looked in yesterday afternoon, and asked me to do exactly what you asked me to do! He wants to know if Maggie Tressider books a passage anywhere. He knows I shouldn’t do it but he was in dead earnest. And of course, I didn’t promise, not exactly, but remembering what you said last time... Well, I didn’t say I wouldn’t, either. I thought I’d better consult you, and see what was on. Because, you see, she has! This morning! She rang up and wanted a passage to Zurich next Wednesday and I’ve got one for her on the 16.10 from Heathrow.’"|"The House of Green Turf"|"Ellis Peters"
"ap 10:10"|10.10|"‘Lots... 10.10, 10.50, 14.10... and tourist night flights, of course...’"|"The House of Green Turf"|"Ellis Peters"
"ap 10:50"|10.50|"‘Lots... 10.10, 10.50, 14.10... and tourist night flights, of course...’"|"The House of Green Turf"|"Ellis Peters"
14:10|14.10|"‘Lots... 10.10, 10.50, 14.10... and tourist night flights, of course...’"|"The House of Green Turf"|"Ellis Peters"
14:10|14.10|"It was late afternoon when the telephone rang again. ‘Bunty? Laura here! How did you know? He’s booked on the 14.10, two hours ahead of her!’"|"The House of Green Turf"|"Ellis Peters"
"~ 12:00"|"about noon"|"‘And listen, stay close to the hotel all today. Maybe they’ll insist on that, but do it in any case. But tomorrow come to the restaurant in the village, for lunch, and I’ll meet you there. The one next to the church, The Bear. Make it about noon. By then we may be able to see how the land lies. We’re acquaintances in England, running into each other here by chance. Have you got that clear?’"|"The House of Green Turf"|"Ellis Peters"
00:00|midnight|"Friedl had died in the lake, but with the marks of hands round her throat. That meant murder! Not the obscure, malign influence of a woman who was accursed and carried death around with her against her will, but simple, physical, brutal murder, ordered by a human brain and carried out by two human hands. Not her hands, and not her brain. She was absolved; this at least she knew she had not done, nor caused to be done. Someone else had been prowling the woods at midnight, spying on them. A dead twig had cracked underfoot, and Friedl had shrugged it away as of no significance. And if this was plain, workaday murder, then surely so had Robin’s death been, long ago."|"The House of Green Turf"|"Ellis Peters"
12:10|"ten minutes after noon"|"Maggie pushed open the door of the restaurant Zum Bären just ten minutes after noon. He was there before her, credibly installed alone at one of the smaller tables for two. He saw her come, and his face, after the first blank glance, lit up with what she took for a creditable impersonation of a rather bored tourist spotting a totally unexpected acquaintance, though in fact the bravery of her appearance and the bloom that awakening had cast over her pallor and frailty had dazzled him out of all pretence. Maggie had been right, he was seeing her for the first time; the trouble was that he did not realise it. What he believed he was seeing, blessedly reassuring and agonisingly lovely though he found it, was what she could do by way of putting on a show when her life and future were at stake. Even so, he marvelled and adored her for it; but he would have been very chary indeed of taking it as genuine."|"The House of Green Turf"|"Ellis Peters"
"ap 10:00"|"ten o’clock"|"He parked the Dodge in the square and set about locating whatever monumental masons the town might hold. It was already evening, he had lost more time than he had bargained for in reaching this place. He bought some cigarettes at a solid family shop which was still open, and probably would continue so until ten o’clock provided one of the family happened to be spending the evening at home. The woman who served him was elderly and at leisure, and looked as if she and her forebears had been there since Regenheim’s free-city days. If anyone knew where to put a finger on every tradesman in the town, she would."|"The House of Green Turf"|"Ellis Peters"
