17:00|"five p.m."|"I check the time and it’s only five p.m. It feels like two in the morning. There’s a steady pounding throb at the back of my head, and my hunger has moved from gnawing, through occasional bouts of light-headedness, to making me want to kill someone. Then I hear the low whine of the van’s engine and step out as it parks, pulling my small wheeled case behind me, ready to muscle my way to the front when it opens its back doors."|"After Atlas"|"Emma Newman"
02:00|"two in the morning"|"I check the time and it’s only five p.m. It feels like two in the morning. There’s a steady pounding throb at the back of my head, and my hunger has moved from gnawing, through occasional bouts of light-headedness, to making me want to kill someone. Then I hear the low whine of the van’s engine and step out as it parks, pulling my small wheeled case behind me, ready to muscle my way to the front when it opens its back doors."|"After Atlas"|"Emma Newman"
"< 00:00"|"nearly midnight"|"The car has taken us to a main road and the traffic is thick, all the bumpers mere centimeters from each other as the Met Traffic System manages the individual car AIs set to a compulsory automatic status. It’s nearly midnight, and it’ll be a couple of hours before this is all cleared through and the Met TS will let people drive manually again."|"After Atlas"|"Emma Newman"
22:00|"ten p.m."|"“The woman, Klein, was hysterical. Let me take you through what we know from the start. The victim and two traveling companions—Selina Klein and Theodore Buckingham—checked into the hotel eight days ago. Casales secured a standard room and the Diamond Suite for a two-week stay with the option to extend. He shared the suite with Klein and the room was for Buckingham. Apparently he didn’t know how long he was staying, because no date was set for the return flights. For five of those eight days the victim was in London, and the other two at the hotel. We don’t know what Casales was doing in London yet, for obvious reasons. He returned to the hotel on Sunday afternoon, they all dined together in the restaurant and Casales and Klein retired to their room at ten p.m."|"After Atlas"|"Emma Newman"
"~ 09:30"|"approximately nine thirty a.m."|"“At approximately nine thirty a.m. on Monday morning, one of the cleaners was working in a room down the corridor and heard screaming coming from the suite. He rang down to reception and called for the manager, who came at once. They let themselves into the room after knocking a couple of times and entered the crime scene. The cleaner rushed straight out of the room and vomited in the hallway after seeing the state of the body. The manager crossed the room to the bedroom, as Klein was standing in the doorway, screaming. She managed to push Klein back into the bedroom and shut the door before Klein collapsed.”"|"After Atlas"|"Emma Newman"
10:01|"ten-oh-one a.m."|"“The local police were called, as was an ambulance,” Milsom continues. “Klein was treated for shock, and the local bobbies secured the scene as best they could. They piped it through to the Ministry at ten-oh-one a.m. By ten twenty-three a.m. a memo came through from Number Ten to the Ministry, instructing that other than securing the scene, having it recorded and removing the body parts to a nearby morgue, no further investigation was permitted to take place without express permission. Not even a postmortem.”"|"After Atlas"|"Emma Newman"
10:23|"ten twenty-three a.m."|"“The local police were called, as was an ambulance,” Milsom continues. “Klein was treated for shock, and the local bobbies secured the scene as best they could. They piped it through to the Ministry at ten-oh-one a.m. By ten twenty-three a.m. a memo came through from Number Ten to the Ministry, instructing that other than securing the scene, having it recorded and removing the body parts to a nearby morgue, no further investigation was permitted to take place without express permission. Not even a postmortem.”"|"After Atlas"|"Emma Newman"
"< 02:00"|"just before two in the morning"|"When I take in the sight of wrought-iron gates looming out of the darkness beyond the car’s headlights I’m fully oriented again and grateful that I didn’t dream about Alejandro. I dismiss Tia’s dialog box asking if I need more prolonged stimulation, as if the mild adrenaline burst of waking in a car with my boss on the brink of the highest-profile murder case of my career to date isn’t enough. I’m alert enough for now. Tia informs me that it’s just before two in the morning."|"After Atlas"|"Emma Newman"
08:00|"eight a.m."|"“I’ll be in my office from eight a.m. It’s just over there.” After pointing out a door on the other side of the lobby, she turns to Milsom. “The legal team is in the meeting room, waiting for you. I’ll show you the way.”"|"After Atlas"|"Emma Newman"
"ap 07:00"|seven|"“Breakfast is served between seven and ten a.m. on weekdays, eight until eleven at weekends. All of the food is locally sourced, ethically and sustainably produced and prepared by hand by our chefs.”"|"After Atlas"|"Emma Newman"
10:00|"ten a.m."|"“Breakfast is served between seven and ten a.m. on weekdays, eight until eleven at weekends. All of the food is locally sourced, ethically and sustainably produced and prepared by hand by our chefs.”"|"After Atlas"|"Emma Newman"
22:00|"ten p.m."|"“Okay,” I say to both Tia and myself. “Let’s give you some stuff to do while I check out the room. Pull information on all the guests who checked in either just before or during Alejandro’s stay. I want a separate list of those who checked out between ten p.m. on the night of his murder and when the hotel was locked down by the local police the next morning.”"|"After Atlas"|"Emma Newman"
05:03|"5:03 a.m."|"There are seven names and one leaps out instantly: Theodore Buckingham, one of Alejandro’s traveling companions. He checked out at 5:03 a.m., only seven hours after the last time Alejandro was seen alive by anyone other than Klein. Tia has also flagged pending requests from the local police to intercept the seven people, which were blocked by the MoJ, stating that no action could be taken without the contract being in place."|"After Atlas"|"Emma Newman"
21:30|"nine thirty p.m."|"“Tia, pull the data from the corridor cams on this floor between nine thirty p.m. and nine thirty a.m. on the night of the murder. Isolate any footage that contains people and show me those sections with a time stamp.”"|"After Atlas"|"Emma Newman"
09:30|"nine thirty a.m."|"“Tia, pull the data from the corridor cams on this floor between nine thirty p.m. and nine thirty a.m. on the night of the murder. Isolate any footage that contains people and show me those sections with a time stamp.”"|"After Atlas"|"Emma Newman"
05:03|"5:03 a.m."|"Moments later Tia has the footage ready. There’s a few seconds of Alejandro going to the Diamond Suite with Klein, followed by Theo Buckingham, who goes into the room next door. The footage jumps to 5:03 a.m. the following morning, when Theo Buckingham leaves his room with a small wheeled case. The next person seen in the corridor is one of the kitchen staff leaving a breakfast tray outside of room 9 at 7:00 a.m. “Tia, I want you to send the data from the hotel node to the MoJ AI to check for signs of tampering, especially of the corridor cam footage.”"|"After Atlas"|"Emma Newman"
07:00|"7:00 a.m."|"Moments later Tia has the footage ready. There’s a few seconds of Alejandro going to the Diamond Suite with Klein, followed by Theo Buckingham, who goes into the room next door. The footage jumps to 5:03 a.m. the following morning, when Theo Buckingham leaves his room with a small wheeled case. The next person seen in the corridor is one of the kitchen staff leaving a breakfast tray outside of room 9 at 7:00 a.m. “Tia, I want you to send the data from the hotel node to the MoJ AI to check for signs of tampering, especially of the corridor cam footage.”"|"After Atlas"|"Emma Newman"
