"ap < 02:00"|"almost two"|"[>] the hourly wage of the average U.S. worker: By ""average"" I mean workers assigned to nonsupervisory tasks. See ""Real Average Weekly and Hourly Earnings of Production and Non-Supervisory Workers, 1967–98 (1998 Dollars),"" Economic Policy Institute, 1999; ""Average Hourly and Weekly Earnings by Private Industry Group, 1980–1998,"" Statistical Abstract of the United States (Washington, D.C.: U.S. Census Bureau, 1999), p. 443.

about one-third of American mothers ... today almost two-thirds: See ""Labor Force Participation Rates for Wives, Husbands Present, by Age of Own Youngest Child, 1975–1998,"" Statistical Abstract, p. 417.

Cameron Lynne Macdonald and Carmen Sirianni: See Working in the Service Society (Philadelphia: Temple University Press, 1996), edited by Cameron Lynne Macdonald and Carmen Sirianni, p. 2.

A generation ago, three-quarters of the money ... Today about half of the money: The comparison is between money spent on food for consumption at home and money spent on foodservice. See Charlene Price, ""Fast Food Chains Penetrate New Markets: Industry Overview,"" USDA Food Review, January 1993; ""Personal Consumption Expenditures,"" U.S. Commerce Department.

90 percent of the country's new jobs: Cited in Macdonald and Sirianni, Service Society, p. 1."|"Fast Food Nation"|"Eric Schlosser"
"ap 07:00"|7|"[>] The injury rate of teenage workers: Cited in Protecting Youth at Work, p. 4.

about 200,000 are injured on the job: Ibid., p. 68.

Roughly four or five fast food workers are now murdered ... more restaurant workers were murdered on the job: In 1998, the most recent year for which figures are available, fifty-two police officers and detectives were murdered on the job—and sixty-nine restaurant workers were murdered on the job, mainly during robberies. The vast majority of restaurant robberies occur at fast food restaurants, because they are open late, staffed by teenagers, full of cash, and convenient. The homicide figures are cited in Eric F. Sygnatur and Guy A. Toscano, ""Work-Related Homicides: The Facts,"" Compensation and Working Conditions, Spring 2000.

more attractive to armed robbers than convenience stores: See Laurie Grossman, ""Easy Marks: Fast-Food Industry is Slow to Take Action Against Growing Crime,"" Wall Street Journal, September 22, 1994; Kerry Lydon, ""Prime Crime Targets; Highly Publicized Restaurant Crimes Have Drawn Both Criminal and Customer Attention to Security Lapses,"" Restaurants and Institutions, June 15, 1995; Milford Prewitt, Naomi R. Kooker, Alan J. Liddle, and Robin Lee Allen, ""Taking Aim at Crime: Barbaric to Bizarre, Crime Robs Operators' Peace of Mind, Profits,"" Nation's Restaurant News, May 22, 2000.

at 7–Eleven stores the average robbery: Cited in Scot Lins and Rosemary J. Erickson, ""Stores Learn to Inconvenience Robbers: 7–Eleven Shares Many of Its Robbery Deterrence Strategies,"" Security Management, November 1998."|"Fast Food Nation"|"Eric Schlosser"
"ap 01:57"|0157|"199 In 1982 dozens of children were sickened: Nicols Fox offers the best account of this outbreak. See Fox, Spoiled, pp. 220–29.

""the possibility of a statistical association"": Quoted ibid., p. 227.

In the eight years since the Jack in the Box outbreak: I have taken the annual E. coli 0157:H7 numbers from Mead et al., ""Food-Related Illness and Death""—73,480 illnesses; 2,168 hospitalizations; 61 deaths—and multiplied them by 8. In about 4 percent of reported E. coli 0157:H7 cases: Cited in Mead et al., ""Food-related Illness and Death.""

About 5 percent of the children who develop HUS: Interview with Dr. Patricia Griffin."|"Fast Food Nation"|"Eric Schlosser"
19:40|1940|"Southern California had recently given birth to an entirely new life-style—and a new way of eating. Both revolved around cars. The cities back East had been built in the railway era, with central business districts linked to outlying suburbs by commuter train and trolley. But the tremendous growth of Los Angeles occurred at a time when automobiles were finally affordable. Between 1920 and 1940, the population of southern California nearly tripled, as about 2 million people arrived from across the United States. While cities in the East expanded through immigration and became more diverse, Los Angeles became more homogenous and white. The city was inundated with middle-class arrivals from the Midwest, especially in the years leading up to the Great Depression. Invalids, retirees, and small businessmen were drawn to southern California by real estate ads promising a warm climate and a good life. It was the first large-scale migration conducted mainly by car. Los Angeles soon became unlike any other city the world had ever seen, sprawling and horizontal, a thoroughly suburban metropolis of detached homes—a glimpse of the future, molded by the automobile. About 80 percent of the population had 
been born elsewhere; about half had rolled into town during the previous five years. Restlessness, impermanence, and speed were embedded in the culture that soon emerged there, along with an openness to anything new. Other cities were being transformed by car ownership, but none was so profoundly altered. By 1940, there were about a million cars in Los Angeles, more cars than in forty-one states."|"Fast Food Nation"|"Eric Schlosser"
06:00|"six o'clock in the morning"|"Carl seemed amazed by his own life story as he told it. He'd been married to Margaret for sixty years. He'd lived in the same Anaheim house for almost fifty years. He had twenty granddaughters and twenty grandsons. For a man of eighty, he had an impressive memory, quickly rattling off names, dates, and addresses from half a century ago. He exuded the genial optimism and good humor of his old friend Ronald Reagan. ""My whole philosophy is—never give up,"" Carl told me. ""The word 'can't' should not exist ... Have a great attitude ... Watch the pennies and the dollars will take care of themselves ... Life is beautiful, life is fantastic, and that is how I feel about every day of my life."" Despite CKE's expansion, Carl remained millions of dollars in debt. He'd secured new loans to pay off the old ones. During the worst of his financial troubles, advisers pleaded with him to declare bankruptcy. Carl refused; he'd borrowed more than $8 million 
from family members and friends, and he would not walk away from his obligations. Every weekday he was attending Mass at six o'clock in the morning and getting to the office by seven. ""My goal in the next two years,"" he said, ""is to pay off all my debts."""|"Fast Food Nation"|"Eric Schlosser"
05:15|"5:15 in the morning"|"EVERY SATURDAY ELISA ZAMOT gets up at 5:15 in the morning. It's a struggle, and her head feels groggy as she steps into the shower. Her little sisters, Cookie and Sabrina, are fast asleep in their beds. By 5:30, Elisa's showered, done her hair, and put on her McDonald's uniform. She's sixteen, bright-eyed and olive-skinned, pretty and petite, ready for another day of work. Elisa's mother usually drives her the half-mile or so to the restaurant, but sometimes Elisa walks, leaving home before the sun rises. Her family's modest townhouse sits beside a busy highway on the south side of Colorado Springs, in a largely poor and working-class neighborhood. Throughout the day, sounds of traffic fill the house, the steady whoosh of passing cars. But when Elisa heads for work, the streets are quiet, the sky's still dark, and the lights are out in the small houses and rental apartments along the road."|"Fast Food Nation"|"Eric Schlosser"
"ap 05:30"|5:30|"EVERY SATURDAY ELISA ZAMOT gets up at 5:15 in the morning. It's a struggle, and her head feels groggy as she steps into the shower. Her little sisters, Cookie and Sabrina, are fast asleep in their beds. By 5:30, Elisa's showered, done her hair, and put on her McDonald's uniform. She's sixteen, bright-eyed and olive-skinned, pretty and petite, ready for another day of work. Elisa's mother usually drives her the half-mile or so to the restaurant, but sometimes Elisa walks, leaving home before the sun rises. Her family's modest townhouse sits beside a busy highway on the south side of Colorado Springs, in a largely poor and working-class neighborhood. Throughout the day, sounds of traffic fill the house, the steady whoosh of passing cars. But when Elisa heads for work, the streets are quiet, the sky's still dark, and the lights are out in the small houses and rental apartments along the road."|"Fast Food Nation"|"Eric Schlosser"
"ap 07:00"|"seven o'clock"|"The restaurant opens for business at seven o'clock, and for the next hour or so, Elisa and the manager hold down the fort, handling all the orders. As the place starts to get busy, other employees arrive. Elisa works behind the counter. She takes orders and hands food to customers from breakfast through lunch. When she finally walks home, after seven hours of standing at a cash register, her feet hurt. She's wiped out. She comes through the front door, flops onto the living room couch, and turns on the TV. And the next morning she gets up at 5:15 again and starts the same routine."|"Fast Food Nation"|"Eric Schlosser"
"ap 05:15"|5:15|"The restaurant opens for business at seven o'clock, and for the next hour or so, Elisa and the manager hold down the fort, handling all the orders. As the place starts to get busy, other employees arrive. Elisa works behind the counter. She takes orders and hands food to customers from breakfast through lunch. When she finally walks home, after seven hours of standing at a cash register, her feet hurt. She's wiped out. She comes through the front door, flops onto the living room couch, and turns on the TV. And the next morning she gets up at 5:15 again and starts the same routine."|"Fast Food Nation"|"Eric Schlosser"
"ap ~ 03:00"|"about 300"|"The employees whom the fast food industry expects to crawl are by far the biggest group of low-wage workers in the United States today. The nation has about 1 million migrant farm workers and about 3.5 million fast food workers. Although picking strawberries is orders of magnitude more difficult than cooking hamburgers, both jobs are 
now filled by people who are generally young, unskilled, and willing to work long hours for low pay. Moreover, the turnover rates for both jobs are among the highest in the American economy. The annual turnover rate in the fast food industry is now about 300 to 400 percent. The typical fast food worker quits or is fired every three to four months."|"Fast Food Nation"|"Eric Schlosser"
