01:20|"1:20 AM"|"Anonymous within the swirl of passengers, he boarded the U-bahn at Marienplatz. Three stops and four blocks later, at the specified location, he found a perfectly nondescript car waiting for him. As soon as he climbed in, it took off, heading toward Franz Josef Strauss International Airport. He was booked on the 1:20 AM Lufthansa flight to Singapore, where he’d catch the 9:35 AM flight to Denpasar in Bali. It had been far easier to trace Bourne’s whereabouts—the people at NextGen Energy Solutions where Moira Trevor worked knew where the two of them had gone—than to steal Gustavo Moreno’s laptop. But he had a number of men inside the Kazanskaya. One of them had been fortunate enough to be in Gustavo Moreno’s house an hour before the FSB-2 bust went down. He absconded with the incriminating evidence that would now plant Abdulla Khoury six feet under. As soon as Arkadin shot Bourne dead."|"The Bourne Deception"|"Eric van Lustbader"
09:35|"9:35 AM"|"Anonymous within the swirl of passengers, he boarded the U-bahn at Marienplatz. Three stops and four blocks later, at the specified location, he found a perfectly nondescript car waiting for him. As soon as he climbed in, it took off, heading toward Franz Josef Strauss International Airport. He was booked on the 1:20 AM Lufthansa flight to Singapore, where he’d catch the 9:35 AM flight to Denpasar in Bali. It had been far easier to trace Bourne’s whereabouts—the people at NextGen Energy Solutions where Moira Trevor worked knew where the two of them had gone—than to steal Gustavo Moreno’s laptop. But he had a number of men inside the Kazanskaya. One of them had been fortunate enough to be in Gustavo Moreno’s house an hour before the FSB-2 bust went down. He absconded with the incriminating evidence that would now plant Abdulla Khoury six feet under. As soon as Arkadin shot Bourne dead."|"The Bourne Deception"|"Eric van Lustbader"
"> 12:00"|"Just past noon that same day"|"Just past noon that same day, Leonid Arkadin was sitting in a Munich beer hall surrounded by oompah music and drunken Germans when his cell phone buzzed. Recognizing the caller’s phone number, he walked out into the street, where it was slightly less noisy, and grunted a wordless greeting."|"The Bourne Deception"|"Eric van Lustbader"
12:00|noon|"As she took the elevator down to the underground garage, Moira’s mind was in two places at once: here with the new organization she was building and in Bali with Bourne. His grave wounds had made it more difficult to separate herself from him. What had seemed so simple when they’d discussed her future in the pool at the resort now seemed nebulous and vaguely anxiety producing. It wasn’t that she felt the need to take care of him—God knows she would not have made a decent nurse—but that within the eternity when his life had hung in the balance, she’d been forced to reassess her feelings for him. The possibility that he would be snatched from her filled her with dread. At least, she assumed it was dread, since she’d never before felt anything like it: a suffocating blackness that blotted out the sun at noon, the stars at midnight."|"The Bourne Deception"|"Eric van Lustbader"
00:00|midnight|"As she took the elevator down to the underground garage, Moira’s mind was in two places at once: here with the new organization she was building and in Bali with Bourne. His grave wounds had made it more difficult to separate herself from him. What had seemed so simple when they’d discussed her future in the pool at the resort now seemed nebulous and vaguely anxiety producing. It wasn’t that she felt the need to take care of him—God knows she would not have made a decent nurse—but that within the eternity when his life had hung in the balance, she’d been forced to reassess her feelings for him. The possibility that he would be snatched from her filled her with dread. At least, she assumed it was dread, since she’d never before felt anything like it: a suffocating blackness that blotted out the sun at noon, the stars at midnight."|"The Bourne Deception"|"Eric van Lustbader"
"ap > 10:00"|"just after ten"|"Moira was taken by the two NSA agents to Bethesda Naval Hospital, where she was subjected to a medical workup both harrowing and stultifying in its thoroughness. In this way, the night crawled by. When, just after ten the next morning, she was declared physically fit, materially unimpaired by the car crash, the NSA agents told her that she was free to go."|"The Bourne Deception"|"Eric van Lustbader"
02:00|"two in the morning"|"It was twenty-three miles from the Bethesda Naval Hospital to the Library of Congress. Google Maps claimed the ride would take thirty-six minutes, but that had to have been at two in the morning. At 11 AM, when Moira took the trip by taxi, it was twenty minutes longer, which meant she got to her destination with almost no time to spare. On the way, she had phoned her office, asked for a car to meet her, giving an address three blocks from her current destination."|"The Bourne Deception"|"Eric van Lustbader"
11:00|"11 AM"|"It was twenty-three miles from the Bethesda Naval Hospital to the Library of Congress. Google Maps claimed the ride would take thirty-six minutes, but that had to have been at two in the morning. At 11 AM, when Moira took the trip by taxi, it was twenty minutes longer, which meant she got to her destination with almost no time to spare. On the way, she had phoned her office, asked for a car to meet her, giving an address three blocks from her current destination."|"The Bourne Deception"|"Eric van Lustbader"
11:35|"eleven thirty-five this morning"|"“Apparently, no one knows. He left the office at eleven thirty-five this morning.”"|"The Bourne Deception"|"Eric van Lustbader"
"ap 02:00"|"two o’clock"|"“No—wait!” She took her eyes from the binocular cups and pointed off to their right. “There, at two o’clock—about a hundred yards.”"|"The Bourne Deception"|"Eric van Lustbader"
"< 12:00"|"just before noon"|"Soraya and Amun Chalthoum arrived in Al Ghardaqah just before noon. Not that many years before, it had been nothing more than a modest fishing village, but a combination of Egyptian initiative and foreign investment had turned it into the leading Red Sea resort. The hub of the town was El Dahar, the oldest of the three sections, home to the traditional villas and bazaar. As was the case with most Egyptian coastal towns, Al Ghardaqah did not venture far inland, but rather clung to the shore of the Red Sea as if for dear life. The Sekalla district was more modern, made ugly by the proliferation of cheap hotels. El Korra Road was prettier, filled with upscale hotels, lush plantings, lavish fountains, and walled private compounds owned by Russian moguls with nothing better to do with their easy money."|"The Bourne Deception"|"Eric van Lustbader"
15:00|"three this afternoon"|"“I got breakfast, and we have an appointment to see Don Fernando Hererra at three this afternoon.”"|"The Bourne Deception"|"Eric van Lustbader"
"ap > 09:00"|"Just after nine"|"“What time is it?” he asked.
“Just after nine.”
The arm Scarface had tried to break felt better when he flexed it and the flesh wound down his back scarcely burned at all, but the pain in his chest made him wince as he wrapped the top sheet around his waist and rose out of bed."|"The Bourne Deception"|"Eric van Lustbader"
15:00|"3 PM"|"Don Hererra’s name and address came up, along with the time, 3 PM, just as she’d told him. He ripped off the sheet and put it in his pocket. That was when he noticed indentations on what was now the top sheet of the pad. He tore that off as well. Running the side of the pencil over this sheet brought up a line of numbers and letters all run together."|"The Bourne Deception"|"Eric van Lustbader"
"ap > 02:00"|"just past two o’clock"|"It began in the early hours of the morning, just past two o’clock, as Oserov boasted to Arkadin afterward."|"The Bourne Deception"|"Eric van Lustbader"
15:00|"three o’clock in the afternoon"|"Tracy Atherton and Alonzo Pecunia Zuigapresented themselves on the front steps of Don Fernando Hererra’s house at precisely three o’clock in the afternoon, bathed in brilliant sunshine amplified by a virtually cloudless sky."|"The Bourne Deception"|"Eric van Lustbader"
"ap 05:25"|"Five twenty-five"|"Solly put his call on hold, scrolled through a second PDA. “Five twenty-five, sir. But you only have ten minutes before the formal press conference. We need to make the six o’clock news.”"|"The Bourne Deception"|"Eric van Lustbader"
"ap 06:00"|"six o’clock"|"Solly put his call on hold, scrolled through a second PDA. “Five twenty-five, sir. But you only have ten minutes before the formal press conference. We need to make the six o’clock news.”"|"The Bourne Deception"|"Eric van Lustbader"
"ap 05:25"|"Five twenty-five"|"“Of course we do.” The president lifted a hand, smiling. “Five twenty-five, Bud. Ten minutes is more than enough time for a yea or nay.”"|"The Bourne Deception"|"Eric van Lustbader"
"ap 09:11"|911|"Moira slammed the spade-shaped end of the shovel she’d stumbled over into the back of the bald man’s head. He pitched headfirst onto the bare concrete floor. As she picked her way through the darkness and out into the gathering night, she heard the sound of police sirens. Doubtless, someone had heard the shots and called 911."|"The Bourne Deception"|"Eric van Lustbader"
08:00|"8 AM"|"He buried his curdled heart at precisely 8 AM when he took formal control of CI. He had still to appear on Capitol Hill, to be asked absurd and irrelevant questions by preening legislators looking to impress their constituents with probing questions fed them by their assistants. But that dog-and-pony show, Halliday had assured him, was a mere formality. The secretary of defense had amassed more than enough votes to push through his confirmation without a struggle or even much debate."|"The Bourne Deception"|"Eric van Lustbader"
08:05|"8:05 AM"|"At precisely 8:05 AM he convened a meeting of the senior staff in the largest of the conference rooms at CI headquarters, an elongated oval without windows because glass was an excellent carrier of sound waves and an expert with field glasses trained on the room could read lips. Danziger was quite clear as to the attendees: the heads of the seven directorates, their immediate subordinates, and the chiefs of all the departments attached to the various directorates."|"The Bourne Deception"|"Eric van Lustbader"
05:00|"five in the morning"|"Arkadin was lost in the star-dazzled Azerbaijani night. Starting promptly at five in the morning, he and his one-hundred-strong cadre of hardened soldiers had hiked into the mountains. Their mission, he’d told them, was to find the snipers hiding along their route and shoot them with the long-range paintball guns that looked and felt exactly like AK-47s that had been shipped at his request to Nagorno-Karabakh. Twenty members of the indigenous tribe, equipped with paintball sniper rifles, had secreted themselves along the route. When Arkadin had handed them out, he’d had to explain their use to men who thought them both amusing and idiotic. Still, within half an hour the tribesmen had become proficient with the pseudo-weapons."|"The Bourne Deception"|"Eric van Lustbader"
"< 00:00"|"Toward midnight"|"Toward midnight, he called a completion to the exercise, graded each man as to performance, stamina, and ability to adapt to a changing situation, then allowed them to make camp. As usual, he ate little and slept not at all. He could feel his body’s aches and strains, but they were small and, it seemed to him, very far away, as if they belonged to someone else, or to a different Arkadin he knew only in passing."|"The Bourne Deception"|"Eric van Lustbader"
"ap 09:27"|"Nine twenty-seven"|"Bourne glanced at his watch. “What time do you have?”
“Nine twenty-seven.”
“Do me one favor.” Bourne adjusted his watch slightly. “Give me fifteen minutes, then walk directly to Seven Seventy-nine, go in through the front door, and announce yourself to the receptionist. Hold the receptionist’s attention and don’t let go until either Noah sends for you or he comes out to get you.”"|"The Bourne Deception"|"Eric van Lustbader"
