"ap > 07:00"|"after seven o'clock"|"""Oh, I'll not learn it in two weeks. I've studied it for months now. You may come and see her after seven o'clock if you wish. She'll be off then. But don't bring a lot of Italians."""|"A Farewell to Arms"|"Ernest Hemingway"
"ap 05:00"|"five o'clock"|"When I got back to the villa it was five o'clock and I went out where we washed the cars, to take a shower. Then I made out my report in my room, sitting in my trousers and an undershirt in front of the open window. In two days the offensive was to start and I would go with the cars to Plava. It was a long time since I had written to the States and I knew I should write but I had let it go so long that it was almost impossible to write now. There was nothing to write about. I sent a couple of army Zona di Guerra post-cards, crossing out everything except, I am well. That should handle them. Those post-cards would be very fine in America; strange and mysterious. This was a strange and mysterious war zone but I supposed it was quite well run and grim compared to other wars with the Austrians. The Austrian army was created to give Napoleon victories; any Napoleon. I wished we had a Napoleon, but instead we had Ii Generale Cadorna, fat and prosperous and Vittorio Emmanuele, the tiny man with the long thin neck and the goat beard. Over on the right they had the Duke of Aosta. Maybe he was too good-looking to be a. great general but he looked like a man. Lots of them would have liked him to be king. He looked like a king. He was the King's uncle and commanded the third army. We were in the second army. There were some British batteries up with the third army. I had met two gunners from that lot, in Milan. They were very nice and we had a big evening. They were big and shy and embarrassed and very appreciative together of anything that happened. I wish that I was with the British. It would have been much simpler. Still I would probably have been killed. Not in this ambulance business. Yes, even in the ambulance business. British ambulance drivers were killed sometimes. Well, I knew I would not be killed. Not in this war. It did not have anything to do with me. It seemed no more dangerous to me myself than war in the movies. I wished to God it was over though. Maybe it would finish this summer. Maybe the Austrians would crack. They had always cracked in other wars. What was the matter with this war? Everybody said the French were through. Rinaldi said that the French had mutinied and troops marched on Paris. I asked him what happened and he said, ""Oh, they stopped them."" I wanted to go to Austria without war. I wanted to go to the Black Forest. I wanted to go to the Hartz Mountains."|"A Farewell to Arms"|"Ernest Hemingway"
05:00|"five o'clock in the morning"|"""And what did he say?"" asked the priest. Rocca ignored this and went on to explain the joke to me. ""You see the point, don't you?"" It seemed it was a very funny joke if you understood it properly. They poured me more wine and I told the story about the English private soldier who was placed under the shower bath. Then the major told the story of the eleven Czecho-slovaks and the Hungarian corporal. After some more wine I told the story of the jockey who found the penny. The major said there was an Italian story something like that about the duchess who could not sleep at night. At this point the priest left and I told the story about the travelling salesman who arrived at five o'clock in the morning at Marseilles when the mistral was blowing. The major said he had heard a report that I could drink. I denied this. He said it was true and by the corpse of Bacchus we would test whether it was true or not. Not Bacchus, I said. Not Baëchus. Yes, Bacchus, he said. I should drink cup for cup and glass for glass with Bassi, Fillipo Vincenza. Bassi said no that was no test because he had already drunk twice as much as I. I said that was a foul lie and, Bacchus or no Bacchus, Fillipo Vincenza Bassi or Bassi Fillippo Vicenza had never touched a drop all evening and what was his name anyway? He said was my name Frederico Enrico or Enrico Federico? I said let the best man win, Bacchus barred, and the major started us with red wine in mugs. Half-way through the wine I did not want any more. I remembered where I was going."|"A Farewell to Arms"|"Ernest Hemingway"
"ap 02:30"|"Two hours and a half"|"""How long did it take?""
""Two hours and a half.""
""Did I say anything silly?"""|"A Farewell to Arms"|"Ernest Hemingway"
"ap 05:45"|"quarter to six"|"""So long,"" I said. ""I have to go too."" It was a quarter to six by the clock inside the bar. ""Ciaou, Ettore."""|"A Farewell to Arms"|"Ernest Hemingway"
"ap 00:25"|"thirty-five to one"|"""He won't pay much,"" Meyers said.
""He's marked thirty-five to one in the quotes,"" I said.
""He won't pay much. At the last minute,"" Meyers said, ""they put a lot of money on him."""|"A Farewell to Arms"|"Ernest Hemingway"
"ap 09:00"|"nine o'clock"|"I went on to the hospital. There were some letters, an official one, and some others. I was to have three weeks' convalescent leave and then return to the front. I read it over carefully. Well, that was that. The convalescent leave started October fourth when my course was finished. Three weeks was twenty-one days. That made October twenty-fifth. I told them I would not be in and went to the restaurant a little way up the street from the hospital for supper and read my letters and the Corriere Della Sera at the table. There was a letter from my grandfather, containing family news, patriotic encouragement, a draft for two hundred dollars, and a few clippings; a dull letter from the priest at our mess, a letter from a man I knew who was flying with the French and had gotten in with a wild gang and was telling about it, and a note from Rinaldi asking me how long I was going to skulk in Milano and what was all the news? He wanted me to bring him phonograph records and enclosed a list. I drank a small bottle of chianti with the meal, had a coffee afterward with a glass of cognac, finished the paper, put my letters in my pocket, left the paper on the table with the tip and went out. In my room at the hospital I undressed, put on pajamas and a dressing-gown, pulled down the curtains on the door that opened onto the balcony and sitting up in bed read Boston papers from a pile Mrs. Meyers had left for her boys at the hospital. The Chicago White Sox were winning the American League pennant and the New York Giants were leading the National League. Babe Ruth was a pitcher then playing for Boston. The papers were dull, the news was local and stale, and the war news was all old. The American news was all training camps. I was glad I wasn't in a training camp. The baseball news was all I could read and I did not have the slightest interest in it. A number of papers together made it impossible to read with interest. It was not very timely but I read at it for a while. I wondered if America really got into the war, if they would close down the major leagues. They probably wouldn't. There was still racing in Milan and the war could not be much worse. They had stopped racing in France. That was where our horse Japalac came from. Catherine was not due on duty until nine o'clock. I heard her passing along the floor when she first came on duty and once saw her pass in the hall. She went to several other rooms and finally came into mine."|"A Farewell to Arms"|"Ernest Hemingway"
00:00|midnight|"The night I was to return to the front I sent the porter down to hold a seat for me on the train when it came from Turin. The train was to leave at midnight. It was made up at Turin and reached Milan about half-past ten at night and lay in the station until time to leave. You had to be there when it came in, to get a seat. The porter took a friend with him, a machine-gunner on leave who worked in a tailor shop, and was sure that between them they could hold a place. I gave them money for platform tickets and had them take my baggage. There was a big rucksack and two musettes."|"A Farewell to Arms"|"Ernest Hemingway"
"~ 22:30"|"about half-past ten at night"|"The night I was to return to the front I sent the porter down to hold a seat for me on the train when it came from Turin. The train was to leave at midnight. It was made up at Turin and reached Milan about half-past ten at night and lay in the station until time to leave. You had to be there when it came in, to get a seat. The porter took a friend with him, a machine-gunner on leave who worked in a tailor shop, and was sure that between them they could hold a place. I gave them money for platform tickets and had them take my baggage. There was a big rucksack and two musettes."|"A Farewell to Arms"|"Ernest Hemingway"
"ap ~ 05:00"|"about five o'clock"|"I said good-by at the hospital at about five o'clock and went out. The porter had my baggage in his lodge and I told him I would be at the station a little before midnight. His wife called me ""Signorino"" and cried. She wiped her eyes and shook hands and then cried again. I patted her on the back and she cried once more. She had done my mending and was a very short dumpy, happy-faced woman with white hair. When she cried her whole face went to pieces. I went down to the corner where there was a wine shop and waited inside looking out the window. It was dark outside and cold and misty. I paid for my coffee and grappa and I watched the people going by in the light from the window. I saw Catherine and knocked on the window. She looked, saw me and smiled, and I went out to meet her. She was wearing a dark blue cape and a soft felt hat. We walked along together, along the sidewalk past the wine shops, then across the market square and up the street and through the archway to the cathedral square. There were streetcar tracks and beyond them was the cathedral. It was white and wet in the mist. We crossed the tram tracks. On our left were the shops, their windows lighted, and the entrance to the galleria. There was a fog in the square and when we came close to the front of the cathedral it was very big and the stone was wet."|"A Farewell to Arms"|"Ernest Hemingway"
