"ap 09:00"|"nine o'clock"|"-went to bed immediately after the nine o'clock news. I was always awake and fretful an hour before reveille."|"Brideshead Revisited"|"Evelyn Waugh"
09:15|"0915 hours"|"So, on this morning of our move, I was entirely indifferent to our destination. I would go on with my job, but I could bring to it nothing more than acquiescence. Our orders were to entrain at 0915 hours at a nearby siding, taking in the haversack the unexpired portion of the day's ration; that was all I needed to know. The company second-incommand had gone on with a small advance party. Company stores had been packed the day before. Hooper had been detailed to inspect the lines. The company was parading at 0730 hours with their kit-bags piled before the huts. There had been many such moves since the wildly exhilarating morning in 1940 when we had erroneously believed ourselves destined for the defence of Calais. Three or four times a year since then we"|"Brideshead Revisited"|"Evelyn Waugh"
07:30|"0730 hours"|"So, on this morning of our move, I was entirely indifferent to our destination. I would go on with my job, but I could bring to it nothing more than acquiescence. Our orders were to entrain at 0915 hours at a nearby siding, taking in the haversack the unexpired portion of the day's ration; that was all I needed to know. The company second-incommand had gone on with a small advance party. Company stores had been packed the day before. Hooper had been detailed to inspect the lines. The company was parading at 0730 hours with their kit-bags piled before the huts. There had been many such moves since the wildly exhilarating morning in 1940 when we had erroneously believed ourselves destined for the defence of Calais. Three or four times a year since then we"|"Brideshead Revisited"|"Evelyn Waugh"
12:00|midday|"A train of antiquated coaches was waiting for us at the siding; an R.T.O. was in charge; a fatigue party was loading the last of. the kit-bags from the trucks to the luggage vans. In half an hour we were ready to start and in an hour we started. My three platoon commanders and myself had a carriage to ourselves. They ate sandwiches and chocolate, smoked and slept. None of them had a book. For the first three or four hours they noted the names of the towns and leaned out of the windows when, as often happened, we stopped between stations. Later they lost interest. At midday and again at dark some tepid cocoa was ladled from a container into our mugs. The train moved slowly south through flat, drab main-line scenery. The chief incident in the day was the - C.O.'s 'order group'. We assembled in his carriage, at the summons of an orderly, and found him and the adjutant wearing their steel helmets and equipment. The first thing he said was: 'This is an Order Group. I"|"Brideshead Revisited"|"Evelyn Waugh"
"~ 23:15"|"approximately 2315 hours"|"'Method. Train will arrive at destination at approximately 2315 hours . . .' and so on. The sting came at the end under the heading, 'Administration'. 'C' Company, less one platoon, was to unload the train on arrival at the siding where three three-tonners would be available for moving all stores to a battalion dump in the new camp; work to continue until completed; the remaining platoon was to find a guard on the dump and perimeter sentries for the camp area."|"Brideshead Revisited"|"Evelyn Waugh"
04:00|"four in the morning"|"By four in the morning the work was done. I drove in the last lorry, through tortuous lanes where the overhanging boughs whipped the windscreen; somewhere we left the lane and turned into a drive; somewhere we reached an open space where two drives converged and a ring of storm lanterns marked the heap of stores. Here we unloaded the truck and, at long last, followed the guides to our quarters, under a starless sky, with a fine drizzle of rain beginning now to fall."|"Brideshead Revisited"|"Evelyn Waugh"
"ap ~ 11:00"|"about eleven"|"At Swindon we turned off the main road and, as the sun mounted high, we were among dry-stone walls and ashlar houses. It was about eleven when Sebastian, without warning, turned the car into a cart track and stopped. It was hot enough now to make us seek the shade. On a sheep-cropped knoll under a clump of elms we ate the strawberries and drank the wine - as Sebastian promised, they were delicious together - and we lit fat, Turkish cigarettes and lay on our backs, Sebastian's eyes on the leaves above him, mine on his profile, while the blue-grey smoke rose, untroubled by any wind, to the blue-green shadows of foliage', and the sweet scent of the tobacco, merged with the sweet summer scents around us and the fumes of the sweet golden wine seemed to lift us a finger's breadth above the turf and hold us suspended."|"Brideshead Revisited"|"Evelyn Waugh"
"< 00:00"|"shortly before midnight"|"'The Marquis of Marchmain's second boy. His brother, the Earl of Brideshead, went down last term. Now he was very different, a very quiet gentleman', quite like an old man. What do you suppose Lord Sebastian wanted? A hair brush for his teddybear; it had to have very stiff bristies, not, Lord Sebastian said, to brush him with, but to threaten him with a spanking when he was sulky. He bought a very nice one with an ivory back and he's having ""Aloysius"" engraved on it' - that's the bear's name.' The man, who, in his time, had had ample chance to tire of undergraduate fantasy, was plainlycaptivated. I, however, remained censorious, and subsequent glimpses of him, driving in a hansom cab and dining at the George in false whiskers, did not soften me, although Collins, who was reading Freud, had a number of technical terms to cover everything. Nor, when at last we met, were the circumstances propitious. It was shortly before midnight in early March; I had been entertaining the college intellectuals to mulled claret; the fire was roaring, the air of my room heavy with smoke and spice, and my mind weary with metaphysics. I threw open my windows and from the quad outside came the not uncommon sound of bibulous laughter and unsteady steps. A voice said:"|"Brideshead Revisited"|"Evelyn Waugh"
"ap > 11:00"|"after eleven"|"I took my gown and left him to his task. I still frequented the lecture-room in those days, and it was after eleven when I returned to college. I found my room full of flowers; what looked like, and, in fact, was, the entire day's stock of a market-stall stood in every conceivable vessel in every part of the room. Lunt was secreting the last of them in brown paper preparatory to taking them home."|"Brideshead Revisited"|"Evelyn Waugh"
"ap 04:00"|"four o'clock"|"We sat on sipping Cointreau while the mildest and most detached of the Etonians sang: 'Home they brought her warrior dead' to his own accompaniment on the harmonium.
It was four o'clock before we broke up.
Anthony Blanche was the first to go. He took formal and complimentary leave of each of us in turn. To Sebastian he said: 'My dear, I should like to stick you full of barbed arrows like a p-p-pin-cushion,' and to me: 'I think it's perfectly brilliant of Sebastian to have discovered you. Where do you lurk? I shall come down your burrow and ch-chivvy you out like an old st-t-toat.'"|"Brideshead Revisited"|"Evelyn Waugh"
