04:00|"four in the morning"|"She thought about Emmie and how much she loved her. Back then in the early days, everything was for Emmie. Everything. Emmie was hers, her flesh and blood, and it was up to her to provide for her. She’d done that the only way she knew how. By working from four in the morning till eight at night. To prove to Maud and Jess that she was as good as any man. And to thank them, and to pay for their keep."|"Kentucky Heat"|"Fern Michaels"
20:00|"eight at night"|"She thought about Emmie and how much she loved her. Back then in the early days, everything was for Emmie. Everything. Emmie was hers, her flesh and blood, and it was up to her to provide for her. She’d done that the only way she knew how. By working from four in the morning till eight at night. To prove to Maud and Jess that she was as good as any man. And to thank them, and to pay for their keep."|"Kentucky Heat"|"Fern Michaels"
"ap 07:00"|"seven o’clock"|"“Just what I need today. I hope my eyes are still open at seven o’clock. We have work to do, Ruby.”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:00"|"six o’clock"|"“Nealy, it’s six o’clock. Wake up, kiddo.” Smitty was banging on the door."|"Kentucky Heat"|"Fern Michaels"
"ap 05:00"|five|"“I thought you were going to wake me at five. We’ll be eating dinner when Clementine gets here,” Nealy muttered as she stuffed Nick’s shirt under her pillow. “I just want to wash my face and comb my hair. I’ll be down in a minute. What’s for dinner?”"|"Kentucky Heat"|"Fern Michaels"
"ap 04:10"|4:10|"Nealy rolled over and stretched out her legs and immediately a solid cramp in the flesh of her calf caused pain. She hobbled around the room, her gaze swerving to the clock on the dresser—4:10. When the cramp in her leg eased, she sat down in Maud’s old rocker. She was wide-awake. Pain would do that to you, she decided. She found herself clenching and unclenching her hands, a sure sign that she was in turmoil."|"Kentucky Heat"|"Fern Michaels"
"ap 10:05"|10:05|"Nealy rolled over in the large bed. She was groggy but alert enough to realize she wasn’t in her own bed at Blue Diamond Farms. She squinted when she brought up her arm to look at the hands on her watch. Could it be 10:05 when it was light out? She blinked and then blinked again. How could it possibly be morning? She’d slept almost around the clock. Maybe doing good deeds allowed one to relax to the point of being comatose. She struggled out of bed, reached for the phone to call room service. “A pot of coffee, toast, and a pack of cigarettes,” she said into the phone. “Thirty minutes! Can’t you bring it any quicker than that?” Assured they would try, Nealy headed for the bathroom, where she brushed her teeth, showered, washed her hair. She was wrapping her head in a towel when her breakfast order arrived."|"Kentucky Heat"|"Fern Michaels"
"ap 11:30"|eleven-thirty|"Forty minutes later, Nealy was dressed and in the rental car, the map spread out on the passenger seat. It was eleven-thirty when she parked in the mortuary’s empty lot. Two long, shiny, black hearses sat under a canopy. She shivered as she made her way around to the front of the building."|"Kentucky Heat"|"Fern Michaels"
"ap 09:30"|nine-thirty|"Nealy settled herself in the corner of the deep, comfortable sofa. Next to her on a small table was a thermos of coffee. Beer bottles in a bucket of ice rested on the coffee table between her brothers’ recliners. It was nine-thirty when Nealy opened her mother’s diary. Once it had been bright red. Now it was faded to a dusty pink. The small brass key was pinned in place with a thumbtack."|"Kentucky Heat"|"Fern Michaels"
"ap < 02:00"|"almost two o’clock"|"“It’s almost two o’clock. I went to bed at midnight and you were awake then. I guess maybe an hour, Nick. Would you like me to make some coffee for you? I can fix you a ham sandwich if you like.”"|"Kentucky Heat"|"Fern Michaels"
00:00|midnight|"“It’s almost two o’clock. I went to bed at midnight and you were awake then. I guess maybe an hour, Nick. Would you like me to make some coffee for you? I can fix you a ham sandwich if you like.”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:00"|six|"He woke with a start at six o’clock when his cell phone rang. He mumbled a greeting. “Emmie! What’s wrong? Is the baby all right? Lunch? Absolutely. I’ll meet you at Carson’s at twelve sharp. I’ll look forward to it, Emmie. Thanks for inviting me.”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:00"|six|"“See you tomorrow at six then. Have a safe trip. Thanks again, Hatch.”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:00"|"Six o’clock"|"“Wrong? Nothing’s wrong. I have a date! He’s coming back tomorrow. Six o’clock!”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:00"|"Six o’clock"|"“Smitty, Smitty, guess what! Nealy has a date tomorrow with Hatch. He’s flying back tomorrow. Six o’clock is the zero hour,” Ruby shouted."|"Kentucky Heat"|"Fern Michaels"
01:00|"one that came this morning"|"“That’s because I am miserable. Look, I can hold up my end of the conversation if the talk is about horses. I can talk about the kids. You made me read yesterday’s paper and the one that came this morning. I know them by heart. What do you really think the chances are of Hatch wanting to talk about what’s in the paper? Zip, that’s what. And you can forget about trying to get me to wear high heels. I’d probably fall and break my neck. I have a nice dress, new underwear. I’m going to wear makeup. My eyebrows are plucked, my hair has been styled, I have perfume. Okay, okay. What’s next?”"|"Kentucky Heat"|"Fern Michaels"
"ap 07:00"|seven|"Metaxas placed a hand on Hatch’s shoulder. “Sleep here in the barn. I’ll fix you up a stall. We used to sleep in a stall until Nealy let us have a cottage. Still do occasionally. Trust me, you’ll love it. We get up at four. We work till seven, and then it’s breakfast. So, do you want to stay or not?”"|"Kentucky Heat"|"Fern Michaels"
"ap 09:00"|"nine o’clock"|"“Well, it’s bedtime as soon as Ruby gets back.”
“It’s only nine o’clock,” Hatch said.
“Yeah, I know.”"|"Kentucky Heat"|"Fern Michaels"
"ap 04:00"|"Four o’clock"|"“I just woke up. I’m only up an hour ahead of schedule. Four o’clock is my normal time for waking up. I have a terrible headache, so that has to mean I had too much to drink. Normally I don’t drink. Tonight I was . . .”"|"Kentucky Heat"|"Fern Michaels"
"ap 08:00"|"eight o’clock"|"“Sometimes. Sometimes months go by and I don’t think about it at all. Sometimes I positively dwell on it. I’m so glad that my brothers and I have reconciled. I always wanted them to be these big, tough guys, and they aren’t like that. They could never be like that. They’re warm and shy and caring in their own way. To other people they probably seem cold and aloof. We were never around people much growing up. Yes, we went to school, but that doesn’t mean we were around people. We had to get up early, do our chores, get on the bus, go to class, get back on the bus, and go home to more chores and schoolwork. By eight o’clock I was dead on my feet, and all I wanted to do was go to bed. I’m afraid I did just enough to get by. I let that attitude carry over into my life here. Let’s not go down that road, okay?”"|"Kentucky Heat"|"Fern Michaels"
16:00|"four this afternoon"|"Hatch looked down at the glowing numerals on his Tag watch. “I’d say in about twenty minutes. Are you going to work Shufly today. If so, do you mind if I hang around to watch? I don’t have to leave till four this afternoon.”"|"Kentucky Heat"|"Fern Michaels"
"ap 06:15"|six-fifteen|"“We’re good to go here,” the agent said quietly into his handheld radio with the flashing lights. “Escort the president and the secretary into the house. Send a detail into town to sweep the ballroom, and report back to me. The motorcade will leave here at six-fifteen. The police have been alerted. Make sure everyone is inside and seated when we arrive.”"|"Kentucky Heat"|"Fern Michaels"
