12:00|noon|"hatchway concealed her and her party.
It lacked two hours until noon, but already the air above that throng
reflected a dusty shimmering in promise of the day's heat."|"Children of Dune"|"Frank Herbert"
"< 12:00"|"toward noon"|"toward noon. He had to stretch himself a bit to keep step with the tall Bashar"|"Children of Dune"|"Frank Herbert"
"< 12:00"|"almost noon"|"almost noon and usually you're off to someplace or other at my mother's command"|"Children of Dune"|"Frank Herbert"
"> 12:00"|"Shortly after noon"|"Shortly after noon, when most of the pilgrims had wandered off to refresh"|"Children of Dune"|"Frank Herbert"
12:00|noon|"that he was very hungry. They had eaten the previous noon and Leto had insisted"|"Children of Dune"|"Frank Herbert"
"> 12:00"|"shortly after noon"|"strange man's behavior. It was shortly after noon and Idaho waited outside the"|"Children of Dune"|"Frank Herbert"
"> 00:00"|"past midnight"|"One of the guards spoke up: ""It is the third hour past midnight, My Lady."""|"Children of Dune"|"Frank Herbert"
00:00|midnight|"have been tracking it for three days now. It'll be here by midnight. Already"|"Children of Dune"|"Frank Herbert"
12:00|noon|"The Guild heighliner had swung into orbit around Arrakis at noon local. An hour"|"Children of Dune"|"Frank Herbert"
"< 00:00"|"before midnight"|"before midnight at the earliest. There was time. How many threads could be cut"|"Children of Dune"|"Frank Herbert"
00:00|midnight|"At midnight the worm was showing many signs of exhaustion. He moved back"|"Children of Dune"|"Frank Herbert"
"< 12:00"|"almost noon"|"It was almost noon. The sun burned down into the pan upon which the city had"|"Children of Dune"|"Frank Herbert"
12:00|noon|"Although it was not yet noon, Alia felt something in the shocked silence"|"Children of Dune"|"Frank Herbert"
12:00|noon|"It was almost time for the noon meal and Halleck had been on the butte for"|"Children of Dune"|"Frank Herbert"
"> 12:00"|"shortly after noon"|"water to poison a worm. They'd arrived shortly after noon and had been brought"|"Children of Dune"|"Frank Herbert"
