"ap 02:00"|two|"""There have been several murders in the city, Lictor. Three last night, two the night before. Thank you, Lictor. To your health."""|"Sword & Citadel"|"Gene Wolfe"
12:00|noon|"SPRING HAD ENDED and summer begun when I crept away from the Capulus in the gray light, but even so it was never warm in the high lands except when the sun was near the zenith. Yet I did not dare to go into the valleys where the villages huddled, and all day I walked up, into the mountains, with my cloak furled across one shoulder to make it look as nearly as possible like the garment of an eclectic. I also dismounted the blade of Terminus Est and reassembled it without the guard, so that the sheathed sword seen from a distance would have the appearance of a staff. By noon the ground was all of stone, and so uneven that I did as much climbing as walking. Twice I saw the glint of armor far below me, and looking down beheld little parties of dimarchi cantering down trails most men could scarcely have persuaded themselves to walk, their scarlet military capes billowing behind them. I found no edible plants and sighted no game other than high soaring birds of prey. Had I seen any, I would have had no chance of taking it with my sword, and I possessed no other weapon."|"Sword & Citadel"|"Gene Wolfe"
00:00|midnight|"When these celestial animals burst into view, I was awed by their beauty. But when they became so strongly evident (as they quickly did) that I could no longer dismiss them by an act of will, I began to feel as frightened of them as I was of falling into that midnight abyss over which they writhed; yet this was not a simple physical and instinctive fear like the other, but rather a sort of philosophical horror at the thought of a cosmos in which rude pictures of beasts and monsters had been painted with flaming suns."|"Sword & Citadel"|"Gene Wolfe"
00:00|midnight|"""Left here by a witch? What does it mean?"" I tried to recall what little I knew of the false art. As a child, Thecla had been in the care of a nursemaid who tied and untied knots to speed childbirth and claimed to see the face of Thecla's future husband (was it mine,, I wonder?) at midnight, reflected in a platter that had held bridal cake. ""The cock,"" I told the boy, ""is the herald of day, and in a magical sense his crow at dawn can be said to bring the sun. He has been blinded, perhaps, so that he will not know when dawn appears. A snake's casting of his skin means cleansing or rejuvenation. The blinded cock holds onto the old skin."""|"Sword & Citadel"|"Gene Wolfe"
12:00|noon|"Not a glimmer showed upon the waters of the lake, save for the green, reflected light that fell from the myriad leaves of the Forest of Lune, fifty thousand leagues away. Those waters made me think of steel, polished and oiled. The faint wind brought no white foam, though it moved them in long swells like hills of metal. After a time a cloud obscured the moon, and I wondered briefly whether the lake people would lose their bearings in the dark. It might have been broad noon, however, from the way they handled their vessels, and though boats and islands were often close together, I never in all that voyage saw two that were in the slightest danger of fouling each other."|"Sword & Citadel"|"Gene Wolfe"
02:00|"two o'clock in the morning"|"At two o'clock in the morning, if you open your window and listen, You will hear the feet of the Wind that is going to call the sun. And the trees in the shadow rustle and the trees in the moonlight glisten, And though it is deep, dark night, you feel that the night is done."|"Sword & Citadel"|"Gene Wolfe"
"~ 12:00"|"About noon"|"About noon I came upon a path and followed it, and a short time afterward heard the sound of hoofs. I hid where I could look down the road; a moment later a rider crested the next hill and flashed past me. From the glimpse I had of him, he wore armor somewhat in the fashion of the commanders of Abdiesus's dimarchi, but his windstiffened cape was green instead of red and his helmet seemed to have a visor like the bill of a cap. Whoever he was, he was magnificently mounted: His destrier's mouth was bearded with foam and its sides drenched, yet it flew by as though the racing signal had dropped only an instant before."|"Sword & Citadel"|"Gene Wolfe"
"~ 12:00"|"about noon"|"I do not believe I really slept again that night, though I may have dozed. When dawn came, the snow had melted. Two Pelerines took the sheets away, gave me a towel with which to dry myself, and brought dry bedding. I wanted to give the Claw to them then—my possessions were in the bag under my cot—but the moment seemed inappropriate. I lay down instead, and now that it was daylight, slept. I woke again about noon. The lazaret was as quiet as it ever became; somewhere far off two men were talking and another cried out, but their voices only emphasized the stillness. I sat up and looked around, hoping to see the soldier. On my right lay a man whose close-cropped scalp made me think at first that he was one of the slaves of the Pelerines. I called to him, but when he turned his head to look at me, I saw I had been mistaken."|"Sword & Citadel"|"Gene Wolfe"
12:00|noon|"I said, ""It was a time, I think, and not a place. Long ago, someone had to disarm fear—the fear that men of flesh and blood might feel when looking into a face of steel and glass. Jonas, I know you're listening. I don't blame you. The man was dead, and you still alive. I understand that. But Jonas, Jolenta is gone—I watched her die, and I tried to bring her back with the Claw, but I failed. Perhaps she was too artificial, I don't know. You will have to find someone else."" The soldier rose. His face was no longer angry, but empty as a somnambulist's. He turned and left without another word. For perhaps a watch I lay on my cot with my hands behind my head, thinking of many things. Hallvard, Melito, and Foila were talking among themselves, but I did not attend to what they said. When one of the Pelerines brought the noon meal, Melito got my ear by rapping his platter with a fork and announced, ""Severian, we have a favor to ask of you."""|"Sword & Citadel"|"Gene Wolfe"
01:00|"one that night"|"""A moment ago I called you Lictor, and you did not deny it. Are you indeed a lictor? You were dressed as one that night."""|"Sword & Citadel"|"Gene Wolfe"
