"ap 10:00"|"ten o’clock"|"Let’s start with the title, The Friends of Eddie Coyle. Eddie Coyle has no friends. Eddie barely has acquaintances. Eddie Coyle is our hopeless, helpless, hapless Everyman in the Boston criminal underworld of 1970. He might be the worst guide ever, because he is utterly out of his depth. Or, on second thought, maybe he’s the best guide ever, because most of the people who swim in this sea are out of their depth, which is how they end up on the ten o’clock news or on a metal slab, doing ten-to-twelve on C Block, or hanging from a post office wall. In Eddie Coyle’s world, no one is out to screw anyone on purpose; it just happens that way. No one wakes up trying to do bad or put a hurt on anyone; they’re just trying to get by, and sometimes getting by means leaving a fair share of accidental wreckage in your wake. But rest assured, it’s nothing personal."|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 23:50"|ten-to-twelve|"Let’s start with the title, The Friends of Eddie Coyle. Eddie Coyle has no friends. Eddie barely has acquaintances. Eddie Coyle is our hopeless, helpless, hapless Everyman in the Boston criminal underworld of 1970. He might be the worst guide ever, because he is utterly out of his depth. Or, on second thought, maybe he’s the best guide ever, because most of the people who swim in this sea are out of their depth, which is how they end up on the ten o’clock news or on a metal slab, doing ten-to-twelve on C Block, or hanging from a post office wall. In Eddie Coyle’s world, no one is out to screw anyone on purpose; it just happens that way. No one wakes up trying to do bad or put a hurt on anyone; they’re just trying to get by, and sometimes getting by means leaving a fair share of accidental wreckage in your wake. But rest assured, it’s nothing personal."|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 10:00"|ten|"“I know,” the second man said, “I heard it on the radio coming in. It was ten to nothing when I left the car.”"|"The Friends of Eddie Coyle"|"George V. Higgins"
17:00|seventeen|"“It’s seventeen now,” the stocky man said. “They still haven’t scored. I was talking to Dillon the other day at his place and I was saying to him, has somebody got something in with them. And he says no, what the hell is there to fix? They don’t have a good enough defense to hold the other side down, and they don’t have any offense to run their own up, so what the hell is there to do?”"|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 09:00"|nine|"“Okay,” the second man said. “What I’ll do is call Dillon as soon as I know where I’m going to be and tell him I told my wife I was going to be there, and have him tell her if she calls that I went out but I’m coming back and he’ll have me call her. Then for him to call me and tell me she called. I’ll leave a number. I’ll do that before nine. You call Dillon and tell him you called me at home and my wife said I was at Dillon’s, and he won’t think anything, he’ll give you the number and you can call me up and we’ll meet somewhere. Okay?”"|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 08:45"|"forty-five minutes past eight"|"Next to the door to the vault, Sam Partridge had his field of vision contracted to include only two objects. There was a small clock set into the steel door of the vault. It stood at forty-five minutes past eight. There was no second hand. The minute hand did not appear to be moving. Eighteen inches away from the clock, down two feet from its eye-level location, there was the black-gloved hand of the spokesman. It held, very steadily, a heavy revolver. Sam saw that there was some kind of a rib on the barrel, and that the handle was molded out to cover the top of the hand that held it. He saw touches of gold inside the black metal of the cylinders. The hammer of the revolver was drawn back to full cock. The minute hand did not seem to have moved."|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 08:48"|Eight-forty-eight|"“What time does it open?” the spokesman said quietly.
“Eight-forty-eight,” Sam said absently.
In July they had taken the children to New Hampshire and rented a cottage on a palette-shaped pond north of Centerville. They had rented a boat one morning, an aluminum rowboat, with a small motor, and he had taken the children fishing while his wife slept. Around eleven they had come in because his son wanted to go to the bathroom. They beached the rowboat and the children ran up the gravel slope to the tall grass, and through the tall grass in the sunshine to the cabin. Sam had removed a string of four pickerel from the boat and placed it on the gravel. He had bent back to lift out the rods and the tackle box and the thermos of milk and the sweaters. He straightened up with the articles and turned toward where he had placed the fish."|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap ~ 11:00"|"Around eleven"|"“What time does it open?” the spokesman said quietly.
“Eight-forty-eight,” Sam said absently.
In July they had taken the children to New Hampshire and rented a cottage on a palette-shaped pond north of Centerville. They had rented a boat one morning, an aluminum rowboat, with a small motor, and he had taken the children fishing while his wife slept. Around eleven they had come in because his son wanted to go to the bathroom. They beached the rowboat and the children ran up the gravel slope to the tall grass, and through the tall grass in the sunshine to the cabin. Sam had removed a string of four pickerel from the boat and placed it on the gravel. He had bent back to lift out the rods and the tackle box and the thermos of milk and the sweaters. He straightened up with the articles and turned toward where he had placed the fish."|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 08:47"|"Eight forty-seven"|"Sam swung his eyes back from the black revolver to the clock. “It doesn’t seem to move,” he said. “Eight forty-seven, I think. It really isn’t much good for telling time. All it does is show the mechanism is working, really.”"|"The Friends of Eddie Coyle"|"George V. Higgins"
"ap 05:55"|"five minutes of six"|"At five minutes of six, Dave Foley escaped from the traffic on Route 128 and parked the Charger at the Red Coach Grille in Braintree. He went into the bar and took a table in the rear corner that allowed him to watch the door and the television set above the bar. He ordered a vodka martini on the rocks with a twist. After a white man strenuously stated the headlines, the evening news report began. As the waitress arrived with Foley’s drink, a black man with heavy jowls and an accent that made er sounds into or sounds delivered the first story."|"The Friends of Eddie Coyle"|"George V. Higgins"
