">> 12:00"|"long after noon"|"Since Miss Charing’s wardrobe was not extensive, the task of packing it was speedily accomplished, and it was not long after noon when the betrothed pair set forward upon the journey to London. Miss Charing’s almost dizzy delight at having so easily won her guardian’s consent to the visit was marred only by her fear that her hostess might not feel an equal degree of pleasure at the treat in store; and by the lachrymose conduct of Miss Fishguard, who wept without restraint while she helped her charge to pack, and asserted that she did not know what was to become of her, or how she was to look after Mr Penicuik to his satisfaction. It did not console her to be reminded that no one had ever succeeded in doing this; and the prospect of being separated from Kitty for a month so wrought upon her sensibility that she suddenly declaimed, between sobs: ‘“For all that pleased in wood or lawn, While peace possessed these silent bowers, Her animating smile withdrawn, Has lost its beauty and its powers!”’"|Cotillion|"Georgette Heyer"
"ap > 10:00"|"shortly after ten o’clock"|"So shortly after ten o’clock, just as Miss Charing was climbing into bed after a quiet evening spent in poring over the fashion-plates in various periodicals, Mr Standen, beautiful to behold in knee-breeches and striped stockings, blue coat with very long tails, a white waistcoat, and a neckcloth which caused an acquaintance almost to swoon with envy, sauntered into the vestibule at Almack’s Assembly Rooms. He handed his hat and his coat to an attendant lackey, gave a couple of twitches to his wrist-bands and favoured the great Mr Willis with a nod."|Cotillion|"Georgette Heyer"
"ap 10:20"|"forty minutes till eleven"|"‘No, sir, we are a little thin of company, the season not having begun,’ replied Mr Willis regretfully. ‘But it wants forty minutes till eleven, and no doubt we may expect to see the rooms fill up tolerably well.’"|Cotillion|"Georgette Heyer"
"ap 11:00"|"eleven o’clock"|"The only drawback to the shop was its popularity: it was crowded, customers being obliged to wait at the various counters for as much, sometimes, as twenty minutes before receiving attention. An overheard interchange between two women desirous of buying black sarsnet informed Lady Buckhaven and Miss Charing that more knowledgeable persons made a point of visiting Grafton House before breakfast; by eleven o’clock, it appeared, the emporium was always as full as it could hold."|Cotillion|"Georgette Heyer"
"ap > 10:00"|"Past ten o’clock"|"‘My dear Kitty, why did you not tell me so?’ said Mr Westruther, quite shocked. ‘Had I had the least suspicion of this very natural desire—! But it is not too late, I believe, to rectify my omissions! I have reason to think that one of your French relations is even now in London. Let me assure you that I shall lose no time in bringing him to visit you! You will like him excessively—a man of the first rank and character, I am persuaded! Dearest Meg, I must tear myself away from you—positively I must! Past ten o’clock, and I pledged to present myself at the Rockcliffes’ not an instant later than half-past nine! I must obviously make haste, or I shall be guilty of unpunctuality. I kiss your hands, my charmer, and Kitty’s cheek. Oh, you have no occasion to blush, absurd child! Recollect that I was your first love—in your nursery-days, of course, so Freddy must not take umbrage!’"|Cotillion|"Georgette Heyer"
"ap 09:30"|"half-past nine"|"‘My dear Kitty, why did you not tell me so?’ said Mr Westruther, quite shocked. ‘Had I had the least suspicion of this very natural desire—! But it is not too late, I believe, to rectify my omissions! I have reason to think that one of your French relations is even now in London. Let me assure you that I shall lose no time in bringing him to visit you! You will like him excessively—a man of the first rank and character, I am persuaded! Dearest Meg, I must tear myself away from you—positively I must! Past ten o’clock, and I pledged to present myself at the Rockcliffes’ not an instant later than half-past nine! I must obviously make haste, or I shall be guilty of unpunctuality. I kiss your hands, my charmer, and Kitty’s cheek. Oh, you have no occasion to blush, absurd child! Recollect that I was your first love—in your nursery-days, of course, so Freddy must not take umbrage!’"|Cotillion|"Georgette Heyer"
"> 00:00"|"after midnight"|"Kitty knew that she was not going to enjoy the party. As she curtsied slightly to both gentlemen, Mrs Scorton outlined for her benefit the plan for the evening. After dinner, she said, they would play at lottery-tickets, or some other jolly, noisy game, for an hour, and then drive to the Opera House. ‘And Tom shall escort you home in good time, I promise you, for I don’t mean to let any of you girls stay much after midnight, and so I warn you, for although I’m as fond as you are of a masquerade it don’t do to be lingering on when things get a trifle too free, as very likely they will.’"|Cotillion|"Georgette Heyer"
"< 00:00"|"before midnight"|"Upon her first entrance to the Opera House, which she happened never to have visited before, Kitty was quite dazzled by its magnificence. It was adorned with a painted ceiling, and lit by clusters of candles in crystal chandeliers. Besides a gallery, and a roomy pit, there were four tiers of boxes, hung with crimson draperies, and their fronts tastefully decorated in white and gold. The stage, where the ball was already in full swing, was large, extending past the first six boxes; and to add to the festivity of the scene, a fanciful backcloth had been let down, so that English country dances, Viennese waltzes, French quadrilles and cotillions were all danced against a rich eastern background. Although it was some time before midnight, the house was already crowded, and every costume from the simple domino to the magnificence of Tudor doublets was to be seen. Nearly everyone was masked, but bold-eyed damsels, and a number of gentlemen, had dispensed with this disguise, and were behaving with what, to country-bred Kitty, seemed a strange lack of decorum."|Cotillion|"Georgette Heyer"
00:00|midnight|"‘Oh, yes! He said that Freddy would have his blood, if he came to hear of it, but there was not the least harm, you know! I have always so wished to go to one of those masquerades, and of course Buckhaven will never take me, and nor will Freddy, so I teased Jack to! He took very good care of me, I assure you, and it is not as though I was unmasked. We came away at midnight, but I should like to have remained, for I thought it was very good sport, though, of course, shockingly vulgar! Did you enjoy it?’"|Cotillion|"Georgette Heyer"
03:00|"three in the morning"|"‘It may not signify anything to you, but it dashed well does to me!’ said Freddy, with feeling. ‘Because if m’father’s gone junketing off to Margate, and I’ve to take care of Charlie, it’s the outside of enough! The last time Charlie was in town he was pounded by the Watch, and I had to go and bail him out at three in the morning, because he’d spent his last groat! Yes, you may laugh, Meg, but you know very well that if Charlie comes down from Oxford, and finds m’father away, he’ll be bound to kick up some lark or other! I don’t say it ain’t a natural thing to do, but the thing is I shall get the blame for it. I must go and take a look at the calendar at once.’"|Cotillion|"Georgette Heyer"
