"ap 06:00"|six|"‘Huc?’ I asked.
‘It’s six and six on the clock,’ the driver said.
‘Then we will let it reach seven shillings,’ Aunt Augusta retorted. ‘Henry, I feel I ought perhaps to warn you before we go in that a white funeral in my case would have been quite out of place.’"|"Travels With My Aunt"|"Graham Greene"
00:00|midnight|"‘I am trying to, but you continually interrupt with unhelpful exclamations. It was midnight and Wordsworth and I had gone to bed. Luckily I was wearing my best nightdress. They rang the bell down below and told us through the microphone that they were police officers and had a warrant to search the flat. “What for?” I asked. Do you know, for a moment I thought it might be something racial. There are so many rules now for races and against races that you don’t know where you stand.’"|"Travels With My Aunt"|"Graham Greene"
"ap 06:30"|six-thirty|"‘Hatty,’ said my aunt.
‘I close at six-thirty sharp except by special appointment.’
‘Hatty, it’s Augusta.’"|"Travels With My Aunt"|"Graham Greene"
12:00|noon|"‘At most times it would have been inconvenient,’ she said. ‘Curran was not to be trusted as a father and by the time I knew Mr Visconti the hour was really getting late – not too late of course, but a child belongs to the dawn hours, and with Mr Visconti one was already past the blaze of noon. In any case I would have made a very unsatisfactory mother. God knows where I would have dragged the poor child after me, and suppose he had turned out completely respectable …’"|"Travels With My Aunt"|"Graham Greene"
"ap < 11:00"|"before eleven"|"‘He traded too much on his luck. Everything had gone so easily for six months. When I went shopping I always went out by the Rue de Rivoli. When I had shopped enough I would take tea at W. H. Smith’s bookshop. And Louise was, of course, usually occupied in the afternoons. She shopped in the morning when I was engaged, for Monsieur Dambreuse never rose before eleven, and she always left the hotel by the Rue Saint-Honoré. Then one day the spirit of devilry took him. It was a weekend and he had led his wife and two younger children to the Louvre to look at the Poussins. Afterwards his family wanted tea and his wife suggested the Ritz. “It’s too noisy,” he told her, “it’s like a parrot cage of dowagers. Now I know a quiet little garden where nobody ever comes …” The trouble that afternoon was that both of us came – I and Louise."|"Travels With My Aunt"|"Graham Greene"
"> 00:00"|"just after midnight"|"THE Orient Express left the Gare de Lyon just after midnight. The two of us had spent an exhausting day – first at Versailles, which my aunt curiously enough was seeing for the first time (she found the palace a little vulgar). ‘I didn’t get very far afield,’ she told me, ‘in the days of Monsieur Dambreuse, and in earlier times when I lived in Paris I was much too occupied.’"|"Travels With My Aunt"|"Graham Greene"
08:00|"8 a.m."|"That night at the Gare de Lyon I saw my aunt into her couchette and ordered her petit déjeuner from the conductor for 8 a.m. Then I waited on the platform for the train from London to come in from the Gare du Nord. It was five minutes late, but the Orient Express had to wait for it."|"Travels With My Aunt"|"Graham Greene"
01:00|"one o’clock in the morning"|"‘He pulled out in time with what was left of my money and what was left of his wife’s and to do him justice he had settled some of mine on Mario. Of course he disappeared for a while, but he came back after things had quietened down. The Vatican made a very profitable deal, you remember, with Mussolini, so that what they lost to Mr Visconti seemed very small beer indeed. He had left me enough to live on in a modest way, but I had never been very keen on modesty. Life was very monotonous after Mr Visconti disappeared. I even visited Havana, as I told you, and afterwards I went back to Paris for a while (Mario was with the Jesuits in Milan) – that was when I met Monsieur Dambreuse. But when the affair was over I came back to Rome. I always hoped that one day Mr Visconti would turn up again. I had a two-roomed apartment, and I did a little part-time work in an establishment behind the Messaggero. Life was very middle-class after all the Arabs and the cardinals. I had been spoilt by Curran and Mr Visconti. No men have ever given me more amusement than those two did. Poor Wordsworth!’ my aunt added. ‘He was not in the same league.’ She gave a very young laugh and laid her hand on my knee. ‘And then – Oh praise to the Holiest in the height, as Wordsworth is fond of saying – I was putting in a little part-time behind the Messaggero when who should walk into the reception room but Mr Visconti. A pure coincidence. He wasn’t looking for me. But how happy we were. How happy. Just to see each other again. The girls didn’t understand when we joined hands then and there and danced between the sofas. It was one o’clock in the morning. We didn’t go upstairs. We went straight out into the lane outside. There was a drinking fountain shaped like an animal’s head, and he splashed my face with water before he kissed me.’"|"Travels With My Aunt"|"Graham Greene"
"< 21:30"|"nearly nine-thirty in the evening"|"It was nearly nine-thirty in the evening when we arrived at Sezana. A surly passport man looked at us as though we were Imperialist spies. Old women heavily laden with small parcels came down the unplatformed track making for the third-class. They emerged from everywhere like a migration, even from between the goods trucks which stood uncoupled all along the line looking as though they would never be linked together. No one else joined the train: no one got off. There were no lights, no waiting-room in sight, it was cold and the heating had not been turned on. On the road beyond – if there was a road – no cars passed. No railway hotel offered a welcome."|"Travels With My Aunt"|"Graham Greene"
00:00|midnight|"We drove several miles along the sea of Marmara and came to a stop outside a plain uninteresting building marked ‘West Berlin Hotel’. Nothing could have belonged less to the Istanbul of my imagination. It was three square storeys high and might well have been built among the ruins of Berlin by a local contractor at low cost. The driver led the way into a hall which occupied the whole ground space of the hotel. A young woman stood by a small piano and sang what I supposed were sentimental songs to an audience of middle-aged men in their shirt-sleeves sitting at big tables drinking beer. Most of them, like my own driver, had big grey moustaches, and they applauded heavily and dutifully when the song was over. Glasses of beer were placed in front of us, and the driver and I drank to each other. It was good beer, I noticed, and when I poured it on top of all the raki and the wine I had already drunk, my spirits rose. In the young girl I saw a resemblance to Tooley, and in the heavy men around me I imagined – ‘Do you know General Abdul?’ I asked the driver. He hushed me quickly. I looked around again and realized that there was not a single woman in the big hall except the young singer, and at this moment the piano stopped and with a glance at the clock, which marked midnight, the girl seized her handbag and went out through a door at the back. Then, after the glasses had been refilled, the pianist struck up a more virile tune, and all the middle-aged men rose and put their arms around each other’s shoulders and began to dance, forming circles which they enlarged, broke and formed again."|"Travels With My Aunt"|"Graham Greene"
"ap 10:00"|ten|"A year before my mother had come to me for Christmas dinner, and without the aid of Chicken I had cooked a turkey quite successfully under her directions, then we had sat almost silent, like strangers in a restaurant-car, both of us feeling that we had eaten too much, until she left at ten. Afterwards I had, as was my habit, attended the midnight service with carols at St John’s. This year, since I had no wish to cook a meal for myself alone, I booked a table for dinner at the Abbey Restaurant off Latimer Road. It proved a mistake. I had not realized they were mounting a special menu with turkey and plum pudding to attract the lonely and the nostalgic from all over Southwood. Before I left home I had rung my aunt’s number in the vain hope that she might have returned just in time for Christmas, but the bell tolled and tolled in the empty flat, and I could imagine the noise setting all the Venetian glasses atinkle."|"Travels With My Aunt"|"Graham Greene"
00:00|midnight|"A year before my mother had come to me for Christmas dinner, and without the aid of Chicken I had cooked a turkey quite successfully under her directions, then we had sat almost silent, like strangers in a restaurant-car, both of us feeling that we had eaten too much, until she left at ten. Afterwards I had, as was my habit, attended the midnight service with carols at St John’s. This year, since I had no wish to cook a meal for myself alone, I booked a table for dinner at the Abbey Restaurant off Latimer Road. It proved a mistake. I had not realized they were mounting a special menu with turkey and plum pudding to attract the lonely and the nostalgic from all over Southwood. Before I left home I had rung my aunt’s number in the vain hope that she might have returned just in time for Christmas, but the bell tolled and tolled in the empty flat, and I could imagine the noise setting all the Venetian glasses atinkle."|"Travels With My Aunt"|"Graham Greene"
"ap 11:15"|"quarter past eleven"|"I arrived at St John’s Church by a quarter past eleven. The service always began at half past eleven so as to distinguish it from the Roman Catholic Midnight Mass. I had begun to attend when I first became the bank manager, for it gave me a stable family air if I were seen at the service, and though, unlike Aunt Augusta, I have no religious convictions, I could be there without hypocrisy since I have always enjoyed the more poetic aspects of Christianity. Christmas, it seems to me, is a necessary festival; we require a season when we can regret all the flaws in our human relationships: it is the feast of failure, sad but consoling."|"Travels With My Aunt"|"Graham Greene"
"ap 11:30"|"half past eleven"|"I arrived at St John’s Church by a quarter past eleven. The service always began at half past eleven so as to distinguish it from the Roman Catholic Midnight Mass. I had begun to attend when I first became the bank manager, for it gave me a stable family air if I were seen at the service, and though, unlike Aunt Augusta, I have no religious convictions, I could be there without hypocrisy since I have always enjoyed the more poetic aspects of Christianity. Christmas, it seems to me, is a necessary festival; we require a season when we can regret all the flaws in our human relationships: it is the feast of failure, sad but consoling."|"Travels With My Aunt"|"Graham Greene"
00:00|Midnight|"I arrived at St John’s Church by a quarter past eleven. The service always began at half past eleven so as to distinguish it from the Roman Catholic Midnight Mass. I had begun to attend when I first became the bank manager, for it gave me a stable family air if I were seen at the service, and though, unlike Aunt Augusta, I have no religious convictions, I could be there without hypocrisy since I have always enjoyed the more poetic aspects of Christianity. Christmas, it seems to me, is a necessary festival; we require a season when we can regret all the flaws in our human relationships: it is the feast of failure, sad but consoling."|"Travels With My Aunt"|"Graham Greene"
"ap 03:00"|"three o’clock"|"When I reached the Crown and Anchor I looked cautiously in at the window of the saloon bar. Why cautiously? I had every right to be there – it was still opening time. The day was grey with a threat of snow and the customers were all pressing against the bar to get their last refill before three o’clock. I could see the back of the girl, who was still in jodhpurs, and a large hairy hand laid against it. ‘Another double’, ‘Pint of best bitter’, ‘Double pink’. The clock stood at two minutes to three. It was as though they were whipping up their horses on the last straight before the winning post, and there was a great deal of irregular crowding. I found the right key to open the side-door and climbed the stairs. On the second landing I sat down for a moment on my aunt’s sofa. I felt as illicit as a burglar and I listened for footsteps, but of course there was only the buzz and murmur of the bar."|"Travels With My Aunt"|"Graham Greene"
"ap 02:58"|"two minutes to three"|"When I reached the Crown and Anchor I looked cautiously in at the window of the saloon bar. Why cautiously? I had every right to be there – it was still opening time. The day was grey with a threat of snow and the customers were all pressing against the bar to get their last refill before three o’clock. I could see the back of the girl, who was still in jodhpurs, and a large hairy hand laid against it. ‘Another double’, ‘Pint of best bitter’, ‘Double pink’. The clock stood at two minutes to three. It was as though they were whipping up their horses on the last straight before the winning post, and there was a great deal of irregular crowding. I found the right key to open the side-door and climbed the stairs. On the second landing I sat down for a moment on my aunt’s sofa. I felt as illicit as a burglar and I listened for footsteps, but of course there was only the buzz and murmur of the bar."|"Travels With My Aunt"|"Graham Greene"
"ap 08:00"|eight|"WHILE the ship was tugged out into the yellow tidal rush and the untidy skyscrapers and the castellated customs house jerked away, as though they rather than the ship were at the end of the rope, I thought of that distant day’s depression and of how wrong my fears had proved. It was eight on a July morning and the sea-birds wailed like the cats in Latimer Road and the clouds were heavy with coming rain. There was one break of sunlight over La Plata which gave the dull river a single silver streak, but the brightest spot in the sombre scape of water and shore was the flames from gas pipes flapping against the black sky. There were four days ahead of me, up the Plata, the Paraná and the Paraguay, before I joined my aunt, and I left the Argentine winter for my over-heated cabin and began to hang up my clothes and arrange my books and papers into a semblance of home."|"Travels With My Aunt"|"Graham Greene"
"ap 11:30"|eleven-thirty|"There was the restlessness of departure about the ship. Lunch, as I learnt, was to be served at the curious hour of eleven-thirty, but until that time the passengers could no more settle than can the passengers on a Channel crossing. They came up and down the stairs, they looked at the bar and inspected the bottles and went away again without ordering a drink. They streamed into the dining-room and out again, they sat down for a moment at a table in the lounge, then rose to look through a porthole at the monotonous river scene which was to be with us for the next four days. I was the only one to take a drink. There was no sherry, so I took a gin and tonic, but the gin was Argentinian, though the name was English, and had a foreign flavour. The low wooded shore of what I took to be Uruguay unrolled in the misty rain which now began to clear the decks. The water of the river was the colour of coffee with too much milk."|"Travels With My Aunt"|"Graham Greene"
01:00|"one in the morning"|"‘It was most awkward,’ my aunt said, ‘income tax demands came in – exorbitant as usual – and every time I tried to telephone to Mr Pottifer I heard the answering service, “Mr Pottifer is at a meeting of the Commissioners. He will call you back.” This went on for nearly a fortnight, and then it occurred to me to ring him up at one in the morning. The answer was just the same: “Mr Pottifer is at a meeting of the Commissioners …” Then I knew something was wrong. It all came out in the end. He had been dead for three weeks, but in his will he had insisted that his brother should keep on the telephone and make an arrangement with the answering service.’"|"Travels With My Aunt"|"Graham Greene"
"< 02:00"|"nearly two in the morning"|"O’Toole came towards us and I saw a chance of escaping, for I was feeling very tired and my ear hurt. I said, ‘This is Maria. She is studying English literature like your daughter.’ He was a sad and serious man. They would get on well together. It was nearly two in the morning. I wanted to find some unobtrusive corner where I could sleep a while, but half-way across the lawn I found the Czech in conversation with Mr Visconti. Mr Visconti said, ‘Henry, we have an offer.’"|"Travels With My Aunt"|"Graham Greene"
