12:00|noon|"My grandmother Anna Bronski sat in her skirts late one October afternoon at the edge of a potato field. You could have seen how expertly my grandmother raked the limp potato tops into tidy piles that morning, ate a hunk of bread at noon smeared with dripping and sweetened with syrup, dug through the field one last time, and sat at last in her skirts between two nearly full baskets. Before the upturned and inwardly tilted soles of her boots, flaring up asthmatically from time to time and sending a flat layer of troubled smoke across the slightly tilted crust of the soil, smoldered a potato-top fire. The year was eighteen ninety-nine, she sat in the heart of Kashubia, near Bissau, nearer still to the brickworks, this side of Ramkau she sat, beyond Viereck, facing the road to Brentau, between Dirschau and Karthaus, with her back toward the black forest of Goldkrug she sat, shoving potatoes under the hot ashes with the charred tip of a hazel stick."|"The Tin Drum"|"Gunter Grass"
12:00|noon|"Even as they steal, murder, and set fires, the most dangerous of thieves, murderers, and arsonists are on the lookout for a more respectable trade. By effort or luck, some get that chance: Koljaiczek in the guise of Wranka made a good husband, and was so thoroughly cured of the fiery vice that the mere sight of a match made him tremble. A box of matches lying openly and smugly on the kitchen table was never safe from him, even though he might well have invented them. He cast temptation out the window. My grandmother had a hard time getting a hot lunch on the table by noon. The family often sat in darkness for lack of a match to light the oil lamp."|"The Tin Drum"|"Gunter Grass"
04:00|"four that morning"|"It all began in August of nineteen-thirteen, when, as he did toward the end of each summer, Koljaiczek helped man the great raft that floated down from Kiev by way of the Pripet, through the canal, along the Bug as far as Modlin, and from there on down to the Vistula. Twelve raftsmen in all, they steamed upriver on the tugboat Radaune, operated by the sawmill, from Westlich Neufähr along the Dead Vistula as far as Einlage, then up the Vistula past Käsemark, Letzkau, Czattkau, Dirschau, and Pieckel, and tied up that evening at Thorn. There the new sawmill manager came on board, sent to oversee the purchase of timber in Kiev. When the Radaune cast off at four that morning he was said to be on board. Koljaiczek saw him for the first time at breakfast in the galley. They sat opposite each other, chewing, and slurping barley coffee. Koljaiczek recognized him at once. The stout, prematurely bald man had vodka brought for the empty coffee cups. Still chewing, and while the vodka was being poured at the end of the table, he introduced himself: “Just so you know, I’m the new boss, Dückerhoff, and I run a tight ship.”"|"The Tin Drum"|"Gunter Grass"
19:25|"nineteen twenty-five"|"I was a handsome child. The picture was taken on Whitsuntide, nineteen twenty-five. I was eight months old, two months younger than Stephan Bronski, who appears on the very next page in the same format, radiating an indescribable ordinariness. The postcard has a scal loped edge, its verso lined for the address, no doubt printed in bulk for use by the family. The photographic portion of the extended rectangle is in the shape of an overly symmetrical egg. Nude and symbolizing the egg’s yolk, I lie on my tummy on a white fur pelt that some arctic polar bear must have donated to an East European professional specializing in children’s photographs. As with many photos of that period, they have chosen for my first image the warm, unmistakable sepia tone that I would term human, as opposed to the inhuman glossy black-and-white photos of our day. Dull, blurred foliage, no doubt painted, provides the dark background, relieved by a few flecks of light. While my smooth, healthy body rests tranquilly angled on the fur pelt, basking in the polar bear’s native habitat, I hold my rounded baby’s head strained upward, and regard with shiny eyes the various spectators of my nakedness."|"The Tin Drum"|"Gunter Grass"
19:26|"nineteen twenty-six"|"Later I was no longer placed on polar-bear rugs. At eighteen months I must have been pushed along in a high-wheeled baby buggy past a fence whose pointed laths and crossbars are so clearly outlined by a layer of snow that I can only assume the picture was taken in January of nineteen twenty-six. The crude construction of the fence, its wood smelling of tar, connects it for me, on further observation, with the suburb of Hochstrieß, whose extensive barracks once sheltered Mackensen’s Hussars and in my time the Free State Police. Since I can’t recall anyone who lived in that suburb, however, the picture must have been taken on the occasion of a single visit my parents paid to people they never saw again, or saw only rarely."|"The Tin Drum"|"Gunter Grass"
19:28|"nineteen twenty-eight"|"To limit the damage, for I’ve always loved fine glassware, I restricted myself, when they tried to take my drum away at night, even though it belonged in bed with me, to punishing one or more light bulbs from the fourfold effort of our living room lamp. Thus on my fourth birthday, in early September nineteen twenty-eight, I plunged the entire assembled birthday company—my parents, the Bronskis, Grandmother Koljaiczek, the Schemers, and the Greffs, who had given me everything under the sun: tin soldiers, a sailing ship, a fire engine, but no tin drum—plunged the whole lot of them, who wanted me to waste my time playing with tin soldiers, with all this fire-engine nonsense, who begrudged me my battered but trusty drum, who planned to take it away and palm off on me instead a silly little ship with the top sails set all wrong, all those with eyes only to overlook me and my wishes—I plunged them all, with an expanding circular scream that slew all four light bulbs of our hanging lamp, into primeval darkness."|"The Tin Drum"|"Gunter Grass"
"ap 10:00"|ten|"I skimmed the slip of paper, found little new there: breakfast at ten, meditation till lunch, a nap after lunch for an hour, then coffee—back to bed if possible, an hour of flute sitting in bed, up out of bed and an hour of bagpipes marching round the room, half an hour of bagpipes in the courtyard, every other day two hours for beer and blood sausage or two hours of movies, but in either case, before beer or movies, discreet propaganda for the illegal German Communist Party—half an hour—don’t overdo it! Evenings were filled three times a week playing dance music at the Unicorn, on Saturday afternoon beer and Party propaganda were postponed till evening, afternoon being reserved for a bath including massage on Grunstraß; followed by forty-five minutes of hygiene in U9 with a girl, then coffee and cake with this same girl and her girlfriend at Schwab’s, a shave just before closing time, if necessary a haircut, a quick photo at the photomat, then beer, blood sausage, Party propaganda, and relaxation."|"The Tin Drum"|"Gunter Grass"
16:30|"four-thirty in the afternoon"|"On every visit, at precisely four-thirty in the afternoon, Mama would ask Sigismund if she could leave me, Oskar, at the shop in his care, since she had important and pressing errands to attend to. Smiling oddly, Markus would bow and promise in flowery phrases to protect me like the apple of his eye while she took care of her important errands. A very gentle, by no means offensive mockery, which gave his sentences a peculiar intonation, made Mama blush on occasion and suspect that Markus knew what was what."|"The Tin Drum"|"Gunter Grass"
"ap 04:30"|four-thirty|"So at Jan’s request I spent almost every Thursday afternoon from four-thirty till nearly six at Sigismund Markus’s, where I could inspect and use his assortment of tin drums, even play several at once—where else could Oskar have done that?—while gazing into the hangdog face of Markus. Though I had no idea where his thoughts came from, I had a pretty good idea where they were headed: they hung around Tischlergasse, scratched at the numbered doors of rooms, or crouched like poor Lazarus beneath a marble table at the Café Weitzke, waiting for what? For crumbs?"|"The Tin Drum"|"Gunter Grass"
12:00|noon|"There were several occasions each week when he could wear this uniform, but Matzerath contented himself with joining the Sunday rallies on the Maiwiese by the Sporthalle. These, however, he never missed, appearing doggedly in even the worst weather, refusing to carry an umbrella when in uniform, and repeating time and again what was soon to become a stock phrase. “Duty is duty,” Matzerath would say, “and schnapps is schnapps”; then, having prepared the noon roast in advance, he would say goodbye to Mama on Sunday mornings, and leave me in an embarrassing position, for Jan Bronski, who was well aware of the new political situation on Sundays, called on my abandoned mama in his straightforward civilian way while Matzerath was standing among the rank and file."|"The Tin Drum"|"Gunter Grass"
"ap 09:30"|nine-thirty|"Matzerath was out of the apartment by nine. I’d helped him polish his brown leather puttees so he could leave the house on time. Even at that early hour it was unbearably hot, and dark stains were spreading under the arms of his Party shirt before he even got outside. At nine-thirty on the dot Jan Bronski turned up in an airy, light-colored summer suit with perforated, delicate-gray oxfords, wearing a straw hat. Jan played with me for a while, but even as he played he couldn’t keep his eyes off Mama, who had washed her hair the night before. I soon realized that my presence was hindering their conversation, making them feel awkward, and limiting Jan’s movements. Those lightweight summer trousers were clearly becoming a little too tight for him, so I toddled off, following in Matzerath’s footsteps, though I didn’t see him as my model. Carefully avoiding streets filled with uniformed men surging toward the Maiwiese, I approached the parade grounds for the first time by way of the tennis courts next to the Sporthalle. Thanks to this detour I had a rear view of the grandstand."|"The Tin Drum"|"Gunter Grass"
19:37|"nineteen thirty-seven"|"On the eighteenth of January, nineteen thirty-seven, on crunchy, hard-trodden snow, in a night that smelled of more snow to come, smelled of all the snow a person who wished to leave it all up to the snow could possibly want, I saw Jan Bronski cross higher up the street on the right from where I was posted, pass the jewelry store without glancing up, then hesitate, or better yet pull up, as if in response to a challenge; he turned, or was turned—and there Jan stood, before the shop window, among the hushed maples laden in white."|"The Tin Drum"|"Gunter Grass"
"> 00:00"|"after midnight"|"How my voice’s impotence pained me the year before I was sent to the institution. If, on some street at night, I released a scream longing for success and yet achieved none, I, who abhor all violence, was quite capable of picking up a stone from some wretched suburban lane in Düsseldorf and taking aim at a kitchen window. I would have been so glad to put on a show, especially for Vittlar, the window dresser. If after midnight, his upper body screened by a curtain, I recognized his green and red wool socks in the window of some men’s store on Königsallee or at a perfume shop near the old Concert Hall, I would gladly have sung-shattered glass for him, since he is in fact my disciple, or might be, for I still don’t know if I should call him Judas or John."|"The Tin Drum"|"Gunter Grass"
"ap 01:50"|One-fifty|"When Matzerath caught up with us, he waved the bundle of eels about and bragged, “One-fifty he wanted. But I gave him a gulden and basta!”"|"The Tin Drum"|"Gunter Grass"
00:00|Midnight|"So I was cut off from the Altstadt, the office of Dr. Hollatz, the Church of the Sacred Heart. I’d lost all interest in rallies. And how was I supposed to lure passersby to shop windows when even the tempter’s trade now seemed bland and insipid to Oskar? There was no more Mama to take me to the Stadt-Theater for the Christmas play, or to the Krone or Busch circus. Conscientiously if somewhat morosely, I pursued my studies on my own, tediously tracing the rectilinear streets of the suburb toward Kleinhammerweg to visit Gretchen Scheffler, who told me of Strength through Joy trips to the Land of the Midnight Sun, while I kept on comparing Goethe with Rasputin, never coming to the end of such comparisons, escaping that constant cycle of radiance and darkness most often through historical studies. A Struggle for Rome, Keyser’s History of the City of Danzig, and Köhler’s Naval Calendar, my old standard works, gave me a worldwide half knowledge. To this very day I can give you precise details on the armor, firepower, launching, manufacture, and crew strength of every ship that participated, sank, or was damaged in the Battle of Skagerrak."|"The Tin Drum"|"Gunter Grass"
