19:14|1914|"Until the Chronological Institute has completed its present
labours of revision and defined the cardinal dates in our social
evolution, it is best to refer our account of the development of
man's mind and will throughout this hectic period of human
experience to the clumsy and irrelevant computation by centuries
before and after the Christian Era, that is still current. As we
have explained more fully in a previous book [Nothing of this
is to be found in Raven's notes.--ED.], we inherit this
system of historical pigeonholes from Christendom; that arbitrary
chequerwork of hundred-year blocks was imposed upon the entire
Mediterranean and Atlantic literatures for two thousand years,
and it still distorts the views of history of all but the
alertest minds. The young student needs to be constantly on his
guard against its false divisions. As Peter Lightfoot has
remarked, we talk of the ""eighteenth century"", and we think of
fashions and customs and attitudes that are characteristic of a
period extending from the Treaty of Westphalia in C.E. [Christian
Era] 1642 to the Napoleonic collapse in C.E. 1815; we talk of the
""nineteenth century"", and the pictures and images evoked are
those of the gas-lighting and steam-transport era, from after the
distressful years of post-Napoleonic recovery to the immense
shock of the World War in C.E. 1914. The phase ""twentieth
century"", again, calls forth images of the aeroplane, the
electrification of the world and so forth; but an aeroplane was
an extremely rare object in the air until 1914 (the first got up
in 1905), and the replacement of the last steam railway train and
the last steamship was not completed until the nineteen-forties.
It is a tiresome waste of energy to oblige each generation of
young minds to learn first of all in any unmeaning pattern of
centuries and then to correct that first crude arrangement, so
that this long-needed revision of our chronology is one that will
be very welcome to every teacher. Then from the very outset he or
she will be able to block out the story of our race in
significant masses."|"The Shape of Things to Come"|"H. G. Wells"
05:00|"five o'clock in the morning"|"He had not led his expeditionary force in Europe, even
nominally, for more than five weeks. He had kept to his Norwegian
hotel, avoided his more enthusiastic associates, started a
vigorous reduction of his financial commitments, and finally
bolted home. He deserted. He left his hotel at Christiania,
stealthily, at five o'clock in the morning, and, in spite of the
pleadings of those of his party who, warned at the last minute,
tumbled out of bed to protest, he got away. Before the year was
out he had ceased even financial support, and the various men and
women who had abandoned careers and positions and faced ridicule
and odium in complete faith in his simplicity were left to find
their way back to their former niches or discover fresh ones."|"The Shape of Things to Come"|"H. G. Wells"
"> 19:30"|"after 1930"|"There had been a considerable if inadequate building boom
after the Peace of Versailles, but after 1930 new construction
fell off more and more. Yet some builders found work, necessary
repairs were attended to, burnt-out houses were reconditioned,
for example. In 1935 and 1937 the world was swept by influenza
epidemics of unusual virulence. The lowered resistance, already
noted by the statisticians, was now made conspicuous by this
return towards mediæval conditions; but the doctors and
nurses stuck to their duties stoutly and the druggists and
undertakers, whose affairs had long since been reorganized on Big
Business lines, profited."|"The Shape of Things to Come"|"H. G. Wells"
12:00|midday|"""When first I saw the town from a distance, with the bleak,
bare uplands about it, I was reminded of the towns, once
familiar, that were too near the battleline in France. It was
midday, and sunny, yet this colliery town was silent and so still
that it seemed under a spell."|"The Shape of Things to Come"|"H. G. Wells"
19:35|1935|"The ghost, says Canby, did not materialise because there was
no material. Every large country in the world was feeling its way
towards the essentials of a permanently progressive world-state
but none was yet within reach even of its partial and local
realisation. Roosevelt II and his eleventh hour effort to
reconstruct America, he finds particularly interesting. The
President was clearly aware of the need to relieve debt by
inflation, but he was unable to check the dissipation of the
liberated energy in speculation. He was dealing with men, trained
and saturated in the tradition of poker, to whom a solemn cunning
had become a second nature, and he was asking them (with
occasional fierce threats) to display an open-faced helpfulness.
He had no proper civil service available to control large public
works; it was impossible to change the American technicians at
one blow from quasi-financial operators to a candid, devoted
public salariat. So he tried to induce profiteers to forego
profits and organise their industries on altruistic lines by dire
threats of socialisation which he had no managing class to
enforce. And he was as ignorant of British or European mentality
and as little able to get to an understanding with it as Wilson
had been before him. It was a mutual misunderstanding, but his
manners were self-righteous and provocative. He began to scold
long before the Conference was over. By 1935 everyone was
pointing to a sort of contrasted parallelism between America and
Russia. Each was manifestly struggling towards a more
scientifically organised state, and each was finding the same
difficulty in reconciling productive efficiency in the general
interest with primarily political control. Technician and
politician had still to be assimilated one to the other. Each
great dictatorship was at war with the speculator and the
profiteer. Each professed a faint hope of cosmopolitan
cooperation and then concentrated practically and urgently upon
the establishment of an internal prosperity. But they started
towards that common objective from opposite poles of productive
efficiency and social assumption. Roosevelt started from the
standpoint of democratic individualism and Stalin from that of
Marxist communism. The British system and the other intermediate
countries of the world struggled to be conservative in the chaos
of financial collapse. No solvent had yet been devised to
synthesise the good will in the world."|"The Shape of Things to Come"|"H. G. Wells"
"> 19:40"|"after 1940"|"No man, woman or child that ""mattered"" went about ""unshadowed""
after 1940. After the middle nineteenth century women had made
great advances toward personal freedom. About 1912 a pretty girl
in her teens might have taken a knapsack and marched off alone
through the northern states of Europe or America in perfect
safety, unmolested. All this freedom vanished during the age of
insecurity. Women ceased to go about without an escort even in
the towns. It was not until 2014 that there was any real return
towards the former common liberties of the young and weak and
gentle. There was on the part of women, as the novels of the time
reveal, a survival of social fear in human life, the fear of
going alone, until the middle of the twenty-first century."|"The Shape of Things to Come"|"H. G. Wells"
"~ 19:12"|"About 1912"|"No man, woman or child that ""mattered"" went about ""unshadowed""
after 1940. After the middle nineteenth century women had made
great advances toward personal freedom. About 1912 a pretty girl
in her teens might have taken a knapsack and marched off alone
through the northern states of Europe or America in perfect
safety, unmolested. All this freedom vanished during the age of
insecurity. Women ceased to go about without an escort even in
the towns. It was not until 2014 that there was any real return
towards the former common liberties of the young and weak and
gentle. There was on the part of women, as the novels of the time
reveal, a survival of social fear in human life, the fear of
going alone, until the middle of the twenty-first century."|"The Shape of Things to Come"|"H. G. Wells"
20:14|2014|"No man, woman or child that ""mattered"" went about ""unshadowed""
after 1940. After the middle nineteenth century women had made
great advances toward personal freedom. About 1912 a pretty girl
in her teens might have taken a knapsack and marched off alone
through the northern states of Europe or America in perfect
safety, unmolested. All this freedom vanished during the age of
insecurity. Women ceased to go about without an escort even in
the towns. It was not until 2014 that there was any real return
towards the former common liberties of the young and weak and
gentle. There was on the part of women, as the novels of the time
reveal, a survival of social fear in human life, the fear of
going alone, until the middle of the twenty-first century."|"The Shape of Things to Come"|"H. G. Wells"
"> 19:32"|"after
1932"|"Even before the Central European fighting in 1940 and the
subsequent years, the distribution of various disease germs was
no longer a merely theoretical possibility. Little containers,
made to look like fountain pens, were already being manufactured.
The caps could be removed to expose soluble ends, and then they
could be dropped into reservoirs or running streams. Glass bombs
also existed for use from aeroplanes, railway-train windows and
so forth, which would break on hitting water. There are specimens
in the Aldershot Museum. The enrolment and territorial
organization of medical men and trained assistants to inoculate
threatened populations went on with increasing vigour after
1932."|"The Shape of Things to Come"|"H. G. Wells"
"> 19:45"|"after 1945"|"But there was a certain hesitation about the use of disease
germs. It is easy to distribute them but hard to limit their
field of action, and if prisoners (military or civilian) were
still to be taken and towns and territory occupied, a well
launched pestilence might conceivably recoil with deadly effect
upon its users. Bacterial warfare seemed, even to the specialists
who studied it, a very improbable method for any but an
heroically vindictive population in the hour of defeat.
Nevertheless it was thought best to have it worked out. Except
for the distribution of malignant influenza in Kan-su and Shensi
by the Japanese during their efforts to tranquillize North China
in 1936, ""without proceeding to extremities"", its use was never
officially admitted. Other alleged instances of its deliberate
employment by responsible Powers have been shown by the
researches of the Historical Bureau to have been due either to
the unauthorized zeal of subordinates or to the activities of
those religious fanatics who became so prevalent during the
period of confusion after 1945. The acclimatization of the
mosquito transmitting yellow fever in India in 1950, which did so
much to diminish the population of that peninsula, has never been
explained. It is generally supposed to have been accidental."|"The Shape of Things to Come"|"H. G. Wells"
"~ 13:00"|"about one o'clock in the
afternoon"|"Now again Germany has ""asked for it"" and Poland was leaping to
the occasion. The War Offices pressed their bell buttons. The
printing machines of Paris, London and New York were still busy
with various misstatements about the murdered commercial
traveller, while the Polish and German air patrols were in
conflict all along the fatal boundary. That dental plate
apparently began to feel uncomfortable about one o'clock in the
afternoon of Friday, January 4th, 1940. On Saturday, about three
o'clock in the afternoon, Michael Koreniovsky, the Polish ace,
after a brilliant fight with three antagonists, fell flaming out
of the sky into the crowded Langgasse of Danzig and set fire to
the Rathaus."|"The Shape of Things to Come"|"H. G. Wells"
"~ 15:00"|"about three
o'clock in the afternoon"|"Now again Germany has ""asked for it"" and Poland was leaping to
the occasion. The War Offices pressed their bell buttons. The
printing machines of Paris, London and New York were still busy
with various misstatements about the murdered commercial
traveller, while the Polish and German air patrols were in
conflict all along the fatal boundary. That dental plate
apparently began to feel uncomfortable about one o'clock in the
afternoon of Friday, January 4th, 1940. On Saturday, about three
o'clock in the afternoon, Michael Koreniovsky, the Polish ace,
after a brilliant fight with three antagonists, fell flaming out
of the sky into the crowded Langgasse of Danzig and set fire to
the Rathaus."|"The Shape of Things to Come"|"H. G. Wells"
