"ap 01:00"|one|"It was scarcely worth waiting for. As ceremonious as the preparation had been, the slaughter happened with no ceremony at all. The sheep lifted her head and the coyote trotted close and cut her throat with one swift open-fanged swipe. She knelt, folding her knees under her a good deal like the Lamb in pictures of the Holy Family, and died. It was so simple and she was so quiet about it that it scarcely seemed a finish to anything. But it was one, as the coyote proceeded to demonstrate sickeningly and unquestionably. He took a good long look around, and then dropped his muzzle and lapped the fresh blood under the sheep's chin."|"Honey in the Horn"|"H. L. Davis"
"ap 07:00"|seven|"He didn't feel guilty about letting the Indian boy go it alone. There had been times that he could hardly have got through without him—the night with the drowning sheep, the night in Wade Shiveley's hide-out. But he didn't believe there were any times ahead of him that he would need help with—not that kind of help, at least—and the only sensation he felt was relief because the faint flute-twittering supplied a little extra material for conversation with the girl. Couples in that country made an important point of keeping up talk about something when they were alone together. Not that they underrated the beauty of wordless communion of spirits, but because merely sitting and lallygagging always brought to mind the case of the Scandinavian hired man in the lower valley who, after a fourteen-hour working-day, would tog up and hoof it nine miles to sit up with his girl, a quarter-breed cook for a neighboring farm. According to the story, they would sit from seven till past"|"Honey in the Horn"|"H. L. Davis"
00:00|midnight|"midnight on opposite sides of the kitchen without ever getting any further into the realms of practical discussion than—""Maybe I better go now, huh?"" ""Huhuh."" ""Uhuh, I better."" ""Huhuh, don't."" ""Why hadn't I better?"" ""'Cause."" ""'Cause what?"" ""Oh, 'cause."" Which ritual of reciprocal devotion was followed by another two hours of admiring silence and then the same rigmarole all over again. It seemed to fill all emotional requirements when the hired man and his girl did it, but it got out on them and people laughed at them. So other couples avoided such interchanges for fear of being considered like them. Clay and the horse-trader's girl talked at the gate and said everything they could think of without saying exactly what they wanted to till dark, and then they went in to one of old Simmons' company suppers. The difference between it and his company dinners and breakfasts was that there was lamplight to eat by and that instead of sliced venison-liver he had opened two cans of his preserved deer meat. He bragged on it a good deal while they ate it, but he was entitled to. A man would have had to do some reaching around to find a better way to cook deer meat than that."|"Honey in the Horn"|"H. L. Davis"
04:00|"four in the morning"|"After supper Simmons got sleepy. He always got up at four in the morning, though it wouldn't have mattered to anybody on earth if he had lain in bed till the next sundown. He spread down on the fir-bough pallet in his living-room. The horse-trader's wife and Luce brought their own beds in from the wagon and set them up in the kitchen, and the horse-trader and Clay went out to sleep in the haymow. Clay lay awake a long time, watching the moon through the log-chinks. The Indian boy was riding by that moon; probably he was knocking the feet off his red colt in the lava-beds below the deep snow already. Nobody would know till spring whether he had died in the pass or made it across. If he did die, the word would be sure to get around, because he could be identified by his crippled hands. But if he got through he might never be heard of again, because that eastern Oregon was so big a country. A man almost had to die in it to attract any notice."|"Honey in the Horn"|"H. L. Davis"
12:00|noon|"It was a pleasant change working with her. She was unshirking, lively, and good-humored with a kind of here-goes-nothing recklessness about her, though that might have been caused by the amount of notice their partnership let them in for. The hop-field had seemed a place where people minded their own business and let one another alone, but it wasn't any such thing. It was a good deal like an inquisitive-minded village, that had kept its identity, its social levels, and its inquisitiveness unaltered through all the moving around it did in the course of the year. Women left their work and came clear from the other end of the field to see how Clay and the woman looked since their consolidation. Men went out of their way to stroll past and look them over, and then carried the news to other men and strolled back with them to prove that they had told only the gospel truth. The rush of sightseers let up at noon because most of the pickers went back to camp for dinner. Clay and the woman ate theirs in the field under a hop-vine. It consisted of bread, butter, and corned beef out of a can, and while they were eating it Luce passed on her way in to camp. She got close before she noticed them, and she walked past without speaking. Clay had expected that, but he hadn't expected that it would make him feel"|"Honey in the Horn"|"H. L. Davis"
12:00|noon|"That was the time that wore people's nerves the hardest. Old squatters from the creek canyons bucked mud and wet brush and risked rheumatism for the sake of somebody to talk to, when all the good they got out of their visits was to pick quarrels and flounce back home to their heart-eating loneliness again. Even the Indians in the river village turned short-tempered, though they had had around forty generations of continuous residence to get accustomed to the climate in. The horse-trader and his wife lost flesh and color, squabbled incessantly, and split the blankets and whacked up the cooking-utensils to separate permanently at least once a week. No play-parties or dances went on, because the people who had lived that season out before knew there was no use trying to improve or lighten it. To Clay, it was the best time of all. He liked it so deeply that he deliberately avoided the company-hungry settlers for fear they would notice it on him and feel insulted about it. The raining-in of all the roads meant only that nobody would come across the mountains after him. Darkness and the storms jarring the ground and flattening trees made life pleasanter by showing how powerless all that strength was to hurt or disturb him. It was the same with Luce, and during all those days when they had to burn candles at noon to read by, he remembered how she had looked riding back from the beach with him ahead of a storm. They"|"Honey in the Horn"|"H. L. Davis"
"ap 00:30"|"half of one"|"He said he guessed not, trying to remember whether he really had left his weight-tickets in the wagon or not. He had a clear recollection that he had taken them all with him when he moved. The trouble was that he remembered with equal positiveness that he had taken his pistol along, too, and it had turned out that he hadn't moved it from the jockey-box on the wagon. It was his memory against her word, and his memory had let him down once, so he didn't dare trust it. ""Them weight-tickets of mine wasn't enough to buy that kind of rifle with,"" he pointed out. ""Nor half of one. I've got a few dollars besides, but it wouldn't be near enough to make up the difference."""|"Honey in the Horn"|"H. L. Davis"
"~ 10:00"|"about ten in the morning"|"They could work only during low tide, which that week came about ten in the morning and latened half-an-hour every day. Counting the pull out and back, they could count on a bare two hours to get things done before the tide swung and cut them off from shore. Axe-work was hard because the ship was teetered over at an angle. The deck, which was easiest to cut through, stuck so high out of the water that cutting it would do no good. They had to coon up the tilted hull and cut down through that, and the first two days they worked themselves to a frazzle without even loosening a plank. The third day went better. They made openings in two places, got a couple of cross-cut saws going on the ribs, and not only opened a hole big enough to throw flour out through, but had a great twenty-foot section  of hull  ready  to  stave in when the tide com-"|"Honey in the Horn"|"H. L. Davis"
"~ 12:00"|"about noon"|"""Not legally,"" Burdon said. ""But as a matter of keeping on the good side of public opinion, we try to keep up a kind of pretense at supervision. If one of these plug-uglies steals anything or shoots anybody, it'll be blamed on the train, and people will conclude that we're all potential thieves and shooters. Out here it doesn't make so much difference, but we've got settled country to cross yet, and then it will. And there's one or two of these new acquisitions that I wouldn't want to camp too close to on a dark night myself. Which reminds me that I had something to tell you. . . ."" He took a shot from his bottle, and tendered it to Clay absently. ""A man joined on today about noon, when we were getting down into the pine timber, and if he wasn't a trouble-maker by trade I'm a bad guesser and so is he. Rube and Bushnell were both somewhere else at the time. They usually are when there's any chance to put this ushering job off on me. So I had to handle him alone, and I'm not sure I did very well at it. Have another drink out of that flask, and pass it along."""|"Honey in the Horn"|"H. L. Davis"
"ap ~ 00:50"|"about ten to one"|"""And if you didn't you'd be plumb dead,"" Burdon pointed out. ""And likely you wouldn't, because he's had practice shooting men, and you haven't. And if you did pick a fight and down him, what would happen? You'd get hauled down to the head of the train, and old Sheldon and Foscoe Leonard and Lavran Baker would stand you up and try you for homicide. And they've got their heads so full of keeping this train orderly and law-abiding that it's about ten to one they'd cinch you."""|"Honey in the Horn"|"H. L. Davis"
12:00|noon|"They pulled east out of the region of town sites and real-estate fortunes to come, and traveled an everlastingly long stretch of dry grass-country. Few people lived in it. Most of them were poor and either scared to death of the chances they had taken in settling there or too ignorant to realize that they had taken any. Time on that pull was measured not by the alternation of days and nights, but by the places where there was water. When they found a spring not too strong with alkali, they camped, though it might not be noon yet. When there was none they kept on, even after dark, with chil-"|"Honey in the Horn"|"H. L. Davis"
"~ 11:00"|"about eleven in the morning"|"That was when she gave up attempting to hold onto her courage. The discovery that it was a thing that he had been half responsible for seemed to release her from any obligation to stand it steadily, and she turned on him, crying and accusing him, striking at him when he tried to make her lie quiet, and taxing him with indifference and neglect when he backed off and let her alone. That lasted all that day. When he dozed she woke him up and cried fiercely about his selfishness, callousness, cowardice, clutching him desperately so he wouldn't leave her and talking out spite and hatred of him in a shrill voice that was all the harder to stand because it sounded perfectly natural and calculated. There was nothing that she wanted him to do, nothing that he could do. What seemed to hurt her most was the injustice of her having to suffer for what they had both done. She hated him when he ate and when he tilted over and dozed, because she could not. The right word possibly would have soothed her, but he didn't know what the right word would be. He got up and took down his rope and bridle. It was then about eleven in the morning."|"Honey in the Horn"|"H. L. Davis"
"~ 12:00"|"about noon"|"that at times almost became sleep. It never got to be sleep entirely, for he had run himself to that nerve-wracking stage of being too hungry to sleep and too sleepy to eat. But he made out to rest, and at daylight he got up and hunted out his food again and ate. He peeled more bark for the mare and slept, this time soundly. It was about noon when the rattling of a wagon woke him. He could see it coming five miles off across the plain, with a great billow of white dust hoisting along behind it. He got up, pulled his packs together, and ate again while he waited for it to pull in."|"Honey in the Horn"|"H. L. Davis"
10:00|"ten in the morning"|"that he needed to be looked out for. He had once owned a ranch of his own, but he neglected it to follow a series of revival-meetings around the country, and the bank took it away from him. Then the community clubbed in and bought him a spring wagon and team, and gave him the contract to haul their kids to school morning and evening. He stuck to that faithfully until a protracted meeting hit the country, and that tempted him beyond his strength. He passed it at ten in the morning on his way back from school, and tied his team to a stump and glanced in to see what was going on. At eight in the evening he was still there, testifying to his own miracle of redemption, and his team got scared at a passing load of hay, ran away, and smashed wagon, harness, and themselves all to pieces. The threshing outfit was the community's final throw at keeping him going. He couldn't tie it up to attend prayer-meeting, because the men's wages went on whether they worked or not, and he couldn't take it to prayer-meeting with him, because it took up too much room and the men sat around outside and said bad words."|"Honey in the Horn"|"H. L. Davis"
