03:00|"3 A.M."|"Marjorie’s mother looked in on her sleeping daughter at half past ten of a Sunday
         morning with feelings of puzzlement and dread. She disapproved of everything she saw.
         She disapproved of the expensive black silk evening dress crumpled on a chair, the
         pink frothy underwear thrown on top of the dress, the stockings like dead snakes on
         the floor, the brown wilting gardenias on the desk. Above all she disapproved of the
         beautiful seventeen-year-old girl lying happily asleep on a costly oversize bed in
         a square of golden sunlight, her hair a disordered brown mass of curls, her red mouth
         streaked with cracking purplish paint, her breathing peaceful and regular through
         her fine little nose. Marjorie was recovering from a college dance. She looked sweetly
         innocent asleep; but her mother feared that this picture was deceptive, remembering
         drunken male laughter in the foyer at 3 A.M., and subdued girlish giggles, and tiptoeing
         noises past her bedroom. Marjorie’s mother did not get much sleep when her daughter
         went to a college dance. But she had no thought of trying to stop her; it was the
         way boys met girls nowadays. College dances had formed no part of the courtship manners
         of her own girlhood, but she tried to move with the times. She sighed, took the dying
         flowers to try to preserve them in the refrigerator, and went out, softly closing
         the door."|"Marjorie Morningstar"|"Herman Wouk"
02:00|"two o’clock that morning"|"Mrs. Morgenstern had been maintaining the opposite viewpoint not less recently than
         two o’clock that morning while waiting up nervously for Marjorie. This kind of discussion
         went on all the time between the parents. They could take either side with ease. It
         all depended on which one started to criticize the daughter. The father stared at
         his paper and the mother stared out of the window."|"Marjorie Morningstar"|"Herman Wouk"
"ap ~ 03:00"|"about three o’clock"|"There was a flurry of sympathy and suggestions. Sandy Goldstone cut it short by tossing
         his car keys on the table and picking Marjorie up easily in his arms. “She shouldn’t
         walk on it. I’ll carry her to a cab and get her to her house, Billy. If I’m not back
         in half an hour you drive the others home. I’ll phone you, Vera, about three o’clock.”"|"Marjorie Morningstar"|"Herman Wouk"
12:00|noon|"“Not Traub. Drobes. This is ridiculous.” George raised his voice. “I made the reservation
         at noon. For six o’clock.”"|"Marjorie Morningstar"|"Herman Wouk"
"ap 06:00"|"six o’clock"|"“Not Traub. Drobes. This is ridiculous.” George raised his voice. “I made the reservation
         at noon. For six o’clock.”"|"Marjorie Morningstar"|"Herman Wouk"
"ap 07:15"|"quarter past seven"|"The headwaiter took another look at the list. “Mr. Traub, sair,” he said in a tone
         of heartbroken reproach, “it is quarter past seven.”"|"Marjorie Morningstar"|"Herman Wouk"
"ap > 10:00"|"after ten"|"“Good Lord, no.” She looked at her watch. “Darling, do you know it’s after ten? We
         won’t get home till morning in all that traffic. Mama will have kittens. Let’s go.”"|"Marjorie Morningstar"|"Herman Wouk"
00:00|midnight|"“Well, Sunday night is bad,” said George. It took him ten minutes of narrow maneuvering
         to wedge into the solid westbound line. “Okay,” he said with relief, grinning at her,
         “homeward bound.” He reached over and tousled her hair, and she was unpleasantly reminded
         of Sandy Goldstone. “Don’t worry, you’ll be in your little brown bed by midnight.”
         He pulled the box of rings out of his pocket. “Take another look at them? I think
         they’re honeys.”"|"Marjorie Morningstar"|"Herman Wouk"
"ap > 09:00"|"after nine"|"Marjorie glanced at her wristwatch. “Another time. It’s after nine, my mom will be
         wondering what’s happened to me.”"|"Marjorie Morningstar"|"Herman Wouk"
"ap 00:48"|"twelve to one"|"The girls clasped hands. Marsha said, “We’re having lunch at the drugstore tomorrow.
         I just decided that. Or are we? Is your free hour twelve to one?”"|"Marjorie Morningstar"|"Herman Wouk"
