00:00|midnight|"After “Fear and Loathing in Las Vegas,” everything else he wrote was a full-on siege. Setting up the assignment was easy—Hunter was pretty much welcome everywhere and had the skills and instincts to run a presidential campaign if he had wanted. But then came the travel arrangements: hotels, tickets, researchers, rental cars. Later in the process, finding a place for him to hunker down and write—The Seal Rock Inn, Key West, Owl Farm, preferably isolated and with a good bar. Flying in IBM Selectric typewriters with the right typeface; booze and drugs (usually he had this part already done); arranging for a handler-assistant at his end. Back at Rolling Stone, I had to be available to read and edit copy as it came in eight-to-ten-page bursts via the Xerox telecopier (the Mojo Wire), a primitive fax using telephone lines that had a stylus that printed onto treated, smelly paper (at a rate of seven minutes per page). I had to talk to Hunter for hours, then track and organize the various scenes and sections. He would usually begin writing in the middle, then back up or skip around to write what he felt good about at the moment, reporting scenes that might fit somewhere later, or spinning out total fantasies  (“Insert ZZ” or “midnight screed”) that would also find a place—parts that were flights of genius. Generally the lede was easy, describing the invariably dramatic weather wherever he was writing from. Then a flurry of headlines and chapter headings and the transitions he had to produce on demand to create the flow and logic, and always, sooner or later, the conclusion, which we always called “the Wisdom.”"|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap 07:00"|"seven o’clock"|"We also needed vast quantities of ice and rum—and a satchel of brain-rattling drugs for those who wanted to finish the campaign on the highest possible note, regardless of the outcome. But the main thing we needed, with dusk coming down and the polls due to close at seven o’clock, was an office with several phone lines, for a blizzard of last-minute calls to those who hadn’t yet voted. We’d collected the voting lists just before five—from our poll-watcher teams who’d been checking them off since dawn—and it was obvious, from a very quick count, that the critical Freak Power vote had turned out in force."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap < 05:00"|"just before five"|"We also needed vast quantities of ice and rum—and a satchel of brain-rattling drugs for those who wanted to finish the campaign on the highest possible note, regardless of the outcome. But the main thing we needed, with dusk coming down and the polls due to close at seven o’clock, was an office with several phone lines, for a blizzard of last-minute calls to those who hadn’t yet voted. We’d collected the voting lists just before five—from our poll-watcher teams who’d been checking them off since dawn—and it was obvious, from a very quick count, that the critical Freak Power vote had turned out in force."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap 06:50"|"ten minutes to seven"|"So Guido was watching eagerly when the mayor arrived in his parking lot at ten minutes to seven, creeping his Porsche through a gauntlet of silent Edwards people. We had mustered a half dozen of the scurviest looking legal voters we could find—and when the mayor arrived at the polls, these freaks were waiting to vote. Behind them, lounging around a coffee dispenser in an old VW van, were at least a dozen others, most of them large and bearded, and several so eager for violence that they had spent the whole night making chain-whips and loading up on speed to stay crazy."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
00:00|midnight|"This had been a problem all along. We had tried to mobilize a huge underground vote, without frightening the burghers into a counterattack. But it didn’t work—primarily because most of our best people were also hairy, and very obvious. Our opening shot—the midnight registration campaign—had been ramrodded by bearded heads; Mike Solheim and Pierre Landry, who worked the streets and bars for head voters like wild junkies, in the face of near-total apathy."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap 06:00"|"six o’clock"|"We seized Craig’s office at once, ignoring the howls and curses of the mob in the Elks bar—where the outgoing mayor’s troops were already gathering to celebrate the victory of his handpicked successor. (Legally, there was nothing they could do to keep us out of the place, although later that night they voted to have Craig evicted ... and he is now running for the state legislature on a Crush the Elks platform.) By six o’clock we had the new headquarters working nicely. The phone calls were extremely brief and direct: “Get off your ass, you bastard! We need you! Get out and vote!”"|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap ~ 06:30"|"around six thirty"|"Finally, at around six thirty, I felt so useless and self-conscious just hanging around the action that I said what the hell, and left. I felt like Dagwood Bumstead pacing back and forth in some comic-strip version of a maternity-ward waiting room. Fuck this, I thought. I’d been awake and moving around like a cannonball for the last fifty hours, and now—with nothing else to confront—I felt the adrenaline sinking. Go home, I thought, eat this mescaline and put on the earphones, get away from this public agony . . ."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
12:00|noon|"By noon on Election Day, the only real question was How Many Liberals Had Hung On. A few had come over, as it were, but those few were not enough to form the other half of the nervous power base we had counted on from the start. The original idea had been to lash together a one-shot coalition and demoralize the local money/politics establishment by winning a major election before the enemy knew what was happening. Aspen’s liberals are a permanent minority who have never won anything, despite their constant struggles ... and Aspen’s fabled “underground” is a far larger minority that has never even tried to win anything."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
00:00|midnight|"None of us even knew Joe Edwards. For weeks we had joked about our “ghost candidate” who emerged from time to time to insist that he was the helpless creature of some mysterious Political Machine that had caused his phone to ring one Saturday at midnight, and told him he was running for mayor."|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
"ap ~ 09:30"|"about nine thirty"|"My first night in the Hotel Ashmun was not restful. The others had left around five, then there was the junkie eruption at seven ... followed an hour later by a thundering, low-fidelity outburst of wailing Norteño music from the jukebox in the Boulevard Cafe across the street ... and then, about nine thirty, I was jerked up again by a series of loud whistles from the sidewalk right under my window, and a voice calling, “Hunter! Wake up, man! Let’s get moving.”"|"Fear and Loathing at Rolling Stone"|"Hunter S. Thompson"
