15:00|"3 P.M."|"Joblard’s thirst was unassuaged. The game was over. He wanted more. He leant across the bar and plucked the postcards from their board. He fondled them, and sniffed them. He held them against his cheek, and he shuffled them. He turned them over. THIS SPACE, AS WELL AS THE BACK, MAY NOW BE USED FOR COMMUNICATION, BUT FOR INLAND ONLY. The warning proved unnecessary. All the cards – except one – were blank, virgin. The owner could not bear to part with them. They would find their way into a scrapbook. But the billiard-playing cannibals had received the red king’s head, and was postmarked LEYTONSTONE. 3 P.M. SP23. 04. So this tale of the exotic had not been stolen out of the dark continent, but dispatched to greet it. Nothing could match the mysteries shrouding the heart of Leytonstone. The sender had no word to add to the image. He identified his potential audience, spelt out, with some difficulty, an address – and left it at that. Who could, in all conscience, ask for more? Demented investigators, and bounty-hunting snoops, should search out the descendants of ‘F. Wilson, Esq., Santa Isabel, Fernando Poo, S.W.C. Africa’."|Downriver|"Iain Sinclair"
"ap 00:00"|"twelve o’clock"|"‘We’re in, boss.’ Sileen spoke from the throat: abrupt, punched sentences. He coated each syllable in phlegm, like a craftsman varnishing a dubious ‘Old Master’. His shifty glance checked the corners, frisked me for a hidden microphone. ‘He’ll see us at twelve o’clock, “railway time”. One minute out, either way, and the deal’s off.’"|Downriver|"Iain Sinclair"
00:00|midnight|"These books meant nothing to him. His price would therefore be impossible to meet. It was the best method of milking some pleasure from the affair. He would hold out until the sweat was rolling, in steel bearings, down Sileen’s neck; until his tongue stuck to the roof of his mouth. How Sileen knew this, ahead of the event, I could not begin to guess. He did his homework without leaving his fireside. He consulted the messages in the flames. He was inevitably putting the phone back on its cradle as you entered the room. He lived in whispers, behind closed blinds: at midnight, he took to the streets."|Downriver|"Iain Sinclair"
12:00|midday|"Dean Swift, infallible with rage, anticipated the affair by half a century. The East India packet, the Antelope, sailing from Rotherhithe in 1783, under the command of Captain Henry Wilson, was shadowed by its already-wrecked fictional namesake and double. A coral reef was breaking the surface, before the pilot was dropped at Gravesend. Sheerness, in the evening sunlight, became Oroolong. The surgeon, Lemuel Gulliver, led the crew ashore, disappearing into the pink sand like a damp stain in the midday sun."|Downriver|"Iain Sinclair"
12:00|midday|"In Meath Gardens, off Roman Road, the hands of the clock were edging to attention at midday; a group of fit, dark-skinned young men, in green blazers, stood over a hole in the ground, practising late cuts and cover drives with their rolled umbrellas. A publicity girl from Qantas, who had miscalculated – by one – the number of buttons to leave undone on her starched blouse, was fending off the attentions of the sole representative of the English Press, a papillous ‘stringer’ from the East London Advertiser."|Downriver|"Iain Sinclair"
06:00|"6 a.m."|"Princelet Street has a history of well-known personages. Next door the synagogue, Miriam Moses’ father had his sweatshop for tailors; the story is that he obtained his employees from the immigrants of 1890, by going to the London docks, & getting men who spoke no English & paying them 1 gold sovereign for 6 days’ work, the hours were 6 a.m. to 12 p.m. at which time he turned off the gas light! ‘Jewey Cook’, the boxer, lived in a tenement next door, & he would sit on the doorstep displaying his Lonsdale Belt with pride. His real name was Cohen, his father was a retired Polish tailor, who was well known to the Polish tailors of the West End, where he could be found begging in his old age. ‘Jewey Cook’s’ cousin is married to Vera Lynn, he is a trumpeter & bandleader, original name of Cohen, but has anglicized it. The last I knew of ‘Jewey Cook’ was 1936, he told me he worked as a labourer in a travelling circus. There is a large house, no doubt having belonged a Huguenot silk weaver, immediately opposite the synagogue. Here lived the Rev. Yellin, the mohel; there may be circumcision certificates still around."|Downriver|"Iain Sinclair"
"ap 00:00"|"12 p.m."|"Princelet Street has a history of well-known personages. Next door the synagogue, Miriam Moses’ father had his sweatshop for tailors; the story is that he obtained his employees from the immigrants of 1890, by going to the London docks, & getting men who spoke no English & paying them 1 gold sovereign for 6 days’ work, the hours were 6 a.m. to 12 p.m. at which time he turned off the gas light! ‘Jewey Cook’, the boxer, lived in a tenement next door, & he would sit on the doorstep displaying his Lonsdale Belt with pride. His real name was Cohen, his father was a retired Polish tailor, who was well known to the Polish tailors of the West End, where he could be found begging in his old age. ‘Jewey Cook’s’ cousin is married to Vera Lynn, he is a trumpeter & bandleader, original name of Cohen, but has anglicized it. The last I knew of ‘Jewey Cook’ was 1936, he told me he worked as a labourer in a travelling circus. There is a large house, no doubt having belonged a Huguenot silk weaver, immediately opposite the synagogue. Here lived the Rev. Yellin, the mohel; there may be circumcision certificates still around."|Downriver|"Iain Sinclair"
19:40|"7.40 P.M."|"The Alice left Sheerness at 7.40 P.M., put in at Gravesend without incident, passed the Powder Magazine and the Beckton Gas Works, holding to mid-stream; the sun ahead of her, leading her, dropping – like a fireball – on the city, breaking the stones into living clusters of light. To starboard: the jaunty boasts of a military march reverberate across the flinching water from the pleasure gardens; strolling couples linger by the river wall. A woman notices a three-masted collier, discharging black smoke, cutting inevitably towards the Alice, as she positions herself to come alongside the pier. Her gentleman friend, indulgent, squeezes her bare shoulder, explains the technicalities of the well-rehearsed manoeuvre that makes any collision impossible. The rules of the river."|Downriver|"Iain Sinclair"
02:55|"2.55 A.M."|"A flask of sugar-saturated tea, marmalade sandwiches, a copy of yesterday’s evening paper, were waiting in the canvas satchel. Cec took his wristwatch from the drawer, advanced it by one and a half minutes, and slipped it over his wrist – with the solemnity of a marriage vow. Time to go: 2.55 A.M. Two-handed, Cec lifted his peaked cap from the chair. No trace of irony: from the instant it touched his head, he was on duty."|Downriver|"Iain Sinclair"
"~ 00:00"|"around midnight"|"Evidence accumulates in the form of photocopied accounts of spontaneous combustions: ‘MAN BURSTS INTO FLAMES. Paul Green, a 19-year-old computer operator, was walking along a quiet road in De Beauvoir Town, Hackney, around midnight when he suddenly burst into flames. He doesn’t smoke. He thinks the blaze might have been set off by a passing car but he doesn’t remember hearing any vehicle pass him. Police have spoken to Paul and examined the scene but are still puzzled by the fire. Paul is a holder of the Duke of Edinburgh’s bronze medal, and has two O levels.’"|Downriver|"Iain Sinclair"
"ap 11:00"|"eleven o’clock"|"Millom would be waiting on the platform at Leyton from eleven o’clock on the morning of 3 December. He would be wearing a dark ‘business’ suit and a tie with the insignia of the local Round Table. I, in my turn, would hold aloft a carrier bag issued by the Forbidden Planet bookshop, with their logo prominently displayed. I couldn’t say what I would be wearing. I didn’t know what I was wearing now."|Downriver|"Iain Sinclair"
