"ap 03:30"|Three-thirty|"He left the piano and poured some coffee, which he drank at his usual place by the window. Three-thirty, and already dark enough to turn on lights. Molly was ashes. He would work through the night and sleep until lunch. There wasn’t really much else to do. Make something, and die. After the coffee he recrossed the room and remained standing, stooped over the keyboard in his overcoat, while he played with both hands by the exhausted afternoon light the notes as he had written them. Almost right, almost the truth. They suggested a dry yearning for something out of reach. Someone. It was at times like this that he used to phone and ask her over, when he was too restless to sit at the piano for long and too excited by new ideas to leave it alone. If she was free, she would come over and make tea, or mix exotic drinks, and sit in that worn-out old armchair in the corner. Either they talked or she made her requests and listened with eyes closed. Her tastes were surprisingly austere for such a party-loving sort. Bach, Stravinsky, very occasionally Mozart. But she was no longer a girl by then, no longer his lover. They were companionable, too wry with each other to be passionate, and they liked to be free to talk about their affairs. She was like a sister, judging his women with far more generosity that he ever allowed her men. Otherwise they talked music or food. Now she was fine ash in an alabaster urn for George to keep on top of his wardrobe."|Amsterdam|"Ian McEwan"
00:00|midnight|"Creation apart, the writing of a symphony is physically arduous. Every second of playing time involved writing out, note by note, the parts of up to two dozen instruments, playing them back, making adjustments to the score, playing again, rewriting, then sitting in silence, listening to the inner ear synthesize and orchestrate the vertical array of scribbles and deletions; amending again until the bar was right, and playing it once more on the piano. By midnight Clive had extended and written out in full the rising passage and was starting on the great orchestral hiatus that would precede the sprawling change of key. By four o’clock in the morning he had written out the major parts and knew exactly how the modulation would work, how the mists would evaporate."|Amsterdam|"Ian McEwan"
04:00|"four o’clock in the morning"|"Creation apart, the writing of a symphony is physically arduous. Every second of playing time involved writing out, note by note, the parts of up to two dozen instruments, playing them back, making adjustments to the score, playing again, rewriting, then sitting in silence, listening to the inner ear synthesize and orchestrate the vertical array of scribbles and deletions; amending again until the bar was right, and playing it once more on the piano. By midnight Clive had extended and written out in full the rising passage and was starting on the great orchestral hiatus that would precede the sprawling change of key. By four o’clock in the morning he had written out the major parts and knew exactly how the modulation would work, how the mists would evaporate."|Amsterdam|"Ian McEwan"
11:30|"eleven-thirty in the morning"|"Not all Vernon’s contempt for George Lane had to do with Molly. Lane owned one and a half percent of the Judge and had put money into the relaunch that marked the fall of Jack Mobey and Vernon’s elevation. George thought that Vernon was in his debt. Also, George knew nothing about newspapers, which was why he thought the editor of a national daily could saunter out of his office to cross the entire width of London to Holland Park at eleven-thirty in the morning."|Amsterdam|"Ian McEwan"
"> 21:00"|"after nine this evening"|"“I’m doing you a big favor here. Sort of thing the News of the World would kill for.”
“I could be there sometime after nine this evening.”
“Very well. I’ll see you then,” George said huffily, and rang off."|Amsterdam|"Ian McEwan"
21:30|"nine-thirty that evening"|"He could not know it then, but the moment before she entered his room was the last occasion he would be alone until he left the building at nine-thirty that evening."|Amsterdam|"Ian McEwan"
"ap 06:30"|six-thirty|"Rose Garmony woke at six-thirty, and even before her eyes were open the names of three children were on her mind, on her mind’s tongue: Leonora, John, Candy. Careful not to disturb her husband, she eased herself out of bed and reached for her dressing gown. She had reread the notes last thing at night and met Candy’s parents in the afternoon. The other two cases were routine: a diagnostic bronchoscopy following the inhalation of a peanut, and the insertion of a chest drain for a lung abscess. Candy was a quiet little West Indian girl whose hair had been kept back by her mother all through the dreary routines of a long illness. The open-heart procedure would last at least three hours, possibly five, and the outcome was uncertain. The father ran a grocery in Brixton and brought to the meeting a basket of pineapples, mangoes, and grapes—propitiation for the savage god of the knife."|Amsterdam|"Ian McEwan"
"ap 08:15"|eight-fifteen|"But one small matter denied him complete happiness: Clive. He had addressed him in his mind so often, sharpening the arguments, adding all the things he should have said that night, that he could almost convince himself that he was winning his old friend round, just as he was triumphing over the dinosaurs on the board of directors. But they hadn’t spoken since their row, and Vernon was worrying more as publication day approached. Was Clive brooding, or furious, or was he locked in his studio, lost in work and oblivious to public affairs? Several times during the week Vernon had thought of snatching a minute alone to phone him. But he worried that a fresh attack from Clive would unsteady him in the meetings ahead. Now Vernon eyed the bedside phone beyond the heaped and buckled pillows, and then he made a lunge. Best not to let forethought make a coward of him again. He had to save this friendship. Best to do it while he was calm. He already had a ring tone when he noticed it was only eight-fifteen. Way too early. Sure enough, something in the fumble and clatter of Clive’s pick-up suggested the near-paraplegia of shattered sleep."|Amsterdam|"Ian McEwan"
"ap 05:15"|five-fifteen|"Now, this Thursday morning, last day before publication, Vernon and his lieutenant rose together to the fourth floor in an ancient lift that seemed to have the jitters. Vernon was taken back to his undergraduate acting days, the final rehearsal, the sticky palms and swooping gut and loose bowels. By the time the morning conference ended, all the senior editorial staff, all the senior journalists, and quite a few more besides would have seen the photographs. The first edition went to press at five-fifteen, but not until nine-thirty, the late edition, would Garmony’s image, his frock and his soulful gaze, be a furious blur on the steel rollers at the new Croydon plant. The idea was to deny the competition any chance of running a spoiler for their own late editions. The distribution lorries would be on the road by eleven. Then it would be too late to recall the deed."|Amsterdam|"Ian McEwan"
"ap 11:00"|"eleven o’clock"|"He didn’t, but the next two hours had all the brio of a light opera in which every aria was his, and in which a shifting chorus of mixed voices both praised him and harmoniously echoed his thoughts. Then it was eleven o’clock, and far more than the usual number were cramming into Vernon’s office for the morning conference. Editors and their deputies and assistants and journalists were crammed into every chair, slouched against every inch of wall space, and perched along the windowsills and on the radiators. People who could not squeeze into the room were bunched around the open doorway. Conversation stopped as the editor edged himself into his chair. It was positively raffish, the way he started without preamble, as always, and stuck to the routine—a few minutes’ postmortem, then a run through the lists. Today, of course, there would be no bids for the front page. Vernon’s one concession was to reverse the usual order so that home news and politics would be last. The sports editor had a background piece on the Atlanta Olympics and a why-oh-why on the state of English table-tennis doubles. The literary editor, who had never before been in early enough to attend a morning conference, gave a somnolent account of a novel about food that sounded so pretentious Vernon had to cut him off. From arts there was a funding crisis, and Lettice O’Hara in features was at last ready to run her piece on the Dutch medical scandal, and also—to honor the occasion—was offering a feature on how industrial pollution was turning male fish into females."|Amsterdam|"Ian McEwan"
