12:00|midday|"She craned her neck to investigate the possibilities of a clump of bushes to the right and then withdrew farther to obtain a better angle for viewing its dark recesses. The quiet was profound except for the incessant buzzing of insects and the occasional chirrup of some hardy bird, braving the midday sun."|"I, Robot"|"Isaac Asimov"
00:00|midnight|"Gloria was reaching the very climax of the tale—midnight was striking and everything was changing back to the shabby originals lickety-split, while Robbie listened tensely with burning eyes—when the interruption came."|"I, Robot"|"Isaac Asimov"
"ap 08:00"|eight|"“I’m afraid so. I imagine, however, that it was easier for her at the age of fifteen than at eight. Still, it was a stupid and unnecessary attitude on the part of humanity. U.S. Robots hit its low point, financially, just about the time I joined them in 2007. At first, I thought my job might come to a sudden end in a matter of months, but then we simply developed the extra-Terrestrial market.”"|"I, Robot"|"Isaac Asimov"
05:00|"five that morning"|"Peter Bogert was at his desk until five that morning and he was back at nine. The shelf just over the desk emptied of its row of reference books and tables, as he referred to one after the other. The pages of calculations before him increased microscopically and the crumpled sheets at his feet mounted into a hill of scribbled paper."|"I, Robot"|"Isaac Asimov"
"ap 09:00"|nine|"Peter Bogert was at his desk until five that morning and he was back at nine. The shelf just over the desk emptied of its row of reference books and tables, as he referred to one after the other. The pages of calculations before him increased microscopically and the crumpled sheets at his feet mounted into a hill of scribbled paper."|"I, Robot"|"Isaac Asimov"
12:00|noon|"At precisely noon, he stared at the final page, rubbed a blood-shot eye, yawned and shrugged. “This is getting worse each minute. Damn!”"|"I, Robot"|"Isaac Asimov"
12:00|noon|"It was also precisely at noon that Milton Ashe looked up from his clumsy sketch and said, “You get the idea? I’m not too good at getting this down, but that’s about how it looks. It’s a honey of a house, and I can get it for next to nothing.”"|"I, Robot"|"Isaac Asimov"
"ap 11:00"|eleven|"There was a dead silence while the electric clock chimed eleven times, and then the robopsychologist said, “Very peculiar,” and the corners of her lips moved downward."|"I, Robot"|"Isaac Asimov"
"ap 07:00"|0700|"Susan Calvin, except for two hours of resentful lassitude, experienced nothing approaching sleep. She signaled at Bogert’s door at the local time of 0700 and found him also awake. He had apparently taken the trouble of transporting a dressing gown to Hyper Base with him, for he was sitting in it. He put his nail scissors down when Calvin entered."|"I, Robot"|"Isaac Asimov"
"~ 12:00"|"about noon"|"“He worked with me, ma’am, on the field generators, and he was with me the morning of his disappearance. I don’t know if anyone saw him after about noon. No one admits having done so.”"|"I, Robot"|"Isaac Asimov"
"> 00:00"|"past midnight"|"Dr. Calvin and Stephen Byerley met once again—a week before he took the oath of office as mayor. It was late—past midnight."|"I, Robot"|"Isaac Asimov"
20:52|2052|"“No buts! The Machines are robots, and they are running the world. It was five years ago that I found out all the truth. It was 2052; Byerley was completing his second term as World Co-ordinator—”"|"I, Robot"|"Isaac Asimov"
