"~ 15:00"|"around three o'clock that afternoon"|"Anyway, it was the Saturday of the football game with Saxon Hall. The game with Saxon Hall was supposed to be a very big deal around Pencey. It was the last game of the year, and you were supposed to commit suicide or something if old Pencey didn't win. I remember around three o'clock that afternoon I was standing way the hell up on top of Thomsen Hill, right next to this crazy cannon that was in the Revolutionary War and all. You could see the whole field from there, and you could see the two teams bashing each other all over the place. You couldn't see the grandstand too hot, but you could hear them all yelling, deep and terrific on the Pencey side, because practically the whole school except me was there, and scrawny and faggy on the Saxon Hall side, because the visiting team hardly ever brought many people with them."|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 02:30"|"around two-thirty"|"The reason I was standing way up on Thomsen Hill, instead of down at the game, was because I'd just got back from New York with the fencing team. I was the goddam manager of the fencing team. Very big deal. We'd gone in to New York that morning for this fencing meet with McBurney School. Only, we didn't have the meet. I left all the foils and equipment and stuff on the goddam subway. It wasn't all my fault. I had to keep getting up to look at this map, so we'd know where to get off. So we got back to Pencey around two-thirty instead of around dinnertime. The whole team ostracized me the whole way back on the train. It was pretty funny, in a way."|"The Catcher in the Rye"|"J. D. Salinger"
09:30|"nine-thirty in the morning"|"I didn't like the way he said it, so I said, ""The reason she did that, she probably just didn't know what a handsome, charming bastard you are. If she'd known, she probably would've signed out for nine-thirty in the morning."""|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 08:45"|"about a quarter to nine"|"It was only about a quarter to nine when we got back to the dorm. Old Brossard was a bridge fiend, and he started looking around the dorm for a game. Old Ackley parked himself in my room, just for a change. Only, instead of sitting on the arm of Stradlater's chair, he laid down on my bed, with his face right on my pillow and all. He started talking in this very monotonous voice, and picking at all his pimples. I dropped about a thousand hints, but I couldn't get rid of him. All he did was keep talking in this very monotonous voice about some babe he was supposed to have had sexual intercourse with the summer before. He'd already told me about it about a hundred times. Every time he told it, it was different. One minute he'd be giving it to her in his cousin's Buick, the next minute he'd be giving it to her under some boardwalk. It was all a lot of crap, naturally. He was a virgin if ever I saw one. I doubt if he ever even gave anybody a feel. Anyway, finally I had to come right out and tell him that I had to write a composition for Stradlater, and that he had to clear the hell out, so I could concentrate. He finally did, but he took his time about it, as usual. After he left, I put on my pajamas and bathrobe and my old hunting hat, and started writing the composition."|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 10:30"|"around ten-thirty"|"It was around ten-thirty, I guess, when I finished it. I wasn't tired, though, so I looked out the window for a while. It wasn't snowing out any more, but every once in a while you could hear a car somewhere not being able to get started. You could also hear old Ackley snoring. Right through the goddam shower curtains you could hear him. He had sinus trouble and he couldn't breathe too hot when he was asleep. That guy had just about everything. Sinus trouble, pimples, lousy teeth, halitosis, crumby fingernails. You had to feel a little sorry for the crazy sonuvabitch."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 09:30"|nine-thirty|"He was sitting on the edge of his bed, cutting his goddam toenails, when I asked him that. ""Coupla minutes,"" he said. ""Who the hell signs out for nine-thirty on a Saturday night?"" God, how I hated him."|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 11:00"|"around eleven"|"""Canasta, for Chrissake. Do you know what time it is, by any chance?""
""It isn't late. It's only around eleven, eleven-thirty.""
""Only around!"" Ackley said. ""Listen. I gotta get up and go to Mass in the morning, for Chrissake. You guys start hollering and fighting in the middle of the goddam--What the hell was the fight about, anyhow?"""|"The Catcher in the Rye"|"J. D. Salinger"
"ap 11:30"|eleven-thirty|"""Canasta, for Chrissake. Do you know what time it is, by any chance?""
""It isn't late. It's only around eleven, eleven-thirty.""
""Only around!"" Ackley said. ""Listen. I gotta get up and go to Mass in the morning, for Chrissake. You guys start hollering and fighting in the middle of the goddam--What the hell was the fight about, anyhow?"""|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 09:00"|"around nine o'clock"|"The first thing I did when I got off at Penn Station, I went into this phone booth. I felt like giving somebody a buzz. I left my bags right outside the booth so that I could watch them, but as soon as I was inside, I couldn't think of anybody to call up. My brother D.B. was in Hollywood. My kid sister Phoebe goes to bed around nine o'clock--so I couldn't call her up. She wouldn't've cared if I'd woke her up, but the trouble was, she wouldn't've been the one that answered the phone. My parents would be the ones. So that was out. Then I thought of giving Jane Gallagher's mother a buzz, and find out when Jane's vacation started, but I didn't feel like it. Besides, it was pretty late to call up. Then I thought of calling this girl I used to go around with quite frequently, Sally Hayes, because I knew her Christmas vacation had started already--she'd written me this long, phony letter, inviting me over to help her trim the Christmas tree Christmas Eve and all--but I was afraid her mother'd answer the phone. Her mother knew my mother, and I could picture her breaking a goddam leg to get to the phone and tell my mother I was in New York. Besides, I wasn't crazy about talking to old Mrs. Hayes on the phone. She once told Sally I was wild. She said I was wild and that I had no direction in life. Then I thought of calling up this guy that went to the Whooton School when I was there, Carl Luce, but I didn't like him much. So I ended up not calling anybody. I came out of the booth, after about twenty minutes or so, and got my bags and walked over to that tunnel where the cabs are and got a cab."|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 03:00"|"About three"|"Even though it was so late, old Ernie's was jampacked. Mostly with prep school jerks and college jerks. Almost every damn school in the world gets out earlier for Christmas vacation than the schools I go to. You could hardly check your coat, it was so crowded. It was pretty quiet, though, because Ernie was playing the piano. It was supposed to be something holy, for God's sake, when he sat down at the piano. Nobody's that good. About three couples, besides me, were waiting for tables, and they were all shoving and standing on tiptoes to get a look at old Ernie while he played. He had a big damn mirror in front of the piano, with this big spotlight on him, so that everybody could watch his face while he played. You couldn't see his fingers while he played--just his big old face. Big deal. I'm not too sure what the name of the song was that he was playing when I came in, but whatever it was, he was really stinking it up. He was putting all these dumb, show-offy ripples in the high notes, and a lot of other very tricky stuff that gives me a pain in the ass. You should've heard the crowd, though, when he was finished. You would've puked. They went mad. They were exactly the same morons that laugh like hyenas in the movies at stuff that isn't funny. I swear to God, if I were a piano player or an actor or something and all those dopes thought I was terrific, I'd hate it. I wouldn't even want them to clap for me. People always clap for the wrong things. If I were a piano player, I'd play it in the goddam closet. Anyway, when he was finished, and everybody was clapping their heads off, old Ernie turned around on his stool and gave this very phony, humble bow. Like as if he was a helluva humble guy, besides being a terrific piano player. It was very phony--I mean him being such a big snob and all. In a funny way, though, I felt sort of sorry for him when he was finished. I don't even think he knows any more when he's playing right or not. It isn't all his fault. I partly blame all those dopes that clap their heads off--they'd foul up anybody, if you gave them a chance. Anyway, it made me feel depressed and lousy again, and I damn near got my coat back and went back to the hotel, but it was too early and I didn't feel much like being all alone."|"The Catcher in the Rye"|"J. D. Salinger"
12:00|noon|"""Uh huh. Well, how 'bout it? Y'innarested? Five bucks a throw. Fifteen bucks the whole night."" He looked at his wrist watch. ""Till noon. Five bucks a throw, fifteen bucks till noon."""|"The Catcher in the Rye"|"J. D. Salinger"
12:00|noon|"""Okay,"" I said. It was against my principles and all, but I was feeling so depressed I didn't even think. That's the whole trouble. When you're feeling very depressed, you can't even think.
""Okay what? A throw, or till noon? I gotta know.""
""Just a throw."""|"The Catcher in the Rye"|"J. D. Salinger"
"ap 00:22"|"Twelve twenty-two"|"I looked at the red thing with my number on it, on my key. ""Twelve twenty-two,"" I said. I was already sort of sorry I'd let the thing start rolling, but it was too late now."|"The Catcher in the Rye"|"J. D. Salinger"
11:45|"fifteen till noon"|"""Maurice said five,"" I told her. ""He said fifteen till noon and only five for a throw."""|"The Catcher in the Rye"|"J. D. Salinger"
12:00|noon|"""It's ten bucks, chief. I tole ya that. Ten bucks for a throw, fifteen bucks till noon. I tole ya that."""|"The Catcher in the Rye"|"J. D. Salinger"
12:00|noon|"""You did not tell me that. You said five bucks a throw. You said fifteen bucks till noon, all right, but I distinctly heard you--"""|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 10:00"|"around ten o'clock"|"I didn't sleep too long, because I think it was only around ten o'clock when I woke up. I felt pretty hungry as soon as I had a cigarette. The last time I'd eaten was those two hamburgers I had with Brossard and Ackley when we went in to Agerstown to the movies. That was a long time ago. It seemed like fifty years ago. The phone was right next to me, and I started to call down and have them send up some breakfast, but I was sort of afraid they might send it up with old Maurice. If you think I was dying to see him again, you're crazy. So I just laid around in bed for a while and smoked another cigarette. I thought of giving old Jane a buzz, to see if she was home yet and all, but I wasn't in the mood."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 02:00"|"two o'clock"|"Grand. If there's one word I hate, it's grand. It's so phony. For a second, I was tempted to tell her to forget about the matinee. But we chewed the fat for a while. That is, she chewed it. You couldn't get a word in edgewise. First she told me about some Harvard guy-- it probably was a freshman, but she didn't say, naturally--that was rushing hell out of her. Calling her up night and day. Night and day--that killed me. Then she told me about some other guy, some West Point cadet, that was cutting his throat over her too. Big deal. I told her to meet me under the clock at the Biltmore at two o'clock, and not to be late, because the show probably started at two-thirty. She was always late. Then I hung up. She gave me a pain in the ass, but she was very good-looking."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 02:30"|two-thirty|"Grand. If there's one word I hate, it's grand. It's so phony. For a second, I was tempted to tell her to forget about the matinee. But we chewed the fat for a while. That is, she chewed it. You couldn't get a word in edgewise. First she told me about some Harvard guy-- it probably was a freshman, but she didn't say, naturally--that was rushing hell out of her. Calling her up night and day. Night and day--that killed me. Then she told me about some other guy, some West Point cadet, that was cutting his throat over her too. Big deal. I told her to meet me under the clock at the Biltmore at two o'clock, and not to be late, because the show probably started at two-thirty. She was always late. Then I hung up. She gave me a pain in the ass, but she was very good-looking."|"The Catcher in the Rye"|"J. D. Salinger"
"~ 12:00"|"around noon"|"After I had my breakfast, it was only around noon, and I wasn't meeting old Sally till two o'clock, so I started taking this long walk. I couldn't stop thinking about those two nuns. I kept thinking about that beatup old straw basket they went around collecting money with when they weren't teaching school. I kept trying to picture my mother or somebody, or my aunt, or Sally Hayes's crazy mother, standing outside some department store and collecting dough for poor people in a beat-up old straw basket. It was hard to picture. Not so much my mother, but those other two. My aunt's pretty charitable--she does a lot of Red Cross work and all--but she's very well-dressed and all, and when she does anything charitable she's always very well-dressed and has lipstick on and all that crap. I couldn't picture her doing anything for charity if she had to wear black clothes and no lipstick while she was doing it. And old Sally Hayes's mother. Jesus Christ. The only way she could go around with a basket collecting dough would be if everybody kissed her ass for her when they made a contribution. If they just dropped their dough in her basket, then walked away without saying anything to her, ignoring her and all, she'd quit in about an hour. She'd get bored. She'd hand in her basket and then go someplace swanky for lunch. That's what I liked about those nuns. You could tell, for one thing, that they never went anywhere swanky for lunch. It made me so damn sad when I thought about it, their never going anywhere swanky for lunch or anything. I knew it wasn't too important, but it made me sad anyway."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 02:00"|"two o'clock"|"After I had my breakfast, it was only around noon, and I wasn't meeting old Sally till two o'clock, so I started taking this long walk. I couldn't stop thinking about those two nuns. I kept thinking about that beatup old straw basket they went around collecting money with when they weren't teaching school. I kept trying to picture my mother or somebody, or my aunt, or Sally Hayes's crazy mother, standing outside some department store and collecting dough for poor people in a beat-up old straw basket. It was hard to picture. Not so much my mother, but those other two. My aunt's pretty charitable--she does a lot of Red Cross work and all--but she's very well-dressed and all, and when she does anything charitable she's always very well-dressed and has lipstick on and all that crap. I couldn't picture her doing anything for charity if she had to wear black clothes and no lipstick while she was doing it. And old Sally Hayes's mother. Jesus Christ. The only way she could go around with a basket collecting dough would be if everybody kissed her ass for her when they made a contribution. If they just dropped their dough in her basket, then walked away without saying anything to her, ignoring her and all, she'd quit in about an hour. She'd get bored. She'd hand in her basket and then go someplace swanky for lunch. That's what I liked about those nuns. You could tell, for one thing, that they never went anywhere swanky for lunch. It made me so damn sad when I thought about it, their never going anywhere swanky for lunch or anything. I knew it wasn't too important, but it made me sad anyway."|"The Catcher in the Rye"|"J. D. Salinger"
"ap ~ 00:00"|"about twelve o'clock"|"Broadway was mobbed and messy. It was Sunday, and only about twelve o'clock, but it was mobbed anyway. Everybody was on their way to the movies--the Paramount or the Astor or the Strand or the Capitol or one of those crazy places. Everybody was all dressed up, because it was Sunday, and that made it worse. But the worst part was that you could tell they all wanted to go to the movies. I couldn't stand looking at them. I can understand somebody going to the movies because there's nothing else to do, but when somebody really wants to go, and even walks fast so as to get there quicker, then it depresses hell out of me. Especially if I see millions of people standing in one of those long, terrible lines, all the way down the block, waiting with this terrific patience for seats and all. Boy, I couldn't get off that goddam Broadway fast enough. I was lucky. The first record store I went into had a copy of ""Little Shirley Beans."" They charged me five bucks for it, because it was so hard to get, but I didn't care. Boy, it made me so happy all of a sudden. I could hardly wait to get to the park to see if old Phoebe was around so that I could give it to her."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 02:40"|two-forty|"I told her no, but she was around ten minutes late, as a matter of fact. I didn't give a damn, though. All that crap they have in cartoons in the Saturday Evening Post and all, showing guys on street corners looking sore as hell because their dates are late--that's bunk. If a girl looks swell when she meets you, who gives a damn if she's late? Nobody. ""We better hurry,"" I said. ""The show starts at two-forty."" We started going down the stairs to where the taxis are."|"The Catcher in the Rye"|"J. D. Salinger"
"ap 10:00"|"ten o'clock"|"Anyway, I gave old Jane a buzz again, but her phone didn't answer, so I had to hang up. Then I had to look through my address book to see who the hell might be available for the evening. The trouble was, though, my address book only has about three people in it. Jane, and this man, Mr. Antolini, that was my teacher at Elkton Hills, and my father's office number. I keep forgetting to put people's names in. So what I did finally, I gave old Carl Luce a buzz. He graduated from the Whooton School after I left. He was about three years older than I was, and I didn't like him too much, but he was one of these very intellectual guys-- he had the highest I.Q. of any boy at Whooton--and I thought he might want to have dinner with me somewhere and have a slightly intellectual conversation. He was very enlightening sometimes. So I gave him a buzz. He went to Columbia now, but he lived on 65th Street and all, and I knew he'd be home. When I got him on the phone, he said he couldn't make it for dinner but that he'd meet me for a drink at ten o'clock at the Wicker Bar, on 54th. I think he was pretty surprised to hear from me. I once called him a fat-assed phony."|"The Catcher in the Rye"|"J. D. Salinger"
